"","qdap_rel_val_total","qdap_value_rel_25","qdap_value_rel_mean","qdap_value_rel_50","qdap_value_rel_75","qdap_value_rel_sd","qdap_value_rel_sum","qdap_value_rel_infl_mean"
"121",-0.00184123852162573,-0.00379144326866549,-0.00227845607111231,-0.00181687143823046,-0.000233289854834831,0.00369111153216385,-136.94948,-0.000308840164562178
"122",-0.00262099364490931,-0.00494064229472615,-0.00251490926851923,-0.00283720569098568,-4.83743842364553e-06,0.00382221683442667,-158.37092,-0.000353138998678837
"123",-0.00383102001446829,-0.00748749683944374,-0.00421243072326347,-0.00292834590829948,-0.000649038262668045,0.00524383462873457,-174.75964,-0.0012982572153294
"124",-0.00296875812219432,-0.00544941545346179,-0.00306671736074031,-0.00304573901909481,-0.000848655946216324,0.00314157248386658,-195.09194,-0.000791378690807216
"125",-0.00205002872872239,-0.00428343207354443,-0.00274904365929923,-0.00191396188565697,-0.000327459252157239,0.00367334284639664,-161.98302,-0.00026183164855196
"126",-0.00286163447671295,-0.004642109375,-0.00287797793041798,-0.00274141826923077,-0.000227191166321601,0.0039585746568884,-202.39196,-0.00124040981023449
"127",-0.00318250389772373,-0.00556449838437673,-0.00344983088226836,-0.00298914089347079,-0.000998842829956318,0.00377156359026186,-183.71322,-0.00077445269829146
"128",-0.00204378278455413,-0.00597348122634837,-0.00274874048764322,-0.00213860355029586,0.000361591950034698,0.00475357530749287,-129.3551,-0.000185492100866121
"129",-0.00185204570458618,-0.0038891311373104,-0.00213934820507133,-0.00250862906764168,0.000557286620119692,0.0038566081888459,-117.83826,-0.000457201561829003
"130",-0.00227438792704931,-0.00419929608373108,-0.00242747997527817,-0.00291793500495474,-0.00108044143024335,0.00273401043034268,-152.51818,-0.000270739116772037
"131",-0.00167793095183406,-0.00309581166040639,-0.00160823196560057,-0.00143659210901826,0.000845008680555556,0.00350497646754492,-168.01626,-6.87385693441736e-05
"132",-0.00223120666788343,-0.00519609773550842,-0.00243421548588794,-0.00192792899408284,0.000105345582379815,0.00361443043068894,-183.37172,-0.000107045913664267
"133",-0.00244343361535189,-0.00437306651299736,-0.00234982970378383,-0.00242146562589744,-8.42338250855402e-05,0.00330887932615841,-206.7829,-0.000506212878833219
"134",-0.00229381659190922,-0.00488111041818844,-0.00245931755922407,-0.00209858922425754,-0.000397076204138567,0.00323903555311273,-162.1109,-0.000193888818173943
