"",BBDG1.M.HWWI.N.EURO.ENERGY00.INDBEU.HE.A,BBDG1.M.HWWI.N.EURO.ENERGY00.INDBEU.HE.A_FLAGS
2006-04,93.2,
2006-05,88.6,
2006-06,88.3,
2006-07,94.2,
2006-08,92.6,
2006-09,79.0,
2006-10,74.8,
2006-11,74.4,
2006-12,77.0,
2007-01,67.8,
2007-02,72.1,
2007-03,76.8,
2007-04,81.2,
2007-05,80.9,
2007-06,86.7,
2007-07,91.5,
2007-08,85.2,
2007-09,90.4,
2007-10,95.2,
2007-11,103.7,
2007-12,102.8,
2008-01,103.2,
2008-02,107.9,
2008-03,111.0,
2008-04,114.5,
2008-05,131.4,
2008-06,141.5,
2008-07,141.4,
2008-08,127.3,
2008-09,115.5,
2008-10,90.3,
2008-11,70.8,
2008-12,53.1,
2009-01,56.9,
2009-02,57.5,
2009-03,59.6,
2009-04,63.7,
2009-05,69.7,
2009-06,80.5,
2009-07,75.8,
2009-08,83.5,
2009-09,76.1,
2009-10,80.7,
2009-11,84.4,
2009-12,83.8,
2010-01,89.0,
2010-02,89.6,
2010-03,96.5,
2010-04,105.1,
2010-05,100.6,
2010-06,102.6,
2010-07,98.8,
2010-08,99.3,
2010-09,99.0,
2010-10,98.9,
2010-11,104.3,
2010-12,115.7,
2011-01,121.1,
2011-02,126.5,
2011-03,135.5,
2011-04,141.0,
2011-05,132.5,
2011-06,130.5,
2011-07,135.1,
2011-08,127.5,
2011-09,135.7,
2011-10,132.0,
2011-11,134.5,
2011-12,134.9,
2012-01,141.2,
2012-02,148.4,
2012-03,155.0,
2012-04,148.6,
2012-05,140.5,
2012-06,124.5,
2012-07,136.5,
2012-08,149.1,
2012-09,143.2,
2012-10,139.9,
2012-11,138.5,
2012-12,136.2,
2013-01,138.6,
2013-02,141.7,
2013-03,136.3,
2013-04,127.8,
2013-05,129.0,
2013-06,127.1,
2013-07,133.7,
2013-08,135.3,
2013-09,135.7,
2013-10,130.1,
2013-11,130.3,
2013-12,131.5,
2014-01,129.4,
2014-02,129.3,
2014-03,126.0,
2014-04,126.2,
2014-05,129.2,
2014-06,133.0,
2014-07,127.7,
2014-08,123.6,
2014-09,122.2,
2014-10,111.9,
2014-11,103.1,
2014-12,84.3,
2015-01,71.4,
