"",BBEE1.M.I7.AAA.XZE02A.R.AACPE.M00,BBEE1.M.I7.AAA.XZE02A.R.AACPE.M00_FLAGS
2001-06,84.1163,
2001-07,85.0770,
2001-08,87.7104,
2001-09,88.5746,
2001-10,88.5580,
2001-11,86.8911,
2001-12,87.4056,
2002-01,87.1809,
2002-02,86.2555,
2002-03,86.4776,
2002-04,86.7276,
2002-05,88.7691,
2002-06,91.3644,
2002-07,93.3152,
2002-08,92.7676,
2002-09,93.0399,
2002-10,93.3804,
2002-11,93.8295,
2002-12,94.8660,
2003-01,97.5773,
2003-02,98.8702,
2003-03,99.5218,
2003-04,99.5864,
2003-05,103.3523,
2003-06,103.8986,
2003-07,102.3268,
2003-08,101.2151,
2003-09,101.1291,
2003-10,103.0726,
2003-11,102.9586,
2003-12,105.8770,
2004-01,107.0051,
2004-02,106.9869,
2004-03,104.7858,
2004-04,103.0335,
2004-05,104.2386,
2004-06,104.2108,
2004-07,104.5242,
2004-08,104.3991,
2004-09,104.5176,
2004-10,105.5967,
2004-11,106.8276,
2004-12,108.0314,
2005-01,106.3584,
2005-02,105.2220,
2005-03,106.2155,
2005-04,105.2370,
2005-05,104.1168,
2005-06,101.3761,
2005-07,101.3885,
2005-08,101.9861,
2005-09,101.4762,
2005-10,100.8292,
2005-11,99.7555,
2005-12,99.7163,
2006-01,100.1756,
2006-02,99.1992,
2006-03,100.0204,
2006-04,101.1365,
2006-05,102.8661,
2006-06,103.4749,
2006-07,103.6296,
2006-08,103.4034,
2006-09,103.0278,
2006-10,102.2954,
2006-11,102.7782,
2006-12,103.5287,
2007-01,102.8243,
2007-02,102.9802,
2007-03,103.5873,
2007-04,104.3825,
2007-05,104.0162,
2007-06,103.3600,
2007-07,103.8037,
2007-08,103.4705,
2007-09,104.2599,
2007-10,104.8090,
2007-11,106.3189,
2007-12,105.7586,
2008-01,106.1730,
2008-02,105.4162,
2008-03,108.6000,
2008-04,109.3358,
2008-05,108.6768,
2008-06,108.2698,
2008-07,108.1885,
2008-08,105.3553,
2008-09,104.0259,
2008-10,101.7368,
2008-11,100.9303,
2008-12,106.0999,
2009-01,106.1538,
2009-02,105.5290,
2009-03,107.2937,
2009-04,106.0968,
2009-05,106.3769,
2009-06,107.5118,
2009-07,106.8705,
2009-08,106.9179,
2009-09,107.7741,
2009-10,108.5215,
2009-11,108.2798,
2009-12,107.0062,
2010-01,104.6003,
2010-02,101.8556,
2010-03,101.0169,
2010-04,99.4880,
2010-05,96.4385,
2010-06,94.5993,
2010-07,96.4941,
2010-08,96.0529,
2010-09,96.1867,
2010-10,99.1831,
2010-11,97.8472,
2010-12,95.7536,
2011-01,95.6691,
2011-02,96.6948,
2011-03,98.2958,
2011-04,99.8261,
2011-05,98.7709,
2011-06,98.8999,
2011-07,97.8398,
2011-08,98.2079,
2011-09,97.5559,
2011-10,97.9752,
2011-11,97.4564,
2011-12,95.8695,
2012-01,93.8164,
2012-02,94.3221,
2012-03,94.4613,
2012-04,94.3383,
2012-05,93.1638,
2012-06,92.5896,
2012-07,90.7543,
2012-08,90.7087,
2012-09,92.6133,
2012-10,93.0057,
2012-11,92.3885,
2012-12,93.6622,
2013-01,94.9545,
2013-02,95.8305,
2013-03,94.5491,
2013-04,94.4878,
2013-05,94.7245,
2013-06,96.2972,
2013-07,96.3011,
2013-08,97.4151,
2013-09,97.1439,
2013-10,97.5351,
2013-11,97.3552,
2013-12,98.6910,
2014-01,98.6646,
2014-02,98.9458,
2014-03,99.7036,
2014-04,99.0258,
2014-05,97.8977,
2014-06,97.0424,
2014-07,96.5321,
2014-08,96.0382,
2014-09,94.6249,Provisional value
2014-10,93.9067,Provisional value
2014-11,93.9564,Provisional value
2014-12,94.4400,Provisional value
2015-01,90.8586,Provisional value
"",Source: European Central Bank: EXR.M.E3.EUR.ERC0.A,
"","Methodology: Based on the weighted averages of the euro or, prior to 1999, of the exchange rates of the currencies preceding the euro against the currencies of the following countries: Algeria, Argentina, Australia, Brazil, Bulgaria, Canada, Chile, China, Croatia, Czech Republic, Denmark, Hong Kong, Hungary, Iceland, India, Indonesia, Israel, Japan, Lithuania,Malaysia, Mexico, Morocco, New Zealand, Norway, Philippines, Poland, Romania, the Russian Federation, Singapore, South Africa, South Korea, Sweden, Switzerland, Taiwan, Thailand, Turkey, the United Kingdom, the United States and Venezuela.                                   Where consumer price indices were not available, estimates have been used.                                                          The weights used in these calculations are based on manufactured goodstrade and capture third-market effects.                            For details of the methodology see ECB, Monthly Bulletin, March 2012 as well as the ECB's Occasional Paper No.134, which can be downloaded from the ECB's website (www.ecb.int).",
