"",BBEE1.M.I7.AAA.XZE02A.A.AABAN.M00,BBEE1.M.I7.AAA.XZE02A.A.AABAN.M00_FLAGS
2000-05,86.5443,
2000-06,89.7785,
2000-07,89.1820,
2000-08,86.7281,
2000-09,85.0222,
2000-10,84.0005,
2000-11,84.7722,
2000-12,87.8212,
2001-01,91.3110,
2001-02,90.5657,
2001-03,90.8543,
2001-04,90.4230,
2001-05,88.7343,
2001-06,87.3799,
2001-07,88.6276,
2001-08,91.3053,
2001-09,92.2120,
2001-10,92.2590,
2001-11,90.6797,
2001-12,91.1715,
2002-01,90.8661,
2002-02,90.1191,
2002-03,90.2729,
2002-04,90.6030,
2002-05,92.7147,
2002-06,95.5439,
2002-07,97.6426,
2002-08,97.0826,
2002-09,97.3761,
2002-10,97.8208,
2002-11,98.6062,
2002-12,99.6118,
2003-01,102.5529,
2003-02,103.9941,
2003-03,104.6929,
2003-04,104.8392,
2003-05,108.6797,
2003-06,109.1043,
2003-07,107.5305,
2003-08,106.2522,
2003-09,106.2095,
2003-10,108.3607,
2003-11,108.4045,
2003-12,111.6750,
2004-01,112.9450,
2004-02,112.8279,
2004-03,110.5676,
2004-04,108.7503,
2004-05,109.9821,
2004-06,110.0334,
2004-07,110.4974,
2004-08,110.3345,
2004-09,110.6759,
2004-10,111.9041,
2004-11,113.4227,
2004-12,114.6383,
2005-01,113.0787,
2005-02,111.9556,
2005-03,112.8949,
2005-04,111.9874,
2005-05,110.7749,
2005-06,107.7003,
2005-07,107.8559,
2005-08,108.4158,
2005-09,107.8787,
2005-10,107.3617,
2005-11,106.3880,
2005-12,106.4261,
2006-01,107.0597,
2006-02,105.9796,
2006-03,106.8379,
2006-04,108.0234,
2006-05,109.9497,
2006-06,110.7081,
2006-07,110.7582,
2006-08,110.7622,
2006-09,110.5634,
2006-10,109.7908,
2006-11,110.4731,
2006-12,111.5537,
2007-01,110.7377,
2007-02,111.0288,
2007-03,111.8662,
2007-04,112.6200,
2007-05,112.3607,
2007-06,111.8289,
2007-07,112.4340,
2007-08,112.4010,
2007-09,113.2635,
2007-10,114.0599,
2007-11,115.8960,
2007-12,115.4661,
2008-01,116.0458,
2008-02,115.7968,
2008-03,119.1048,
2008-04,120.2981,
2008-05,119.3932,
2008-06,119.2192,
2008-07,119.3297,
2008-08,116.5354,
2008-09,115.1042,
2008-10,112.7668,
2008-11,111.8214,
2008-12,117.6031,
2009-01,117.7463,
2009-02,117.1051,
2009-03,119.6106,
2009-04,118.2635,
2009-05,118.6754,
2009-06,120.0746,
2009-07,119.8117,
2009-08,119.9005,
2009-09,121.2010,
2009-10,122.1418,
2009-11,122.0396,
2009-12,120.8804,
2010-01,118.3423,
2010-02,115.4647,
2010-03,114.2792,
2010-04,112.5816,
2010-05,109.1362,
2010-06,107.0179,
2010-07,109.2414,
2010-08,108.9049,
2010-09,109.3228,
2010-10,112.9894,
2010-11,111.7569,
2010-12,109.4173,
2011-01,109.3641,
2011-02,110.6572,
2011-03,112.4096,
2011-04,114.1018,
2011-05,113.3145,
2011-06,113.5117,
2011-07,112.4287,
2011-08,112.9933,
2011-09,112.1239,
2011-10,112.6419,
2011-11,112.1400,
2011-12,110.3074,
2012-01,108.0663,
2012-02,108.4345,
2012-03,108.7170,
2012-04,108.5048,
2012-05,107.3258,
2012-06,106.6472,
2012-07,104.3420,
2012-08,104.4531,
2012-09,106.5965,
2012-10,107.2943,
2012-11,106.7255,
2012-12,108.2785,
2013-01,109.8800,
2013-02,111.1481,
2013-03,109.4888,
2013-04,109.7601,
2013-05,109.9850,
2013-06,111.9736,
2013-07,112.0151,
2013-08,113.4169,
2013-09,113.3234,
2013-10,114.2002,
2013-11,114.1633,
2013-12,115.7604,
2014-01,115.8801,
2014-02,116.2872,
2014-03,117.4588,
2014-04,116.9782,
2014-05,116.0508,
2014-06,115.0776,
2014-07,114.6027,
2014-08,114.0009,
2014-09,112.3858,
2014-10,111.9072,
2014-11,112.1368,
2014-12,113.2362,
"",Source: European Central Bank: EXR.M.E3.EUR.EN00.A,
"","Methodology: Based on the weighted averages of the euro or, prior to 1999, of the exchange rates of the currencies preceding the euro against the currencies of the following countries: Algeria, Argentina, Australia, Brazil, Bulgaria, Canada, Chile, China, Croatia, Czech Republic, Denmark, Hong Kong, Hungary, Iceland, India, Indonesia, Israel, Japan, Lithuania,Malaysia, Mexico, Morocco, New Zealand, Norway, Philippines, Poland, Romania, the Russian Federation, Singapore, South Africa, South Korea, Sweden, Switzerland, Taiwan, Thailand, Turkey, the United Kingdom, the United States and Venezuela.                                   The weights used in these calculations are based on manufactured goodstradeand capture third-market effects.                            For details of the methodology see ECB, Monthly Bulletin, March 2012 as well as the ECB's Occasional Paper No.134, which can be downloaded from the ECB's website (www.ecb.int).",
