"",BBK01.TVS301J,BBK01.TVS301J_FLAGS
1994-05,7.9,
1994-06,8.0,
1994-07,7.9,
1994-08,7.9,
1994-09,7.4,
1994-10,6.7,
1994-11,5.0,
1994-12,4.5,
1995-01,3.2,
1995-02,3.3,
1995-03,1.9,
1995-04,2.2,
1995-05,3.3,
1995-06,2.8,
1995-07,3.0,
1995-08,2.8,
1995-09,3.7,
1995-10,3.0,
1995-11,4.0,
1995-12,6.3,
1996-01,5.7,
1996-02,4.9,
1996-03,5.4,
1996-04,6.2,
1996-05,6.1,
1996-06,6.2,
1996-07,6.4,
1996-08,7.1,
1996-09,6.9,
1996-10,8.1,
1996-11,8.4,
1996-12,8.1,
1997-01,8.3,
1997-02,8.9,
1997-03,8.4,
1997-04,7.5,
1997-05,8.4,
1997-06,9.3,
1997-07,9.6,
1997-08,9.2,
1997-09,8.8,
1997-10,9.3,
1997-11,8.4,
1997-12,6.7,
1998-01,7.5,
1998-02,7.9,
1998-03,9.1,
1998-04,10.5,
1998-05,9.3,
1998-06,9.5,
1998-07,8.3,
1998-08,8.3,
1998-09,8.3,
1998-10,7.7,
1998-11,8.9,
1998-12,10.5,
1999-01,14.7,
1999-02,12.4,
1999-03,12.2,
1999-04,11.6,
1999-05,12.3,
1999-06,12.1,
1999-07,13.9,
1999-08,13.0,
1999-09,12.8,
1999-10,12.6,
1999-11,11.9,
1999-12,10.6,
2000-01,9.5,
2000-02,10.9,
2000-03,10.4,
2000-04,10.6,
2000-05,8.9,
2000-06,7.5,
2000-07,6.6,
2000-08,7.2,
2000-09,6.5,
2000-10,5.9,
2000-11,5.3,
2000-12,5.3,
2001-01,2.1,
2001-02,2.5,
2001-03,1.8,
2001-04,1.8,
2001-05,3.1,
2001-06,4.2,
2001-07,3.6,
2001-08,4.0,
2001-09,5.3,
2001-10,5.7,
2001-11,6.4,
2001-12,6.1,
2002-01,7.1,
2002-02,6.6,
2002-03,6.3,
2002-04,7.1,
2002-05,7.3,
2002-06,7.2,
2002-07,7.9,
2002-08,8.0,
2002-09,8.3,
2002-10,8.7,
2002-11,9.2,
2002-12,9.8,
2003-01,9.0,
2003-02,10.1,
2003-03,11.6,
2003-04,11.2,
2003-05,11.1,
2003-06,11.3,
2003-07,11.3,
2003-08,11.7,
2003-09,11.1,
2003-10,11.4,
2003-11,10.7,
2003-12,10.8,
2004-01,11.3,
2004-02,11.0,
2004-03,11.4,
2004-04,10.6,
2004-05,9.8,
2004-06,9.6,
2004-07,9.7,
2004-08,9.1,
2004-09,9.6,
2004-10,9.3,
2004-11,9.7,
2004-12,8.6,
2005-01,9.9,
2005-02,10.0,
2005-03,9.2,
2005-04,9.2,
2005-05,10.2,
2005-06,10.9,
2005-07,11.5,
2005-08,11.6,
2005-09,10.8,
2005-10,11.0,
2005-11,10.5,
2005-12,11.4,
2006-01,10.0,
2006-02,9.8,
2006-03,9.8,
2006-04,10.5,
2006-05,10.3,
2006-06,9.0,
2006-07,7.4,
2006-08,7.1,
2006-09,7.2,
2006-10,6.2,
2006-11,6.6,
2006-12,8.0,
2007-01,6.9,
2007-02,6.9,
2007-03,7.1,
2007-04,6.0,
2007-05,5.9,
2007-06,6.3,
2007-07,7.1,
2007-08,6.4,
2007-09,6.5,
2007-10,6.4,
2007-11,6.1,
2007-12,3.9,
2008-01,4.3,
2008-02,3.4,
2008-03,3.2,
2008-04,2.6,
2008-05,2.2,
2008-06,1.9,
2008-07,0.2,
2008-08,0.4,
2008-09,1.1,
2008-10,3.2,
2008-11,2.5,
2008-12,3.4,
2009-01,5.0,
2009-02,6.2,
2009-03,6.1,
2009-04,8.3,
2009-05,8.4,
2009-06,9.6,
2009-07,11.8,
2009-08,13.1,
2009-09,12.7,
2009-10,11.7,
2009-11,12.4,
2009-12,12.3,
2010-01,11.8,
2010-02,11.3,
2010-03,10.8,
2010-04,10.4,
2010-05,10.2,
2010-06,9.4,
2010-07,8.3,
2010-08,7.7,
2010-09,6.1,
2010-10,5.1,
2010-11,4.6,
2010-12,4.4,
2011-01,3.2,
2011-02,2.8,
2011-03,3.0,
2011-04,1.8,
2011-05,1.3,
2011-06,1.4,
2011-07,1.3,
2011-08,1.7,
2011-09,2.0,
2011-10,1.7,
2011-11,2.2,
2011-12,2.0,
2012-01,2.3,
2012-02,2.6,
2012-03,2.7,
2012-04,2.1,
2012-05,3.4,
2012-06,3.5,
2012-07,4.7,
2012-08,4.8,
2012-09,5.2,
2012-10,6.4,
2012-11,6.4,
2012-12,6.4,
2013-01,6.5,
2013-02,6.9,
2013-03,7.0,
2013-04,8.6,
2013-05,8.3,
2013-06,7.5,
2013-07,7.1,
2013-08,6.7,
2013-09,6.6,
2013-10,6.5,
2013-11,6.5,
2013-12,5.7,
2014-01,6.1,
2014-02,6.1,
2014-03,5.6,
2014-04,5.2,
2014-05,5.0,
2014-06,5.4,
2014-07,5.6,
2014-08,5.9,
2014-09,6.2,
2014-10,6.2,
2014-11,6.9,
2014-12,7.8,Provisional value
