Monat/Jahr,R 1,R 2,R 3,R 4,R 5,R 6
 10/2001,91.9,92.4,91.3,-22.5,-24.5,-20.5
 11/2001,91.9,92.3,91.6,-22.4,-24.9,-20
 12/2001,91.6,91.2,92,-23.1,-26.9,-19.2
 01/2002,92.1,90.8,93.4,-22.1,-27.6,-16.5
 02/2002,93,90,96,-20.5,-29.2,-11.3
 03/2002,95.2,90.5,100.3,-16.1,-28.3,-2.9
 04/2002,94.4,88.9,100.3,-17.7,-31.4,-2.9
 05/2002,95.9,90,102.1,-14.8,-29.1,0.8
 06/2002,95.1,89.6,100.9,-16.3,-29.9,-1.7
 07/2002,94,88.9,99.5,-18.4,-31.3,-4.5
 08/2002,94.2,89.6,99,-18.1,-30,-5.4
 09/2002,94,89.9,98.3,-18.5,-29.5,-6.8
 10/2002,94,90.4,97.8,-18.4,-28.4,-7.8
 11/2002,92.3,90.8,93.9,-21.7,-27.7,-15.5
 12/2002,92.1,89.8,94.4,-22.2,-29.6,-14.5
 01/2003,91.6,89.4,93.8,-23.2,-30.3,-15.7
 02/2003,92.9,92.2,93.5,-20.6,-25,-16.2
 03/2003,92,90.8,93.3,-22.3,-27.7,-16.6
 04/2003,91.7,90.5,93,-22.8,-28.1,-17.3
 05/2003,92.5,90.8,94.2,-21.4,-27.7,-14.9
 06/2003,93.9,90.9,96.9,-18.7,-27.5,-9.5
 07/2003,94.9,91.3,98.6,-16.7,-26.7,-6.2
 08/2003,96.8,92.6,101.2,-13,-24.3,-1
 09/2003,97.4,91.9,103.1,-11.9,-25.5,2.7
 10/2003,100.3,94.9,106.1,-6.2,-19.9,8.4
 11/2003,101.5,96.5,106.7,-4,-16.8,9.7
 12/2003,101.4,96.3,106.8,-4.2,-17.3,9.9
 01/2004,101.9,97.9,106.2,-3.1,-14.2,8.7
 02/2004,99.8,96.2,103.4,-7.3,-17.4,3.3
 03/2004,98.6,95.7,101.6,-9.5,-18.4,-0.2
 04/2004,99.5,98.3,100.8,-7.8,-13.5,-1.8
 05/2004,98.9,97.5,100.2,-9.1,-14.9,-3
 06/2004,98.6,96.8,100.4,-9.6,-16.3,-2.6
 07/2004,99.9,98.1,101.7,-7.1,-13.8,-0.1
 08/2004,99.8,98.5,101.1,-7.3,-13.1,-1.3
 09/2004,100.4,99,101.8,-6.1,-12.2,0.1
 10/2004,100.7,99.5,101.8,-5.6,-11.2,0.2
 11/2004,100.7,100.2,101.2,-5.5,-9.9,-1
 12/2004,101.3,100.7,102,-4.3,-8.9,0.5
 01/2005,100.6,100.7,100.4,-5.7,-8.8,-2.6
 02/2005,99.3,99.5,99.1,-8.2,-11.2,-5.2
 03/2005,97.9,98,97.8,-10.8,-13.9,-7.7
 04/2005,97,97.1,96.9,-12.7,-15.8,-9.6
 05/2005,96.6,97.5,95.7,-13.4,-14.9,-11.9
 06/2005,97.3,97.8,96.8,-12.1,-14.3,-9.8
 07/2005,99.5,99.1,99.8,-7.9,-12,-3.8
 08/2005,99.4,98.4,100.4,-8,-13.2,-2.6
 09/2005,101.4,101.4,101.5,-4.1,-7.6,-0.6
 10/2005,103.7,103,104.4,0.2,-4.5,5.1
 11/2005,102.6,102.2,103,-1.9,-6.1,2.4
 12/2005,104.7,105.3,104.2,2.3,-0.2,4.8
 01/2006,106.2,105.7,106.7,5.1,0.6,9.7
 02/2006,107.6,108,107.1,7.8,5,10.6
 03/2006,109.1,110.2,108,10.7,9.2,12.3
 04/2006,109.5,111.6,107.4,11.4,11.7,11.1
 05/2006,109.3,112.3,106.4,11.1,13.1,9.1
 06/2006,110.4,114.8,106.1,13.2,17.9,8.6
 07/2006,109.7,114.1,105.3,11.8,16.6,7
 08/2006,109.1,113.6,104.8,10.8,15.7,6
 09/2006,109.5,116.9,102.6,11.5,22,1.6
 10/2006,110.6,117.4,104.2,13.7,22.9,4.8
 11/2006,112.1,119.8,104.9,16.6,27.5,6.2
 12/2006,113.9,121.5,106.7,20,30.6,9.8
 01/2007,112.5,119.3,106.2,17.4,26.4,8.7
 02/2007,110.7,117.4,104.4,13.8,22.8,5.2
 03/2007,111.6,117.8,105.6,15.5,23.7,7.5
 04/2007,112.8,118.9,107.1,17.9,25.6,10.5
 05/2007,112.7,118,107.6,17.6,23.9,11.5
 06/2007,111.2,116.5,106.2,14.8,21.1,8.7
 07/2007,111.6,117.7,105.9,15.6,23.4,8.1
 08/2007,110.5,116.6,104.7,13.4,21.4,5.8
 09/2007,109.9,116.2,103.8,12.2,20.6,4.1
 10/2007,109.5,115.7,103.6,11.4,19.6,3.6
 11/2007,109.7,116.4,103.4,11.9,20.9,3.2
 12/2007,108.3,114.8,102.3,9.3,17.8,1
 01/2008,108.3,114.8,102.1,9.1,17.9,0.7
 02/2008,107.3,115.3,99.9,7.2,18.8,-3.7
 03/2008,108.1,116.7,100.2,8.8,21.4,-3.1
 04/2008,106.2,113.5,99.4,5.2,15.3,-4.5
 05/2008,107.2,115.3,99.6,7,18.8,-4.2
 06/2008,105.2,113.2,97.8,3.2,14.8,-7.7
 07/2008,100.8,110.3,92,-5.4,9.4,-19.1
 08/2008,99.1,108.2,90.7,-8.7,5.4,-21.7
 09/2008,96.6,104.3,89.3,-13.5,-2,-24.4
 10/2008,93.7,103.5,84.9,-19,-3.6,-33.2
 11/2008,88.5,97.4,80.4,-29.1,-15.2,-42.1
 12/2008,84.9,91.4,78.8,-36.1,-26.5,-45.1
 01/2009,85.3,89.8,81.1,-35.3,-29.6,-40.7
 02/2009,85.3,87.6,83,-35.3,-33.7,-36.9
 03/2009,84.4,85.4,83.5,-36.9,-37.9,-35.9
 04/2009,86.1,85.7,86.6,-33.6,-37.4,-29.8
 05/2009,86.9,84.9,88.9,-32.2,-38.8,-25.3
 06/2009,88.9,84.8,93.1,-28.4,-39.1,-16.9
 07/2009,91.3,86.8,96.1,-23.6,-35.3,-11.2
 08/2009,94.4,88.8,100.3,-17.7,-31.4,-2.8
 09/2009,94.9,89.4,100.6,-16.8,-30.3,-2.2
 10/2009,95.7,90.5,101.2,-15.2,-28.3,-1
 11/2009,97.7,91.9,103.8,-11.3,-25.6,4.1
 12/2009,97.9,93.3,102.7,-10.9,-22.9,1.8
 01/2010,99.3,95.2,103.7,-8.2,-19.4,3.7
 02/2010,99.4,94.2,105,-7.9,-21.3,6.4
 03/2010,101.9,98.3,105.6,-3.2,-13.5,7.6
 04/2010,105.6,103.6,107.7,4,-3.5,11.8
 05/2010,105.7,104.2,107.3,4.2,-2.3,10.9
 06/2010,106.2,105.9,106.5,5.1,1,9.4
 07/2010,110.9,111.8,110.1,14.2,12.1,16.4
 08/2010,111.3,113.2,109.4,15,14.9,15.1
 09/2010,111.7,114.7,108.7,15.7,17.7,13.7
 10/2010,112.9,115.9,110,18.1,20,16.3
 11/2010,114.1,117.7,110.6,20.4,23.3,17.4
 12/2010,114.7,118.7,110.8,21.5,25.2,17.8
 01/2011,113.9,117.6,110.3,20,23.1,16.9
 02/2011,114.9,119.9,110.2,22,27.7,16.5
 03/2011,114.5,120.8,108.5,21.1,29.3,13.3
 04/2011,113.6,120.7,106.9,19.4,29,10.2
 05/2011,113.8,121.1,106.8,19.7,29.9,9.9
 06/2011,114.2,123.1,106,20.6,33.6,8.3
 07/2011,112.9,121.3,105,18,30.3,6.3
 08/2011,108.8,118,100.3,10.1,23.9,-2.9
 09/2011,107.8,118,98.5,8.2,24,-6.4
 10/2011,107.1,117.2,98,6.9,22.4,-7.4
 11/2011,107.1,116.9,98.1,6.8,21.8,-7.2
 12/2011,107.4,116.9,98.7,7.5,21.9,-6
 01/2012,108.2,116.4,100.5,8.9,20.9,-2.4
 02/2012,109.5,117.4,102.1,11.5,22.8,0.6
 03/2012,109.6,117.2,102.4,11.7,22.5,1.4
 04/2012,109.5,117.2,102.3,11.5,22.5,1.1
 05/2012,106.5,112.9,100.4,5.7,14.4,-2.6
 06/2012,105,113.7,97,2.8,15.8,-9.3
 07/2012,103.1,111.4,95.5,-0.8,11.4,-12.3
 08/2012,102.3,111,94.3,-2.4,10.8,-14.7
 09/2012,101.6,110.3,93.6,-3.8,9.3,-16.1
 10/2012,100.4,107.5,93.8,-6,4,-15.6
 11/2012,101.7,108.2,95.6,-3.6,5.3,-12.1
 12/2012,102.5,107.2,98.1,-2,3.4,-7.3
 01/2013,104.2,108.1,100.4,1.3,5.2,-2.6
 02/2013,107.4,110.4,104.5,7.4,9.5,5.4
 03/2013,106.6,109.8,103.5,5.9,8.4,3.4
 04/2013,104.1,107.1,101.3,1.1,3.2,-1
 05/2013,105.6,109.9,101.5,4,8.6,-0.5
 06/2013,105.8,109.3,102.4,4.3,7.4,1.4
 07/2013,106.1,110,102.4,4.9,8.7,1.2
 08/2013,107.7,112.1,103.4,8,12.8,3.3
 09/2013,107.9,111.4,104.5,8.4,11.5,5.4
 10/2013,107.7,111.5,104,8,11.6,4.5
 11/2013,109.5,112.4,106.6,11.4,13.3,9.6
 12/2013,109.5,111.6,107.4,11.5,11.9,11.2
 01/2014,110.6,112.5,108.8,13.7,13.4,13.9
 02/2014,111.2,114.4,108.2,14.8,17.1,12.6
 03/2014,110.6,115.2,106.3,13.7,18.6,8.9
 04/2014,111.1,115.3,107.2,14.7,18.7,10.7
 05/2014,110.3,114.7,106.1,13.1,17.8,8.5
 06/2014,109.6,114.7,104.7,11.7,17.7,5.8
 07/2014,107.9,112.8,103.3,8.5,14.1,3
 08/2014,106.3,111.1,101.6,5.2,10.8,-0.2
 09/2014,104.7,110.4,99.3,2.2,9.6,-4.9
 10/2014,103.2,108.4,98.3,-0.6,5.8,-6.8
 11/2014,104.7,110,99.7,2.3,8.7,-4
