"Sentiment data: consumers, businesses, forecasters, and journalists",,,,,,,,,,,,
,European Commission Consumer Survey,,Ifo survey,,Consensus and Focus Economics,,,,MediaTenor International,,,
Dec-96,-39.1,-27.9,-21,-3.9,2.270967742,2.280645161,-1.480185998,-0.543366524,,,,
Jan-97,-40,-27.5,-17.2,-1.6,2.320689655,2.019230769,-0.583411018,-0.157382141,,,,
Feb-97,-44.8,-30,-18.8,-2.2,2.577419355,2.025,-0.840140718,-0.163151372,,,,
Mar-97,-43.6,-29.5,-20.6,-2.8,2.607407407,2.02,-0.87012877,-0.158151372,,,,
Apr-97,-40.5,-28.4,-13.8,-1.6,2.875862069,1.968965517,-1.138583432,-0.107116889,,,,
May-97,-39.4,-27.5,-13.6,-0.6,3.282142857,2.032142857,-1.54486422,-0.170294229,,,,
Jun-97,-44.1,-31.4,-11.6,-0.5,3.413333333,2.06,-1.676054696,-0.198151372,,,,
Jul-97,-45.6,-31.5,-8,2.9,3.453333333,2.196666667,-1.716054696,-0.334818039,,,,
Aug-97,-43.2,-27.2,-11.1,6.6,3.280769231,2.230769231,-1.543490594,-0.368920603,,,,
Sep-97,-40.5,-25.9,-5.2,10.4,3.528125,2.4,-1.790846363,-0.538151372,,,,
Oct-97,-34.8,-22.5,-3.7,9.3,3.55,2.539285714,-1.812721363,-0.677437086,,,,
Nov-97,-32.6,-20.4,-5.1,6.4,3.61,2.513333333,-1.872721363,-0.651484705,,,,
Dec-97,-32.7,-19.6,-1.1,3.8,3.6,2.509677419,-1.862721363,-0.647828791,,,,
Jan-98,-28.9,-17.4,-2.7,-0.3,2.484,2.10952381,-0.622151372,-0.238444424,,,,
Feb-98,-26.7,-16.1,-2.8,0.2,2.596666667,2.092307692,-0.734818039,-0.221228306,,,,
Mar-98,-23.6,-11.4,0.7,1.1,2.576923077,2.0875,-0.715074449,-0.216420614,,,,
Apr-98,-23.8,-13.2,-0.2,1.1,2.721428571,2.118518519,-0.859579943,-0.247439133,,,,
May-98,-21,-11.3,-2,3.1,3.007407407,2.153846154,-1.145558779,-0.282766768,,,,
Jun-98,-18.2,-9.3,-1.5,2.3,3.127586207,2.206896552,-1.265737579,-0.335817166,,,,
Jul-98,-11.4,-2.2,2.1,0.8,3.17037037,2.185185185,-1.308521742,-0.314105799,,,,
Aug-98,-12.6,-3.2,-2.4,1.4,3.24137931,2.186206897,-1.379530682,-0.315127511,,,,
Sep-98,-14.1,-5.3,-3.3,-4.5,3.25,2.07,-1.388151372,-0.198920614,,,,
Oct-98,-14.5,1.5,-7.7,-5.6,3.303225806,1.961290323,-1.441377178,-0.090210937,,,,
Nov-98,-7,2.1,-6.4,-9.6,3.443333333,1.956666667,-1.581484705,-0.085587281,,,,
Dec-98,-6.2,1.7,-6.4,-11.8,3.543333333,2.26,-1.681484705,-0.388920614,,,,
Jan-99,0.3,2.1,-10.8,-13.4,2.355172414,2.133333333,-0.484093028,0.924316099,,,,
Feb-99,3.4,6.1,-13.6,-14.8,2.966666667,2.152,-1.095587281,0.905649432,,,,
Mar-99,-0.7,-0.4,-9.9,-15,3.219354839,2.162068966,-1.348275453,0.895580466,,,,
Apr-99,-6.4,-7.8,-14.8,-12.4,3.314285714,2.2,-1.443206328,0.857649432,,,,
May-99,-7.7,-8.3,-15.4,-9.3,3.656,2.308333333,-1.784920614,0.749316099,,,,
Jun-99,-10.2,-9.6,-12.3,-5.9,3.7,2.451851852,-1.828920614,0.60579758,,,,
Jul-99,-12.4,-9.8,-12.1,-3.7,3.818518519,2.588461538,-1.947439133,0.469187894,,,,
Aug-99,-10,-10.1,-9.7,1.1,3.67037037,2.580769231,-1.799290984,0.476880201,,,,
Sep-99,-14.1,-11.5,-7.3,5.9,3.684615385,2.626923077,-1.813535999,0.430726355,,,,
Oct-99,-13.4,-12,-8.7,6,3.692307692,2.784615385,-1.821228306,0.273034047,,,,
Nov-99,-15.2,-8.5,-2.3,6,3.661538462,3.030769231,-1.790459076,0.026880201,,,,
Dec-99,-11.5,-6,-0.8,3,3.785714286,3.253571429,-1.9146349,-0.195921997,,,,
Jan-00,-6.9,-2.6,-4.5,4.8,3.503571429,2.907692308,-0.445921997,-1.393321236,,,,
Feb-00,-3.1,-0.4,0.5,5.4,3.764,2.920833333,-0.706350568,-1.406462261,,,,
Mar-00,-5,-0.4,-1.9,6.5,4.175,2.988888889,-1.117350568,-1.474517817,,,,
Apr-00,-3.4,-0.1,2.1,5.4,4.406666667,3.010344828,-1.349017235,-1.495973756,,,,
May-00,3.4,5,4.8,5.5,4.637037037,3.076923077,-1.579387605,-1.562552005,,,,
Jun-00,-1.4,-0.9,0.9,3.8,4.709677419,3.086666667,-1.652027987,-1.572295595,,,,
Jul-00,-1.9,-1.6,0,4.2,4.628571429,3.035714286,-1.570921997,-1.521343214,,,,
Aug-00,0.3,4,3.8,3.7,4.95,3.264285714,-1.892350568,-1.749914642,,,,
Sep-00,-2,-2.8,1.9,3.2,4.943478261,3.613043478,-1.885828829,-2.098672406,,,,
Oct-00,-5.9,-7.6,0.9,3.8,5.060714286,3.457142857,-2.003064854,-1.942771785,,,,
Nov-00,-5.8,-2.8,1.5,-0.7,5.022222222,3.281481481,-1.96457279,-1.767110409,,,,
Dec-00,-3.4,-3,1.3,-6.1,4.92962963,2.9,-1.871980198,-1.385628928,,,,
Jan-01,-1.4,-0.4,3.2,-7,2.503703704,3.391304348,-0.989332632,-3.381156185,0,56.25,72.72727273,0
Feb-01,-5.9,-3,-2.4,-7.7,2.014285714,3.323076923,-0.499914642,-3.31292876,-27.90697674,-25,-33.33333333,-12.5
Mar-01,-4.3,-1.8,-4.1,-9.4,1.85,3.269230769,-0.335628928,-3.259082606,-12.5,2.380952381,-2.777777778,9.433962264
Apr-01,-2.3,-2.5,-9.2,-12,1.688,3.008333333,-0.173628928,-2.99818517,-27.77777778,-17.64705882,-16.16161616,-26.78571429
May-01,-8.3,-6.9,-9.9,-14.6,1.885714286,2.889285714,-0.371343214,-2.879137551,-46.07843137,-29.16666667,-30.43478261,-19.51219512
Jun-01,-12.2,-10.2,-14.2,-16.8,1.762068966,2.907142857,-0.247697894,-2.896994694,-50,-54.32098765,-60.49382716,-16.66666667
Jul-01,-20.8,-15.5,-15.5,-13.6,1.565217391,2.8,-0.050846319,-2.789851837,-38.05970149,-34.66666667,-41.50943396,-45.45454545
Aug-01,-24.7,-19.3,-16.3,-11.8,1.67,2.762068966,-0.155628928,-2.751920803,-47.5862069,-27.41935484,-64.0625,-42.46575342
Sep-01,-22.8,-15.3,-23,-19.7,1.518518519,2.592592593,-0.004147447,-2.58244443,-39.74358974,-27.27272727,-42.85714286,-55.17241379
Oct-01,-24.6,-20.1,-24.5,-20.5,1,1.208695652,0.514371072,-1.198547489,-48.41269841,-52.7027027,-70.51282051,-23.68421053
Nov-01,-30,-24.3,-24.9,-20,1.038461538,0.8,0.475909534,-0.789851837,-58.91472868,-47.36842105,-75.71428571,-53.06122449
Dec-01,-33.7,-23.2,-26.9,-19.2,1.0125,0.9,0.501871072,-0.889851837,-55.70469799,-15.94202899,-41.93548387,-48.4375
Jan-02,-39.3,-21.7,-27.6,-16.5,0.9375,3.423076923,-0.927351837,-3.79852086,-64.89795918,-28.72340426,-51.5625,-55.97484277
Feb-02,-41.4,-19.9,-29.2,-11.3,1.53030303,3.474193548,-1.520154867,-3.849637485,-74.47698745,2.631578947,-4.651162791,-69.56521739
Mar-02,-42.3,-17.5,-28.3,-2.9,2.057142857,3.43125,-2.046994694,-3.806693937,-44.36090226,-8.333333333,-2.564102564,-56.33802817
Apr-02,-44.1,-15.7,-31.4,-2.9,2.512121212,3.383333333,-2.501973049,-3.75877727,-27.52293578,41.30434783,2.898550725,6.451612903
May-02,-44.3,-13.9,-29.1,0.8,2.719354839,3.427586207,-2.709206676,-3.803030144,-24.16107383,-18,-8.108108108,-39.21568627
Jun-02,-40.8,-10.4,-29.9,-1.7,2.651515152,3.467741935,-2.641366989,-3.843185872,-27.41935484,25.42372881,-45.45454545,-6.41025641
Jul-02,-43.6,-9.7,-31.3,-4.5,2.690625,3.48125,-2.680476837,-3.856693937,-48.38709677,2.040816327,-21.95121951,-54
Aug-02,-49.4,-13.2,-30,-5.4,2.291176471,3.039393939,-2.281028308,-3.414837876,-44.50549451,-5.147058824,-43.58974359,-24.06015038
Sep-02,-45.7,-8.4,-29.5,-6.8,2.290909091,3.009375,-2.280760928,-3.384818937,-52.6119403,-43.58974359,-62.31884058,-47.36842105
Oct-02,-45.1,-13.2,-28.4,-7.8,2.371875,2.95625,-2.361726837,-3.331693937,-60.19417476,-45.77114428,-66.66666667,-31.81818182
Nov-02,-52.2,-24,-27.7,-15.5,2.228,2.588,-2.217851837,-2.963443937,-72.42798354,-60.73059361,-70.49180328,-52.87356322
Dec-02,-58.7,-27.8,-29.6,-14.5,2.323333333,2.613333333,-2.31318517,-2.98877727,-40.69264069,-2.666666667,-49.09090909,-21.97802198
Jan-03,-58.5,-26.5,-30.3,-15.7,2.619354839,3.55,-2.994798776,-2.388867386,-45.23809524,-25.24752475,-51.2195122,-37.5
Feb-03,-57.3,-27.2,-25,-16.2,2.516129032,3.517857143,-2.891572969,-2.356724529,-52.35602094,-27.27272727,-72,-44.21052632
Mar-03,-57.7,-29.1,-27.7,-16.6,2.367741935,3.546428571,-2.743185872,-2.385295957,-49.75609756,-25.20325203,-63.41463415,-40.29850746
Apr-03,-54.5,-25.7,-28.1,-17.3,2.24137931,3.5,-2.616823247,-2.338867386,-47.31182796,-35.09933775,-70.66666667,-44.96124031
May-03,-60.4,-31.3,-27.7,-14.9,2.2,3.444444444,-2.575443937,-2.28331183,-59.7826087,-44.23076923,-60.6557377,-51.37614679
Jun-03,-55.8,-25.5,-27.5,-9.5,2.243333333,3.432142857,-2.61877727,-2.271010243,-25.31120332,-7.272727273,-35.59322034,-29.47368421
Jul-03,-52.5,-22.1,-26.7,-6.2,2.167741935,3.516129032,-2.543185872,-2.354996418,-31.42857143,-7.236842105,-37.20930233,-18.18181818
Aug-03,-51.7,-22.9,-24.3,-1,2.271875,3.6125,-2.647318937,-2.451367386,-48.8,-30.65693431,-55.26315789,-50
Sep-03,-50.9,-23,-25.5,2.7,2.506666667,3.8,-2.882110604,-2.638867386,-42.49084249,-22.2826087,-11.11111111,-32.72727273
Oct-03,-49.9,-21.2,-19.9,8.4,2.60625,3.846875,-2.981693937,-2.685742386,-45.0310559,-11.65048544,-19.35483871,-32.4137931
Nov-03,-46.7,-17.9,-16.8,9.7,2.803225806,4.132258065,-3.178669743,-2.971125451,-41.21405751,-7.391304348,-10,-37.28813559
Dec-03,-44.5,-16.9,-17.3,9.9,2.970588235,4.317647059,-3.346032172,-3.156514445,-26.72064777,-2.479338843,27.08333333,-38.88888889
Jan-04,-46.5,-19.2,-14.2,8.7,4.509677419,3.484615385,-3.348544805,-2.799959727,-30.37974684,-5.982905983,23.91304348,-31.81818182
Feb-04,-42.5,-16,-17.4,3.3,4.506060606,3.516666667,-3.344927992,-2.832011009,-44.03669725,-24,-12.82051282,-45.16129032
Mar-04,-43.2,-20.2,-18.4,-0.2,4.503125,3.606896552,-3.341992386,-2.922240894,-45.33333333,-23.25581395,-37.83783784,-34.19354839
Apr-04,-43.8,-20.8,-13.5,-1.8,4.436666667,3.642857143,-3.275534053,-2.958201485,-33.67875648,-12.29050279,-25.67567568,-27.10843373
May-04,-43.8,-22.6,-14.9,-3,4.487096774,3.689655172,-3.32596416,-3.004999514,-53.61702128,-47.2972973,-40,-44.87179487
Jun-04,-39.8,-18.2,-16.3,-2.6,4.516129032,3.696666667,-3.354996418,-3.012011009,-31.68316832,-21.62162162,-36,-12.6984127
Jul-04,-41.6,-21.7,-13.8,-0.1,4.35,3.656666667,-3.188867386,-2.972011009,-25.99118943,-5.027932961,37.83783784,-27.91666667
Aug-04,-39.5,-23.6,-13.1,-1.3,4.238709677,3.561290323,-3.077577063,-2.876634665,-41.21863799,-18.88888889,7.894736842,-33.11897106
Sep-04,-38.6,-20.9,-12.2,0.1,4.13125,3.4,-2.970117386,-2.715344342,-45.85365854,-24.79338843,-13.51351351,-36.17021277
Oct-04,-39.8,-22.9,-11.2,0.2,4.25625,3.425,-3.095117386,-2.740344342,-31.53153153,-21.48148148,-1.818181818,-30.43478261
Nov-04,-41.1,-22.3,-9.9,-1,4.226666667,3.286666667,-3.065534053,-2.602011009,-45,-29.23976608,-25,-31.3559322
Dec-04,-36.6,-20.4,-8.9,0.5,4.253333333,3.43,-3.092200719,-2.745344342,-24.33862434,-22.22222222,-19.51219512,-40.60150376
Jan-05,-33.3,-16.1,-8.8,-2.6,3.490322581,3.303846154,-2.805666923,0.396153846,-33.92857143,-3.75,28.125,-38.0952381
Feb-05,-33.6,-18.7,-11.2,-5.2,3.387096774,3.278571429,-2.702441116,0.421428571,-65.45454545,-32.96703297,-78.26086957,-74.74747475
Mar-05,-38.9,-22.7,-13.9,-7.7,3.596666667,3.321428571,-2.912011009,0.378571429,-62.29050279,-19.86754967,-46.66666667,-65.82733813
Apr-05,-40.3,-20.8,-15.8,-9.6,3.638709677,3.279310345,-2.954054019,0.420689655,-54.25101215,-32.59259259,-75,-39.10891089
May-05,-36.8,-19.7,-14.9,-11.9,3.321212121,3.21875,-2.636556463,0.48125,-48.01762115,-34.55882353,-33.33333333,-61.9047619
Jun-05,-42,-20.8,-14.3,-9.8,3.368965517,3.167857143,-2.684309859,0.532142857,-43.24324324,-18.04511278,-37.5,-43.75
Jul-05,-42.1,-23.8,-12,-3.8,3.438709677,3.153333333,-2.754054019,0.546666667,-58.04597701,-23.30097087,-55,-60
Aug-05,-39,-20.1,-13.2,-2.6,3.513333333,3.243333333,-2.828677675,0.456666667,-52.19512195,-14.77272727,-50,-50.4587156
Sep-05,-39.8,-18.8,-7.6,-0.6,3.413333333,3.163333333,-2.728677675,0.536666667,-32.12121212,-20.37037037,-73.91304348,-21.42857143
Oct-05,-37.9,-13.6,-4.5,5.1,3.386666667,3.196666667,-2.702011009,0.503333333,-49.71751412,-33.33333333,-31.25,-48.33333333
Nov-05,-36,-15.7,-6.1,2.4,3.44516129,3.196774194,-2.760505632,0.503225806,-47.54901961,-35.55555556,-8.571428571,-28.72340426
Dec-05,-30.9,-7.8,-0.2,4.8,3.529032258,3.309677419,-2.8443766,0.390322581,-26.80412371,6.818181818,53.19148936,-42.1686747
Jan-06,-26,-4.5,0.6,9.7,3.273333333,2.996153846,0.426666667,0.272891477,-32.0754717,2.958579882,45.28301887,-30.35714286
Feb-06,-24,-5.6,5,10.6,3.15,2.929032258,0.55,0.340013065,-40.96385542,-29.29292929,-16,-54.62962963
Mar-06,-23.7,-6.5,9.2,12.3,3.246875,2.870967742,0.453125,0.398077581,-29.59641256,-16.66666667,16.66666667,-32.60869565
Apr-06,-20.5,-4.8,11.7,11.1,3.228571429,2.785185185,0.471428571,0.483860138,-29.50819672,4.516129032,51.02040816,-24
May-06,-13.9,-1.1,13.1,9.1,3.264516129,2.82,0.435483871,0.449045323,-35.3909465,-31.2849162,19.04761905,-37.93103448
Jun-06,-11.4,-4.6,17.9,8.6,3.287096774,2.743333333,0.412903226,0.52571199,-43.56846473,-24.34782609,7.142857143,-42.47787611
Jul-06,-7.9,-6.8,16.6,7,3.35625,2.7,0.34375,0.569045323,-28.07881773,-21.01449275,25,-25
Aug-06,-9.6,-7,15.7,6,3.27,2.596666667,0.43,0.672378656,-1.34529148,-7.37704918,54.34782609,-0.819672131
Sep-06,-6.6,-9.5,22,1.6,3.348387097,2.532258065,0.351612903,0.736787258,-33.7254902,0.99009901,20.58823529,-22.12389381
Oct-06,-5.9,-10.4,22.9,4.8,3.25483871,2.541935484,0.44516129,0.727109839,-34.64912281,12.03703704,40,-50
Nov-06,-1,-6.1,27.5,6.2,3.278571429,2.475,0.421428571,0.794045323,7.575757576,19.59459459,70.73170732,2.808988764
Dec-06,6.5,0.7,30.6,9.8,3.292693736,2.344833599,0.407306264,0.924211724,1.477832512,14.16666667,80.85106383,-12.12121212
Jan-07,7.4,-0.4,26.4,8.7,2.422613961,2.978266531,0.846431362,-1.895065485,-8.459214502,5.714285714,32.92682927,-1.169590643
Feb-07,10.3,4.2,22.8,5.2,2.667235212,2.959392435,0.601810111,-1.876191389,1.063829787,8.227848101,31.57894737,0
