,m,month,year,ym,IS.M,IS.D,IS.3M,IL.3,IL.5,IL.10,SPR.C.G,SPR.10Y.M,SPR.10Y.D,SPR.10Y.3M,SPR.1D.M,EX,EXR,DAX,VOLA1,VOLA2,HWWA.E,HWWA.EX,HWWA,ZEW,GFK.EXP,ALQ,VAC,CAPA,FAZ,OIL,OECDL1,OECDL3,OECDL2,IFO.C,IFO.EXP,IFOM.C,IFOM.EXP,IFOMI.C,IFOMI.EXP,IFOMV.C,IFOMV.EXP,IFOWH.C,IFOWH.EXP,ESI.INDU,ESI.SERV,ESI.C,ESI.TRADE,ESI.CTR,ESI,ECBS2,ECBS3,ECBS4,ECBS5,ECBS6,ECBS7,ECCS99,ECCS1,ECCS2,ECCS3,ECCS4,ECCS5,ECCS6,ECCS7,ECCS8,ECCS9,ECCS10,ECCS11,ECCS12,rword,rword_sc,perc_dif.zeit.eco,perc_pnword.zeit.eco,perc_nword.zeit.eco,perc_pword.zeit.eco,npword.zeit.eco,nnword.zeit.eco,nword.zeit.eco,pvalue.zeit.eco,nvalue.zeit.eco,rpvalue.zeit.eco,rnvalue.zeit.eco,rvalue.zeit.eco,perc_dif.zeit,perc_pnword.zeit,perc_nword.zeit,perc_pword.zeit,npword.zeit,nnword.zeit,nword.zeit,pvalue.zeit,nvalue.zeit,rpvalue.zeit,rnvalue.zeit,rvalue.zeit,qdap_value,qdap_nword,sent_nneg,sent_npos,sent_negv,sent_posv,sent_nwords,sent_val,posextind,negextind,valuext,qdap_value_median,qdap_nword_median,sent_nneg_median,sent_npos_median,sent_negv_median,sent_posv_median,sent_nwords_median,sent_val_median,posextind_median,negextind_median,valuext_median,qdap_value_rel,sent_negv_rel,sent_posv_rel,sent_val_rel,posextind_rel,negextind_rel,valuext_rel,qdap_value_rel_50,sent_negv_rel_50,sent_posv_rel_50,sent_val_rel_50,posextind_rel_50,negextind_rel_50,valuext_rel_50,qdap_value_rel_sd,sent_negv_rel_sd,sent_posv_rel_sd,sent_val_rel_sd,posextind_rel_sd,negextind_rel_sd,valuext_rel_sd,qdap_value_total,sent_negv_total,sent_posv_total,sent_val_total,posextind_total,negextind_total,valuext_total,qdap_rel_val_total,qdap_value_rela_25,qdap_value_rela_mean,qdap_value_rela_50,qdap_value_rela_75,qdap_value_rela_sd,qdap_value_rel_sum,qdap_negator_rel_val_total,qdap_negator_value_rel_25,qdap_negator_value_rel_mean,qdap_negator_value_rel_50,qdap_negator_value_rel_75,qdap_negator_value_rel_sd,qdap_negator_value_rel_sum,Notrend,Rising,Falling,Volume,Badrising,Otherrising,MT_all,MT_monetary,MT_inflation,MT_all_climate,MT_monetary_climate,MT_inflation_climate,ALL_Genios_Deflation,ALL_Genios_der_CountryDeutschland,ALL_Genios_der,ALL_Genios_Inflation_CountryDeutschland,ALL_Genios_Inflation,ALL_Genios_inflationär,ALL_Genios_Inflationsangst,ALL_Genios_Inflationsbekämpfung,ALL_Genios_Inflationsdruck,ALL_Genios_Inflationsrate,ALL_Genios_Inflationsrisiko,ALL_Genios_Kaufkraft,ALL_Genios_Kaufkraftverlust,ALL_Genios_Preisanstieg,ALL_Genios_Preisniveau,ALL_Genios_Preisstabilität,ALL_Genios_Preissteigerung,ALL_Genios_Stagflation,ALL_Genios_steigendePreise,ALL_Genios_Teuerung,ALL_Genios_Teuerungsrate,ALL_Genios_Verteuerung,IWord,DWord,Preisanstieg,Steigende_Preise,Preissteigerung,Teuerung,Teuerungsrate,Verteuerung,Preisstabilitaet,Kaufkraft,Kaufkraftverlust,Inflationsrate,inflationaer,Inflationsrisiko,Preisniveau,Inflationsbekaempfung,Inflationsangst,Inflationsdruck,Stagflation,AllinflationWords,FirstPC_genios_indicators,FirstPChighly,qdap_negator_value_rel_infl_mean,qdap_value_rel_infl_mean,And_Or,Inflation_only,MT.de,MT.de.present,MT.de.future,MT.de.taxation,MT.de.cycle,MT.de.labor,MT.de.budget,MTI_All,MTI_Present,MTI_Future,MTI_Monetary,MTI_Inflation,MTI_Taxation,MTI_Cycle,MTI_Labor,MTI_Budget
703,7,7,2006,2006-07,2.81,1.95,3.1,3.75,3.9,4.01,0.65,1.2,2.06,0.91,-0.86,110.7582,103.6296,3814.74,19.28,21.3,94.2,82.7,88.2,15.1,7.9,10.6,392030,69.9,1619.59,58.7493,101.4902,101.3045,98.4649,12.1,6.7,19.78,9.66,20.63,7.45,22.5,11.37,14.2,9.26,5.5,16.3,-5.4,-8.6,-14.5,105.4,7.5,2.7,2.8,11.8,7.7,-8.9,-5.4,-8.7,-5.2,-7.9,-6.8,26.6,41.3,13.4,23.8,-21,45.6,3.7,21.8,2.333333333,0.014863063,0.033167605,0.096811339,0.031821867,0.064989472,19.71113445,9.54003268,297.8143091,1.256073133,-3.035776727,0.059014369,-0.270945355,-0.055724637,0.011677733,0.09999473,0.044158499,0.055836231,17.45156488,13.21674174,302.9504029,1.253703401,-3.698214096,0.067561202,-0.25939697,-0.075460515,-0.010455363,759.251046,16.87866109,23.21757322,-4.515079079,1.852733054,756.3598326,-2.662346025,1.483439749,-3.596376151,-2.112936402,-0.00620337,620,13,17,-3.1585,1.1539,621,-1.7709,0.9297,-2.6844,-1.5389,-6.51E-05,-0.005128672,0.002171685,-0.002956987,0.001793813,-0.004463637,-0.002669823,-5.18E-06,-0.004068903,0.001520779,-0.001975419,0.001334699,-0.003729126,-0.001789436,0.000223576,0.004112013,0.00195774,0.004725047,0.001733982,0.003640793,0.004103429,-2.19E-05,-0.005478974,0.00273716,-0.002741814,0.002194932,-0.004477092,-0.00228216,-0.0024113,-0.005986324,-0.002915547,-0.00201084,0.00032735,0.005694524,-107.17986,-0.002509607,-0.005507563,-0.003098832,-0.002137903,0.000393257,0.005605883,-111.5495,5,2,0,7,2,0,-0.264094955,-0.555555556,-0.571428571,99.74768766,99.7854842,99.7997996,158,267871,840804,548,2219,66,16,15,129,546,29,918,83,437,453,191,190,41,159,402,191,445,0.263914063,0.018791538,0.051974063,0.018910471,0.022597419,0.047811381,0.022716352,0.052925533,0.022716352,0.109181212,0.009871504,0.064937845,0.00784963,0.00344908,0.053877003,0.001784007,0.001902941,0.015342458,0.004876285,0.795429137,1.940190555,-1.404554549,-0.000142218,-0.000156164,2.623917108,0.400806847,-26.82926829,-29.16666667,-22.3880597,-45.83333333,30.43478261,-25,-25.58139535,-26.40949555,-29.29292929,-21.16788321,-55.55555556,-57.14285714,-27.27272727,25,-25,-55.55555556
704,8,8,2006,2006-08,2.97,1.95,3.23,3.68,3.79,3.88,0.52,0.91,1.93,0.65,-1.02,110.7622,103.4034,3933.97,17.28,14.06,92.6,81.3,87.4,-5.6,8.5,10.5,398954,70.1,1612.12,57.794,101.5359,101.3446,98.62461,12.2,6.7,20.98,11.85,28.2,19.31,21.07,8.78,11.17,3.29,5.3,12,-7.3,-9,-13.8,103.6,7.9,4.7,1.7,9.7,10.4,-5.9,-7.3,-9.4,-5,-9.6,-7,26,45.1,13.8,21.8,-20.7,45.8,-3.3,21.7,2.560236998,0.018946604,0.021871827,0.088451968,0.033290071,0.055161897,13.77523399,7.877298874,218.330713,0.907145004,-2.43911006,0.076911047,-0.277446617,-0.069315684,0.005744558,0.098539711,0.046397576,0.052142134,14.17928227,12.66682117,258.7634927,0.955321916,-3.633268945,0.068905389,-0.274127062,-0.09645683,-0.004144876,687.7852564,15.77884615,21.24358974,-4.415100641,1.647674679,689.6442308,-2.767425962,1.330144231,-3.403695192,-2.073550962,0,516,10.5,15,-3.00195,1.04205,519,-1.5885,0.879,-2.6301,-1.3853,-2.51E-06,-0.004888722,0.002494679,-0.002394043,0.002073708,-0.00397032,-0.001896612,-1.15E-06,-0.004583777,0.002051371,-0.002129365,0.001689986,-0.003876882,-0.002303928,0.000382708,0.00426654,0.002598474,0.004299901,0.002435775,0.002945532,0.003516398,-1.71E-05,-0.005462106,0.002303689,-0.003158417,0.001824818,-0.004435117,-0.002610299,-0.002627006,-0.004239829,-0.001670061,-0.001762569,0.000157003,0.004802284,-131.52896,-0.002736391,-0.004290623,-0.001800964,-0.001718459,0.000157003,0.004995379,-137.0056,4,3,1,8,3,0,-0.023529412,-0.4,-0.5,99.96185713,99.49874371,99.49874371,75,274688,839973,537,2275,74,17,30,171,659,24,1028,29,493,481,200,262,13,159,460,186,386,0.270842039,0.008928858,0.058692363,0.01892918,0.031191479,0.054763665,0.022143569,0.045953858,0.023810289,0.122384886,0.003452492,0.078454903,0.008809807,0.002857235,0.057263745,0.003571543,0.002023875,0.020357797,0.001547669,0.835979252,1.755101767,-0.788418397,-0.000269955,-0.000271038,2.770684296,0.447871539,-2.96735905,-0.956937799,-7.627118644,-61.70212766,53.48837209,0.840336134,-2.564102564,-2.352941176,0,-7.627118644,-40,-50,-2.564102564,54.54545455,0.833333333,-40
705,9,9,2006,2006-09,3.04,1.95,3.34,3.63,3.69,3.75,0.47,0.71,1.8,0.41,-1.09,110.5634,103.0278,4031.16,16.45,13.46,79,81.2,77.8,-22.2,8.7,10.5,401793,69.7,1669.75,50.282,101.5896,101.3915,98.79092,11.9,2.7,21.1,8.72,24.44,7.6,23.22,10.58,7.97,-1.38,7.3,9.1,-6.3,-5.7,-14,104.4,11.9,6.9,1.7,11.6,12.1,-6.6,-6.3,-8.6,-5.8,-6.6,-9.5,28.1,46.5,13.3,28.8,-21.4,47.6,3.2,23.6,4.709044908,0.040600283,0.020032407,0.088995147,0.03448137,0.054513777,15.73517857,9.73547619,282.2833929,1.107586208,-2.691167018,0.071285131,-0.245035905,-0.050635876,0.011087522,0.09813948,0.043525979,0.054613501,16.89941226,13.43513172,304.9206918,1.205084542,-3.799431918,0.072050767,-0.259511839,-0.075257823,-0.011586281,855.3874539,18.50553506,26.73800738,-4.944091513,2.239407749,858.2361624,-2.704683764,1.781521033,-4.083462362,-2.301941328,-0.008950216,718,16,21,-4.0246,1.5509,721,-2.1102,1.2742,-3.473,-1.9407,-2.84E-05,-0.004936616,0.002711576,-0.00222504,0.00222672,-0.004409066,-0.002182346,-3.84E-06,-0.004466467,0.002441401,-0.001842478,0.001987578,-0.004094233,-0.001878088,0.0001899,0.003212701,0.001908614,0.003901049,0.001687603,0.003058712,0.00365969,-9.95E-06,-0.004981586,0.002836406,-0.00214518,0.002253043,-0.004292986,-0.002039944,-0.00151045,-0.003797554,-0.001973522,-0.001886697,0.000335576,0.00508312,-109.42002,-0.001553066,-0.003546179,-0.002022824,-0.001849727,0.000152422,0.004822271,-112.5072,0,0,3,3,0,0,-0.195783133,0.5,0.666666667,99.85384399,100.2496883,100.3327796,108,289873,886798,512,2200,67,20,27,221,587,30,1107,39,485,469,227,252,12,168,486,168,339,0.248083555,0.012178647,0.054691147,0.018944562,0.028416844,0.054803913,0.018944562,0.03822742,0.025597712,0.124831134,0.004397845,0.066193203,0.007555272,0.003382958,0.052886903,0.003044662,0.002255305,0.024921121,0.001353183,0.790709947,1.959164436,-1.071219123,-2.81E-05,-2.21E-05,2.770416713,0.417908024,-18.15384615,-26.29107981,-1.030927835,-38.0952381,33.33333333,-14.14141414,-4.838709677,-19.57831325,-28.18181818,-1.030927835,50,66.66666667,-4.838709677,24.13793103,-17.47572816,50
706,10,10,2006,2006-10,3.28,1.95,3.5,3.69,3.74,3.79,0.51,0.51,1.84,0.29,-1.33,109.7908,102.2954,4208.8,14.69,10.78,74.8,85.6,74.5,-27.4,8.9,10.3,397951,70.7,1722.53,47.6976,101.6513,101.4455,98.96387,14.1,4.8,22.84,10.71,27.05,10.76,24.96,12.72,12.84,5.17,8.7,13.5,-7.4,-7.4,-14.8,105.6,14.3,7.3,0.2,12.1,11.5,-5.5,-7.4,-9,-5.5,-5.9,-10.4,29.6,51.6,14.7,30.7,-23.8,47.1,1,23.1,4.258490566,0.029348746,0.024682136,0.098501459,0.036909661,0.061591798,19.22619048,11.81190476,310.2315476,1.396674048,-3.466645655,0.07551139,-0.2684612,-0.060753512,0.012014647,0.097601217,0.042793285,0.054807932,18.10243148,14.88989832,329.1016136,1.319279204,-4.079138813,0.070409354,-0.262060929,-0.078613025,-0.010183408,855.1757813,18.76171875,27.04296875,-5.193830078,2.3201,856.7304688,-2.873730078,1.830221094,-4.210214453,-2.379993359,-0.005847516,713,15,22,-3.99315,1.6983,715,-2.24415,1.38815,-3.41285,-1.97315,2.51E-05,-0.005326241,0.002908604,-0.002417636,0.002395361,-0.004614047,-0.002218686,-1.27E-05,-0.004942695,0.002547961,-0.002787124,0.002096781,-0.004372231,-0.002283516,0.000254434,0.00309067,0.002280937,0.004109522,0.002033929,0.002603384,0.003596617,-1.62E-05,-0.005963308,0.002915165,-0.003048142,0.002287703,-0.00492998,-0.002642277,-0.002485599,-0.004495644,-0.001904802,-0.002551591,0.001174059,0.004847039,-142.33036,-0.002504355,-0.004923968,-0.00201565,-0.002612609,0.001017758,0.004667545,-143.4044,1,1,4,6,0,0,-0.194357367,0.333333333,0.333333333,99.90051171,100.09995,100.09995,68,291039,852699,537,2197,86,13,17,125,676,47,1157,38,438,481,215,322,14,171,474,184,358,0.257652466,0.007974678,0.051366309,0.02005397,0.037762446,0.055588197,0.021578541,0.041984334,0.025214056,0.135686802,0.004456438,0.079277682,0.010085622,0.00551191,0.05640912,0.00199367,0.001524571,0.014659335,0.001641845,0.830421989,1.823077423,-0.776679085,-0.000303605,-0.000325071,2.90301736,0.430984439,-17.53246753,-29.1005291,12.37113402,-26.92307692,42.10526316,-48.27586207,-7.843137255,-19.43573668,-30.96446701,11.11111111,33.33333333,33.33333333,-17.54385965,39.02439024,-49.15254237,33.33333333
707,11,11,2006,2006-11,3.33,1.95,3.6,3.67,3.69,3.71,0.53,0.38,1.76,0.11,-1.38,110.4731,102.7782,4235.84,16.04,14.46,74.4,85.3,75.3,-28.5,9.1,10.1,387373,70.4,1801.01,46.7381,101.7109,101.4977,99.13334,16.9,6.9,24.86,12.13,27.17,13.05,27.4,12.67,20.87,12.91,11.5,14.8,-5.5,-5.8,-14.3,107.5,15.9,9,0,18.5,9.9,-2.3,-5.5,-8.5,-4.5,-1,-6.1,29,51.5,12.5,32.2,-23.3,47.7,0.9,23,3.144516129,0.022112189,0.02275299,0.092059227,0.034653119,0.057406108,18.08466667,11.42509942,306.4725614,1.319947039,-3.325689423,0.07263546,-0.25683547,-0.055617536,0.013783449,0.097570922,0.041893737,0.055677186,18.12076915,14.11925856,322.4741518,1.361420647,-4.04388703,0.074373337,-0.269594982,-0.075684968,-0.007222661,844.2,17.85405405,26.78378378,-4.94067973,2.27827027,845.9837838,-2.662409459,1.824044054,-4.034066486,-2.210022432,-0.004866602,666,14,20,-4.0244,1.58625,669.5,-1.8408,1.3222,-3.56,-1.76145,-1.78E-05,-0.005258266,0.002825341,-0.002432925,0.002300526,-0.004581051,-0.002280525,-7.62E-06,-0.004664093,0.002513907,-0.002249747,0.002092003,-0.004329645,-0.002187626,0.000155217,0.003195744,0.001904246,0.003759536,0.001671225,0.002839942,0.003393998,-2.46E-06,-0.005211912,0.002961825,-0.002250087,0.002296017,-0.004416612,-0.002120595,-0.001991783,-0.004197925,-0.002083357,-0.002180224,0.00060341,0.00448982,-176.30866,-0.002057412,-0.004230042,-0.002170443,-0.002279651,0.000321654,0.004463269,-182.118,0,2,0,2,1,1,0.128953771,-0.25,-0.5,100.1405673,99.87492178,99.74968672,74,302587,892589,537,2159,89,6,31,92,585,18,1474,36,505,513,151,279,13,158,461,151,475,0.241880642,0.00829049,0.056576991,0.017701316,0.031257387,0.051647511,0.016917081,0.053215982,0.016917081,0.165137594,0.004033211,0.065539683,0.009970994,0.002016606,0.05747326,0.003473043,0.000672202,0.010307095,0.001456437,0.814484606,2.112691329,-0.911474837,-0.000161777,-0.000174793,3.106132834,0.399063847,13.33333333,8.097165992,20.83333333,-16.66666667,76.31578947,3.409090909,28.94736842,12.89537713,7.569721116,20.54794521,-25,-50,28.57142857,70,3.389830508,-25
708,12,12,2006,2006-12,3.5,1.95,3.68,3.75,3.77,3.77,0.55,0.27,1.82,0.09,-1.55,111.5537,103.5287,4429.01,14.65,13.46,77,84.3,78.7,-19,9.1,9.8,374269,71.4,1812.67,47.4282,101.7543,101.5357,99.28546,19.5,9.6,28.8,14.94,34.02,16.83,28.98,13,20.12,12.17,10.3,15.3,-1.8,-3.1,-14.3,107.5,17.7,11.1,-1.4,11.8,11,0.2,-1.8,-7,-5.7,6.5,0.7,32.2,52.9,0.2,28.6,-25.4,45.5,-2,21.7,3.733333333,0.029767803,0.027790171,0.095487386,0.033848607,0.061638778,22.36132035,11.77813853,356.5879437,1.753761266,-3.301204816,0.073727866,-0.271717597,-0.051045318,0.013536387,0.098334637,0.042399125,0.055935512,19.38622967,14.61780996,348.3512449,1.44388781,-4.045975882,0.070110728,-0.277046128,-0.081934506,-0.006502093,931.0731707,19.78536585,28.52682927,-5.390227317,2.47570878,933.4292683,-2.914518537,1.953022927,-4.359792683,-2.406769756,-0.008061504,775,15,23,-3.5679,1.6964,777,-1.6324,1.3531,-3.2245,-1.7112,3.36E-06,-0.005559333,0.003129202,-0.002430131,0.002624298,-0.004915392,-0.002291094,-1.84E-05,-0.004964634,0.00273221,-0.00178975,0.002180623,-0.003940353,-0.001768892,0.000362313,0.003622491,0.002179473,0.004315188,0.002112496,0.0032251,0.003756773,-8.69E-06,-0.005124408,0.003027889,-0.002096519,0.002375105,-0.004256362,-0.001881256,-0.001702719,-0.004115297,-0.002598879,-0.00153923,5.91E-05,0.004761273,-94.95214,-0.001682892,-0.00380485,-0.002503753,-0.001617853,0.000110843,0.004653829,-93.8465,0,2,0,2,2,0,0.070552147,-0.5,-1,100.0860802,99.49874371,99.49874371,67,274992,818378,714,2396,75,6,14,55,560,18,1367,76,464,477,283,383,15,161,556,274,570,0.292774244,0.008186926,0.056697516,0.019673061,0.04679989,0.067939265,0.033480861,0.069649966,0.034580597,0.167037726,0.009286662,0.068428037,0.009164469,0.002199473,0.058286024,0.001710701,0.000733158,0.006720611,0.001832894,0.95518208,0.717239518,-0.405143841,-0.000138886,-0.000149104,3.321692421,0.440627681,7.430340557,2.094240838,16.37931034,-28.57142857,82.60869565,-9.473684211,30,7.055214724,2.094240838,15.12605042,-50,-100,30,82.60869565,-9.375,-50
709,1,1,2007,2007-01,3.56,2.7,3.75,3.96,3.99,4.02,0.54,0.46,1.32,0.27,-0.86,110.7377,102.8243,4547.28,15.83,13.15,67.8,85.3,71.4,-3.6,8.6,9.6,374115,71,1909.96,42.2269,101.7744,101.5533,99.41299,18.4,9.1,26.15,12.25,27.76,11.78,27.45,11.08,19.24,11.07,9.6,17.6,-0.1,-3.2,-16.4,108.1,15,10.4,0.1,13.8,15.1,1.5,-0.1,-7.9,-5.2,7.4,-0.4,33.9,42.2,-3.8,-3.2,-28,46.5,1.3,24.1,4.63314358,0.036176756,0.014075038,0.08461896,0.035271961,0.049346999,17.53782388,12.17731968,313.7175158,1.376961897,-3.400208327,0.088331046,-0.240060523,-0.061830278,0.011089387,0.095185504,0.042048059,0.053137445,19.56563917,15.4199909,350.0746461,1.528384286,-4.253277963,0.079454232,-0.263244984,-0.074272847,-0.00329391,860.7039106,17.91061453,26.33519553,-5.105056983,2.135223464,864.1899441,-2.96983352,1.709956983,-4.085558101,-2.375601117,-0.00304,665,13,22,-3.7056,1.5251,668,-1.9795,1.2201,-3.0096,-1.724,1.06E-07,-0.005285511,0.002487647,-0.002797864,0.00208676,-0.004279672,-0.002192912,-1.49E-05,-0.00516621,0.002471508,-0.00225962,0.002043413,-0.003827586,-0.001984615,0.000232283,0.00354776,0.001896189,0.004568137,0.001611363,0.002621255,0.003494058,-5.83E-06,-0.005765764,0.002482342,-0.003283423,0.002067073,-0.004538132,-0.002471059,-0.002595097,-0.006005463,-0.002628438,-0.00235724,0.000418436,0.00492068,-109.3003,-0.002713497,-0.005569066,-0.002821069,-0.002861776,0.000157308,0.004848197,-114.28708,3,4,4,11,3,1,-0.020833333,-0.090909091,-0.090909091,99.9895043,99.49874371,99.49874371,91,293442,872931,758,2500,96,5,17,88,694,26,1294,80,498,602,285,366,10,178,509,211,488,0.286391479,0.01042465,0.057049183,0.020391073,0.041927712,0.058309305,0.024171441,0.055903617,0.032648629,0.148236229,0.009164527,0.079502275,0.010997433,0.002978471,0.068963068,0.001947462,0.000572783,0.01008098,0.001145566,0.920805883,1.057668208,-0.500118741,0,0,3.008485207,0.438522632,-1.82767624,-9.543568465,7.826086957,-36.11111111,49.01960784,-3.896103896,10.34482759,-2.083333333,-9.917355372,7.826086957,-9.090909091,-9.090909091,10.34482759,49.01960784,-3.896103896,-9.090909091
710,2,2,2007,2007-02,3.57,2.7,3.82,3.98,4.03,4.05,0.52,0.48,1.35,0.23,-0.87,111.0288,102.9802,4498.22,18.81,17.85,72.1,86.8,75.8,2.9,4.8,9.5,409468,70.2,1978.13,44.9066,101.7791,101.5574,99.52344,15.4,7.6,24.84,9.99,27.08,8.32,26.57,10.94,14.78,11.12,8.5,14.9,1.7,-6.4,-21.6,107.3,15,9.4,0.1,10.7,11.5,1.4,1.7,-7.4,-4.1,10.3,4.2,34.7,30.3,-4.7,-6.3,-26.5,48,1.9,23.3,2.623884695,0.014765197,0.024116018,0.095030443,0.035457213,0.059573231,17.71851923,10.85507385,297.0881716,1.405033298,-3.209734587,0.07571685,-0.247529577,-0.052854567,0.014522922,0.097610711,0.041543894,0.056066817,17.88655847,13.14066526,314.9817802,1.389634225,-3.689661529,0.076796903,-0.252729186,-0.067424934,-0.006600499,827.8821138,17.7195122,26.15853659,-4.918063008,2.274258943,829.5121951,-2.643804065,1.812617073,-3.948166667,-2.135549593,-0.000605031,647.5,14,21,-3.7004,1.66695,649,-1.82425,1.30055,-3.2014,-1.58665,-2.37E-05,-0.005594025,0.002681174,-0.002912851,0.002177799,-0.004733177,-0.002555378,-1.55E-06,-0.005171314,0.002532642,-0.002696466,0.00212716,-0.004552529,-0.002624096,0.000155886,0.003748538,0.00147763,0.003497847,0.001274011,0.003227565,0.002926502,-3.31E-06,-0.005691191,0.002923204,-0.002767987,0.002343448,-0.004629338,-0.00228589,-0.002211829,-0.004960908,-0.002551603,-0.002092273,0.000642373,0.004416526,-139.86944,-0.00217931,-0.004823944,-0.002521493,-0.002100471,0.000642373,0.004279953,-137.813,3,4,1,8,1,2,0.050847458,0,0,100.0418546,100.0714031,100.0832986,89,284647,839071,588,1995,87,3,21,144,517,23,1018,50,405,417,152,209,4,117,374,217,421,0.237762955,0.010606969,0.048267667,0.013943993,0.0249085,0.044573105,0.025861935,0.050174538,0.018115273,0.121324655,0.005958971,0.061615763,0.01036861,0.002741127,0.049697821,0.002502768,0.000357538,0.017161837,0.000476718,0.746420744,2.379917909,-1.390950085,-0.000303749,-0.000339286,2.794757535,0.376130268,5.190311419,7.01754386,1.923076923,-6.493506494,52.17391304,14.81481481,19.51219512,5.084745763,7.428571429,0.943396226,0,0,19.51219512,52.17391304,15.51724138,0
711,3,3,2007,2007-03,3.69,2.7,3.89,3.9,3.92,3.94,0.5,0.25,1.24,0.05,-0.99,111.8662,103.5873,4633.26,17.22,19.03,76.8,88.1,79.2,5.8,4.4,9.3,429509,69.2,1901.3,47.2648,101.7748,101.5537,99.62299,17.3,9.5,26.67,11.9,30.31,13.38,27.03,8.86,16.49,12.64,9.8,18.2,3,-3.5,-23.2,108.9,15.5,9.7,-0.2,13.6,12,5.7,3,-6,-1.4,13.6,6.7,33.7,24.8,-5.7,-6.7,-27.8,47.3,0.9,23.9,3.285714286,0.021663402,0.022834315,0.091675054,0.03442037,0.057254684,18.40095275,10.62782357,308.7951122,1.328214118,-3.069283476,0.066403628,-0.278766031,-0.066623131,0.015408163,0.094568402,0.03958012,0.054988283,18.76401379,12.98031746,320.6241946,1.371939349,-3.618785837,0.070710751,-0.276283609,-0.075505237,-0.007194262,854.2657143,17.87428571,27.72571429,-4.882493143,2.153226286,857.3285714,-2.729266857,1.686705429,-3.956277143,-2.269571714,-0.001488445,663.5,14,20,-3.6627,1.50785,666.5,-1.8358,1.26115,-3.2163,-1.64845,-1.03E-05,-0.004927353,0.002554938,-0.002372414,0.002040084,-0.004261884,-0.002221801,1.35E-06,-0.004483417,0.002294953,-0.001369868,0.001851051,-0.003971788,-0.001497119,0.000142979,0.003501605,0.001745377,0.00365218,0.001510507,0.002626304,0.002779989,-5.04E-06,-0.004878981,0.002720067,-0.002158914,0.002117321,-0.00419989,-0.002082569,-0.001612366,-0.004496207,-0.001925947,-0.001426059,0.000747387,0.004142656,-150.83522,-0.001647546,-0.004310694,-0.00192086,-0.001135439,0.00057686,0.003934597,-154.12624,4,0,0,4,0,0,-0.005347594,-0.142857143,-0.25,100.0099806,100,100,56,333859,961977,480,2115,79,3,13,97,589,19,1211,66,353,518,312,188,9,198,393,254,470,0.219859726,0.005821345,0.036695264,0.020582613,0.019543087,0.040853368,0.026403958,0.048857717,0.032433208,0.125886586,0.006860871,0.061228075,0.008212255,0.001975099,0.053847441,0.001351384,0.000311858,0.010083401,0.000935573,0.721742828,2.641415482,-1.894802442,2.02E-05,3.90E-05,2.853394624,0.352711136,-0.543478261,-1.298701299,2.5,-27.86885246,53.84615385,-3.571428571,13.7254902,-0.534759358,-1.282051282,3.278688525,-14.28571429,-25,11.53846154,53.57142857,-3.571428571,-14.28571429
712,4,4,2007,2007-04,3.82,2.7,3.98,4.11,4.14,4.15,0.49,0.33,1.45,0.17,-1.12,112.62,104.3825,4916.03,18.25,14.93,81.2,89.9,84.4,16.5,4.5,9.2,439929,69.9,2008.51,50.2325,101.7625,101.5428,99.71231,17.9,10.8,26.81,12.87,29.85,13.23,26.66,10.12,18.43,14.23,10,20.3,7.2,-1.5,-26.4,110.4,16.2,8.2,1.3,15,10.7,2.7,7.2,-5.1,-0.1,16.8,10.1,34.6,22.2,-14.4,-3.7,-25,45,4.6,26.2,5.246236559,0.038328687,0.026314665,0.09218349,0.032934413,0.059249078,19.38978938,10.65091575,319.730815,1.40512864,-2.848939135,0.071181541,-0.262517863,-0.046663473,0.012939656,0.094199041,0.040629692,0.053569348,18.57591487,14.51683826,340.9780779,1.414148088,-3.992009345,0.073001443,-0.265797593,-0.073128144,0.000890461,877.9852941,17.50367647,27.08823529,-4.705831985,2.369671691,880.7536765,-2.336160294,1.861130147,-3.788517647,-1.9273875,0.00131728,640,13,18,-3.4263,1.37805,642.5,-1.481,1.1731,-2.9319,-1.41145,-1.75E-05,-0.004753182,0.002881367,-0.001871815,0.002335141,-0.004259856,-0.001924715,-1.25E-06,-0.004572403,0.002664906,-0.001726188,0.001989647,-0.004091089,-0.001761761,0.000182771,0.002959328,0.001984666,0.003425633,0.001728196,0.002711022,0.003161796,-3.42E-06,-0.004670836,0.002839929,-0.001830907,0.002229501,-0.004098062,-0.00186856,-0.001719422,-0.004631642,-0.002051996,-0.001846255,0.000823486,0.003940296,-136.06304,-0.001726158,-0.004448837,-0.001983259,-0.001790742,0.000760569,0.003740422,-136.5961,2,6,0,8,5,1,0.12034384,-0.6,-0.875,100.1671749,99.66610925,99.56153876,68,266193,810952,433,1802,64,5,15,86,476,31,888,60,280,365,197,164,22,165,309,153,278,0.222207973,0.008385207,0.034527321,0.020346457,0.020223145,0.038103365,0.018866715,0.034280697,0.024292437,0.109500932,0.007398712,0.058696446,0.007891959,0.003822668,0.045008829,0.001849678,0.000616559,0.01060482,0.002712861,0.669336779,3.084343647,-1.911201276,-0.000106697,-9.79E-05,2.62641932,0.349712437,12.5748503,3.125,30.64516129,-7.142857143,72.72727273,-1.515151515,5.263157895,12.03438395,2.985074627,30.46875,-60,-87.5,3.389830508,70.14925373,1.449275362,-60
