,name,id,L,D,D.ln,D2ln,lag,code,Source,deflated,used,group
ORD,Manufacturing orders,83,NA,NA,NA,NA,NA,M.DE.Y.I.IO1.ABA20.C.I no vints starting 2005,Buba RTDB,0,0,real economy
ORD-C,Manufacturing orders - consumer goods,84,NA,NA,1,NA,0,M.DE.Y.I.IO1.ACM04.C.I,Buba RTDB,0,1,real economy
ORD-I,Manufacturing orders - capital goods,85,NA,NA,1,NA,0,M.DE.Y.I.IO1.ACM03.C.I,Buba RTDB,0,1,real economy
EW,Employed persons (work-place concept),86,NA,NA,1,NA,0,M.DE.S.L.BE1.CA010.P.A,Buba RTDB,0,1,real economy
ALQ,1+unemployment (% civilian labour),87,NA,1,NA,NA,1,BDUN%TOTQ,datastream,0,1,real economy
VAC,Vacancies,88,NA,NA,1,NA,1,BDUUCA80P,datastream,0,1,real economy
CAPA,Capacity utilisation,89,1,1,NA,NA,0,BDIFDCENQ,datastream,0,1,real economy
WHOUR,Hours worked,90,1,1,NA,NA,0,M.DE.Y.L.BE2.AA031.H.A,Buba RTDB,0,1,real economy
FAZ,FAZ indicator,91,NA,NA,1,NA,1,FAZINDX,datastream,0,1,composite indicators
COM,,92,NA,NA,NA,NA,NA,no access to Commerzbank indicator,Com,0,0,composite indicators
OECDL1,Composite leading indicator (amplitude restored),93,1,1,NA,NA,2,LOLITOAA,OECD,0,1,composite indicators
OECDL2,Composite leading indicator (trend restored),94,NA,1,NA,NA,2,LOLITOTR_STSA,OECD,0,1,composite indicators
OECDL3,Composite leading indicator (normalized),95,1,1,NA,NA,2,LOLITONO,OECD,0,1,composite indicators
rword,NA,113,1,1,NA,NA,0,NA,own,0,1,media indicators
rword_sc,NA,114,1,1,NA,NA,0,NA,own,0,1,media indicators
perc_dif.zeit.eco,NA,115,1,1,NA,NA,0,NA,own,0,1,media indicators
perc_pnword.zeit.eco,NA,116,1,1,NA,NA,0,NA,own,0,1,media indicators
perc_nword.zeit.eco,NA,117,1,1,NA,NA,0,NA,own,0,1,media indicators
perc_pword.zeit.eco,NA,118,1,1,NA,NA,0,NA,own,0,1,media indicators
npword.zeit.eco,NA,119,1,1,NA,NA,0,NA,own,0,1,media indicators
nnword.zeit.eco,NA,120,1,1,NA,NA,0,NA,own,0,1,media indicators
nword.zeit.eco,NA,121,1,1,NA,NA,0,NA,own,0,1,media indicators
pvalue.zeit.eco,NA,122,1,1,NA,NA,0,NA,own,0,1,media indicators
nvalue.zeit.eco,NA,123,1,1,NA,NA,0,NA,own,0,1,media indicators
rpvalue.zeit.eco,NA,124,1,1,NA,NA,0,NA,own,0,1,media indicators
rnvalue.zeit.eco,NA,125,1,1,NA,NA,0,NA,own,0,1,media indicators
rvalue.zeit.eco,NA,126,1,1,NA,NA,0,NA,own,0,1,media indicators
perc_dif.zeit,NA,127,1,1,NA,NA,0,NA,own,0,1,media indicators
perc_pnword.zeit,NA,128,1,1,NA,NA,0,NA,own,0,1,media indicators
perc_nword.zeit,NA,129,1,1,NA,NA,0,NA,own,0,1,media indicators
perc_pword.zeit,NA,130,1,1,NA,NA,0,NA,own,0,1,media indicators
npword.zeit,NA,131,1,1,NA,NA,0,NA,own,0,1,media indicators
nnword.zeit,NA,132,1,1,NA,NA,0,NA,own,0,1,media indicators
nword.zeit,NA,133,1,1,NA,NA,0,NA,own,0,1,media indicators
pvalue.zeit,NA,134,1,1,NA,NA,0,NA,own,0,1,media indicators
nvalue.zeit,NA,135,1,1,NA,NA,0,NA,own,0,1,media indicators
rpvalue.zeit,NA,136,1,1,NA,NA,0,NA,own,0,1,media indicators
rnvalue.zeit,NA,137,1,1,NA,NA,0,NA,own,0,1,media indicators
rvalue.zeit,NA,138,1,1,NA,NA,0,NA,own,0,1,media indicators
qdap_value,NA,139,1,1,NA,NA,0,NA,own,0,1,media indicators
qdap_nword,NA,140,1,1,NA,NA,0,NA,own,0,1,media indicators
sent_nneg,NA,141,1,1,NA,NA,0,NA,own,0,1,media indicators
sent_npos,NA,142,1,1,NA,NA,0,NA,own,0,1,media indicators
sent_negv,NA,143,1,1,NA,NA,0,NA,own,0,1,media indicators
sent_posv,NA,144,1,1,NA,NA,0,NA,own,0,1,media indicators
sent_nwords,NA,145,1,1,NA,NA,0,NA,own,0,1,media indicators
sent_val,NA,146,1,1,NA,NA,0,NA,own,0,1,media indicators
posextind,NA,147,1,1,NA,NA,0,NA,own,0,1,media indicators
negextind,NA,148,1,1,NA,NA,0,NA,own,0,1,media indicators
valuext,NA,149,1,1,NA,NA,0,NA,own,0,1,media indicators
qdap_value_median,NA,150,1,1,NA,NA,0,NA,own,0,1,media indicators
qdap_nword_median,NA,151,1,1,NA,NA,0,NA,own,0,1,media indicators
sent_nneg_median,NA,152,1,1,NA,NA,0,NA,own,0,1,media indicators
sent_npos_median,NA,153,1,1,NA,NA,0,NA,own,0,1,media indicators
sent_negv_median,NA,154,1,1,NA,NA,0,NA,own,0,1,media indicators
sent_posv_median,NA,155,1,1,NA,NA,0,NA,own,0,1,media indicators
sent_nwords_median,NA,156,1,1,NA,NA,0,NA,own,0,1,media indicators
sent_val_median,NA,157,1,1,NA,NA,0,NA,own,0,1,media indicators
posextind_median,NA,158,1,1,NA,NA,0,NA,own,0,1,media indicators
negextind_median,NA,159,1,1,NA,NA,0,NA,own,0,1,media indicators
valuext_median,NA,160,1,1,NA,NA,0,NA,own,0,1,media indicators
qdap_value_rel,NA,161,1,1,NA,NA,0,NA,own,0,1,media indicators
sent_negv_rel,NA,162,1,1,NA,NA,0,NA,own,0,1,media indicators
sent_posv_rel,NA,163,1,1,NA,NA,0,NA,own,0,1,media indicators
sent_val_rel,NA,164,1,1,NA,NA,0,NA,own,0,1,media indicators
posextind_rel,NA,165,1,1,NA,NA,0,NA,own,0,1,media indicators
negextind_rel,NA,166,1,1,NA,NA,0,NA,own,0,1,media indicators
valuext_rel,NA,167,1,1,NA,NA,0,NA,own,0,1,media indicators
qdap_value_rel_50,NA,168,1,1,NA,NA,0,NA,own,0,1,media indicators
sent_negv_rel_50,NA,169,1,1,NA,NA,0,NA,own,0,1,media indicators
sent_posv_rel_50,NA,170,1,1,NA,NA,0,NA,own,0,1,media indicators
sent_val_rel_50,NA,171,1,1,NA,NA,0,NA,own,0,1,media indicators
posextind_rel_50,NA,172,1,1,NA,NA,0,NA,own,0,1,media indicators
negextind_rel_50,NA,173,1,1,NA,NA,0,NA,own,0,1,media indicators
valuext_rel_50,NA,174,1,1,NA,NA,0,NA,own,0,1,media indicators
qdap_value_rel_sd,NA,175,1,1,NA,NA,0,NA,own,0,1,media indicators
sent_negv_rel_sd,NA,176,1,1,NA,NA,0,NA,own,0,1,media indicators
sent_posv_rel_sd,NA,177,1,1,NA,NA,0,NA,own,0,1,media indicators
sent_val_rel_sd,NA,178,1,1,NA,NA,0,NA,own,0,1,media indicators
posextind_rel_sd,NA,179,1,1,NA,NA,0,NA,own,0,1,media indicators
negextind_rel_sd,NA,180,1,1,NA,NA,0,NA,own,0,1,media indicators
valuext_rel_sd,NA,181,1,1,NA,NA,0,NA,own,0,1,media indicators
qdap_value_total,NA,182,1,1,NA,NA,0,NA,own,0,1,media indicators
sent_negv_total,NA,183,1,1,NA,NA,0,NA,own,0,1,media indicators
sent_posv_total,NA,184,1,1,NA,NA,0,NA,own,0,1,media indicators
sent_val_total,NA,185,1,1,NA,NA,0,NA,own,0,1,media indicators
posextind_total,NA,186,1,1,NA,NA,0,NA,own,0,1,media indicators
negextind_total,NA,187,1,1,NA,NA,0,NA,own,0,1,media indicators
valuext_total,NA,188,1,1,NA,NA,0,NA,own,0,1,media indicators
qdap_rel_val_total,NA,186,1,1,NA,NA,0,NA,own,0,1,media indicators
qdap_value_rela_25,NA,187,1,1,NA,NA,0,NA,own,0,1,media indicators
qdap_value_rela_mean,NA,188,1,1,NA,NA,0,NA,own,0,1,media indicators
qdap_value_rela_50,NA,186,1,1,NA,NA,0,NA,own,0,1,media indicators
qdap_value_rela_75,NA,187,1,1,NA,NA,0,NA,own,0,1,media indicators
qdap_value_rela_sd,NA,188,1,1,NA,NA,0,NA,own,0,1,media indicators
qdap_value_rel_sum,NA,189,1,1,NA,NA,0,NA,own,0,1,media indicators
qdap_negator_rel_val_total,NA,190,1,1,NA,NA,0,NA,own,0,1,media indicators
qdap_negator_value_rel_25,NA,191,1,1,NA,NA,0,NA,own,0,1,media indicators
qdap_negator_value_rel_mean,NA,192,1,1,NA,NA,0,NA,own,0,1,media indicators
qdap_negator_value_rel_50,NA,193,1,1,NA,NA,0,NA,own,0,1,media indicators
qdap_negator_value_rel_75,NA,194,1,1,NA,NA,0,NA,own,0,1,media indicators
qdap_negator_value_rel_sd,NA,195,1,1,NA,NA,0,NA,own,0,1,media indicators
qdap_negator_value_rel_sum,NA,196,1,1,NA,NA,0,NA,own,0,1,media indicators
Notrend,NA,197,1,1,NA,NA,0,NA,Mediatenor International,0,1,media indicators
Rising,NA,198,1,1,NA,NA,0,NA,Mediatenor International,0,1,media indicators
Falling,NA,199,1,1,NA,NA,0,NA,Mediatenor International,0,1,media indicators
Volume,NA,200,1,1,NA,NA,0,NA,Mediatenor International,0,1,media indicators
Badrising,NA,202,1,1,NA,NA,0,NA,Mediatenor International,0,1,media indicators
Otherrising,NA,203,1,1,NA,NA,0,NA,Mediatenor International,0,1,media indicators
MT_all,NA,204,1,1,NA,NA,0,NA,Mediatenor International,0,1,media indicators
MT_monetary,NA,205,1,1,NA,NA,0,NA,Mediatenor International,0,1,media indicators
MT_inflation,NA,206,1,1,NA,NA,0,NA,Mediatenor International,0,1,media indicators
MT_all_climate,NA,207,1,1,NA,NA,0,NA,Mediatenor International,0,1,media indicators
MT_monetary_climate,NA,208,1,1,NA,NA,0,NA,Mediatenor International,0,1,media indicators
MT_inflation_climate,NA,209,1,1,NA,NA,0,NA,Mediatenor International,0,1,media indicators
ALL_Genios_Deflation,NA,210,1,1,NA,NA,0,NA,Genios,0,1,media indicators
ALL_Genios_der_CountryDeutschland,NA,211,1,1,NA,NA,0,NA,Genios,0,1,media indicators
ALL_Genios_der,NA,212,1,1,NA,NA,0,NA,Genios,0,1,media indicators
ALL_Genios_Inflation_CountryDeutschland,NA,213,1,1,NA,NA,0,NA,Genios,0,1,media indicators
ALL_Genios_Inflation,NA,214,1,1,NA,NA,0,NA,Genios,0,1,media indicators
ALL_Genios_inflationär,NA,215,1,1,NA,NA,0,NA,Genios,0,1,media indicators
ALL_Genios_Inflationsangst,NA,216,1,1,NA,NA,0,NA,Genios,0,1,media indicators
ALL_Genios_Inflationsbekämpfung,NA,217,1,1,NA,NA,0,NA,Genios,0,1,media indicators
ALL_Genios_Inflationsdruck,NA,218,1,1,NA,NA,0,NA,Genios,0,1,media indicators
ALL_Genios_Inflationsrate,NA,219,1,1,NA,NA,0,NA,Genios,0,1,media indicators
ALL_Genios_Inflationsrisiko,NA,220,1,1,NA,NA,0,NA,Genios,0,1,media indicators
ALL_Genios_Kaufkraft,NA,221,1,1,NA,NA,0,NA,Genios,0,1,media indicators
ALL_Genios_Kaufkraftverlust,NA,222,1,1,NA,NA,0,NA,Genios,0,1,media indicators
ALL_Genios_Preisanstieg,NA,223,1,1,NA,NA,0,NA,Genios,0,1,media indicators
ALL_Genios_Preisniveau,NA,224,1,1,NA,NA,0,NA,Genios,0,1,media indicators
ALL_Genios_Preisstabilität,NA,225,1,1,NA,NA,0,NA,Genios,0,1,media indicators
ALL_Genios_Preissteigerung,NA,226,1,1,NA,NA,0,NA,Genios,0,1,media indicators
ALL_Genios_Stagflation,NA,227,1,1,NA,NA,0,NA,Genios,0,1,media indicators
ALL_Genios_steigendePreise,NA,228,1,1,NA,NA,0,NA,Genios,0,1,media indicators
ALL_Genios_Teuerung,NA,229,1,1,NA,NA,0,NA,Genios,0,1,media indicators
ALL_Genios_Teuerungsrate,NA,230,1,1,NA,NA,0,NA,Genios,0,1,media indicators
ALL_Genios_Verteuerung,NA,231,1,1,NA,NA,0,NA,Genios,0,1,media indicators
IWord,NA,232,1,1,NA,NA,0,NA,Genios,0,1,media indicators
DWord,NA,233,1,1,NA,NA,0,NA,Genios,0,1,media indicators
Preisanstieg,NA,234,1,1,NA,NA,0,NA,Genios,0,1,media indicators
Steigende_Preise,NA,235,1,1,NA,NA,0,NA,Genios,0,1,media indicators
Preissteigerung,NA,236,1,1,NA,NA,0,NA,Genios,0,1,media indicators
Teuerung,NA,237,1,1,NA,NA,0,NA,Genios,0,1,media indicators
Teuerungsrate,NA,238,1,1,NA,NA,0,NA,Genios,0,1,media indicators
Verteuerung,NA,239,1,1,NA,NA,0,NA,Genios,0,1,media indicators
Preisstabilitaet,NA,240,1,1,NA,NA,0,NA,Genios,0,1,media indicators
Kaufkraft,NA,241,1,1,NA,NA,0,NA,Genios,0,1,media indicators
Kaufkraftverlust,NA,242,1,1,NA,NA,0,NA,Genios,0,1,media indicators
Inflationsrate,NA,243,1,1,NA,NA,0,NA,Genios,0,1,media indicators
inflationaer,NA,244,1,1,NA,NA,0,NA,Genios,0,1,media indicators
Inflationsrisiko,NA,245,1,1,NA,NA,0,NA,Genios,0,1,media indicators
Preisniveau,NA,246,1,1,NA,NA,0,NA,Genios,0,1,media indicators
Inflationsbekaempfung,NA,247,1,1,NA,NA,0,NA,Genios,0,1,media indicators
Inflationsangst,NA,248,1,1,NA,NA,0,NA,Genios,0,1,media indicators
Inflationsdruck,NA,249,1,1,NA,NA,0,NA,Genios,0,1,media indicators
Stagflation,NA,250,1,1,NA,NA,0,NA,Genios,0,1,media indicators
AllinflationWords,NA,251,1,1,NA,NA,0,NA,Genios,0,1,media indicators
FirstPC_genios_indicators,NA,252,1,1,NA,NA,0,NA,Genios,0,1,media indicators
