;Metadaten;;;;;;;Bewertungsteil;;;;;;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von Müller;8;Vergangenheit;Welt;;Wachstum, Arbeitsplätzen, Wahlmöglichkeit;-1;;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von Müller;9;Vergangenheit;Welt;;Widerspruch, Kapital, Arbeit, Karl Marx, Gefangenendilemma;-1;;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von Müller;10;Vergangenheit;Welt;;Karl Marx, Widerspruch, Wachstum, Meadow, Grenzen, Nachhaltigkeit, Wachstumsdynamik;1;;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von Müller;11;Vergangenheit;Welt;;Karl Marx, Widerspruch, Wachstum, Wegbrechen, Arbeitskonkurrenz;-1;;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von Müller;12;Gegenwart;Deutschland;;Cash-Flow, Investitionen, Arbeit;-2;;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von Müller;13;Vergangenheit;Welt;;Anonymisierung, Verantwortungsethos, Börsenblase;-2;;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von Müller;14;Gegenwart;Welt;;ökonomische Klasse, Manager;-3;;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von Müller;15;Zukunft;Welt;;Zwischenklasse, Strukturwandel, Virtualisierung;-3;;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von Müller;16;Gegenwart;Welt;;Wachstumsdynamik, Arbeit;-3;;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von Müller;17;Gegenwart;Welt;;Adam Smith, Homo oeconomicus, Sekundärtugenden, Oskar Lafontaine, Marktkonditionen;0;;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von Müller;18;Gegenwart;Welt, USA;;Wachstumsfaktoren, Arbeitsangebot, Schattenarbeit, Kapitalisten;-2;;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von Müller;19;Gegenwart;USA;;Defizite, Infrastruktur, Kindersterblichkeit, Krankenversicherungen, Obdachlosenquote, hohe Staatsverschuldung, Vorbild;-3;;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von Müller;20;Zukunft;Deutschland, USA;;hohe Staatverschuldung, parasitäre Arbeit, Wachstum;-1;;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von Müller;21;Zukunft;Deutschland;;Kooperation, Gesellschaft, Staat, Steuerentlastungen, Arbeit, Konsum, vagierendes Kapital;1;;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von Müller;22;Zukunft;Deutschland;Berlin;Bundeskanzlerin, Freiheit, Wachstum;1;;
4;http://www.zeit.de/2006/06/Kolumne_06_neu;2006;6;Zeit;Ende der Flitterwochen;Niejahr;1;Gegenwart;Deutschland;Berlin;neue Regierungen, Amtsantritt, Opposition;0;;
4;http://www.zeit.de/2006/06/Kolumne_06_neu;2006;6;Zeit;Ende der Flitterwochen;Niejahr;2;Gegenwart;Deutschland;Berlin;Angels Merkel, gestiegene Arbeitslosenzahl, Wachstumsprogramm;1;;
4;http://www.zeit.de/2006/06/Kolumne_06_neu;2006;6;Zeit;Ende der Flitterwochen;Niejahr;3;Vergangenheit;Deutschland;Berlin;Regierung, Mehrheit, Wohlfuehl-Politik, Reformen, Gerhard Schröder;-2;;
4;http://www.zeit.de/2006/06/Kolumne_06_neu;2006;6;Zeit;Ende der Flitterwochen;Niejahr;4;Gegenwart;Deutschland;Berlin;CDU, CSU, Angela Merkel,Mindeslöhne, Volker Kauder, Gesundheitsreform, Wolfgang Böhmer, Mehrwertsteuer;-2;;
4;http://www.zeit.de/2006/06/Kolumne_06_neu;2006;6;Zeit;Ende der Flitterwochen;Niejahr;5;Zukunft;Deutschland;Berlin;Regierungsauftrag ;1;;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;1;Gegenwart;Deutschland;Hessen, Frankfurt am Main;Deutsche Bank, Gewinn, Eigenkapitalrendite, Ackermann, Riss;1;;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;2;Gegenwart;Europa;;erfolgreiches Investmenbanking;2;;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;3;Gegenwart;Deutschland;Hessen, Frankfurt am Main;Privatkunden, Imageproblem, Deutschen Bank;-1;;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;4;Gegenwart;Deutschland;Hessen, Frankfurt am Main;Ackermann, Rolf Breuer, Schließung, Investmentbanker, Immobilienfond, Grundbesitz Invest;-2;;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;5;Gegenwart;Deutschland;Hessen, Frankfurt am Main;Deutschen Bank, verschiedene Gesichter, Josef Ackermann, verflochtene Bank;-1;;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;6;Vergangenheit;Deutschland;Hessen, Frankfurt am Main;Ackermann, Strategie, Privatkundegeschäft, Investmentbank, Immobilienfond;-2;;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;7;Vergangenheit;Deutschland;Hessen, Frankfurt am Main;fallende Reputation, Immobilienfonds, Vertrauensschutz, Krise, Rekordergebnis, Rettungsaktion, lukrativer Plan;-3;;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;8;Vergangenheit;Deutschland;Hessen, Frankfurt am Main;gespaltene Zunge, schwierige Marktsituation;-1;;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;9;Vergangenheit;Deutschland, Australien;"Hessen, Frankfurt am Main; Hessen, Frankfurt; Berlin";aufgebrachte Anlege, Anteile, Deutsche Bank, Merill Lynch, Börsenprospekt;-1;;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;10;Vergangenheit;Deutschland, Australien;;Bockshorn;-1;;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;11;Zukunft;Deutschland;Hessen, Frankfurt am Main;Ackermann, Geschäftszahlen, Enttäuschung, deutsche Kunden;-2;;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;12;Gegenwart;Deutschland;Hessen, Frankfurt am Main;Zerschlagung, Deutschen Bank;-3;;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;13;Zukunft;Deutschland;Hessen, Frankfurt am Main;Abtrennung, Privatkundengeschäfts, DWS, Investmentbank;-1;;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;14;Zukunft;Deutschland;Nordrhein-Westfalen, Essen;lukrative Anlageobjekte, Marktführer, DWS, Vertrauen;2;;
5;http://www.zeit.de/2006/06/Argument_06-neu;2006;6;Zeit;Das Geldhaus mit den zwei Gesichtern;Robert von Heusinger;15;Zukunft;Welt;;Investmentbanker, Börsengang, klotzige Verdienste;2;;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;1;Gegenwart;Deutschland;;verfehlen Staatsausgaben-Steinbrück, notwendigen Zukunftsinvestitionen-Steinbrück, ungenügend Einnahmen;-2;;1 Stunde 30 Minuten
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;2;Zukunft;Deutschland;;finanzpolitischen Weichenstellung-Steinbrück, fördern Wirtschaftswachstum-Steinbrück, sanieren Bundeshaushalt-Steinbrück;1;Kassenchef-der-Großen-Koalition = Steinbrück;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;3;Gegenwart;Deutschland;;Steuererhöhung, Ausgabenkürzung, ungenügend Geld, stärken Wachstumskräfte-Steinbrück, konsolidieren Haushalte-Steinbrück, sanieren-Steinbrück,reformieren-Steinbrück,investieren-Steinbrück ;-1;;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;4;Gegenwart;Deutschland;;steigen Ausgaben, Inflation, steigt Neuverschuldung;-1;deutlich-geringer-als-die-Preise = Inflation;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;5;Gegenwart;Deutschland;;unwirksam Wachstumsprogramm, ungenügend Investitionen, Mehrwertsteuererhöhung,negativ Schock;-2;;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;6;Zukunft;Deutschland;;zukünftig Haushalt,  einhalten Neuverschuldungsgrenze, unsicher Finanzpolitik;-1;;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;7;Zukunft;Deutschland, Belgien, Europa;;drücken Kreditaufnahme, kargen Investitionsausgabe, erreichbar Drei-Prozent-Marke-Weber, keine übereilte Sanierung-Steinbrück, beschwichtigt Prognose, drohen Geldbuße, finanzpolitische GAU;-2;Minister = Steinbrück, Bundesbankpräsident = Axel-Weber, Drei-Prozent-Marke = Neuverschuldungsgrenze;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;8;Zukunft;Deutschland;;massivsten Steuererhöhungen-Steinbrück, massivsten Leistungskürzungen-Steinbrück, Credo-Steinbrück, verborgen Haushaltsbegleitgesetzes, steigt Mehrwertsteuer-Steinbrück, gesenkt Arbeitslosenversicherungsbeiträge-Steinbrück, steigen Versicherungsteuer-Steinbrück, steigen Sozialversicherungsbeiträge-Steinbrück, halbiert Weihnachtsgeld-Steinbrück, gekürzt Bundesbankbeamtenzulage-Steinbrück,kürzen Nahverkehrszuschuss-Steinbrück, aufbessern Kassen-Steinbrück;-1;Kassen = Staatshaushalte;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;9;Zukunft;Deutschland;;gekürzt Jugendarbeitslosengeld-Steinbrück, gestrichen Eigenheimzulage-Steinbrück, senken Sparerfreibeträge-Steinbrück, einschränken Pendlerpauschale-Steinbrück, besteuern Dienstwagen-Steinbrück,steigt Einkommenspitzensteuersatz-Steinbrück,weniger Arbeitsagenturengeld-Steinbrück, entlasten Staatshaushalte -Steinbrück;-1;;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;10;Zukunft;Deutschland;Sachsen-Anhalt;umstritten Mehrwertsteuererhöhung, einhalten Maastricht-Kriterium-Karl-Heinz Paqué, aussichtsloses Mehrwertsteuerblockade;-1;Maastricht-Kriterium = Neuverschuldungsgrenze;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;11;Gegenwart;Deutschland;;erhöhen Staatseinnahmen-Steinbrück, kostspielige Reformen-Ökonomen;0;;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;12;;;;Reformenflankierung-Rürüp, unterstützen Unternehmensteuerreform-Wiegard, ungewollt Zusatzstaatskassenbelastung-Steinbrück;0;Vorsitzende-des-Sachverständigenrats = Bert-Rürup, Finanzminister =  Steinbrück;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;13;Gegenwart;Deutschland;;chancenreichsten Unternehmensteuerumgestaltungsmodelle,verkraften Einnahmeausfälle, gering Unternehmenssteuerquote,senken Unternehmenssteuersätze-Steinbrück;0;Bundesfinanzminister = Steinbrück;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;14;Zukunft;Deutschland;;teuer Geringverdienerlohnzuschüsse-Merkel,ausweiten Krankenkassenkinderleistungen-Merkel;0;Bundeskanzlerin = Angela-Merkel;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;15;Gegenwart;Deutschland;;wahrscheinlicher Einkommensteuerzuschlag, umstritten Verkraftbarkeit;-1;Gesundheits-Soli = Einkommensteuerzuschlag;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;16;Zukunft;Deutschland;;anstehend Diskussion-Schmidt, aufrechterhalten Druck-Steinbrück, vermeiden Beitragserhöhungsausflucht-Steinbrück, vermeiden Steuerzuschussausflucht-Steinbrück ;-1;Gesundheitsministerin = Ulla-Schmidt;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;17;Gegenwart;Deutschland;;robusteren Sozialversicherungsfinanzierung-Steinbrück, möglich Kollisionskurs, Sozialensachwalter-Müntefering;-1;Arbeits-und-Sozialminister = Franz-Müntefering;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;18;Vergangenheit;Deutschland;;Interessensdurchsetzung-Müntefering, Zusatzzahlungen-Müntefering, trotzdem Rentenversicherungsbundeszuschuss-Müntefering;-1;Chef-des-Finanzressorts=Steinbrück, Arbeitsminister = Franz-Müntefering;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;19;Vergangenheit;Deutschland;Frankfurt;Haushaltsverhandlungsrückschläge-Steinbrück, Querschießen-Bundesbank, volle Wehrdienstleistendenweihnachtsgeld;-1;;
6;http://www.zeit.de/2006/09/Haushalt;2006;9;Zeit;Das Steinbrück-Projekt;Wilfried Herz;20;;;;Sanieren-Steinbrück, reformieren-Steinbrück, inverstieren-Steinbrück, unverändert Zuversicht-Steinbrück;1;;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;1;Gegenwart;Welt;;Kredite, Träume, Zurückzahlbarkeit;1;;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;2;Gegenwart;Deutschland;;überschuldete Haushalte, Schuldenreport ,Caritasverband, Deutsche Rote Kreuz, Diakonische Werk, Verbraucherzentralen, hohe Verbindlichkeiten;-1;;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;3;Gegenwart;Welt;;Kredit, Albtraum;-1;;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;4;Gegenwart;Deutschland;;Albtraum, Sparen, Konjunkturbericht, schwache Konsumausgaben,hohe Überschuldung;-2;;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;5;Gegenwart;Deutschland;;Bundesbürger, geringere Ausgaben, weniger Kredite, häufigere Überschuldung;-1;;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;6;Gegenwart;Deutschland;;wegbrechende Einnahmen, niedrige Ausgaben, unverlässliches Einkommen, gewachsene Unsicherheit;-2;;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;7;Vergangenheit;Deutschland;;weniger Überraschungen, Normalarbeitsverhältnis, Vollzeitarbeit, unwahrscheinliche Kündigungen;1;;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;8;Vergangenheit;Deutschland;;relative Sicherheit, ordentliche Konjunktur, niedriges Kreditrisiko, laufendes Einkommen;1;;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;9;Gegenwart;Deutschland;;Firmenpleiten, befristete Verträge, Teilzeitarbeit, wegbrechendes Einkommen, wachsende Schulden;-2;;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;10;Gegenwart;Deutschland;;mehr Überschuldete, neue Unsicherheiten, Arbeitsmarkt, Scheidungen, Unterhalt, Ruin;-2;;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;11;Gegenwart;Deutschland;;befristete Jobs, schwankende Löhne, brüchige Familien, Lebensunsicherheit, Hoffnungen, Wolhstand, Jobverlust;-2;;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;12;Gegenwart;Deutschland;;finanzielle Allgemeinbildung, Kultusminister, Kreditwesen, Zinsen, Hyphotekenkredite;-1;;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;13;Vergangenheit;Deutschland;Berlin;zweite Chance, Überschuldete, Bundesregierung, Helmut Kohl,Verbraucherinsolvenz, Pfändungsfreibetrag;-1;;
7;http://www.zeit.de/2006/09/Argument/komplettansicht?print=true;2006;9;Zeit;Vorsicht, Absturzgefahr;Wolfgang Uchatius;14;Gegenwart;Deutschland;;Verbraucherinsolvenz, juristische Beratung, staatliche Insolvenzberater, hoffnungslose Überlastung, Stellenstreichung, sinkende Staatsausgaben, mehr Überschuldete;-2;;
8;http://www.zeit.de/2006/10/Argument_10/komplettansicht?print=true;2006;10;Zeit;Bester Laune am Abgrund entlang;Klaus-Peter Schmid;1;Gegenwart;Deutschland;;neue Regierung, Wunder, gute Stimmung, Stimmungsumschwung, Wirtschaft, Tristesse, Aufschwung, Merker-Faktor;1;;
8;http://www.zeit.de/2006/10/Argument_10/komplettansicht?print=true;2006;10;Zeit;Bester Laune am Abgrund entlang;Klaus-Peter Schmid;2;Gegenwart;Deutschland;Berlin;aufdrehende Konjunktur, Zuversicht, Optimismus, exportgetrieben Erholung, inländische Investitionstätigkeit, DIHK, Zukunftserwartungen;3;;
8;http://www.zeit.de/2006/10/Argument_10/komplettansicht?print=true;2006;10;Zeit;Bester Laune am Abgrund entlang;Klaus-Peter Schmid;3;Vergangenheit;Deutschland;Berlin;DIHK, Zuversicht,günstiger ifo-Geschäftslimaindex, steigender Konsum, GfK;3;;
8;http://www.zeit.de/2006/10/Argument_10/komplettansicht?print=true;2006;10;Zeit;Bester Laune am Abgrund entlang;Klaus-Peter Schmid;4;Gegenwart;Deutschland ;Berlin;politische Debatte, Bundesrat, abnehmendes Gezeter, Erich Witte, neue Regierung, sicherer Eindruck ;3;;
8;http://www.zeit.de/2006/10/Argument_10/komplettansicht?print=true;2006;10;Zeit;Bester Laune am Abgrund entlang;Klaus-Peter Schmid;5;Gegenwart;Deuscthland;;abnehmende Verunsicherung, optimistische Zukunftsentscheidungen, Rentenalter, Entscheidungskraft;2;;
8;http://www.zeit.de/2006/10/Argument_10/komplettansicht?print=true;2006;10;Zeit;Bester Laune am Abgrund entlang;Klaus-Peter Schmid;6;Zukunft;Deutschland;;Ludwig Erhard, Wirtschaftspolitik, Psychologier, gute Laune, Konjunktur, Merker-Faktor, Rentabilität;1;;
8;http://www.zeit.de/2006/10/Argument_10/komplettansicht?print=true;2006;10;Zeit;Bester Laune am Abgrund entlang;Klaus-Peter Schmid;7;Gegenwart;Deutschland;;Große Koalition, solide Wirtschaft, Exportweltmeister, Euro, Ölpreise, weiterlaufende Weltkonjunktur;2;;
8;http://www.zeit.de/2006/10/Argument_10/komplettansicht?print=true;2006;10;Zeit;Bester Laune am Abgrund entlang;Klaus-Peter Schmid;8;Gegenwart;Deutschland ;;wachsende Binnennachfrage, wachsende Bauwirtschaft, zunehmende Industrieproduktion,solider Mittelstand, Michael Grömling, IW, Tahlsole, Karl Schiller, Wachstumschancen, Angela Merkel,stagniernde Reformen;2;;
