"","DC","JM","SN"
"124",-2,-1,0
"125",-1,0,0
"126",-1,0,-1
"127",-1,-2,-1
"128",0,0,1
"129",-2,-2,0
"130",-2,-1,-2
"131",-1,-1,0
"132",-1,0,-1
"133",-1,0,0
"134",1,2,0
"135",0,1,0
"136",2,2,0
"137",1,2,0
"138",2,2,2
"139",1,2,2
"140",1,2,2
"141",2,2,2
"142",2,2,2
"143",0,1,1
"144",1,2,3
"145",2,2,3
"146",-2,-1,-1
"147",-1,-1,0
"148",-1,-2,-2
"149",-2,-2,-2
"150",-1,-2,-1
"151",-1,-2,-2
"152",-3,-1,-2
"153",3,2,3
"154",-1,-1,0
"155",0,2,1
"156",-1,1,0
"157",1,2,2
"158",-1,-2,-1
"159",-1,2,1
"160",-1,-1,-1
"161",1,1,1
"162",1,2,2
"163",1,1,2
"164",1,2,2
"165",2,3,3
"166",1,2,1
"167",1,2,1
"168",1,2,2
"169",-1,1,0
"170",-1,0,-1
"171",2,1,1
"172",2,2,1
"173",1,2,2
"174",1,2,2
"175",-1,0,0
"176",1,2,2
"177",1,1,2
"178",0,1,0
"179",-1,0,1
"180",2,1,2
"181",3,3,2
"182",2,3,3
"183",-1,0,-1
"184",-2,-1,-2
"185",-3,-2,-3
"186",-2,-1,-2
"187",-1,1,-2
"188",-1,-1,0
"189",1,0,0
"190",1,0,1
"191",-1,-1,-1
"192",-1,0,-1
"193",1,1,1
"194",-1,-2,-1
"195",-1,1,-1
"196",1,2,1
"197",-1,1,1
"198",0,-1,1
"199",-1,0,1
"200",-1,0,1
"201",-1,-1,2
"202",-1,-1,1
"203",-2,-1,-1
"204",0,0,0
"205",0,0,1
"206",-2,-2,0
"207",-1,-1,0
"208",-2,-1,-1
"209",-2,-3,-3
"210",1,-1,0
"211",-2,-1,-1
"212",1,1,2
"213",-1,-2,-2
"214",-1,-2,-3
"215",-1,-1,-2
"216",-1,-1,-1
"217",-1,-1,0
"218",-2,-2,-2
"219",-2,-2,-2
"220",-2,-3,-3
"221",-2,-2,-2
"222",-1,-2,-2
"223",-1,-3,-2
"224",-2,-2,-1
"225",-2,-3,-3
"226",-1,-3,-2
"227",0,-2,0
"228",1,0,1
"229",-1,-1,0
"230",-2,-2,-1
"231",0,0,1
"232",0,0,0
"233",-1,1,1
"234",-1,-2,-1
"235",-2,-1,-2
"236",-1,-1,1
"237",-1,-1,0
"238",-1,2,3
"239",-2,-1,-1
"240",-1,-1,0
"241",3,3,3
"242",2,3,3
"243",1,2,2
"244",-2,-1,-2
"245",2,2,2
"246",1,2,2
"247",2,3,3
"248",1,2,1
"249",-1,1,-1
"250",1,2,1
"251",2,2,2
"252",1,2,1
"253",1,2,2
"254",2,2,2
"255",2,3,2
"256",3,3,3
"257",-1,-2,-1
"258",2,2,3
"259",0,0,2
"260",-1,-1,0
"261",-2,-2,-3
"262",1,1,3
"263",1,1,3
"264",-1,0,1
"265",-2,-2,-2
"266",1,1,1
"267",-1,-1,0
"268",-1,1,2
"269",1,2,1
"270",0,1,2
"271",0,0,0
"272",1,2,1
"273",0,-1,0
"274",-2,-2,-2
"275",-2,-2,-2
"276",-1,-1,0
"277",2,1,3
"278",1,1,2
"279",1,0,1
"280",1,0,-1
"281",-1,-1,-2
"282",-1,0,-1
"283",-2,-1,-2
"284",NA,NA,0
"285",-2,-2,-2
"286",-2,-2,-1
"287",-1,-3,-3
"288",NA,-3,-3
"289",-2,-3,-2
"290",-1,1,-1
"291",-1,-2,-2
"292",-1,-3,-2
"293",1,2,1
"294",-1,-2,-2
"295",-1,-1,0
"296",1,1,1
"297",-1,-2,-1
"298",-1,NA,-1
"299",1,1,2
"300",1,0,1
"301",1,1,1
"302",0,-2,2
"303",0,0,0
"304",0,0,3
"305",-1,-1,-1
"306",-2,-2,-2
"307",-2,-3,-2
"308",-2,-2,-3
"309",-2,-2,-3
"310",-3,-3,-3
"311",1,1,-1
"312",-1,-1,1
"313",-1,-2,-3
"314",-1,-2,0
"315",1,2,2
"316",1,2,1
"317",-2,-2,-3
"318",1,3,3
"319",1,2,3
"320",2,3,2
"321",-1,2,0
"322",1,3,2
"323",1,2,2
"324",0,2,-1
"325",1,3,2
"326",1,0,1
"327",1,-1,-1
"328",-1,-1,0
"329",1,1,1
"330",-1,-1,-1
"331",-1,1,-1
"332",-1,-2,-2
"333",-1,-1,0
"334",-1,-2,-1
"335",-3,-2,-3
"336",-2,-2,-2
"337",-1,-1,-1
"338",-1,-2,-2
"339",-1,-1,-1
"340",-1,-3,-1
"341",-1,-3,-2
"342",0,-2,1
"343",0,-1,0
"344",-1,-2,-2
"345",-1,-2,1
"346",-1,2,-1
"347",-1,-2,-2
"348",-1,0,1
"349",-1,-2,-2
"350",-2,-2,-3
"351",-1,-2,-3
"352",-1,-2,-2
"353",-1,-1,-2
"354",-1,-1,0
"355",0,0,0
"356",-1,-2,-3
"357",-1,-1,-1
"358",-1,0,1
"359",-1,-2,-1
"360",-1,-2,-1
"361",-1,0,1
"362",-1,0,0
"363",1,1,1
"364",0,-2,-1
"365",-1,2,1
"366",0,0,0
"367",0,1,1
"368",1,1,1
"369",0,0,0
"370",1,2,2
"371",-1,-2,-2
"372",-1,-2,-2
"373",1,2,2
"374",-1,-1,-3
"375",-3,-2,-3
"376",-2,-2,-2
"377",0,0,-1
"378",2,1,1
"379",-1,-1,-1
"380",0,-1,0
"381",-1,-1,-1
"382",-1,-2,-2
"383",-1,-2,-1
"384",0,1,2
"385",-1,1,0
"386",-1,-2,-2
"387",-2,-3,-3
"388",0,-1,0
"389",0,0,1
"390",-1,-2,-2
"391",-1,-2,-2
"392",-1,-1,2
"393",0,-2,1
"394",-1,-2,-1
"395",0,-1,-1
"396",-3,-3,-3
"397",-2,-2,-3
"398",0,0,-1
"399",-1,-1,0
"400",-1,0,0
"401",-1,-1,-1
"402",-1,-1,0
"403",-1,1,-1
"404",-1,-1,0
"405",-1,-1,-2
"406",0,-2,0
"407",-1,0,-2
"408",-1,-2,-2
"409",-1,-3,-3
"410",-1,-3,-2
"411",-2,-2,-1
"412",-1,0,0
"413",-1,-1,-2
"414",0,2,2
"415",-1,-2,0
"416",-1,-2,0
"417",0,-2,0
"418",-1,-2,0
"419",-1,0,0
"420",0,1,2
"421",-1,-1,1
"422",-1,0,-2
"423",0,1,-3
"424",-2,-3,-2
"425",-1,-2,-1
"426",-1,-3,-1
"427",0,-3,0
"428",-1,-3,-2
"429",-1,-3,-1
"430",1,-2,-2
"431",-2,-3,-3
"432",-1,-3,0
"433",0,-1,0
"434",0,-3,-2
"435",-1,-3,0
"436",0,-1,-3
"437",-3,-3,-1
"438",0,-1,1
"439",2,0,2
"440",1,1,-1
"441",1,-2,-1
"442",-1,-1,-2
"443",-2,-2,-2
"444",0,0,2
"445",-1,-2,-2
"446",0,2,0
"447",-1,-2,-1
"448",-2,-2,-2
"449",-1,-2,-2
"450",-1,-3,-3
"451",-2,-3,-2
"452",-1,-2,-3
"453",0,1,-2
"454",-1,0,-1
"455",1,2,0
"456",0,-1,-1
"457",-2,-2,-3
"458",-2,-1,-3
"459",-1,-2,-3
"460",-1,-1,-2
"461",-1,-1,-2
"462",0,2,0
"463",-1,-2,-1
"464",-2,-2,-1
"465",-1,1,-1
"466",1,-1,1
"467",-1,0,0
"468",1,2,1
"469",NA,3,3
"470",-1,1,2
"471",2,2,2
"472",-2,-2,-1
"473",1,2,1
"474",-2,-1,-1
"475",-1,-2,-1
"476",1,0,0
"477",-2,-2,-1
"478",-2,0,-2
"479",-2,-2,-2
"480",-1,-3,-2
"481",0,-2,1
"482",2,2,3
"483",1,2,2
"484",-1,0,1
"485",-2,-3,-3
"486",-3,-3,-3
"487",-1,0,1
"488",-1,-1,-2
"489",-2,-2,-2
"490",-1,-2,-1
"491",-2,-3,-3
"492",-2,-3,-3
"493",-2,-2,-3
"494",-1,-2,-1
"495",-1,0,-2
"496",-1,-3,-2
"497",-1,-3,-2
"498",-1,-2,-2
"499",-1,-2,-1
"500",-1,-1,-1
"501",-1,-1,0
"502",-2,-2,-2
"503",-1,0,-1
"504",-1,-2,-2
"505",0,1,2
"506",-2,-2,-3
"507",-1,-2,-2
"508",-2,-2,-3
"509",-2,-1,-2
"510",1,-1,1
"511",-1,-1,-1
"512",0,-2,1
"513",-1,-2,-1
"514",-2,-3,-3
"515",-1,-1,-1
"516",-1,-2,-1
"517",-1,-2,-1
"518",-1,-1,-1
"519",0,0,1
"520",-2,-2,-2
"521",-2,-3,-3
"522",-1,-2,0
"523",-1,-3,-2
"524",-1,-2,-2
"525",-2,-2,-3
"526",-2,-2,-3
"527",-1,-2,-3
"528",1,1,2
"529",-1,0,0
"530",0,0,0
"531",0,-1,0
"532",0,-1,0
"533",-1,0,-1
"534",-1,-1,0
"535",-1,-2,-1
"536",1,0,1
"537",NA,-1,1
"538",0,0,0
"539",-1,-2,-1
"540",-1,0,-1
"541",-1,0,1
"542",0,-2,0
"543",-1,-1,-1
"544",-1,0,0
"545",1,1,0
"546",1,1,2
"547",2,2,3
"548",1,1,3
"549",-1,-1,-3
"550",-1,0,-2
"551",-1,-1,-2
"552",-2,-2,-3
"553",-1,-2,-1
"554",NA,-2,-1
"555",NA,-2,0
"556",1,-2,2
"557",-2,-3,-3
"558",-1,-1,-1
"559",-1,1,1
"560",-1,-1,-2
"561",0,-1,1
"562",-2,-2,-2
"563",0,0,2
"564",-1,-1,-1
"565",0,1,1
"566",0,0,0
"567",2,3,2
"568",0,1,0
"569",-1,1,1
"570",1,2,2
"571",-1,-2,-2
"572",2,2,2
"573",-1,NA,1
"574",-2,NA,-3
"575",1,NA,1
"576",1,NA,-1
"577",-1,NA,-1
"578",1,NA,3
"579",0,NA,0
"580",-1,NA,-1
"581",-2,NA,-3
"582",-2,NA,-3
"583",-2,NA,-3
"584",1,NA,1
"585",-1,NA,-2
"586",0,NA,1
"587",-1,NA,-2
"588",0,NA,1
"589",0,NA,0
"590",0,NA,1
"591",0,NA,1
"592",0,NA,2
"593",1,NA,2
"594",-1,NA,-1
"595",1,NA,2
"596",1,NA,3
"597",2,NA,3
"598",1,NA,2
"599",1,NA,2
"600",1,NA,2
"601",-1,NA,-1
"602",1,NA,1
"603",1,NA,1
"604",0,NA,0
"605",1,NA,1
"606",1,NA,2
"607",-1,NA,-1
"608",0,NA,1
"609",-1,NA,-1
"610",3,NA,3
"611",1,NA,1
"612",-1,NA,-2
"613",1,NA,-1
"614",1,NA,1
"615",1,NA,1
"616",-1,NA,0
"617",1,NA,1
"618",1,NA,1
"619",-1,NA,-1
"620",-2,NA,-2
"621",-1,NA,-1
"622",1,NA,1
"623",-1,NA,1
"624",-1,NA,-1
"625",-1,NA,1
"626",0,NA,1
"627",0,NA,1
"628",1,NA,1
"629",0,NA,0
"630",1,NA,1
"631",2,NA,2
"632",2,NA,3
"633",2,NA,3
"634",1,NA,3
"635",1,NA,2
"636",1,NA,0
"637",-1,NA,-1
"638",-2,NA,-2
"639",-2,NA,-3
"640",-2,NA,-3
"641",-2,NA,-3
"642",-1,NA,-2
"643",-2,NA,-2
"644",-1,NA,-1
"645",-1,NA,-2
"646",1,NA,1
"647",-2,NA,-2
"648",1,NA,2
"649",1,NA,0
"650",-1,NA,-2
"651",-2,NA,-1
"652",1,NA,2
"653",-2,NA,-3
"654",0,NA,-1
"655",1,NA,1
"656",-1,NA,-1
"657",-1,NA,-2
"658",-1,NA,-1
"659",-1,NA,0
"660",2,NA,0
"661",1,NA,0
"662",2,NA,2
"663",0,NA,0
"664",1,NA,-1
"665",-1,NA,-3
"666",-1,NA,-2
"667",-3,NA,-3
"668",-2,NA,-3
"669",-3,NA,-3
"670",-2,NA,-2
"671",-2,NA,-2
"672",0,NA,1
"673",-2,NA,-3
"674",0,NA,1
"675",-1,NA,-3
"676",-1,NA,-1
"677",-2,NA,-2
"678",-2,NA,-1
"679",-2,NA,-3
"680",-3,NA,-2
"681",-2,NA,-1
"682",0,NA,2
"683",-2,NA,-3
"684",-2,NA,-1
"685",-1,NA,-2
"686",0,NA,0
"687",0,NA,0
"688",0,NA,0
"689",-1,NA,-1
"690",-1,NA,-1
"691",-2,NA,-2
"692",-2,NA,-2
"693",-2,NA,-2
"694",1,NA,-1
"695",0,NA,1
"696",-1,NA,1
"697",-1,NA,0
"698",-1,NA,-1
"699",0,NA,-2
"700",-1,NA,-1
"701",-1,NA,-1
"702",-2,NA,-1
"703",-2,NA,-2
"704",-2,NA,-2
"705",-1,NA,-3
"706",0,NA,-2
"707",-1,NA,-3
"708",-2,NA,-3
"709",-2,NA,-2
"710",-2,NA,-3
"711",-1,NA,2
"712",-1,NA,0
