"","V1","V2","V3","V4"
"DIFOWH.C",77,46,93,77
"DIFOWH.EXP",131,108,124,134
"DGFK.EXP",64,5,12,36
"DZEW",72,80,73,53
"DECBS2",166,154,94,104
"DECBS3",170,133,104,103
"DECBS4",155,106,67,108
"DECBS5",107,110,106,94
"DECBS6",106,26,26,16
"DECBS7",94,123,125,119
"DESI.INDU",91,111,99,112
"DESI.SERV",109,139,85,111
"DESI.C",148,136,130,86
"DESI.TRADE",76,82,105,118
"DESI.CTR",37,12,11,17
"DESI",158,142,127,126
"DECCS99",148,136,130,86
"DECCS1",24,77,76,58
"DECCS2",84,86,92,52
"DECCS3",88,125,121,130
"DECCS4",145,132,112,115
"DECCS5",66,157,164,170
"DECCS6",20,33,27,5
"DECCS7",93,120,126,68
"DECCS8",150,74,63,64
"DECCS9",4,1,14,32
"DECCS10",14,42,103,71
"DECCS11",142,128,113,65
"DECCS12",31,90,95,57
"DALQ",56,38,30,30
"DCAPA",125,70,43,37
"DWHOUR",79,58,59,20
"DOECDL1",162,166,133,121
"DOECDL2",153,158,110,116
"DOECDL3",163,165,132,120
"DMT.all",39,51,66,83
"DMT.future",44,36,68,74
"DMT.presence",51,57,83,99
"DMT.climate",40,47,65,82
"DMT.de",70,56,61,66
"DMT.de.future",61,49,36,45
"DMT.de.present",116,71,71,105
"DMT.de.climate",69,50,45,55
"DMT.budget",85,102,56,15
"DMT.currency",43,41,50,21
"DMT.labor",67,76,40,62
"DMT.cycle",16,30,33,61
"DMT.taxation",101,32,41,25
"DMT.de.budget",96,104,49,23
"DMT.de.labor",68,73,35,50
"DMT.de.cycle",27,67,51,43
"DMT.de.taxation",25,31,69,19
"Dqdap_negator_value_rel_mean",98,15,4,8
"DlnIP.CONST",177,177,159,60
"DlnIP",176,175,140,54
"DlnEX",33,100,109,93
"DlnEXR",35,113,118,100
"DlnDAX",80,121,102,72
"DlnHWWA",5,95,87,95
"DlnHWWAR",29,96,89,98
"DlnHWWA.E",9,68,44,46
"DlnHWWA.ER",11,69,48,48
"DlnHWWA.EX",3,23,22,9
"DlnHWWA.EXR",2,24,37,10
"DlnOIL",15,64,52,38
"DlnOILR",17,66,54,40
"DlnCPI",105,101,144,155
"DlnCPI.EX",42,52,42,69
"DlnTARIF",46,107,123,90
"DlnIP.VORL",178,168,178,70
"DlnORD.C",172,167,153,107
"DlnORD.I",143,170,156,89
"DlnEW",47,22,47,75
"DlnVAC",30,25,25,26
"DlnFAZ",62,112,98,51
"DDlnHWWA",123,11,79,123
"DDlnHWWAR",126,17,77,122
"DDlnHWWA.E",12,10,17,29
"DDlnHWWA.ER",13,9,16,27
"DDlnHWWA.EX",21,2,8,13
"DDlnHWWA.EXR",19,3,9,12
"DDlnOIL",7,14,19,33
"DDlnOILR",8,13,18,31
"DDlnCPI",6,21,24,35
"DDlnCPI.EX",36,35,15,49
"DDlnTARIF",32,39,10,7
