"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"ESI.TRADE",345,336,339,326,301,310,309,296,293,282,273,263
"ESI.CTR",278,332,334,338,335,321,317,307,325,322,329,335
"ESI",252,159,302,265,269,269,272,299,312,306,299,294
"ECBS2",239,191,305,292,275,291,296,305,308,312,314,307
"ECBS3",291,98,300,331,323,325,336,335,338,339,341,338
"ECBS4",320,290,313,313,309,298,285,291,304,310,306,295
"ECBS5",100,229,207,252,87,132,321,332,337,340,339,337
"ECBS6",263,115,83,159,91,84,186,218,255,255,256,249
"ECBS7",332,303,281,247,272,273,301,293,296,298,291,292
"ECCS99",156,44,184,268,238,216,238,250,272,276,268,288
"ECCS1",78,310,289,228,119,157,189,231,260,264,262,267
"ECCS2",73,207,246,261,213,240,224,242,273,280,278,276
"ECCS3",76,105,240,250,227,241,259,269,294,289,289,293
"ECCS4",281,9,166,282,285,275,277,263,276,271,288,314
"ECCS5",290,293,315,269,171,48,263,285,310,300,281,269
"ECCS6",333,323,309,334,324,322,319,295,263,261,243,239
"ECCS7",246,247,256,281,283,278,322,319,317,316,311,313
"ECCS8",298,301,316,317,325,335,333,320,313,294,280,262
"ECCS9",96,264,291,249,266,266,225,226,227,224,235,240
"ECCS10",254,172,138,131,40,78,120,137,204,228,234,232
"ECCS11",57,204,188,165,214,215,227,208,268,275,271,270
"ECCS12",198,342,341,324,316,297,294,300,309,309,308,284
"MT.all",106,92,68,19,16,21,7,2,2,3,3,2
"MT.de",133,29,9,15,17,18,10,9,9,69,130,122
"MT.presence",3,2,1,1,1,1,1,1,1,2,1,1
"MT.future",293,307,254,301,294,257,175,19,130,173,109,41
"MT.climate",102,84,95,30,25,27,3,3,3,1,2,4
"MT.de.present",62,15,11,4,4,6,6,10,22,132,148,159
"MT.de.future",201,257,221,231,261,213,19,4,4,30,4,3
"MT.de.climate",114,32,8,20,32,32,4,6,6,25,70,71
"MT.currency",23,314,294,285,253,226,205,177,183,189,192,197
"MT.taxation",202,315,260,276,276,290,267,236,202,211,215,206
"MT.cycle",150,242,224,198,188,160,151,167,197,216,229,231
"MT.labor",60,52,65,38,20,14,11,8,5,6,6,5
"MT.budget",69,281,212,5,3,2,2,5,16,131,206,230
"MT.de.taxation",66,326,292,291,277,303,278,258,210,212,220,203
"MT.de.cycle",305,309,269,235,211,147,196,213,247,241,257,261
"MT.de.labor",130,140,219,44,24,24,16,12,21,118,97,113
"MT.de.budget",48,284,318,120,6,3,8,14,75,197,223,248
"qdap_negator_value_rel_mean",21,80,144,213,247,231,204,160,182,147,167,133
"DIS.M",250,128,181,196,226,277,252,324,332,330,332,333
"DIS.D",344,335,335,236,204,256,235,243,291,290,300,300
"DIS.3M",350,346,168,226,29,80,232,152,198,270,282,299
"DIL.3",265,328,325,274,245,219,236,204,216,208,145,164
"DIL.5",240,120,267,147,113,129,197,166,191,186,111,64
"DIL.10",271,41,195,101,36,141,184,157,187,172,101,62
"DVOLA1",103,316,174,309,197,255,270,198,70,123,140,86
"DVOLA2",77,219,128,234,123,243,202,93,63,45,78,81
"DIFO.C",311,151,81,18,22,26,43,74,188,215,173,226
"DIFO.EXP",257,16,40,12,7,10,20,23,120,101,90,79
"DIFOM.C",302,79,39,13,23,34,69,67,93,177,213,208
"DIFOM.EXP",227,37,7,8,12,12,21,24,56,128,77,76
"DIFOMI.C",124,11,110,67,37,39,82,87,117,76,106,138
"DIFOMI.EXP",43,8,35,80,39,30,38,75,87,91,80,145
"DIFOMV.C",170,23,18,9,26,59,96,145,186,164,171,211
"DIFOMV.EXP",79,169,164,50,9,20,28,27,58,52,40,51
"DIFOWH.C",314,223,173,88,89,140,221,256,264,243,231,224
"DIFOWH.EXP",288,56,122,28,46,207,203,244,266,258,253,254
"DGFK.EXP",266,31,90,94,55,102,72,90,57,191,79,65
"DZEW",205,305,265,262,252,212,237,240,221,207,174,169
"DECBS2",151,239,243,195,205,224,215,239,258,242,241,205
"DECBS3",173,184,322,275,236,232,223,223,250,273,259,247
"DECBS4",309,25,214,203,256,245,207,266,254,246,214,196
"DECBS5",22,19,5,109,14,23,37,69,54,79,195,212
"DECBS6",248,183,165,133,66,76,91,143,135,107,98,131
"DECBS7",326,266,244,221,218,152,124,148,140,165,199,204
"DESI.INDU",221,138,111,124,196,190,178,193,211,200,209,219
"DESI.SERV",40,6,19,23,83,153,132,126,64,58,86,73
"DESI.C",64,36,34,34,50,98,156,170,178,146,116,192
"DESI.TRADE",343,319,218,95,35,123,140,212,208,194,189,180
"DESI.CTR",206,236,196,263,258,238,213,153,159,129,84,75
"DESI",185,26,69,29,44,111,116,131,151,95,200,213
"DECCS99",64,36,34,34,50,98,156,170,178,146,116,192
"DECCS1",18,273,282,210,147,91,98,83,43,38,22,35
"DECCS2",13,58,72,40,42,90,90,43,28,44,30,39
"DECCS3",132,124,121,100,114,121,101,123,119,158,164,241
"DECCS4",190,4,42,41,80,81,138,100,133,136,227,265
"DECCS5",296,338,338,335,320,320,328,330,334,328,320,305
"DECCS6",330,322,293,289,298,307,288,248,203,226,203,174
"DECCS7",168,178,239,212,250,214,212,189,172,149,169,178
"DECCS8",283,306,271,215,182,225,240,216,249,256,245,201
"DECCS9",154,282,285,244,219,227,166,139,104,66,43,6
"DECCS10",39,3,10,3,2,4,23,94,256,285,307,296
"DECCS11",25,139,124,151,163,194,134,135,142,115,62,83
"DECCS12",50,187,284,241,220,206,176,214,173,170,139,142
"DALQ",52,100,88,178,243,249,177,127,81,90,134,106
"DCAPA",312,308,253,299,318,315,297,281,275,269,269,260
"DWHOUR",340,148,146,161,133,144,145,91,128,82,9,8
"DOECDL1",216,62,13,6,21,16,29,54,31,245,286,310
"DOECDL2",194,27,2,2,10,13,32,30,83,247,302,308
"DOECDL3",218,54,16,7,19,17,30,57,32,240,287,311
"DMT.all",108,166,80,68,45,63,66,80,100,80,147,183
"DMT.future",161,211,37,26,85,107,109,73,149,171,186,184
"DMT.presence",11,97,20,73,56,83,108,84,111,70,129,185
"DMT.climate",113,198,106,77,63,96,76,95,101,74,155,181
"DMT.de",209,203,109,112,172,106,83,98,62,61,103,163
"DMT.de.future",89,165,29,24,81,64,59,56,85,93,120,119
"DMT.de.present",98,224,125,63,122,86,74,105,99,56,154,188
"DMT.de.climate",233,122,84,84,158,122,92,107,82,102,146,160
"DMT.budget",41,163,55,35,48,53,48,60,137,161,132,99
"DMT.currency",55,263,231,190,135,45,81,113,116,154,149,172
"DMT.labor",112,201,118,107,160,135,121,70,110,51,89,173
"DMT.cycle",174,258,205,205,174,150,105,106,113,65,41,31
"DMT.taxation",140,225,226,143,84,151,191,132,169,138,190,149
"DMT.de.budget",20,68,51,25,47,70,55,51,136,198,182,140
"DMT.de.labor",67,149,78,110,190,201,182,112,115,36,59,148
"DMT.de.cycle",301,288,233,172,152,172,128,109,124,116,83,146
"DMT.de.taxation",115,170,45,58,58,87,139,82,138,133,179,167
"Dqdap_negator_value_rel_mean",58,132,197,229,212,168,153,77,67,42,51,111
"DlnIP.CONST",331,347,349,349,341,346,340,314,106,125,135,120
"DlnIP",303,345,346,346,345,342,325,284,192,119,126,112
"DlnEX",220,277,259,230,248,248,253,245,244,230,201,124
"DlnEXR",139,274,245,216,208,189,229,210,177,168,39,121
"DlnHWWA",175,228,220,154,98,105,51,146,165,179,159,158
"DlnHWWAR",245,226,222,153,112,72,45,147,164,180,162,166
"DlnHWWA.E",204,220,157,163,155,176,125,178,158,152,141,110
"DlnHWWA.ER",232,249,149,160,141,164,129,172,157,153,143,108
"DlnHWWA.EX",121,78,57,242,295,309,330,334,331,336,333,327
"DlnHWWA.EXR",118,85,56,248,279,312,329,336,335,334,337,330
"DlnOIL",145,136,182,202,177,185,143,192,170,160,152,117
"DlnOILR",270,209,139,155,153,155,117,182,163,162,137,90
"DlnCPI",117,34,194,21,13,7,13,13,49,169,127,147
"DlnCPI.EX",242,109,137,75,8,5,5,11,10,48,37,78
"DlnTARIF",141,190,151,51,61,89,47,44,18,9,18,15
"DlnIP.VORL",101,343,347,348,346,341,323,257,223,195,184,136
"DlnORD.C",196,280,204,280,296,295,302,327,318,295,250,210
"DlnORD.I",243,313,319,303,281,283,269,265,290,284,266,227
"DlnEW",72,51,27,17,27,93,36,78,148,150,160,190
"DlnVAC",81,275,286,246,251,276,281,272,282,279,263,258
"DlnFAZ",228,47,119,47,33,139,115,41,98,98,75,156
"DDlnHWWA",27,14,93,117,107,131,107,115,48,57,25,12
"DDlnHWWAR",26,17,82,103,108,126,106,119,42,64,29,11
"DDlnHWWA.E",42,20,61,71,97,101,110,187,96,121,12,54
"DDlnHWWA.ER",53,21,64,55,62,104,89,191,102,135,52,55
"DDlnHWWA.EX",192,81,15,52,60,116,93,47,33,32,48,46
"DDlnHWWA.EXR",199,69,14,54,59,118,79,52,35,37,47,49
"DDlnOIL",93,42,17,78,88,58,94,125,52,68,144,7
"DDlnOILR",29,18,63,45,105,167,183,207,131,140,10,47
"DDlnCPI",63,200,126,162,15,8,9,7,80,111,95,100
"DDlnCPI.EX",249,206,58,99,67,67,52,61,46,62,58,105
"DDlnTARIF",82,129,38,49,68,61,41,31,24,12,19,20
