"","V1","V2","V3","V4"
"DECCS1",18,106,117,102
"DECCS2",33,53,65,137
"DECCS3",102,146,131,107
"DECCS4",133,152,74,34
"DECCS5",27,73,64,96
"DECCS6",134,71,21,76
"DECCS7",132,12,125,72
"DECCS8",173,135,27,85
"DECCS9",149,126,126,37
"DECCS10",70,20,8,8
"DECCS11",14,45,91,129
"DECCS12",36,33,73,92
"DALQ",130,108,15,142
"DCAPA",95,28,18,132
"DWHOUR",160,163,5,154
"DOECDL1",144,170,159,163
"DOECDL2",148,172,167,167
"DOECDL3",145,169,158,164
"DMT.all",32,136,85,78
"DMT.future",74,23,19,101
"DMT.presence",9,124,141,99
"DMT.climate",20,119,71,108
"DMT.de",17,137,98,98
"DMT.de.future",123,7,9,140
"DMT.de.present",3,157,127,89
"DMT.de.climate",22,89,53,113
"DMT.budget",167,88,84,40
"DMT.currency",154,49,59,143
"DMT.labor",1,110,43,73
"DMT.cycle",157,99,112,111
"DMT.taxation",101,69,103,64
"DMT.de.budget",111,15,86,23
"DMT.de.labor",2,97,34,90
"DMT.de.cycle",105,113,107,93
"DMT.de.taxation",108,86,92,106
"Dqdap_negator_value_rel_mean",7,44,62,114
"DlnIP.CONST",178,168,121,178
"DlnIP",177,159,134,175
"DlnEX",50,19,42,33
"DlnEXR",61,13,12,62
"DlnDAX",75,56,13,46
"DlnHWWA",67,63,154,157
"DlnHWWAR",51,58,156,156
"DlnHWWA.E",56,9,135,147
"DlnHWWA.ER",44,8,137,146
"DlnHWWA.EX",30,29,3,110
"DlnHWWA.EXR",31,27,4,117
"DlnOIL",41,14,145,150
"DlnOILR",73,18,147,148
"DlnCPI",25,78,119,12
"DlnCPI.EX",163,80,144,17
"DlnTARIF",140,42,41,15
"DlnIP.VORL",176,161,176,176
"DlnORD.C",4,41,35,60
"DlnORD.I",115,26,56,177
"DlnEW",77,91,93,6
"DlnVAC",5,2,57,67
"DlnFAZ",63,31,24,51
"DDlnHWWA",155,68,164,125
"DDlnHWWAR",152,65,165,123
"DDlnHWWA.E",99,4,140,57
"DDlnHWWA.ER",98,5,139,58
"DDlnHWWA.EX",10,22,102,22
"DDlnHWWA.EXR",12,25,95,24
"DDlnOIL",88,3,151,55
"DDlnOILR",60,6,152,56
"DDlnCPI",11,32,87,11
"DDlnCPI.EX",141,155,133,42
"DDlnTARIF",107,54,2,74
