,m,month,year,ym,IS-M,IS-D,IS-3M,IL-3,IL-5,IL-10,SPR-C-G,SPR-10Y-M,SPR-10Y-D,SPR-10Y-3M,SPR-1D-M,EX,EXR,HWWA-E,HWWA-EX
154,10,10,1960,1960-10,5.43,5,6.1,NA,NA,NA,NA,NA,NA,NA,-0.43,NA,NA,NA,NA
155,11,11,1960,1960-11,4.84,4,5.38,NA,NA,NA,NA,NA,NA,NA,-0.84,NA,NA,NA,NA
156,12,12,1960,1960-12,4.46,4,5.06,NA,NA,NA,NA,NA,NA,NA,-0.46,NA,NA,NA,NA
157,1,1,1961,1961-01,4.17,3.5,4.66,NA,NA,NA,NA,NA,NA,NA,-0.67,NA,NA,NA,NA
158,2,2,1961,1961-02,3.41,3.5,4.13,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA
159,3,3,1961,1961-03,3.21,3.5,3.73,NA,NA,NA,NA,NA,NA,NA,0.29,NA,NA,NA,NA
160,4,4,1961,1961-04,2.96,3.5,3.34,NA,NA,NA,NA,NA,NA,NA,0.54,NA,NA,NA,NA
161,5,5,1961,1961-05,2.9,3,3.23,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA
162,6,6,1961,1961-06,2.58,3,3.13,NA,NA,NA,NA,NA,NA,NA,0.42,NA,NA,NA,NA
163,7,7,1961,1961-07,2.87,3,3.16,NA,NA,NA,NA,NA,NA,NA,0.13,NA,NA,NA,NA
164,8,8,1961,1961-08,2.26,3,3.09,NA,NA,NA,NA,NA,NA,NA,0.74,NA,NA,NA,NA
165,9,9,1961,1961-09,2.82,3,3.06,NA,NA,NA,NA,NA,NA,NA,0.18,NA,NA,NA,NA
166,10,10,1961,1961-10,2.26,3,4.05,NA,NA,NA,NA,NA,NA,NA,0.74,NA,NA,NA,NA
167,11,11,1961,1961-11,2.74,3,3.71,NA,NA,NA,NA,NA,NA,NA,0.26,NA,NA,NA,NA
168,12,12,1961,1961-12,3,3,3.83,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
169,1,1,1962,1962-01,1.8,3,2.93,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA
170,2,2,1962,1962-02,1.93,3,2.94,NA,NA,NA,NA,NA,NA,NA,1.07,NA,NA,NA,NA
171,3,3,1962,1962-03,3.01,3,3.02,NA,NA,NA,NA,NA,NA,NA,-0.01,NA,NA,NA,NA
172,4,4,1962,1962-04,2.73,3,3.08,NA,NA,NA,NA,NA,NA,NA,0.27,NA,NA,NA,NA
173,5,5,1962,1962-05,2.4,3,3.08,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA
174,6,6,1962,1962-06,3.17,3,3.13,NA,NA,NA,NA,NA,NA,NA,-0.17,NA,NA,NA,NA
175,7,7,1962,1962-07,2.91,3,3.29,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA
176,8,8,1962,1962-08,2.58,3,3.26,NA,NA,NA,NA,NA,NA,NA,0.42,NA,NA,NA,NA
177,9,9,1962,1962-09,3.05,3,3.2,NA,NA,NA,NA,NA,NA,NA,-0.05,NA,NA,NA,NA
178,10,10,1962,1962-10,2.39,3,4.45,NA,NA,NA,NA,NA,NA,NA,0.61,NA,NA,NA,NA
179,11,11,1962,1962-11,2.55,3,4.33,NA,NA,NA,NA,NA,NA,NA,0.45,NA,NA,NA,NA
180,12,12,1962,1962-12,3.42,3,4.35,NA,NA,NA,NA,NA,NA,NA,-0.42,NA,NA,NA,NA
181,1,1,1963,1963-01,2.6,3,3.29,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA
182,2,2,1963,1963-02,2.93,3,3.31,NA,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA
183,3,3,1963,1963-03,3.36,3,3.53,NA,NA,NA,NA,NA,NA,NA,-0.36,NA,NA,NA,NA
184,4,4,1963,1963-04,3.16,3,3.56,NA,NA,NA,NA,NA,NA,NA,-0.16,NA,NA,NA,NA
185,5,5,1963,1963-05,3.12,3,3.6,NA,NA,NA,NA,NA,NA,NA,-0.12,NA,NA,NA,NA
186,6,6,1963,1963-06,3.59,3,3.83,NA,NA,NA,NA,NA,NA,NA,-0.59,NA,NA,NA,NA
187,7,7,1963,1963-07,3.04,3,3.98,NA,NA,NA,NA,NA,NA,NA,-0.04,NA,NA,NA,NA
188,8,8,1963,1963-08,2.67,3,3.81,NA,NA,NA,NA,NA,NA,NA,0.33,NA,NA,NA,NA
189,9,9,1963,1963-09,2.99,3,3.75,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA
190,10,10,1963,1963-10,2.83,3,5.13,NA,NA,NA,NA,NA,NA,NA,0.17,NA,NA,NA,NA
191,11,11,1963,1963-11,2.73,3,5,NA,NA,NA,NA,NA,NA,NA,0.27,NA,NA,NA,NA
192,12,12,1963,1963-12,2.93,3,4.98,NA,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA
193,1,1,1964,1964-01,2.64,3,3.33,NA,NA,NA,NA,NA,NA,NA,0.36,NA,NA,NA,NA
194,2,2,1964,1964-02,2.87,3,3.33,NA,NA,NA,NA,NA,NA,NA,0.13,NA,NA,NA,NA
195,3,3,1964,1964-03,3.26,3,3.46,NA,NA,NA,NA,NA,NA,NA,-0.26,NA,NA,NA,NA
196,4,4,1964,1964-04,3.36,3,3.55,NA,NA,NA,NA,NA,NA,NA,-0.36,NA,NA,NA,NA
197,5,5,1964,1964-05,3.33,3,3.69,NA,NA,NA,NA,NA,NA,NA,-0.33,NA,NA,NA,NA
198,6,6,1964,1964-06,3.33,3,3.75,NA,NA,NA,NA,NA,NA,NA,-0.33,NA,NA,NA,NA
199,7,7,1964,1964-07,3.26,3,3.69,NA,NA,NA,NA,NA,NA,NA,-0.26,NA,NA,NA,NA
200,8,8,1964,1964-08,3.63,3,3.91,NA,NA,NA,NA,NA,NA,NA,-0.63,NA,NA,NA,NA
201,9,9,1964,1964-09,3.63,3,4.08,NA,NA,NA,NA,NA,NA,NA,-0.63,NA,NA,NA,NA
202,10,10,1964,1964-10,3.72,3,5.42,NA,NA,NA,NA,NA,NA,NA,-0.72,NA,NA,NA,NA
203,11,11,1964,1964-11,3.1,3,5.5,NA,NA,NA,NA,NA,NA,NA,-0.1,NA,NA,NA,NA
204,12,12,1964,1964-12,3.33,3,5.36,NA,NA,NA,NA,NA,NA,NA,-0.33,NA,NA,NA,NA
205,1,1,1965,1965-01,2.64,3.5,3.88,NA,NA,NA,NA,NA,NA,NA,0.86,NA,NA,NA,NA
206,2,2,1965,1965-02,3.42,3.5,3.95,NA,NA,NA,NA,NA,NA,NA,0.08,NA,NA,NA,NA
207,3,3,1965,1965-03,4.09,3.5,4.28,NA,NA,NA,NA,NA,NA,NA,-0.59,NA,NA,NA,NA
208,4,4,1965,1965-04,4.23,3.5,4.52,NA,NA,NA,NA,NA,NA,NA,-0.73,NA,NA,NA,NA
209,5,5,1965,1965-05,3.78,3.5,4.69,NA,NA,NA,NA,NA,NA,NA,-0.28,NA,NA,NA,NA
210,6,6,1965,1965-06,4.41,3.5,4.8,NA,NA,NA,NA,NA,NA,NA,-0.91,NA,NA,NA,NA
211,7,7,1965,1965-07,4.34,3.5,5.08,NA,NA,NA,NA,NA,NA,NA,-0.84,NA,NA,NA,NA
212,8,8,1965,1965-08,3.81,4,5.27,NA,NA,NA,NA,NA,NA,NA,0.19,NA,NA,NA,NA
213,9,9,1965,1965-09,4.77,4,5.36,NA,NA,NA,NA,NA,NA,NA,-0.77,NA,NA,NA,NA
214,10,10,1965,1965-10,4.85,4,6.66,NA,NA,NA,NA,NA,NA,NA,-0.85,NA,NA,NA,NA
215,11,11,1965,1965-11,4.24,4,6.58,NA,NA,NA,NA,NA,NA,NA,-0.24,NA,NA,NA,NA
216,12,12,1965,1965-12,4.67,4,6.55,NA,NA,NA,NA,NA,NA,NA,-0.67,NA,NA,NA,NA
217,1,1,1966,1966-01,4.12,4,5.23,NA,NA,NA,NA,NA,NA,NA,-0.12,NA,NA,NA,NA
218,2,2,1966,1966-02,4.47,4,5.36,NA,NA,NA,NA,NA,NA,NA,-0.47,NA,NA,NA,NA
219,3,3,1966,1966-03,5.07,4,5.69,NA,NA,NA,NA,NA,NA,NA,-1.07,NA,NA,NA,NA
220,4,4,1966,1966-04,5.33,4,6.21,NA,NA,NA,NA,NA,NA,NA,-1.33,NA,NA,NA,NA
221,5,5,1966,1966-05,5.07,5,6.35,NA,NA,NA,NA,NA,NA,NA,-0.07,NA,NA,NA,NA
222,6,6,1966,1966-06,6.11,5,6.81,NA,NA,NA,NA,NA,NA,NA,-1.11,NA,NA,NA,NA
223,7,7,1966,1966-07,6.2,5,6.89,NA,NA,NA,NA,NA,NA,NA,-1.2,NA,NA,NA,NA
224,8,8,1966,1966-08,5.33,5,7,NA,NA,NA,NA,NA,NA,NA,-0.33,NA,NA,NA,NA
225,9,9,1966,1966-09,5.61,5,6.8,NA,NA,NA,NA,NA,NA,NA,-0.61,NA,NA,NA,NA
226,10,10,1966,1966-10,5.72,5,7.88,NA,NA,NA,NA,NA,NA,NA,-0.72,NA,NA,NA,NA
227,11,11,1966,1966-11,5.19,5,7.73,NA,NA,NA,NA,NA,NA,NA,-0.19,NA,NA,NA,NA
228,12,12,1966,1966-12,5.85,5,7.57,NA,NA,NA,NA,NA,NA,NA,-0.85,NA,NA,NA,NA
229,1,1,1967,1967-01,4.92,4.5,5.69,NA,NA,NA,NA,NA,NA,NA,-0.42,NA,NA,NA,NA
230,2,2,1967,1967-02,5.1,4,5.56,NA,NA,NA,NA,NA,NA,NA,-1.1,NA,NA,NA,NA
