"","m","month","year","ym","OECDL1","OECDL3","OECDL2"
"466",10,"10",1986,"1986-10",99.15986,99.26455,65.39452
"467",11,"11",1986,"1986-11",99.0074,99.13109,65.44631
"468",12,"12",1986,"1986-12",98.88759,99.02621,65.52158
"469",1,"01",1987,"1987-01",98.81882,98.96601,65.63275
"470",2,"02",1987,"1987-02",98.83585,98.98093,65.80325
"471",3,"03",1987,"1987-03",98.92381,99.05791,66.02357
"472",4,"04",1987,"1987-04",99.05643,99.17401,66.27659
"473",5,"05",1987,"1987-05",99.21086,99.3092,66.54718
"474",6,"06",1987,"1987-06",99.37041,99.44886,66.82427
"475",7,"07",1987,"1987-07",99.49532,99.55821,67.08111
"476",8,"08",1987,"1987-08",99.58447,99.63625,67.31676
"477",9,"09",1987,"1987-09",99.6327,99.67847,67.52752
"478",10,"10",1987,"1987-10",99.64007,99.68492,67.71323
"479",11,"11",1987,"1987-11",99.63538,99.68082,67.89326
"480",12,"12",1987,"1987-12",99.66891,99.71017,68.10189
"481",1,"01",1988,"1988-01",99.77984,99.80727,68.36615
"482",2,"02",1988,"1988-02",99.9577,99.96297,68.67927
"483",3,"03",1988,"1988-03",100.1722,100.1507,69.02072
"484",4,"04",1988,"1988-04",100.3937,100.3447,69.37024
"485",5,"05",1988,"1988-05",100.5927,100.5188,69.70731
"486",6,"06",1988,"1988-06",100.7486,100.6553,70.01755
"487",7,"07",1988,"1988-07",100.8509,100.7449,70.29316
"488",8,"08",1988,"1988-08",100.9217,100.8068,70.54931
"489",9,"09",1988,"1988-09",100.9576,100.8383,70.78327
"490",10,"10",1988,"1988-10",100.9673,100.8467,71.00084
"491",11,"11",1988,"1988-11",100.9738,100.8524,71.21804
"492",12,"12",1988,"1988-12",100.9644,100.8442,71.42575
"493",1,"01",1989,"1989-01",100.9392,100.8221,71.62375
"494",2,"02",1989,"1989-02",100.9163,100.8021,71.82478
"495",3,"03",1989,"1989-03",100.9001,100.7879,72.03179
"496",4,"04",1989,"1989-04",100.8895,100.7786,72.24399
"497",5,"05",1989,"1989-05",100.8799,100.7703,72.45798
"498",6,"06",1989,"1989-06",100.8677,100.7596,72.6709
"499",7,"07",1989,"1989-07",100.8417,100.7368,72.87466
"500",8,"08",1989,"1989-08",100.8111,100.71,73.07555
"501",9,"09",1989,"1989-09",100.7863,100.6883,73.28104
"502",10,"10",1989,"1989-10",100.7782,100.6812,73.49886
"503",11,"11",1989,"1989-11",100.7991,100.6995,73.73799
"504",12,"12",1989,"1989-12",100.8507,100.7447,73.99964
"505",1,"01",1990,"1990-01",100.9285,100.8128,74.28053
"506",2,"02",1990,"1990-02",101.0362,100.9071,74.5834
"507",3,"03",1990,"1990-03",101.1686,101.023,74.90434
"508",4,"04",1990,"1990-04",101.3058,101.1431,75.22854
"509",5,"05",1990,"1990-05",101.4311,101.2528,75.54343
"510",6,"06",1990,"1990-06",101.5272,101.3369,75.83571
"511",7,"07",1990,"1990-07",101.5882,101.3903,76.10057
"512",8,"08",1990,"1990-08",101.5897,101.3916,76.31931
"513",9,"09",1990,"1990-09",101.5097,101.3215,76.4747
"514",10,"10",1990,"1990-10",101.3497,101.1815,76.56723
"515",11,"11",1990,"1990-11",101.1302,100.9894,76.61163
"516",12,"12",1990,"1990-12",100.8809,100.7711,76.62994
"517",1,"01",1991,"1991-01",100.6316,100.5529,76.64454
"518",2,"02",1991,"1991-02",100.4176,100.3655,76.6822
"519",3,"03",1991,"1991-03",100.2625,100.2298,76.76112
"520",4,"04",1991,"1991-04",100.1607,100.1407,76.87727
"521",5,"05",1991,"1991-05",100.1063,100.093,77.02617
"522",6,"06",1991,"1991-06",100.092,100.0805,77.20252
"523",7,"07",1991,"1991-07",100.105,100.0919,77.39653
"524",8,"08",1991,"1991-08",100.1408,100.1233,77.60487
"525",9,"09",1991,"1991-09",100.1799,100.1575,77.81232
"526",10,"10",1991,"1991-10",100.2115,100.1851,78.01054
"527",11,"11",1991,"1991-11",100.2101,100.1839,78.17961
"528",12,"12",1991,"1991-12",100.1594,100.1395,78.30656
"529",1,"01",1992,"1992-01",100.063,100.0551,78.39394
"530",2,"02",1992,"1992-02",99.93256,99.94096,78.45081
"531",3,"03",1992,"1992-03",99.76228,99.79191,78.4724
"532",4,"04",1992,"1992-04",99.54636,99.60289,78.45407
"533",5,"05",1992,"1992-05",99.27512,99.36546,78.38806
"534",6,"06",1992,"1992-06",98.94236,99.07416,78.26933
"535",7,"07",1992,"1992-07",98.54919,98.72998,78.09863
"536",8,"08",1992,"1992-08",98.11979,98.35409,77.89505
"537",9,"09",1992,"1992-09",97.69609,97.98318,77.69194
"538",10,"10",1992,"1992-10",97.32982,97.66256,77.53071
"539",11,"11",1992,"1992-11",97.06422,97.43006,77.44625
"540",12,"12",1992,"1992-12",96.91222,97.297,77.44946
"541",1,"01",1993,"1993-01",96.83979,97.2336,77.51367
"542",2,"02",1993,"1993-02",96.83005,97.22507,77.62583
"543",3,"03",1993,"1993-03",96.88316,97.27156,77.78644
"544",4,"04",1993,"1993-04",96.99597,97.37032,77.99333
"545",5,"05",1993,"1993-05",97.16325,97.51675,78.24263
"546",6,"06",1993,"1993-06",97.3703,97.698,78.52281
"547",7,"07",1993,"1993-07",97.6097,97.90757,78.82813
"548",8,"08",1993,"1993-08",97.87699,98.14155,79.1552
"549",9,"09",1993,"1993-09",98.15853,98.38801,79.49317
"550",10,"10",1993,"1993-10",98.45448,98.64708,79.84232
"551",11,"11",1993,"1993-11",98.77821,98.93047,80.21363
"552",12,"12",1993,"1993-12",99.13688,99.24444,80.61311
"553",1,"01",1994,"1994-01",99.53278,99.591,81.04282
"554",2,"02",1994,"1994-02",99.95716,99.9625,81.49583
"555",3,"03",1994,"1994-03",100.3816,100.3341,81.94909
"556",4,"04",1994,"1994-04",100.7833,100.6857,82.38393
"557",5,"05",1994,"1994-05",101.1453,101.0026,82.78661
"558",6,"06",1994,"1994-06",101.4632,101.2809,83.15341
"559",7,"07",1994,"1994-07",101.7377,101.5211,83.48474
"560",8,"08",1994,"1994-08",101.983,101.7359,83.79229
"561",9,"09",1994,"1994-09",102.2017,101.9273,84.07806
"562",10,"10",1994,"1994-10",102.3598,102.0657,84.31407
"563",11,"11",1994,"1994-11",102.4202,102.1186,84.46965
"564",12,"12",1994,"1994-12",102.3547,102.0613,84.52114
"565",1,"01",1995,"1995-01",102.1753,101.9043,84.47819
"566",2,"02",1995,"1995-02",101.9175,101.6785,84.36983
"567",3,"03",1995,"1995-03",101.607,101.4068,84.21733
"568",4,"04",1995,"1995-04",101.2857,101.1255,84.05518
"569",5,"05",1995,"1995-05",100.9834,100.8609,83.90832
"570",6,"06",1995,"1995-06",100.7068,100.6188,83.78236
"571",7,"07",1995,"1995-07",100.4692,100.4108,83.68848
"572",8,"08",1995,"1995-08",100.2593,100.227,83.61752
"573",9,"09",1995,"1995-09",100.0728,100.0637,83.56596
"574",10,"10",1995,"1995-10",99.8975,99.91028,83.5238
"575",11,"11",1995,"1995-11",99.73147,99.76493,83.4895
"576",12,"12",1995,"1995-12",99.57481,99.62779,83.46323
"577",1,"01",1996,"1996-01",99.43668,99.50688,83.45277
"578",2,"02",1996,"1996-02",99.33749,99.42005,83.47537
"579",3,"03",1996,"1996-03",99.29912,99.38646,83.54962
"580",4,"04",1996,"1996-04",99.31371,99.39922,83.66914
"581",5,"05",1996,"1996-05",99.36737,99.44621,83.82243
"582",6,"06",1996,"1996-06",99.44913,99.51778,84.00034
"583",7,"07",1996,"1996-07",99.56101,99.61572,84.20472
"584",8,"08",1996,"1996-08",99.69438,99.73247,84.42838
"585",9,"09",1996,"1996-09",99.84372,99.86319,84.66673
"586",10,"10",1996,"1996-10",99.98782,99.98934,84.90184
"587",11,"11",1996,"1996-11",100.1155,100.1011,85.12419
"588",12,"12",1996,"1996-12",100.241,100.2109,85.34579
"589",1,"01",1997,"1997-01",100.3729,100.3265,85.57416
"590",2,"02",1997,"1997-02",100.506,100.4429,85.80464
"591",3,"03",1997,"1997-03",100.6365,100.5572,86.03416
"592",4,"04",1997,"1997-04",100.758,100.6635,86.25716
"593",5,"05",1997,"1997-05",100.8661,100.7582,86.46983
"594",6,"06",1997,"1997-06",100.9837,100.8611,86.6917
"595",7,"07",1997,"1997-07",101.1042,100.9666,86.91722
"596",8,"08",1997,"1997-08",101.219,101.0671,87.13898
"597",9,"09",1997,"1997-09",101.313,101.1494,87.3438
"598",10,"10",1997,"1997-10",101.3665,101.1962,87.51464
"599",11,"11",1997,"1997-11",101.3834,101.211,87.65463
"600",12,"12",1997,"1997-12",101.3736,101.2024,87.7722
"601",1,"01",1998,"1998-01",101.3288,101.1632,87.86015
"602",2,"02",1998,"1998-02",101.2454,101.0902,87.91501
"603",3,"03",1998,"1998-03",101.1156,100.9766,87.92986
"604",4,"04",1998,"1998-04",100.9269,100.8114,87.89364
"605",5,"05",1998,"1998-05",100.6856,100.6001,87.81148
"606",6,"06",1998,"1998-06",100.4023,100.3521,87.69255
"607",7,"07",1998,"1998-07",100.0848,100.0742,87.54343
"608",8,"08",1998,"1998-08",99.75053,99.78162,87.3792
"609",9,"09",1998,"1998-09",99.42368,99.4955,87.22091
"610",10,"10",1998,"1998-10",99.12676,99.23558,87.08838
"611",11,"11",1998,"1998-11",98.89545,99.0331,87.01302
"612",12,"12",1998,"1998-12",98.73917,98.89628,87.00334
"613",1,"01",1999,"1999-01",98.65718,98.82452,87.05892
"614",2,"02",1999,"1999-02",98.65388,98.82162,87.18385
"615",3,"03",1999,"1999-03",98.74103,98.89792,87.38874
"616",4,"04",1999,"1999-04",98.9202,99.05476,87.67527
"617",5,"05",1999,"1999-05",99.18902,99.29008,88.0416
"618",6,"06",1999,"1999-06",99.51549,99.57587,88.45953
"619",7,"07",1999,"1999-07",99.85299,99.87131,88.88764
"620",8,"08",1999,"1999-08",100.1797,100.1573,89.30645
"621",9,"09",1999,"1999-09",100.4685,100.4101,89.69152
"622",10,"10",1999,"1999-10",100.715,100.6259,90.03871
"623",11,"11",1999,"1999-11",100.9273,100.8118,90.35496
"624",12,"12",1999,"1999-12",101.0989,100.962,90.63417
"625",1,"01",2000,"2000-01",101.2408,101.0862,90.88596
"626",2,"02",2000,"2000-02",101.3548,101.186,91.11166
"627",3,"03",2000,"2000-03",101.4252,101.2476,91.29697
"628",4,"04",2000,"2000-04",101.4628,101.2805,91.4514
"629",5,"05",2000,"2000-05",101.4768,101.2927,91.58292
"630",6,"06",2000,"2000-06",101.4618,101.2796,91.68658
"631",7,"07",2000,"2000-07",101.4249,101.2474,91.7686
"632",8,"08",2000,"2000-08",101.3587,101.1894,91.82201
"633",9,"09",2000,"2000-09",101.2581,101.1013,91.84225
"634",10,"10",2000,"2000-10",101.1097,100.9714,91.81678
"635",11,"11",2000,"2000-11",100.9114,100.7978,91.74361
"636",12,"12",2000,"2000-12",100.6636,100.5809,91.62299
"637",1,"01",2001,"2001-01",100.3769,100.33,91.46423
"638",2,"02",2001,"2001-02",100.0593,100.0519,91.2746
"639",3,"03",2001,"2001-03",99.72446,99.75879,91.06641
"640",4,"04",2001,"2001-04",99.39346,99.46905,90.859
"641",5,"05",2001,"2001-05",99.09003,99.20343,90.6741
"642",6,"06",2001,"2001-06",98.81741,98.96478,90.51476
"643",7,"07",2001,"2001-07",98.57973,98.75671,90.38496
"644",8,"08",2001,"2001-08",98.38048,98.5823,90.28803
"645",9,"09",2001,"2001-09",98.23713,98.4568,90.2402
"646",10,"10",2001,"2001-10",98.19711,98.42178,90.28532
"647",11,"11",2001,"2001-11",98.27692,98.49165,90.43888
"648",12,"12",2001,"2001-12",98.46331,98.65481,90.68907
"649",1,"01",2002,"2002-01",98.71803,98.87778,91.00097
"650",2,"02",2002,"2002-02",99.02239,99.14422,91.3576
"651",3,"03",2002,"2002-03",99.33275,99.4159,91.71885
"652",4,"04",2002,"2002-04",99.58598,99.63757,92.02653
"653",5,"05",2002,"2002-05",99.7436,99.77555,92.24502
"654",6,"06",2002,"2002-06",99.79742,99.82266,92.36665
"655",7,"07",2002,"2002-07",99.77077,99.79934,92.41294
"656",8,"08",2002,"2002-08",99.69205,99.73042,92.41017
"657",9,"09",2002,"2002-09",99.59076,99.64175,92.38574
"658",10,"10",2002,"2002-10",99.49561,99.55846,92.3664
"659",11,"11",2002,"2002-11",99.39977,99.47457,92.34599
"660",12,"12",2002,"2002-12",99.29727,99.38484,92.31908
"661",1,"01",2003,"2003-01",99.1891,99.29015,92.28676
"662",2,"02",2003,"2003-02",99.08012,99.19475,92.25368
"663",3,"03",2003,"2003-03",98.98322,99.10992,92.23201
"664",4,"04",2003,"2003-04",98.92815,99.06171,92.24968
"665",5,"05",2003,"2003-05",98.94293,99.07465,92.33305
"666",6,"06",2003,"2003-06",99.05041,99.16874,92.50372
"667",7,"07",2003,"2003-07",99.24344,99.33772,92.75536
"668",8,"08",2003,"2003-08",99.50396,99.56577,93.07137
"669",9,"09",2003,"2003-09",99.79631,99.82169,93.41863
"670",10,"10",2003,"2003-10",100.0929,100.0814,93.77151
"671",11,"11",2003,"2003-11",100.3476,100.3043,94.08678
"672",12,"12",2003,"2003-12",100.5323,100.466,94.33819
"673",1,"01",2004,"2004-01",100.6497,100.5688,94.5281
"674",2,"02",2004,"2004-02",100.718,100.6285,94.67355
"675",3,"03",2004,"2004-03",100.7596,100.6649,94.79563
"676",4,"04",2004,"2004-04",100.787,100.6889,94.90612
"677",5,"05",2004,"2004-05",100.7953,100.6962,95.00037
"678",6,"06",2004,"2004-06",100.7856,100.6877,95.07946
"679",7,"07",2004,"2004-07",100.761,100.6662,95.14629
"680",8,"08",2004,"2004-08",100.7043,100.6165,95.18453
"681",9,"09",2004,"2004-09",100.617,100.5401,95.19566
"682",10,"10",2004,"2004-10",100.5011,100.4387,95.1814
"683",11,"11",2004,"2004-11",100.362,100.3169,95.1468
"684",12,"12",2004,"2004-12",100.2078,100.1819,95.09949
"685",1,"01",2005,"2005-01",100.0282,100.0247,95.02959
"686",2,"02",2005,"2005-02",99.84354,99.86303,94.95633
"687",3,"03",2005,"2005-03",99.68109,99.72083,94.90559
"688",4,"04",2005,"2005-04",99.57321,99.6264,94.90823
"689",5,"05",2005,"2005-05",99.54175,99.59885,94.98515
"690",6,"06",2005,"2005-06",99.59938,99.6493,95.14862
"691",7,"07",2005,"2005-07",99.73148,99.76494,95.38484
"692",8,"08",2005,"2005-08",99.90837,99.91979,95.66553
"693",9,"09",2005,"2005-09",100.1181,100.1034,95.97926
"694",10,"10",2005,"2005-10",100.3369,100.295,96.30316
"695",11,"11",2005,"2005-11",100.5454,100.4774,96.61848
"696",12,"12",2005,"2005-12",100.739,100.6469,96.92063
"697",1,"01",2006,"2006-01",100.9151,100.8011,97.20686
"698",2,"02",2006,"2006-02",101.073,100.9393,97.47629
"699",3,"03",2006,"2006-03",101.2068,101.0564,97.7229
"700",4,"04",2006,"2006-04",101.3122,101.1487,97.94225
"701",5,"05",2006,"2006-05",101.3889,101.2158,98.13371
"702",6,"06",2006,"2006-06",101.4467,101.2664,98.30656
"703",7,"07",2006,"2006-07",101.4902,101.3045,98.4649
"704",8,"08",2006,"2006-08",101.5359,101.3446,98.62461
"705",9,"09",2006,"2006-09",101.5896,101.3915,98.79092
"706",10,"10",2006,"2006-10",101.6513,101.4455,98.96387
"707",11,"11",2006,"2006-11",101.7109,101.4977,99.13334
"708",12,"12",2006,"2006-12",101.7543,101.5357,99.28546
"709",1,"01",2007,"2007-01",101.7744,101.5533,99.41299
"710",2,"02",2007,"2007-02",101.7791,101.5574,99.52344
"711",3,"03",2007,"2007-03",101.7748,101.5537,99.62299
"712",4,"04",2007,"2007-04",101.7625,101.5428,99.71231
"713",5,"05",2007,"2007-05",101.742,101.5249,99.79129
"714",6,"06",2007,"2007-06",101.6998,101.488,99.84642
"715",7,"07",2007,"2007-07",101.6295,101.4264,99.87132
"716",8,"08",2007,"2007-08",101.5527,101.3592,99.88715
"717",9,"09",2007,"2007-09",101.4896,101.304,99.91378
"718",10,"10",2007,"2007-10",101.4482,101.2677,99.95896
"719",11,"11",2007,"2007-11",101.4133,101.2372,100.0081
"720",12,"12",2007,"2007-12",101.365,101.1949,100.0413
"721",1,"01",2008,"2008-01",101.2976,101.1359,100.0531
"722",2,"02",2008,"2008-02",101.1942,101.0454,100.0268
"723",3,"03",2008,"2008-03",101.0299,100.9015,99.938
"724",4,"04",2008,"2008-04",100.7781,100.6811,99.76026
"725",5,"05",2008,"2008-05",100.4146,100.3629,99.46958
"726",6,"06",2008,"2008-06",99.90138,99.91367,99.02838
"727",7,"07",2008,"2008-07",99.22136,99.31839,98.41955
"728",8,"08",2008,"2008-08",98.37437,98.57694,97.64291
"729",9,"09",2008,"2008-09",97.38794,97.71343,96.72578
"730",10,"10",2008,"2008-10",96.33962,96.79576,95.74528
"731",11,"11",2008,"2008-11",95.35726,95.93581,94.82872
"732",12,"12",2008,"2008-12",94.58289,95.25793,94.11789
"733",1,"01",2009,"2009-01",94.11979,94.85255,93.7163
"734",2,"02",2009,"2009-02",93.99532,94.74358,93.6521
"735",3,"03",2009,"2009-03",94.20847,94.93018,93.92521
"736",4,"04",2009,"2009-04",94.71412,95.37281,94.49149
"737",5,"05",2009,"2009-05",95.43311,96.0022,95.27276
"738",6,"06",2009,"2009-06",96.27126,96.73591,96.17558
"739",7,"07",2009,"2009-07",97.13495,97.49197,97.1068
"740",8,"08",2009,"2009-08",97.94417,98.20036,97.98662
"741",9,"09",2009,"2009-09",98.6491,98.81744,98.76518
"742",10,"10",2009,"2009-10",99.23782,99.3328,99.43044
"743",11,"11",2009,"2009-11",99.73615,99.76903,100.0081
"744",12,"12",2009,"2009-12",100.1691,100.148,100.5231
"745",1,"01",2010,"2010-01",100.5703,100.4992,101.009
"746",2,"02",2010,"2010-02",100.9565,100.8373,101.4828
"747",3,"03",2010,"2010-03",101.3259,101.1606,101.9423
"748",4,"04",2010,"2010-04",101.6517,101.4458,102.3606
"749",5,"05",2010,"2010-05",101.909,101.6711,102.7125
"750",6,"06",2010,"2010-06",102.0988,101.8373,102.9986
"751",7,"07",2010,"2010-07",102.2348,101.9564,103.2324
"752",8,"08",2010,"2010-08",102.3358,102.0448,103.4327
"753",9,"09",2010,"2010-09",102.4218,102.12,103.6195
"754",10,"10",2010,"2010-10",102.5043,102.1923,103.8044
"755",11,"11",2010,"2010-11",102.5831,102.2612,103.9868
"756",12,"12",2010,"2010-12",102.6473,102.3174,104.1556
"757",1,"01",2011,"2011-01",102.6791,102.3453,104.2927
"758",2,"02",2011,"2011-02",102.6545,102.3237,104.3732
"759",3,"03",2011,"2011-03",102.5496,102.2319,104.3726
"760",4,"04",2011,"2011-04",102.3476,102.055,104.2735
"761",5,"05",2011,"2011-05",102.0468,101.7917,104.0735
"762",6,"06",2011,"2011-06",101.6558,101.4494,103.7813
"763",7,"07",2011,"2011-07",101.2082,101.0576,103.4305
"764",8,"08",2011,"2011-08",100.7507,100.6572,103.0689
"765",9,"09",2011,"2011-09",100.3404,100.2979,102.7547
"766",10,"10",2011,"2011-10",100.0271,100.0237,102.5391
"767",11,"11",2011,"2011-11",99.81823,99.84088,102.4301
"768",12,"12",2011,"2011-12",99.71342,99.74914,102.4273
"769",1,"01",2012,"2012-01",99.67245,99.71326,102.4899
"770",2,"02",2012,"2012-02",99.6496,99.69327,102.5709
"771",3,"03",2012,"2012-03",99.59977,99.64964,102.6239
"772",4,"04",2012,"2012-04",99.49144,99.55481,102.6163
"773",5,"05",2012,"2012-05",99.32098,99.40559,102.5442
"774",6,"06",2012,"2012-06",99.1085,99.21959,102.4281
"775",7,"07",2012,"2012-07",98.89853,99.03579,102.314
"776",8,"08",2012,"2012-08",98.74188,98.89866,102.2545
"777",9,"09",2012,"2012-09",98.66935,98.83517,102.2818
"778",10,"10",2012,"2012-10",98.70218,98.86391,102.4182
"779",11,"11",2012,"2012-11",98.82817,98.9742,102.6513
"780",12,"12",2012,"2012-12",99.01033,99.13366,102.9431
"781",1,"01",2013,"2013-01",99.20867,99.30728,103.2521
"782",2,"02",2013,"2013-02",99.38783,99.46412,103.5415
"783",3,"03",2013,"2013-03",99.53194,99.59026,103.7948
"784",4,"04",2013,"2013-04",99.6627,99.70473,104.0346
"785",5,"05",2013,"2013-05",99.81413,99.83729,104.2962
"786",6,"06",2013,"2013-06",99.99918,99.99928,104.5935
"787",7,"07",2013,"2013-07",100.2069,100.1811,104.915
"788",8,"08",2013,"2013-08",100.4347,100.3806,105.2581
"789",9,"09",2013,"2013-09",100.6548,100.5732,105.5936
"790",10,"10",2013,"2013-10",100.8452,100.7399,105.8986
"791",11,"11",2013,"2013-11",100.9884,100.8652,106.1544
"792",12,"12",2013,"2013-12",101.0708,100.9373,106.3467
"793",1,"01",2014,"2014-01",101.0882,100.9526,106.4708
"794",2,"02",2014,"2014-02",101.0386,100.9092,106.5244
"795",3,"03",2014,"2014-03",100.9303,100.8144,106.5161
"796",4,"04",2014,"2014-04",100.7706,100.6746,106.4533
"797",5,"05",2014,"2014-05",100.567,100.4963,106.3439
"798",6,"06",2014,"2014-06",100.3425,100.2998,106.212
"799",7,"07",2014,"2014-07",100.1188,100.104,106.0807
"800",8,"08",2014,"2014-08",99.91199,99.92297,105.9669
"801",9,"09",2014,"2014-09",99.75293,99.78372,105.9034
"802",10,"10",2014,"2014-10",99.65924,99.70171,105.9092
"803",11,"11",2014,"2014-11",99.6285,99.6748,105.9819
"804",12,"12",2014,"2014-12",99.64457,99.68886,106.1045
"805",1,"01",2015,"2015-01",99.68524,99.72446,NA
"806",2,"02",2015,"2015-02",NA,NA,NA
"807",3,"03",2015,"2015-03",NA,NA,NA
"808",4,"04",2015,"2015-04",NA,NA,NA
"809",5,"05",2015,"2015-05",NA,NA,NA
"810",6,"06",2015,"2015-06",NA,NA,NA
"811",7,"07",2015,"2015-07",NA,NA,NA
"812",8,"08",2015,"2015-08",NA,NA,NA
"813",9,"09",2015,"2015-09",NA,NA,NA
"814",10,"10",2015,"2015-10",NA,NA,NA
"815",11,"11",2015,"2015-11",NA,NA,NA
"816",12,"12",2015,"2015-12",NA,NA,NA
