m,month,m3,year,ym,ym3,OIL
12,12,Dec,1954,1954-12,1954Dec,NA
1,1,Jan,1955,1955-01,1955Jan,NA
2,2,Feb,1955,1955-02,1955Feb,NA
3,3,Mar,1955,1955-03,1955Mar,NA
4,4,Apr,1955,1955-04,1955Apr,NA
5,5,May,1955,1955-05,1955May,NA
6,6,Jun,1955,1955-06,1955Jun,NA
7,7,Jul,1955,1955-07,1955Jul,NA
8,8,Aug,1955,1955-08,1955Aug,NA
9,9,Sep,1955,1955-09,1955Sep,NA
10,10,Oct,1955,1955-10,1955Oct,NA
11,11,Nov,1955,1955-11,1955Nov,NA
12,12,Dec,1955,1955-12,1955Dec,NA
1,1,Jan,1956,1956-01,1956Jan,NA
2,2,Feb,1956,1956-02,1956Feb,NA
3,3,Mar,1956,1956-03,1956Mar,NA
4,4,Apr,1956,1956-04,1956Apr,NA
5,5,May,1956,1956-05,1956May,NA
6,6,Jun,1956,1956-06,1956Jun,NA
7,7,Jul,1956,1956-07,1956Jul,NA
8,8,Aug,1956,1956-08,1956Aug,NA
9,9,Sep,1956,1956-09,1956Sep,NA
10,10,Oct,1956,1956-10,1956Oct,NA
11,11,Nov,1956,1956-11,1956Nov,NA
12,12,Dec,1956,1956-12,1956Dec,NA
1,1,Jan,1957,1957-01,1957Jan,NA
2,2,Feb,1957,1957-02,1957Feb,NA
3,3,Mar,1957,1957-03,1957Mar,NA
4,4,Apr,1957,1957-04,1957Apr,NA
5,5,May,1957,1957-05,1957May,NA
6,6,Jun,1957,1957-06,1957Jun,NA
7,7,Jul,1957,1957-07,1957Jul,NA
8,8,Aug,1957,1957-08,1957Aug,NA
9,9,Sep,1957,1957-09,1957Sep,NA
10,10,Oct,1957,1957-10,1957Oct,NA
11,11,Nov,1957,1957-11,1957Nov,NA
12,12,Dec,1957,1957-12,1957Dec,NA
1,1,Jan,1958,1958-01,1958Jan,NA
2,2,Feb,1958,1958-02,1958Feb,NA
3,3,Mar,1958,1958-03,1958Mar,NA
4,4,Apr,1958,1958-04,1958Apr,NA
5,5,May,1958,1958-05,1958May,NA
6,6,Jun,1958,1958-06,1958Jun,NA
7,7,Jul,1958,1958-07,1958Jul,NA
8,8,Aug,1958,1958-08,1958Aug,NA
9,9,Sep,1958,1958-09,1958Sep,NA
10,10,Oct,1958,1958-10,1958Oct,NA
11,11,Nov,1958,1958-11,1958Nov,NA
12,12,Dec,1958,1958-12,1958Dec,NA
1,1,Jan,1959,1959-01,1959Jan,NA
2,2,Feb,1959,1959-02,1959Feb,NA
3,3,Mar,1959,1959-03,1959Mar,NA
4,4,Apr,1959,1959-04,1959Apr,NA
5,5,May,1959,1959-05,1959May,NA
6,6,Jun,1959,1959-06,1959Jun,NA
7,7,Jul,1959,1959-07,1959Jul,NA
8,8,Aug,1959,1959-08,1959Aug,NA
9,9,Sep,1959,1959-09,1959Sep,NA
10,10,Oct,1959,1959-10,1959Oct,NA
11,11,Nov,1959,1959-11,1959Nov,NA
12,12,Dec,1959,1959-12,1959Dec,NA
1,1,Jan,1960,1960-01,1960Jan,NA
2,2,Feb,1960,1960-02,1960Feb,NA
3,3,Mar,1960,1960-03,1960Mar,NA
4,4,Apr,1960,1960-04,1960Apr,NA
5,5,May,1960,1960-05,1960May,NA
6,6,Jun,1960,1960-06,1960Jun,NA
7,7,Jul,1960,1960-07,1960Jul,NA
8,8,Aug,1960,1960-08,1960Aug,NA
9,9,Sep,1960,1960-09,1960Sep,NA
10,10,Oct,1960,1960-10,1960Oct,NA
11,11,Nov,1960,1960-11,1960Nov,NA
12,12,Dec,1960,1960-12,1960Dec,NA
1,1,Jan,1961,1961-01,1961Jan,NA
2,2,Feb,1961,1961-02,1961Feb,NA
3,3,Mar,1961,1961-03,1961Mar,NA
4,4,Apr,1961,1961-04,1961Apr,NA
5,5,May,1961,1961-05,1961May,NA
6,6,Jun,1961,1961-06,1961Jun,NA
7,7,Jul,1961,1961-07,1961Jul,NA
8,8,Aug,1961,1961-08,1961Aug,NA
9,9,Sep,1961,1961-09,1961Sep,NA
10,10,Oct,1961,1961-10,1961Oct,NA
11,11,Nov,1961,1961-11,1961Nov,NA
12,12,Dec,1961,1961-12,1961Dec,NA
1,1,Jan,1962,1962-01,1962Jan,NA
2,2,Feb,1962,1962-02,1962Feb,NA
3,3,Mar,1962,1962-03,1962Mar,NA
4,4,Apr,1962,1962-04,1962Apr,NA
5,5,May,1962,1962-05,1962May,NA
6,6,Jun,1962,1962-06,1962Jun,NA
7,7,Jul,1962,1962-07,1962Jul,NA
8,8,Aug,1962,1962-08,1962Aug,NA
9,9,Sep,1962,1962-09,1962Sep,NA
10,10,Oct,1962,1962-10,1962Oct,NA
11,11,Nov,1962,1962-11,1962Nov,NA
12,12,Dec,1962,1962-12,1962Dec,NA
1,1,Jan,1963,1963-01,1963Jan,NA
2,2,Feb,1963,1963-02,1963Feb,NA
3,3,Mar,1963,1963-03,1963Mar,NA
4,4,Apr,1963,1963-04,1963Apr,NA
5,5,May,1963,1963-05,1963May,NA
6,6,Jun,1963,1963-06,1963Jun,NA
7,7,Jul,1963,1963-07,1963Jul,NA
8,8,Aug,1963,1963-08,1963Aug,NA
9,9,Sep,1963,1963-09,1963Sep,NA
10,10,Oct,1963,1963-10,1963Oct,NA
11,11,Nov,1963,1963-11,1963Nov,NA
12,12,Dec,1963,1963-12,1963Dec,NA
1,1,Jan,1964,1964-01,1964Jan,NA
2,2,Feb,1964,1964-02,1964Feb,NA
3,3,Mar,1964,1964-03,1964Mar,NA
4,4,Apr,1964,1964-04,1964Apr,NA
5,5,May,1964,1964-05,1964May,NA
6,6,Jun,1964,1964-06,1964Jun,NA
7,7,Jul,1964,1964-07,1964Jul,NA
8,8,Aug,1964,1964-08,1964Aug,NA
9,9,Sep,1964,1964-09,1964Sep,NA
10,10,Oct,1964,1964-10,1964Oct,NA
11,11,Nov,1964,1964-11,1964Nov,NA
12,12,Dec,1964,1964-12,1964Dec,NA
1,1,Jan,1965,1965-01,1965Jan,NA
2,2,Feb,1965,1965-02,1965Feb,NA
3,3,Mar,1965,1965-03,1965Mar,NA
4,4,Apr,1965,1965-04,1965Apr,NA
5,5,May,1965,1965-05,1965May,NA
6,6,Jun,1965,1965-06,1965Jun,NA
7,7,Jul,1965,1965-07,1965Jul,NA
8,8,Aug,1965,1965-08,1965Aug,NA
9,9,Sep,1965,1965-09,1965Sep,NA
10,10,Oct,1965,1965-10,1965Oct,NA
11,11,Nov,1965,1965-11,1965Nov,NA
12,12,Dec,1965,1965-12,1965Dec,NA
1,1,Jan,1966,1966-01,1966Jan,NA
2,2,Feb,1966,1966-02,1966Feb,NA
3,3,Mar,1966,1966-03,1966Mar,NA
4,4,Apr,1966,1966-04,1966Apr,NA
5,5,May,1966,1966-05,1966May,NA
6,6,Jun,1966,1966-06,1966Jun,NA
7,7,Jul,1966,1966-07,1966Jul,NA
8,8,Aug,1966,1966-08,1966Aug,NA
9,9,Sep,1966,1966-09,1966Sep,NA
10,10,Oct,1966,1966-10,1966Oct,NA
11,11,Nov,1966,1966-11,1966Nov,NA
12,12,Dec,1966,1966-12,1966Dec,NA
1,1,Jan,1967,1967-01,1967Jan,NA
2,2,Feb,1967,1967-02,1967Feb,NA
3,3,Mar,1967,1967-03,1967Mar,NA
4,4,Apr,1967,1967-04,1967Apr,NA
5,5,May,1967,1967-05,1967May,NA
6,6,Jun,1967,1967-06,1967Jun,NA
7,7,Jul,1967,1967-07,1967Jul,NA
8,8,Aug,1967,1967-08,1967Aug,NA
9,9,Sep,1967,1967-09,1967Sep,NA
10,10,Oct,1967,1967-10,1967Oct,NA
11,11,Nov,1967,1967-11,1967Nov,NA
12,12,Dec,1967,1967-12,1967Dec,NA
1,1,Jan,1968,1968-01,1968Jan,NA
2,2,Feb,1968,1968-02,1968Feb,NA
3,3,Mar,1968,1968-03,1968Mar,NA
4,4,Apr,1968,1968-04,1968Apr,NA
5,5,May,1968,1968-05,1968May,NA
6,6,Jun,1968,1968-06,1968Jun,NA
7,7,Jul,1968,1968-07,1968Jul,NA
8,8,Aug,1968,1968-08,1968Aug,NA
9,9,Sep,1968,1968-09,1968Sep,NA
10,10,Oct,1968,1968-10,1968Oct,NA
11,11,Nov,1968,1968-11,1968Nov,NA
12,12,Dec,1968,1968-12,1968Dec,NA
1,1,Jan,1969,1969-01,1969Jan,NA
2,2,Feb,1969,1969-02,1969Feb,NA
3,3,Mar,1969,1969-03,1969Mar,NA
4,4,Apr,1969,1969-04,1969Apr,NA
5,5,May,1969,1969-05,1969May,NA
6,6,Jun,1969,1969-06,1969Jun,NA
7,7,Jul,1969,1969-07,1969Jul,NA
8,8,Aug,1969,1969-08,1969Aug,NA
9,9,Sep,1969,1969-09,1969Sep,NA
10,10,Oct,1969,1969-10,1969Oct,NA
11,11,Nov,1969,1969-11,1969Nov,NA
12,12,Dec,1969,1969-12,1969Dec,NA
1,1,Jan,1970,1970-01,1970Jan,NA
2,2,Feb,1970,1970-02,1970Feb,NA
3,3,Mar,1970,1970-03,1970Mar,NA
4,4,Apr,1970,1970-04,1970Apr,NA
5,5,May,1970,1970-05,1970May,NA
6,6,Jun,1970,1970-06,1970Jun,NA
7,7,Jul,1970,1970-07,1970Jul,NA
8,8,Aug,1970,1970-08,1970Aug,NA
9,9,Sep,1970,1970-09,1970Sep,NA
10,10,Oct,1970,1970-10,1970Oct,NA
11,11,Nov,1970,1970-11,1970Nov,NA
12,12,Dec,1970,1970-12,1970Dec,NA
1,1,Jan,1971,1971-01,1971Jan,NA
2,2,Feb,1971,1971-02,1971Feb,NA
3,3,Mar,1971,1971-03,1971Mar,NA
4,4,Apr,1971,1971-04,1971Apr,NA
5,5,May,1971,1971-05,1971May,NA
6,6,Jun,1971,1971-06,1971Jun,NA
7,7,Jul,1971,1971-07,1971Jul,NA
8,8,Aug,1971,1971-08,1971Aug,NA
9,9,Sep,1971,1971-09,1971Sep,NA
10,10,Oct,1971,1971-10,1971Oct,NA
11,11,Nov,1971,1971-11,1971Nov,NA
12,12,Dec,1971,1971-12,1971Dec,NA
1,1,Jan,1972,1972-01,1972Jan,NA
2,2,Feb,1972,1972-02,1972Feb,NA
3,3,Mar,1972,1972-03,1972Mar,NA
4,4,Apr,1972,1972-04,1972Apr,NA
5,5,May,1972,1972-05,1972May,NA
6,6,Jun,1972,1972-06,1972Jun,NA
7,7,Jul,1972,1972-07,1972Jul,NA
8,8,Aug,1972,1972-08,1972Aug,NA
9,9,Sep,1972,1972-09,1972Sep,NA
10,10,Oct,1972,1972-10,1972Oct,NA
11,11,Nov,1972,1972-11,1972Nov,NA
12,12,Dec,1972,1972-12,1972Dec,NA
1,1,Jan,1973,1973-01,1973Jan,NA
2,2,Feb,1973,1973-02,1973Feb,NA
3,3,Mar,1973,1973-03,1973Mar,NA
4,4,Apr,1973,1973-04,1973Apr,NA
5,5,May,1973,1973-05,1973May,NA
6,6,Jun,1973,1973-06,1973Jun,NA
7,7,Jul,1973,1973-07,1973Jul,NA
8,8,Aug,1973,1973-08,1973Aug,NA
9,9,Sep,1973,1973-09,1973Sep,NA
10,10,Oct,1973,1973-10,1973Oct,NA
11,11,Nov,1973,1973-11,1973Nov,NA
12,12,Dec,1973,1973-12,1973Dec,NA
1,1,Jan,1974,1974-01,1974Jan,NA
2,2,Feb,1974,1974-02,1974Feb,NA
3,3,Mar,1974,1974-03,1974Mar,NA
4,4,Apr,1974,1974-04,1974Apr,NA
5,5,May,1974,1974-05,1974May,NA
6,6,Jun,1974,1974-06,1974Jun,NA
7,7,Jul,1974,1974-07,1974Jul,NA
8,8,Aug,1974,1974-08,1974Aug,NA
9,9,Sep,1974,1974-09,1974Sep,NA
10,10,Oct,1974,1974-10,1974Oct,NA
11,11,Nov,1974,1974-11,1974Nov,NA
12,12,Dec,1974,1974-12,1974Dec,NA
1,1,Jan,1975,1975-01,1975Jan,NA
2,2,Feb,1975,1975-02,1975Feb,NA
3,3,Mar,1975,1975-03,1975Mar,NA
4,4,Apr,1975,1975-04,1975Apr,NA
5,5,May,1975,1975-05,1975May,NA
6,6,Jun,1975,1975-06,1975Jun,NA
7,7,Jul,1975,1975-07,1975Jul,NA
8,8,Aug,1975,1975-08,1975Aug,NA
9,9,Sep,1975,1975-09,1975Sep,NA
10,10,Oct,1975,1975-10,1975Oct,NA
11,11,Nov,1975,1975-11,1975Nov,NA
12,12,Dec,1975,1975-12,1975Dec,NA
1,1,Jan,1976,1976-01,1976Jan,NA
2,2,Feb,1976,1976-02,1976Feb,NA
3,3,Mar,1976,1976-03,1976Mar,NA
4,4,Apr,1976,1976-04,1976Apr,NA
5,5,May,1976,1976-05,1976May,NA
6,6,Jun,1976,1976-06,1976Jun,NA
7,7,Jul,1976,1976-07,1976Jul,NA
8,8,Aug,1976,1976-08,1976Aug,NA
9,9,Sep,1976,1976-09,1976Sep,NA
10,10,Oct,1976,1976-10,1976Oct,NA
11,11,Nov,1976,1976-11,1976Nov,NA
12,12,Dec,1976,1976-12,1976Dec,NA
1,1,Jan,1977,1977-01,1977Jan,NA
2,2,Feb,1977,1977-02,1977Feb,NA
3,3,Mar,1977,1977-03,1977Mar,NA
4,4,Apr,1977,1977-04,1977Apr,NA
5,5,May,1977,1977-05,1977May,NA
6,6,Jun,1977,1977-06,1977Jun,NA
7,7,Jul,1977,1977-07,1977Jul,NA
8,8,Aug,1977,1977-08,1977Aug,NA
9,9,Sep,1977,1977-09,1977Sep,NA
10,10,Oct,1977,1977-10,1977Oct,NA
11,11,Nov,1977,1977-11,1977Nov,NA
12,12,Dec,1977,1977-12,1977Dec,NA
1,1,Jan,1978,1978-01,1978Jan,NA
2,2,Feb,1978,1978-02,1978Feb,NA
3,3,Mar,1978,1978-03,1978Mar,NA
4,4,Apr,1978,1978-04,1978Apr,NA
5,5,May,1978,1978-05,1978May,NA
6,6,Jun,1978,1978-06,1978Jun,NA
7,7,Jul,1978,1978-07,1978Jul,NA
8,8,Aug,1978,1978-08,1978Aug,NA
9,9,Sep,1978,1978-09,1978Sep,NA
10,10,Oct,1978,1978-10,1978Oct,NA
11,11,Nov,1978,1978-11,1978Nov,NA
12,12,Dec,1978,1978-12,1978Dec,NA
1,1,Jan,1979,1979-01,1979Jan,NA
2,2,Feb,1979,1979-02,1979Feb,NA
3,3,Mar,1979,1979-03,1979Mar,NA
4,4,Apr,1979,1979-04,1979Apr,NA
5,5,May,1979,1979-05,1979May,NA
6,6,Jun,1979,1979-06,1979Jun,NA
7,7,Jul,1979,1979-07,1979Jul,NA
8,8,Aug,1979,1979-08,1979Aug,NA
9,9,Sep,1979,1979-09,1979Sep,NA
10,10,Oct,1979,1979-10,1979Oct,NA
11,11,Nov,1979,1979-11,1979Nov,NA
12,12,Dec,1979,1979-12,1979Dec,NA
1,1,Jan,1980,1980-01,1980Jan,NA
2,2,Feb,1980,1980-02,1980Feb,NA
3,3,Mar,1980,1980-03,1980Mar,NA
4,4,Apr,1980,1980-04,1980Apr,NA
5,5,May,1980,1980-05,1980May,NA
6,6,Jun,1980,1980-06,1980Jun,NA
7,7,Jul,1980,1980-07,1980Jul,NA
8,8,Aug,1980,1980-08,1980Aug,NA
9,9,Sep,1980,1980-09,1980Sep,NA
10,10,Oct,1980,1980-10,1980Oct,NA
11,11,Nov,1980,1980-11,1980Nov,NA
12,12,Dec,1980,1980-12,1980Dec,NA
1,1,Jan,1981,1981-01,1981Jan,NA
2,2,Feb,1981,1981-02,1981Feb,NA
3,3,Mar,1981,1981-03,1981Mar,NA
4,4,Apr,1981,1981-04,1981Apr,NA
5,5,May,1981,1981-05,1981May,NA
6,6,Jun,1981,1981-06,1981Jun,NA
7,7,Jul,1981,1981-07,1981Jul,NA
8,8,Aug,1981,1981-08,1981Aug,NA
9,9,Sep,1981,1981-09,1981Sep,NA
10,10,Oct,1981,1981-10,1981Oct,NA
11,11,Nov,1981,1981-11,1981Nov,NA
12,12,Dec,1981,1981-12,1981Dec,NA
1,1,Jan,1982,1982-01,1982Jan,NA
2,2,Feb,1982,1982-02,1982Feb,NA
3,3,Mar,1982,1982-03,1982Mar,NA
4,4,Apr,1982,1982-04,1982Apr,NA
5,5,May,1982,1982-05,1982May,NA
6,6,Jun,1982,1982-06,1982Jun,NA
7,7,Jul,1982,1982-07,1982Jul,NA
8,8,Aug,1982,1982-08,1982Aug,NA
9,9,Sep,1982,1982-09,1982Sep,NA
10,10,Oct,1982,1982-10,1982Oct,NA
11,11,Nov,1982,1982-11,1982Nov,NA
12,12,Dec,1982,1982-12,1982Dec,NA
1,1,Jan,1983,1983-01,1983Jan,NA
2,2,Feb,1983,1983-02,1983Feb,NA
3,3,Mar,1983,1983-03,1983Mar,NA
4,4,Apr,1983,1983-04,1983Apr,NA
5,5,May,1983,1983-05,1983May,NA
6,6,Jun,1983,1983-06,1983Jun,NA
7,7,Jul,1983,1983-07,1983Jul,NA
8,8,Aug,1983,1983-08,1983Aug,NA
9,9,Sep,1983,1983-09,1983Sep,NA
10,10,Oct,1983,1983-10,1983Oct,NA
11,11,Nov,1983,1983-11,1983Nov,NA
12,12,Dec,1983,1983-12,1983Dec,NA
1,1,Jan,1984,1984-01,1984Jan,NA
2,2,Feb,1984,1984-02,1984Feb,NA
3,3,Mar,1984,1984-03,1984Mar,NA
4,4,Apr,1984,1984-04,1984Apr,NA
5,5,May,1984,1984-05,1984May,NA
6,6,Jun,1984,1984-06,1984Jun,NA
7,7,Jul,1984,1984-07,1984Jul,NA
8,8,Aug,1984,1984-08,1984Aug,NA
9,9,Sep,1984,1984-09,1984Sep,NA
10,10,Oct,1984,1984-10,1984Oct,NA
11,11,Nov,1984,1984-11,1984Nov,NA
12,12,Dec,1984,1984-12,1984Dec,NA
1,1,Jan,1985,1985-01,1985Jan,NA
2,2,Feb,1985,1985-02,1985Feb,NA
3,3,Mar,1985,1985-03,1985Mar,NA
4,4,Apr,1985,1985-04,1985Apr,NA
5,5,May,1985,1985-05,1985May,36.6383
6,6,Jun,1985,1985-06,1985Jun,35.4184
7,7,Jul,1985,1985-07,1985Jul,34.2709
8,8,Aug,1985,1985-08,1985Aug,33.8411
9,9,Sep,1985,1985-09,1985Sep,34.6826
10,10,Oct,1985,1985-10,1985Oct,33.4498
11,11,Nov,1985,1985-11,1985Nov,34.1048
12,12,Dec,1985,1985-12,1985Dec,29.5807
1,1,Jan,1986,1986-01,1986Jan,25.2609
2,2,Feb,1986,1986-02,1986Feb,16.8622
3,3,Mar,1986,1986-03,1986Mar,13.3181
4,4,Apr,1986,1986-04,1986Apr,12.5621
5,5,May,1986,1986-05,1986May,14.2754
6,6,Jun,1986,1986-06,1986Jun,12.2961
7,7,Jul,1986,1986-07,1986Jul,10.0871
8,8,Aug,1986,1986-08,1986Aug,13.5117
9,9,Sep,1986,1986-09,1986Sep,13.9921
10,10,Oct,1986,1986-10,1986Oct,13.6932
11,11,Nov,1986,1986-11,1986Nov,14.4211
12,12,Dec,1986,1986-12,1986Dec,15.3397
1,1,Jan,1987,1987-01,1987Jan,16.5182
2,2,Feb,1987,1987-02,1987Feb,15.2809
3,3,Mar,1987,1987-03,1987Mar,15.6204
4,4,Apr,1987,1987-04,1987Apr,15.5698
5,5,May,1987,1987-05,1987May,15.9458
6,6,Jun,1987,1987-06,1987Jun,16.4063
7,7,Jul,1987,1987-07,1987Jul,17.55
8,8,Aug,1987,1987-08,1987Aug,17.0353
9,9,Sep,1987,1987-09,1987Sep,16.0591
10,10,Oct,1987,1987-10,1987Oct,16.3643
11,11,Nov,1987,1987-11,1987Nov,14.6527
12,12,Dec,1987,1987-12,1987Dec,13.4664
1,1,Jan,1988,1988-01,1988Jan,13.3266
2,2,Feb,1988,1988-02,1988Feb,13.1823
3,3,Mar,1988,1988-03,1988Mar,12.113
4,4,Apr,1988,1988-04,1988Apr,13.354
5,5,May,1988,1988-05,1988May,13.4537
6,6,Jun,1988,1988-06,1988Jun,13.2715
7,7,Jul,1988,1988-07,1988Jul,13.1959
8,8,Aug,1988,1988-08,1988Aug,13.5542
9,9,Sep,1988,1988-09,1988Sep,12.124
10,10,Oct,1988,1988-10,1988Oct,10.967
11,11,Nov,1988,1988-11,1988Nov,10.9201
12,12,Dec,1988,1988-12,1988Dec,12.5971
1,1,Jan,1989,1989-01,1989Jan,14.3176
2,2,Feb,1989,1989-02,1989Feb,14.2471
3,3,Mar,1989,1989-03,1989Mar,16.0926
4,4,Apr,1989,1989-04,1989Apr,17.1334
5,5,May,1989,1989-05,1989May,16.5866
6,6,Jun,1989,1989-06,1989Jun,16.361
7,7,Jul,1989,1989-07,1989Jul,15.8494
8,8,Aug,1989,1989-08,1989Aug,15.5932
9,9,Sep,1989,1989-09,1989Sep,16.6387
10,10,Oct,1989,1989-10,1989Oct,16.8312
11,11,Nov,1989,1989-11,1989Nov,16.5044
12,12,Dec,1989,1989-12,1989Dec,16.5556
1,1,Jan,1990,1990-01,1990Jan,16.7469
2,2,Feb,1990,1990-02,1990Feb,15.9543
3,3,Mar,1990,1990-03,1990Mar,15.5888
4,4,Apr,1990,1990-04,1990Apr,14.3945
5,5,May,1990,1990-05,1990May,13.8889
6,6,Jun,1990,1990-06,1990Jun,12.9999
7,7,Jul,1990,1990-07,1990Jul,14.1022
8,8,Aug,1990,1990-08,1990Aug,19.6245
9,9,Sep,1990,1990-09,1990Sep,24.7658
10,10,Oct,1990,1990-10,1990Oct,25.9843
11,11,Nov,1990,1990-11,1990Nov,22.9635
12,12,Dec,1990,1990-12,1990Dec,19.6288
1,1,Jan,1991,1991-01,1991Jan,17.3363
2,2,Feb,1991,1991-02,1991Feb,13.311
3,3,Mar,1991,1991-03,1991Mar,14.6359
4,4,Apr,1991,1991-04,1991Apr,15.834
5,5,May,1991,1991-05,1991May,16.2415
6,6,Jun,1991,1991-06,1991Jun,15.9808
7,7,Jul,1991,1991-07,1991Jul,16.9726
8,8,Aug,1991,1991-08,1991Aug,16.8707
9,9,Sep,1991,1991-09,1991Sep,16.923
10,10,Oct,1991,1991-10,1991Oct,18.1138
11,11,Nov,1991,1991-11,1991Nov,16.7716
12,12,Dec,1991,1991-12,1991Dec,14.0299
1,1,Jan,1992,1992-01,1992Jan,13.822
2,2,Feb,1992,1992-02,1992Feb,14.2537
3,3,Mar,1992,1992-03,1992Mar,14.3985
4,4,Apr,1992,1992-04,1992Apr,15.2454
5,5,May,1992,1992-05,1992May,15.6683
6,6,Jun,1992,1992-06,1992Jun,16.1721
7,7,Jul,1992,1992-07,1992Jul,14.8679
8,8,Aug,1992,1992-08,1992Aug,14.1948
9,9,Sep,1992,1992-09,1992Sep,14.7056
10,10,Oct,1992,1992-10,1992Oct,15.3818
11,11,Nov,1992,1992-11,1992Nov,15.5
12,12,Dec,1992,1992-12,1992Dec,14.7886
1,1,Jan,1993,1993-01,1993Jan,14.563
2,2,Feb,1993,1993-02,1993Feb,15.5528
3,3,Mar,1993,1993-03,1993Mar,15.9781
4,4,Apr,1993,1993-04,1993Apr,15.5139
5,5,May,1993,1993-05,1993May,15.3603
6,6,Jun,1993,1993-06,1993Jun,15.0512
7,7,Jul,1993,1993-07,1993Jul,14.7874
8,8,Aug,1993,1993-08,1993Aug,14.9624
9,9,Sep,1993,1993-09,1993Sep,13.9188
10,10,Oct,1993,1993-10,1993Oct,14.5146
11,11,Nov,1993,1993-11,1993Nov,13.7115
12,12,Dec,1993,1993-12,1993Dec,12.0738
1,1,Jan,1994,1994-01,1994Jan,12.5688
2,2,Feb,1994,1994-02,1994Feb,12.2547
3,3,Mar,1994,1994-03,1994Mar,11.874
4,4,Apr,1994,1994-04,1994Apr,13.0261
5,5,May,1994,1994-05,1994May,13.8681
