"",BBEX3.M.HNL.USD.CA.AB.A01,BBEX3.M.HNL.USD.CA.AB.A01_FLAGS
2004-11,18.7800,
2004-12,18.9100,
2005-01,18.9300,
2005-02,18.9800,
2005-03,19.0100,
2005-04,19.1100,
2005-05,18.9900,
2005-06,19.0000,
2005-07,19.0000,
2005-08,19.0000,
2005-09,19.0200,
2005-10,19.0300,
2005-11,19.0300,
2005-12,19.0300,
2006-01,19.0300,
2006-02,19.0300,
2006-03,19.0300,
2006-04,19.0300,
2006-05,19.0300,
2006-06,19.0300,
2006-07,19.0300,
2006-08,19.0300,
2006-09,19.0300,
2006-10,19.0300,
2006-11,19.0300,
2006-12,19.0300,
2007-01,19.0300,
2007-02,19.0300,
2007-03,19.0300,
2007-04,19.0300,
2007-05,19.0300,
2007-06,19.0300,
2007-07,19.0300,
2007-08,19.0300,
2007-09,19.0300,
2007-10,19.0300,
2007-11,19.0300,
2007-12,19.0300,
2008-01,19.0300,
2008-02,19.0300,
2008-03,19.0300,
2008-04,19.1400,
2008-05,19.0500,
2008-06,19.0300,
2008-07,19.0300,
2008-08,19.0300,
2008-09,19.0300,
2008-10,19.0274,
2008-11,19.0269,
2008-12,19.0274,
2009-01,19.0273,
2009-02,19.0274,
2009-03,19.0274,
2009-04,19.0274,
2009-05,19.0274,
2009-06,19.0271,
2009-07,19.0274,
2009-08,19.0273,
2009-09,19.0274,
2009-10,19.0272,
2009-11,19.0272,
2009-12,19.0274,
2010-01,19.0271,
2010-02,19.0273,
2010-03,19.0274,
2010-04,19.0273,
2010-05,19.0273,
2010-06,19.0273,
2010-07,19.0272,
2010-08,19.0265,
2010-09,19.0272,
2010-10,19.0222,
2010-11,19.0105,
2010-12,19.0273,
2011-01,19.0261,
2011-02,19.0273,
2011-03,19.0273,
2011-04,19.0274,
2011-05,19.0270,
2011-06,19.0273,
2011-07,18.9225,
2011-08,19.0185,
2011-09,19.0942,
2011-10,19.1461,
2011-11,19.1002,
2011-12,19.1820,
2012-01,19.2522,
2012-02,19.3339,
2012-03,19.4122,
2012-04,19.4714,
2012-05,19.5525,
2012-06,19.6287,
2012-07,19.7107,
2012-08,19.7955,
2012-09,19.8701,
2012-10,19.9441,
2012-11,20.0262,
2012-12,20.1020,
2013-01,20.1806,
2013-02,20.2514,
2013-03,20.3216,
2013-04,20.3973,
2013-05,20.4820,
2013-06,20.5591,
2013-07,20.6059,
2013-08,20.6174,
2013-09,20.6833,
2013-10,20.6828,
2013-11,20.7295,
2013-12,20.7417,
2014-01,20.7903,
2014-02,20.8341,
2014-03,20.8961,
2014-04,20.9495,
2014-05,21.0068,
2014-06,21.1190,
2014-07,21.1274,
2014-08,21.2541,
2014-09,21.3866,
2014-10,21.4532,
2014-11,21.5750,
2014-12,21.6630,
2015-01,21.8617,
"","General: Until 25 March 1991, an exchange rate of USD 1 = HNL 2 applied to the servicing of government debt.",
"","Source: Since March 2003: Banco Central de Honduras, Tegucigalpa 1991 - February 2003: Dresdner Bank Lateinamerika AG, Hamburg (formerly: Deutsch-Südamerikanische Bank AG).",
"",Comment on 1992-06: Exchange rate on 19 June 1992.,
"",Comment on 1994-03: Exchange rate on 25 March 1994.,
"",Comment on 1998-06: Exchange rate on 26 June 1998.,
"",Comment on 1998-08: Exchange rate on 28 August 1998.,
"",Comment on 1998-10: Exchange rate on 6 November 1998.,
"",Comment on 2000-01: Exchange rate on 21 January 2000.,
