"",BBEX3.M.SEK.USD.CA.AA.A02,BBEX3.M.SEK.USD.CA.AA.A02_FLAGS
1984-06,8.0909,
1984-07,8.2914,
1984-08,8.3479,
1984-09,8.5635,
1984-10,8.6775,
1984-11,8.5689,
1984-12,8.8375,
1985-01,9.0563,
1985-02,9.3070,
1985-03,9.4095,
1985-04,8.9526,
1985-05,8.9945,
1985-06,8.8436,
1985-07,8.4851,
1985-08,8.2919,
1985-09,8.3870,
1985-10,7.9465,
1985-11,7.7971,
1985-12,7.6747,
1986-01,7.5823,
1986-02,7.3920,
1986-03,7.2263,
1986-04,7.2331,
1986-05,7.1450,
1986-06,7.2010,
1986-07,7.0557,
1986-08,6.9200,
1986-09,6.9033,
1986-10,6.7816,
1986-11,6.9538,
1986-12,6.9067,
1987-01,6.5941,
1987-02,6.4993,
1987-03,6.4049,
1987-04,6.3055,
1987-05,6.2388,
1987-06,6.3346,
1987-07,6.4263,
1987-08,6.4762,
1987-09,6.3681,
1987-10,6.3459,
1987-11,6.0599,
1987-12,5.9401,
1988-01,5.9599,
1988-02,6.0411,
1988-03,5.9404,
1988-04,5.8780,
1988-05,5.8939,
1988-06,6.0725,
1988-07,6.3286,
1988-08,6.4668,
1988-09,6.4298,
1988-10,6.2682,
1988-11,6.0791,
1988-12,6.0689,
1989-01,6.2433,
1989-02,6.3076,
1989-03,6.3679,
1989-04,6.3548,
1989-05,6.5800,
1989-06,6.6781,
1989-07,6.4600,
1989-08,6.5301,
1989-09,6.5970,
1989-10,6.4409,
1989-11,6.4152,
1989-12,6.2837,
1990-01,6.1721,
1990-02,6.1028,
1990-03,6.1569,
1990-04,6.1114,
1990-05,6.0439,
1990-06,6.0851,
1990-07,5.9455,
1990-08,5.7682,
1990-09,5.7590,
1990-10,5.6363,
1990-11,5.5585,
1990-12,5.6075,
1991-01,5.6318,
1991-02,5.5261,
1991-03,5.8718,
1991-04,6.1136,
1991-05,6.1369,
1991-06,6.4147,
1991-07,6.4721,
1991-08,6.3335,
1991-09,6.1725,
1991-10,6.1540,
1991-11,5.9302,
1991-12,5.7468,
1992-01,5.7377,
1992-02,5.8674,
1992-03,6.0219,
1992-04,5.9579,
1992-05,5.8330,
1992-06,5.6836,
1992-07,5.3977,
1992-08,5.2827,
1992-09,5.3509,
1992-10,5.5735,
1992-11,6.2120,comment
1992-12,6.8671,
1993-01,7.2211,
1993-02,7.5119,
1993-03,7.7099,
1993-04,7.4150,
1993-05,7.3125,
1993-06,7.3948,
1993-07,7.9352,
1993-08,8.0332,
1993-09,8.0040,
1993-10,7.9973,
1993-11,8.2475,
1993-12,8.3471,
1994-01,8.1174,
1994-02,7.9650,
1994-03,7.9018,
1994-04,7.8717,
1994-05,7.7065,
1994-06,7.7958,
1994-07,7.7489,
1994-08,7.7266,
1994-09,7.5253,
1994-10,7.2519,
1994-11,7.3352,
1994-12,7.5081,
1995-01,7.4536,
1995-02,7.3744,
1995-03,7.2537,
1995-04,7.3317,
1995-05,7.2779,
1995-06,7.2471,
1995-07,7.1674,
1995-08,7.2159,
1995-09,7.1300,
1995-10,6.8258,
1995-11,6.5851,
1995-12,6.6164,
1996-01,6.7097,
1996-02,6.8690,
1996-03,6.7215,
1996-04,6.7101,
1996-05,6.7870,
1996-06,6.6686,
1996-07,6.6288,
1996-08,6.6065,
1996-09,6.6295,
1996-10,6.5870,
1996-11,6.6098,
1996-12,6.8013,
1997-01,7.0470,
1997-02,7.3874,
1997-03,7.6421,
1997-04,7.6664,
1997-05,7.6611,
1997-06,7.7323,
1997-07,7.7926,
1997-08,7.9842,
1997-09,7.6877,
1997-10,7.5610,
1997-11,7.5478,
1997-12,7.7714,
1998-01,7.9968,
1998-02,8.0663,
1998-03,7.9540,
1998-04,7.8118,
1998-05,7.6789,
1998-06,7.8956,
1998-07,7.9734,
1998-08,8.1154,
1998-09,7.8992,
1998-10,7.8383,
1998-11,7.9819,
1998-12,8.0411,
1999-01,7.8118,
1999-02,7.9334,
1999-03,8.2005,
1999-04,8.3119,
1999-05,8.4303,
1999-06,8.4944,
1999-07,8.4450,
1999-08,8.2443,
1999-09,8.2075,
1999-10,8.1337,
1999-11,8.3253,
1999-12,8.4700,
2000-01,8.4580,
2000-02,8.6337,
2000-03,8.6821,
2000-04,8.7078,
2000-05,9.0714,
2000-06,8.7342,
2000-07,8.9221,
2000-08,9.2577,
2000-09,9.6444,
2000-10,9.9471,
2000-11,10.0655,
2000-12,9.6475,
2001-01,9.4544,
2001-02,9.7232,
2001-03,10.0191,
2001-04,10.1919,
2001-05,10.3279,
2001-06,10.7628,
2001-07,10.7541,
2001-08,10.3218,
2001-09,10.5984,
2001-10,10.5505,
2001-11,10.5840,
2001-12,10.5469,
2002-01,10.4273,
2002-02,10.5478,
2002-03,10.3189,
2002-04,10.2830,
2002-05,10.0207,
2002-06,9.5276,
2002-07,9.3177,
2002-08,9.4316,
2002-09,9.3179,
2002-10,9.2468,
2002-11,9.0330,
2002-12,8.9133,
2003-01,8.6061,
2003-02,8.4605,
2003-03,8.4973,
2003-04,8.4046,
2003-05,7.8904,
2003-06,7.7783,
2003-07,8.0482,
2003-08,8.2564,
2003-09,8.0517,
2003-10,7.6605,
2003-11,7.6506,
2003-12,7.3307,
2004-01,7.2168,
2004-02,7.2274,
2004-03,7.4920,
2004-04,7.6176,
2004-05,7.5736,
2004-06,7.5007,
2004-07,7.4606,
2004-08,7.5119,
2004-09,7.4159,
2004-10,7.2232,
2004-11,6.9065,
2004-12,6.6705,
2005-01,6.8671,
2005-02,6.9453,
2005-03,6.8430,
2005-04,7.0471,
2005-05,7.2157,
2005-06,7.5754,
2005-07,7.7956,
2005-08,7.5677,
2005-09,7.5890,
2005-10,7.8043,
2005-11,8.0757,
2005-12,7.9199,
2006-01,7.6626,
2006-02,7.7865,
2006-03,7.7849,
2006-04,7.5739,
2006-05,7.2799,
2006-06,7.2615,
2006-07,7.2277,
2006-08,7.1525,
2006-09,7.2462,
2006-10,7.3034,
2006-11,7.0370,
2006-12,6.8050,
2007-01,6.9498,
2007-02,6.9904,
2007-03,6.9899,
2007-04,6.8064,
2007-05,6.7798,
2007-06,6.9321,
2007-07,6.6667,
2007-08,6.8110,
2007-09,6.6575,
2007-10,6.4208,
2007-11,6.2962,
2007-12,6.4387,
2008-01,6.3850,
2008-02,6.3201,
2008-03,6.0304,
2008-04,5.9153,
2008-05,5.9588,
2008-06,5.9933,
2008-07,5.9657,
2008-08,6.2393,
2008-09,6.6180,
2008-10,7.3727,
2008-11,7.9226,
2008-12,7.9713,
2009-01,8.0739,
2009-02,8.4871,
2009-03,8.5372,
2009-04,8.2206,
2009-05,7.7283,
2009-06,7.7211,
2009-07,7.6671,
2009-08,7.1345,
2009-09,6.9750,
2009-10,6.9213,
2009-11,6.8938,
2009-12,7.0919,
2010-01,7.1086,
2010-02,7.2381,
2010-03,7.1326,
2010-04,7.1735,
2010-05,7.6668,
2010-06,7.8043,
2010-07,7.4215,
2010-08,7.2711,
2010-09,7.0405,
2010-10,6.6431,
2010-11,6.7834,
2010-12,6.8258,
2011-01,6.6435,
2011-02,6.4099,
2011-03,6.3180,
2011-04,6.1824,
2011-05,6.2058,
2011-06,6.3068,
2011-07,6.3648,
2011-08,6.3643,
2011-09,6.6090,
2011-10,6.6240,
2011-11,6.7124,
2011-12,6.8130,
2012-01,6.8165,
2012-02,6.6381,
2012-03,6.6973,
2012-04,6.6971,
2012-05,6.9963,
2012-06,7.0448,
2012-07,6.9226,
2012-08,6.6542,
2012-09,6.5813,
2012-10,6.6109,
2012-11,6.6774,
2012-12,6.5824,
2013-01,6.4579,
2013-02,6.3366,
2013-03,6.4023,
2013-04,6.4567,
2013-05,6.5855,
2013-06,6.5444,
2013-07,6.5875,
2013-08,6.5027,
2013-09,6.4685,
2013-10,6.3786,
2013-11,6.5519,
2013-12,6.5085,
2014-01,6.4513,
2014-02,6.4652,
2014-03,6.3815,
2014-04,6.5074,
2014-05,6.5372,
2014-06,6.6520,
2014-07,6.7835,
2014-08,6.8665,
2014-09,7.0905,
2014-10,7.2046,
2014-11,7.3721,
2014-12,7.5716,
2015-01,8.0771,
"","Source: Skandinaviska Enskilda Banken, Stockholm",
"",Methodology: Calculated on the basis of daily rates.,
"","Comment on 1992-11: On 20 November 1992, the Swedish central bank decided to abandon the unilateral pegging of the Swedish krona to the ECU and allow the Swedish krona to float. On the basis of the exchange rates on 19 and 20 November 1992, the Swedish krona depreciated by 11.0% against the US dollar (middle rate).",
