"",BBEX3.M.VUV.USD.CA.AB.A01,BBEX3.M.VUV.USD.CA.AB.A01_FLAGS
2006-05,115.02,
2006-06,117.45,
2006-07,115.58,
2006-08,114.85,
2006-09,115.20,
2006-10,113.70,
2006-11,112.35,
2006-12,111.70,
2007-01,112.80,
2007-02,111.25,
2007-03,110.04,
2007-04,107.76,
2007-05,108.20,
2007-06,106.80,
2007-07,104.50,
2007-08,108.25,
2007-09,104.65,
2007-10,102.02,
2007-11,103.45,
2007-12,103.60,
2008-01,102.44,
2008-02,99.90,
2008-03,99.30,
2008-04,99.00,
2008-05,98.70,
2008-06,98.90,
2008-07,100.15,
2008-08,104.30,
2008-09,108.20,
2008-10,119.07,
2008-11,122.24,
2008-12,116.67,
2009-01,122.00,
2009-02,123.20,
2009-03,119.36,
2009-04,116.18,
2009-05,110.47,
2009-06,108.48,
2009-07,107.51,
2009-08,105.74,
2009-09,103.51,
2009-10,100.87,
2009-11,100.90,
2009-12,102.04,
2010-01,102.79,
2010-02,103.73,
2010-03,102.17,
2010-04,101.72,
2010-05,107.05,
2010-06,105.70,
2010-07,104.18,
2010-08,104.86,
2010-09,99.71,
2010-10,99.01,
2010-11,99.20,
2010-12,97.62,
2011-01,98.30,
2011-02,98.00,
2011-03,96.45,
2011-04,92.70,
2011-05,93.85,
2011-06,93.60,
2011-07,91.85,
2011-08,93.15,
2011-09,98.75,
2011-10,93.18,
2011-11,98.65,
2011-12,97.30,
2012-01,94.63,
2012-02,93.45,
2012-03,95.73,
2012-04,95.43,
2012-05,99.63,
2012-06,98.47,
2012-07,97.01,
2012-08,97.22,
2012-09,95.68,
2012-10,96.10,
2012-11,95.78,
2012-12,95.86,
2013-01,95.06,
2013-02,96.57,
2013-03,95.87,
2013-04,95.71,
2013-05,99.28,
2013-06,101.39,
2013-07,101.79,
2013-08,102.81,
2013-09,100.01,
2013-10,99.11,
2013-11,101.19,
2013-12,101.64,
2014-01,102.48,
2014-02,101.16,
2014-03,99.42,
2014-04,99.47,
2014-05,99.53,
2014-06,98.56,
2014-07,99.59,
2014-08,99.78,
2014-09,104.22,
2014-10,103.56,
2014-11,105.09,
2014-12,107.34,
2015-01,111.44,
"","Source: Since December 2009 National Bank of Vanuatu, Port Vila  January 2006 - November 2009 Australia and New Zealand Banking Group (ANZ), Port Vila  April 1998 - December 2005 Westpac Banking Corporation, Port Vila  January 1990 - March 1998 Reserve Bank of Vanuatu, Port Vila",
