"",BBFB1.M.N.DE.W1.S1.S1.T.L.FA.O.F519._Z._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.O.F519._Z._T.M.N_FLAGS
2009-07,4.026,
2009-08,3.818,
2009-09,-4.093,
2009-10,338.517,
2009-11,2.996,
2009-12,41.550,
2010-01,-23.385,
2010-02,9.850,
2010-03,-54.160,
2010-04,4.295,
2010-05,11.346,
2010-06,-2.158,
2010-07,6.575,
2010-08,-5.620,
2010-09,-2.698,
2010-10,-17.108,
2010-11,-146.072,
2010-12,15.485,
2011-01,14.278,
2011-02,-4.401,
2011-03,60.688,
2011-04,17.138,
2011-05,-2.193,
2011-06,2.530,
2011-07,4.833,
2011-08,-3.743,
2011-09,-2.731,
2011-10,49.399,
2011-11,33.833,
2011-12,94.695,
2012-01,-20.572,
2012-02,-12.348,
2012-03,-28.856,
2012-04,-6.174,
2012-05,-7.967,
2012-06,-12.895,
2012-07,-0.061,
2012-08,-6.757,
2012-09,-0.269,
2012-10,70.395,
2012-11,-4.103,
2012-12,132.859,
2013-01,-37.306,
2013-02,-9.918,
2013-03,-20.223,
2013-04,9.820,
2013-05,-11.711,
2013-06,-4.145,
2013-07,11.438,
2013-08,0.486,
2013-09,49.694,
2013-10,-3.721,
2013-11,-10.729,
2013-12,11.993,
2014-01,0.036,
2014-02,-3.007,Provisional value
2014-03,-45.119,Provisional value
2014-04,14.917,Provisional value
2014-05,-40.731,Provisional value
2014-06,3.071,Provisional value
2014-07,-17.021,Provisional value
2014-08,-21.649,Provisional value
2014-09,-24.570,
2014-10,59.358,
2014-11,-4.674,
2014-12,-21.819,Provisional value
