"",BBEX3.M.JPY.USD.CA.AA.A02,BBEX3.M.JPY.USD.CA.AA.A02_FLAGS
1997-10,120.14,
1997-11,124.34,
1997-12,128.50,
1998-01,128.52,
1998-02,125.06,
1998-03,127.69,
1998-04,130.76,
1998-05,133.99,
1998-06,139.48,
1998-07,139.60,
1998-08,143.55,
1998-09,133.60,
1998-10,120.30,
1998-11,119.55,
1998-12,116.61,
1999-01,112.26,
1999-02,115.69,
1999-03,118.80,
1999-04,118.88,
1999-05,121.18,
1999-06,119.98,
1999-07,118.94,
1999-08,112.50,
1999-09,106.59,
1999-10,104.97,
1999-11,103.95,
1999-12,101.77,
2000-01,104.23,
2000-02,108.42,
2000-03,105.75,
2000-04,104.54,
2000-05,107.20,
2000-06,105.34,
2000-07,106.94,
2000-08,107.21,
2000-09,105.81,
2000-10,107.39,
2000-11,107.95,
2000-12,111.23,
2001-01,116.19,
2001-02,115.17,
2001-03,120.07,
2001-04,122.94,
2001-05,120.97,
2001-06,121.21,
2001-07,123.60,
2001-08,120.67,
2001-09,117.88,
2001-10,120.34,
2001-11,121.31,
2001-12,126.16,
2002-01,131.83,
2002-02,132.48,
2002-03,130.24,
2002-04,130.15,
2002-05,125.55,
2002-06,122.54,
2002-07,117.06,
2002-08,118.08,
2002-09,119.58,
2002-10,122.95,
2002-11,120.56,
2002-12,121.23,
2003-01,117.71,
2003-02,118.43,
2003-03,117.67,
2003-04,118.84,
2003-05,116.32,
2003-06,117.34,
2003-07,117.73,
2003-08,117.83,
2003-09,114.23,
2003-10,108.55,
2003-11,108.23,
2003-12,107.02,
2004-01,105.43,
2004-02,105.61,
2004-03,107.76,
2004-04,106.46,
2004-05,111.55,
2004-06,108.44,
2004-07,108.40,
2004-08,109.40,
2004-09,109.07,
2004-10,108.06,
2004-11,103.93,
2004-12,102.89,
2005-01,102.28,
2005-02,103.93,
2005-03,104.21,
2005-04,106.46,
2005-05,105.84,
2005-06,107.68,
2005-07,110.95,
2005-08,109.79,
2005-09,110.09,
2005-10,113.96,
2005-11,117.44,
2005-12,117.83,
2006-01,114.49,
2006-02,116.97,
2006-03,116.36,
2006-04,116.05,
2006-05,110.51,
2006-06,113.74,
2006-07,114.75,
2006-08,114.91,
2006-09,116.11,
2006-10,117.76,
2006-11,116.41,
2006-12,116.17,
2007-01,119.68,
2007-02,119.54,
2007-03,116.34,
2007-04,117.86,
2007-05,119.83,
2007-06,121.73,
2007-07,120.67,
2007-08,115.88,
2007-09,114.06,
2007-10,114.81,
2007-11,110.34,
2007-12,111.22,
2008-01,106.68,
2008-02,106.24,
2008-03,100.09,
2008-04,101.52,
2008-05,103.38,
2008-06,105.93,
2008-07,105.82,
2008-08,108.33,
2008-09,105.82,
2008-10,99.36,
2008-11,95.85,
2008-12,90.67,
2009-01,89.41,
2009-02,91.43,
2009-03,96.98,
2009-04,97.97,
2009-05,95.39,
2009-06,95.57,
2009-07,93.51,
2009-08,93.91,
2009-09,90.53,
2009-10,89.36,
2009-11,88.22,
2009-12,88.35,
2010-01,90.22,
2010-02,89.37,
2010-03,89.52,
2010-04,92.34,
2010-05,90.70,
2010-06,89.86,
2010-07,86.75,
2010-08,84.50,
2010-09,83.45,
2010-10,80.93,
2010-11,81.54,
2010-12,82.46,
2011-01,81.66,
2011-02,81.54,
2011-03,80.81,
2011-04,82.60,
2011-05,80.23,
2011-06,79.54,
2011-07,78.51,
2011-08,76.27,
2011-09,75.88,
2011-10,75.73,
2011-11,76.60,
2011-12,76.88,
2012-01,75.98,
2012-02,77.40,
2012-03,81.46,
2012-04,80.50,
2012-05,78.74,
2012-06,78.30,
2012-07,78.02,
2012-08,77.68,
2012-09,77.17,
2012-10,78.02,
2012-11,79.89,
2012-12,82.48,
2013-01,88.24,
2013-02,92.23,
2013-03,93.83,
2013-04,96.90,
2013-05,100.36,
2013-06,96.44,
2013-07,98.77,
2013-08,96.85,
2013-09,98.23,
2013-10,96.89,
2013-11,99.02,
2013-12,102.36,
2014-01,103.00,
2014-02,101.14,
2014-03,101.27,
2014-04,101.57,
2014-05,100.81,
2014-06,101.06,
2014-07,100.73,
2014-08,101.97,
2014-09,106.07,
2014-10,106.96,
2014-11,115.21,
2014-12,118.32,
2015-01,117.33,
2015-02,117.59,
"",Source: Calculated on the basis of the daily rates of the following banks: Since 2006: Bank of Tokyo-Mitsubishi UFJ April 1996 - 2005: Bank of Tokyo-Mitsubishi 1980 - March 1996: Bank of Tokyo,
