"",BBDA1.M.DE.N.IM.S.A.CN.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.CN.A.V.ABA.A_FLAGS
2010-11,7415325,
2010-12,6651151,
2011-01,6689487,
2011-02,6317629,
2011-03,6164046,
2011-04,5902250,
2011-05,6685508,
2011-06,6326013,
2011-07,6348772,
2011-08,7176993,
2011-09,7140275,
2011-10,7224007,
2011-11,7149209,
2011-12,6403977,
2012-01,7031484,
2012-02,6329686,
2012-03,5959553,
2012-04,5863128,
2012-05,6258134,
2012-06,6530106,
2012-07,6654587,
2012-08,7277569,
2012-09,6914875,
2012-10,7207678,
2012-11,6734269,
2012-12,5768205,
2013-01,7207002,
2013-02,6012394,
2013-03,5698007,
2013-04,5612259,
2013-05,5772379,
2013-06,5673316,
2013-07,6589103,
2013-08,6638799,
2013-09,6606859,
2013-10,6764153,
2013-11,6303438,
2013-12,5666668,
2014-01,7059104,
2014-02,6071697,
2014-03,5881742,
2014-04,5568432,
2014-05,5865974,
2014-06,6402285,
2014-07,6745513,
2014-08,6827012,
2014-09,7783295,
2014-10,7426848,
2014-11,6989390,
2014-12,6727291,
