"",BBFN1.M.DE.N.1.A.IR.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.IR.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1997-07,0.160,
1997-08,0.159,
1997-09,0.152,
1997-10,0.133,
1997-11,0.132,
1997-12,0.132,
1998-01,0.127,
1998-02,0.118,
1998-03,0.114,
1998-04,0.102,
1998-05,0.104,
1998-06,0.110,
1998-07,0.092,
1998-08,0.088,
1998-09,0.048,
1998-10,0.088,
1998-11,0.086,
1998-12,0.083,
1999-01,0.084,
1999-02,0.091,
1999-03,0.087,
1999-04,0.052,
1999-05,0.051,
1999-06,0.045,
1999-07,0.056,
1999-08,0.054,
1999-09,0.045,
1999-10,0.025,
1999-11,0.029,
1999-12,0.031,
2000-01,0.032,
2000-02,0.030,
2000-03,0.028,
2000-04,0.031,
2000-05,0.028,
2000-06,0.035,
2000-07,0.031,
2000-08,0.028,
2000-09,0.032,
2000-10,0.033,
2000-11,0.032,
2000-12,0.038,
2001-01,0.035,
2001-02,0.039,
2001-03,0.023,
2001-04,0.028,
2001-05,0.032,
2001-06,0.029,
2001-07,0.032,
2001-08,0.027,
2001-09,0.026,
2001-10,0.028,
2001-11,0.046,
2001-12,0.025,
2002-01,0.026,
2002-02,0.028,
2002-03,0.032,
2002-04,0.022,
2002-05,0.022,
2002-06,0.020,
2002-07,0.019,
2002-08,0.042,
2002-09,0.046,
2002-10,0.024,
2002-11,0.022,
2002-12,0.021,
2003-01,0.023,
2003-02,0.024,
2003-03,0.030,
2003-04,0.031,
2003-05,0.029,
2003-06,0.036,
2003-07,0.047,
2003-08,0.046,
2003-09,0.073,
2003-10,0.073,
2003-11,0.064,
2003-12,0.061,
2004-01,0.058,
2004-02,0.059,
2004-03,0.058,
2004-04,0.052,
2004-05,0.053,
2004-06,0.056,
2004-07,0.059,
2004-08,0.046,
2004-09,0.053,
2004-10,0.060,
2004-11,0.061,
2004-12,0.142,
2005-01,0.046,
2005-02,0.044,
2005-03,0.044,
2005-04,0.047,
2005-05,0.063,
2005-06,0.060,
2005-07,0.040,
2005-08,0.049,
2005-09,0.050,
2005-10,0.049,
2005-11,0.055,
2005-12,0.062,
2006-01,0.059,
2006-02,0.073,
2006-03,0.078,
2006-04,0.069,
2006-05,0.069,
2006-06,0.084,
2006-07,0.094,
2006-08,0.101,
2006-09,0.091,
2006-10,0.098,
2006-11,0.072,
2006-12,0.090,
2007-01,0.086,
2007-02,0.085,
2007-03,0.088,
2007-04,0.083,
2007-05,0.083,
2007-06,0.087,
2007-07,0.088,
2007-08,0.088,
2007-09,0.110,
2007-10,0.122,
2007-11,0.731,
2007-12,0.227,
2008-01,0.195,
2008-02,0.189,
2008-03,0.136,
2008-04,0.125,
2008-05,0.122,
2008-06,0.110,
2008-07,0.106,
2008-08,0.100,
2008-09,0.110,
2008-10,0.102,
2008-11,0.100,
2008-12,0.128,
2009-01,0.123,
2009-02,0.122,
2009-03,0.126,
2009-04,0.136,
2009-05,0.132,
2009-06,0.116,
2009-07,0.112,
2009-08,0.109,
2009-09,0.062,
2009-10,0.060,
2009-11,0.053,
2009-12,0.068,
2010-01,0.069,
2010-02,0.046,
2010-03,0.075,
2010-04,0.073,
2010-05,0.065,
2010-06,0.075,
2010-07,0.070,
2010-08,0.083,
2010-09,0.088,
2010-10,0.088,
2010-11,0.081,
2010-12,0.097,
2011-01,0.089,
2011-02,0.091,
2011-03,0.091,
2011-04,0.116,
2011-05,0.114,
2011-06,0.118,
2011-07,0.230,
2011-08,0.207,
2011-09,0.188,
2011-10,0.183,
2011-11,0.163,
2011-12,0.113,
2012-01,0.101,
2012-02,0.083,
2012-03,0.087,
2012-04,0.076,
2012-05,0.080,
2012-06,0.174,
2012-07,0.181,
2012-08,0.202,
2012-09,0.214,
2012-10,0.216,
2012-11,0.183,
2012-12,0.178,
2013-01,0.157,
2013-02,0.158,
2013-03,0.155,
2013-04,0.159,
2013-05,0.156,
2013-06,0.326,
2013-07,0.261,
2013-08,0.259,
2013-09,0.274,
2013-10,0.276,
2013-11,0.397,
2013-12,0.244,
2014-01,0.263,
2014-02,0.257,
2014-03,0.261,
2014-04,0.271,
2014-05,0.254,
2014-06,0.251,
2014-07,0.252,
2014-08,0.260,
2014-09,0.487,
2014-10,0.482,
2014-11,0.563,
2014-12,0.490,
