"",BBDA1.M.DE.N.IM.S.A.NL.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.NL.A.V.ABA.A_FLAGS
2011-06,6898175,
2011-07,6797287,
2011-08,6650785,
2011-09,6956385,
2011-10,6532691,
2011-11,6908246,
2011-12,6976700,
2012-01,6685155,
2012-02,7208395,
2012-03,7443637,
2012-04,6626523,
2012-05,7551542,
2012-06,7236679,
2012-07,7022214,
2012-08,7165388,
2012-09,6792299,
2012-10,7779587,
2012-11,7362343,
2012-12,6864138,
2013-01,7300917,
2013-02,6777014,
2013-03,7508086,
2013-04,7598415,
2013-05,7707054,
2013-06,7646983,
2013-07,7439889,
2013-08,7139945,
2013-09,7229774,
2013-10,7782522,
2013-11,7470073,
2013-12,7078928,
2014-01,7657181,
2014-02,7398911,
2014-03,7301605,
2014-04,7447877,
2014-05,7472598,
2014-06,7109238,
2014-07,7215533,
2014-08,6807214,
2014-09,7555351,
2014-10,7570483,
2014-11,7605797,
2014-12,6994732,
