"",BBEX3.M.VUV.USD.CA.AA.A01,BBEX3.M.VUV.USD.CA.AA.A01_FLAGS
2006-11,106.43,
2006-12,105.78,
2007-01,106.88,
2007-02,105.33,
2007-03,104.12,
2007-04,101.84,
2007-05,102.28,
2007-06,100.88,
2007-07,98.58,
2007-08,102.33,
2007-09,98.73,
2007-10,96.10,
2007-11,97.53,
2007-12,97.68,
2008-01,96.52,
2008-02,93.98,
2008-03,93.38,
2008-04,93.08,
2008-05,92.78,
2008-06,92.98,
2008-07,94.23,
2008-08,98.38,
2008-09,102.28,
2008-10,112.15,
2008-11,115.32,
2008-12,110.95,
2009-01,116.28,
2009-02,117.48,
2009-03,113.64,
2009-04,110.46,
2009-05,104.75,
2009-06,102.76,
2009-07,101.79,
2009-08,100.02,
2009-09,97.79,
2009-10,95.15,
2009-11,95.43,
2009-12,96.87,
2010-01,97.58,
2010-02,98.47,
2010-03,96.99,
2010-04,96.80,
2010-05,101.62,
2010-06,100.33,
2010-07,98.42,
2010-08,99.06,
2010-09,94.20,
2010-10,93.73,
2010-11,93.60,
2010-12,92.23,
2011-01,92.86,
2011-02,91.97,
2011-03,91.11,
2011-04,87.56,
2011-05,88.67,
2011-06,88.42,
2011-07,86.77,
2011-08,87.96,
2011-09,93.30,
2011-10,88.63,
2011-11,93.83,
2011-12,92.55,
2012-01,90.01,
2012-02,88.89,
2012-03,91.15,
2012-04,90.86,
2012-05,94.86,
2012-06,93.76,
2012-07,92.37,
2012-08,92.56,
2012-09,91.10,
2012-10,91.50,
2012-11,91.20,
2012-12,91.27,
2013-01,90.52,
2013-02,91.95,
2013-03,91.28,
2013-04,91.13,
2013-05,94.53,
2013-06,96.53,
2013-07,96.92,
2013-08,97.89,
2013-09,95.22,
2013-10,94.37,
2013-11,96.35,
2013-12,96.77,
2014-01,97.58,
2014-02,96.33,
2014-03,94.66,
2014-04,94.71,
2014-05,94.76,
2014-06,93.85,
2014-07,94.82,
2014-08,95.00,
2014-09,99.23,
2014-10,98.60,
2014-11,100.06,
2014-12,102.21,
2015-01,106.11,
"","Source: Since December 2009 National Bank of Vanuatu, Port Vila  January 2006 - November 2009 Australia and New Zealand Banking Group (ANZ), Port Vila  April 1998 - December 2005 Westpac Banking Corporation, Port Vila  January 1990 - March 1998 Reserve Bank of Vanuatu, Port Vila",
