"",BBSF2.M.1.T.00000.TOT01.I.F.ATU.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.ATU.Z5.00000.000000.Z01.00_FLAGS
1978-01,994495,
1978-02,1025068,
1978-03,1048135,
1978-04,1062050,
1978-05,1068520,
1978-06,1075282,
1978-07,1072581,
1978-08,1093021,
1978-09,1097926,
1978-10,1099860,
1978-11,1116096,
1978-12,1127253,
1979-01,1140243,
1979-02,1152567,
1979-03,1156922,
1979-04,1159987,
1979-05,1160371,
1979-06,1155128,
1979-07,1157888,
1979-08,1176947,
1979-09,1178597,
1979-10,1177979,
1979-11,1186919,
1979-12,1191417,
1980-01,1191271,
1980-02,1188502,
1980-03,1174253,
1980-04,1170836,
1980-05,1167658,
1980-06,1163811,
1980-07,1160247,
1980-08,1172180,
1980-09,1167867,
1980-10,1164037,
1980-11,1166584,
1980-12,1163725,
1981-01,1162198,
1981-02,1155673,
1981-03,1145272,
1981-04,1137679,
1981-05,1126555,
1981-06,1116564,
1981-07,1105694,
1981-08,1105726,
1981-09,1099111,
1981-10,1098474,
1981-11,1109043,
1981-12,1110466,
1982-01,1111983,
1982-02,1112248,
1982-03,1115069,
1982-04,1116491,
1982-05,1117044,
1982-06,1115079,
1982-07,1111566,
1982-08,1129683,
1982-09,1133063,
1982-10,1140769,
1982-11,1155905,
1982-12,1165069,
1983-01,1168099,
1983-02,1186486,
1983-03,1201617,
1983-04,1205660,
1983-05,1204329,
1983-06,1202301,
1983-07,1201427,
1983-08,1213519,
1983-09,1215226,
1983-10,1221371,
1983-11,1234504,
1983-12,1244019,
1984-01,1253671,
1984-02,1271079,
1984-03,1277267,
1984-04,1281316,
1984-05,1282179,
1984-06,1287714,
1984-07,1290463,
1984-08,1308296,
1984-09,1313842,
1984-10,1322693,
1984-11,1349838,
1984-12,1369927,
1985-01,1390426,
1985-02,1412793,
1985-03,1415455,
1985-04,1427222,
1985-05,1441543,
1985-06,1450786,
1985-07,1464077,
1985-08,1498948,
1985-09,1511753,
1985-10,1534264,
1985-11,1572343,
1985-12,1603430,
1986-01,1639557,
1986-02,1680597,
1986-03,1714066,
1986-04,1750403,
1986-05,1770311,
1986-06,1793107,
1986-07,1813216,
1986-08,1856585,
1986-09,1872929,
1986-10,1892132,
1986-11,1928720,
1986-12,1975383,
1987-01,2019386,
1987-02,2064779,
1987-03,2101697,
1987-04,2132569,
1987-05,2169330,
1987-06,2190780,
1987-07,2222459,
1987-08,2256209,
1987-09,2277283,
1987-10,2303566,
1987-11,2350961,
1987-12,2392078,
1988-01,2429166,
1988-02,2484405,
1988-03,2515113,
1988-04,2536382,
1988-05,2552692,
1988-06,2579621,
1988-07,2610661,
1988-08,2641314,
1988-09,2683146,
1988-10,2705564,
1988-11,2773569,
1988-12,2855683,
1989-01,2937790,
1989-02,3006478,
1989-03,3043860,
1989-04,3087489,
1989-05,3101815,
1989-06,3130461,
1989-07,3171707,
1989-08,3200275,
1989-09,3213805,
1989-10,3239994,
1989-11,3312731,
1989-12,3366564,
1990-01,3418303,
1990-02,3476745,
1990-03,3497848,
1990-04,3515457,
1990-05,3523988,
1990-06,3529519,
1990-07,3537513,
1990-08,3569447,
1990-09,3585700,
1990-10,3601336,
1990-11,3650490,
1990-12,3698877,
1991-01,3727228,
1991-02,3781852,
1991-03,3836758,
1991-04,3874771,
1991-05,3917195,
1991-06,3946704,
1991-07,3975489,
1991-08,3996272,
1991-09,4013690,
1991-10,4033091,
1991-11,4086790,
1991-12,4148079,
1992-01,4231181,
1992-02,4291739,
1992-03,4327293,
1992-04,4349676,
1992-05,4368965,
1992-06,4368702,
1992-07,4358638,
1992-08,4317338,
1992-09,4271256,
1992-10,4234816,
1992-11,4188893,
1992-12,4187551,
1993-01,4232249,
1993-02,4317537,
1993-03,4351161,
1993-04,4386258,
1993-05,4415912,
1993-06,4434128,
1993-07,4448063,
1993-08,4515585,
1993-09,4539981,
1993-10,4601333,
1993-11,4690427,
1993-12,4840877,
1994-01,5018900,
1994-02,5150764,
1994-03,5237954,
1994-04,5332603,
1994-05,5383104,
1994-06,5452789,
1994-07,5515163,
1994-08,5564288,
1994-09,5588928,
1994-10,5657658,
1994-11,5757096,
1994-12,6106896,
1995-01,6141968,
1995-02,6177406,
1995-03,6194818,
1995-04,6206047,
1995-05,6213697,
1995-06,6227453,
1995-07,6265931,
1995-08,6275759,
1995-09,6313182,
1995-10,6336941,
1995-11,6437681,
1995-12,6648912,
1996-01,6777984,
1996-02,6875954,
1996-03,6933360,
1996-04,7002372,
1996-05,7037725,
1996-06,7068825,
1996-07,7089393,
1996-08,7122894,
1996-09,7126571,
1996-10,7186751,
1996-11,7250370,
1996-12,7374569,
1997-01,7546126,
1997-02,7709113,
1997-03,7810322,
1997-04,7897085,
1997-05,7950601,
1997-06,8093539,
1997-07,8195697,
1997-08,8281669,
1997-09,8355651,
1997-10,8406715,
1997-11,8457367,
1997-12,8684336,
1998-01,8856561,
1998-02,9012249,
1998-03,9160587,
1998-04,9269459,
1998-05,9376347,
1998-06,9451720,
1998-07,9586468,
1998-08,9729679,
1998-09,9789387,
1998-10,9847091,
1998-11,9958163,
1998-12,10365567,
1999-01,10621280,
1999-02,10786100,
1999-03,10883363,
1999-04,11062686,
1999-05,11231069,
1999-06,11321273,
1999-07,11427890,
1999-08,11548638,
1999-09,11615143,
1999-10,11717154,
1999-11,11773515,
1999-12,12036298,
2000-01,12260682,
2000-02,12357176,
2000-03,12478055,
2000-04,12562170,
2000-05,12612015,
2000-06,12640396,
2000-07,12722928,
2000-08,12792152,
2000-09,12808473,
2000-10,12905699,
2000-11,12996137,
2000-12,13250184,
2001-01,13469710,
2001-02,13639829,
2001-03,13644923,
2001-04,13636856,
2001-05,13625941,
2001-06,13676736,
2001-07,13768238,
2001-08,13845913,
2001-09,13838136,
2001-10,13984548,
2001-11,14116460,
2001-12,14429847,
2002-01,14623230,
2002-02,14774284,
2002-03,14746676,
2002-04,14816158,
2002-05,14870981,
2002-06,14888728,
2002-07,14960403,
2002-08,15064806,
2002-09,15106727,
2002-10,15206290,
2002-11,15260411,
2002-12,15366451,
2003-01,15550605,
2003-02,15630771,
2003-03,15738068,
2003-04,15833956,
2003-05,15932421,
2003-06,16036021,
2003-07,16057339,
2003-08,16109897,
2003-09,16150914,
2003-10,16158327,
2003-11,16160075,
2003-12,16225151,
2004-01,16235801,
2004-02,16272292,
2004-03,16367594,
2004-04,16395434,
2004-05,16315053,
2004-06,16300153,
2004-07,16338495,
2004-08,16331283,
2004-09,16262828,
2004-10,16233767,
2004-11,16190538,
2004-12,16210080,
2005-01,16319202,
2005-02,16347766,
2005-03,16428874,
2005-04,16449574,
2005-05,16457929,
2005-06,16542102,
2005-07,16657570,
2005-08,16701088,
2005-09,16697103,
2005-10,16682678,
2005-11,16720120,
2005-12,16837693,
2006-01,16763388,
2006-02,16837974,
2006-03,16808849,
2006-04,16812367,
2006-05,16837038,
2006-06,16828860,
2006-07,16789319,
2006-08,16708193,
2006-09,16733930,
2006-10,16682814,
2006-11,16620317,
2006-12,16793770,
2007-01,16783846,
2007-02,16832971,
2007-03,16803419,
2007-04,16861471,
2007-05,16802558,
2007-06,16875211,
2007-07,16868420,
2007-08,16772143,
2007-09,16722639,
2007-10,16689652,
2007-11,16619017,
2007-12,16715819,
2008-01,16769214,
2008-02,16843008,
2008-03,16839924,
2008-04,16973840,
2008-05,17041034,
2008-06,16811263,
2008-07,16797755,
2008-08,16802966,
2008-09,16805301,
2008-10,16408099,
2008-11,16453973,
2008-12,16543497,
2009-01,16875905,
2009-02,16643891,
2009-03,16578165,
2009-04,16727625,
2009-05,16761269,
2009-06,16634660,
2009-07,16681664,
2009-08,16664828,
2009-09,16750112,
2009-10,16655788,
2009-11,16734107,
2009-12,16918919,
2010-01,17092712,
2010-02,17165765,
2010-03,17200663,
2010-04,17292816,
2010-05,17414777,
2010-06,17308864,
2010-07,17377585,
2010-08,17555667,
2010-09,17627910,
2010-10,17710154,
2010-11,17806756,
2010-12,17981959,
2011-01,18079558,
2011-02,18244594,
2011-03,18231962,
2011-04,18208918,
2011-05,18196525,
2011-06,18223301,
2011-07,18297538,
2011-08,18265186,
2011-09,18245905,
2011-10,18398039,
2011-11,18463838,
2011-12,18621995,
2012-01,18656653,
2012-02,19368779,
2012-03,19404349,
2012-04,19369601,
2012-05,19429100,
2012-06,19534204,
2012-07,19801469,
2012-08,19828638,
2012-09,19873574,
2012-10,19963182,
2012-11,20121646,
2012-12,20357294,
2013-01,20831411,
2013-02,20936321,
2013-03,21069675,
2013-04,22035575,
2013-05,22088695,
2013-06,22154637,
2013-07,22324816,
2013-08,22368967,
2013-09,22559578,
2013-10,22572010,
2013-11,22732772,
2013-12,23160598,
2014-01,23213821,
2014-02,23374425,
2014-03,23496623,
2014-04,23558343,
2014-05,23649531,
2014-06,23761478,
2014-07,23840746,
2014-08,23951085,
2014-09,23988915,
2014-10,24055594,
2014-11,23972840,
