"",BBEX3.D.KRW.USD.CA.AA.000,BBEX3.D.KRW.USD.CA.AA.000_FLAGS
1974-02-23,.,No value available
1974-02-24,.,No value available
1974-02-25,.,No value available
1974-02-26,.,No value available
1974-02-27,.,No value available
1974-02-28,397.50,
1974-03-01,.,No value available
1974-03-02,.,No value available
1974-03-03,.,No value available
1974-03-04,.,No value available
1974-03-05,.,No value available
1974-03-06,.,No value available
1974-03-07,.,No value available
1974-03-08,.,No value available
1974-03-09,.,No value available
1974-03-10,.,No value available
1974-03-11,.,No value available
1974-03-12,.,No value available
1974-03-13,.,No value available
1974-03-14,.,No value available
1974-03-15,.,No value available
1974-03-16,.,No value available
1974-03-17,.,No value available
1974-03-18,.,No value available
1974-03-19,.,No value available
1974-03-20,.,No value available
1974-03-21,.,No value available
1974-03-22,.,No value available
1974-03-23,.,No value available
1974-03-24,.,No value available
1974-03-25,.,No value available
1974-03-26,.,No value available
1974-03-27,.,No value available
1974-03-28,.,No value available
1974-03-29,.,No value available
1974-03-30,397.90,
1974-03-31,.,No value available
1974-04-01,.,No value available
1974-04-02,.,No value available
1974-04-03,.,No value available
1974-04-04,.,No value available
1974-04-05,.,No value available
1974-04-06,.,No value available
1974-04-07,.,No value available
1974-04-08,.,No value available
1974-04-09,.,No value available
1974-04-10,.,No value available
1974-04-11,.,No value available
1974-04-12,.,No value available
1974-04-13,.,No value available
1974-04-14,.,No value available
1974-04-15,.,No value available
1974-04-16,.,No value available
1974-04-17,.,No value available
1974-04-18,.,No value available
1974-04-19,.,No value available
1974-04-20,.,No value available
1974-04-21,.,No value available
1974-04-22,.,No value available
1974-04-23,.,No value available
1974-04-24,.,No value available
1974-04-25,.,No value available
1974-04-26,.,No value available
1974-04-27,.,No value available
1974-04-28,.,No value available
1974-04-29,.,No value available
1974-04-30,398.00,
1974-05-01,.,No value available
1974-05-02,.,No value available
1974-05-03,.,No value available
1974-05-04,.,No value available
1974-05-05,.,No value available
1974-05-06,.,No value available
1974-05-07,.,No value available
1974-05-08,.,No value available
1974-05-09,.,No value available
1974-05-10,.,No value available
1974-05-11,.,No value available
1974-05-12,.,No value available
1974-05-13,.,No value available
1974-05-14,.,No value available
1974-05-15,.,No value available
1974-05-16,.,No value available
1974-05-17,.,No value available
1974-05-18,.,No value available
1974-05-19,.,No value available
1974-05-20,.,No value available
1974-05-21,.,No value available
1974-05-22,.,No value available
1974-05-23,.,No value available
1974-05-24,.,No value available
1974-05-25,.,No value available
1974-05-26,.,No value available
1974-05-27,.,No value available
1974-05-28,.,No value available
1974-05-29,.,No value available
1974-05-30,.,No value available
1974-05-31,398.00,
1974-06-01,.,No value available
1974-06-02,.,No value available
1974-06-03,.,No value available
1974-06-04,.,No value available
1974-06-05,.,No value available
1974-06-06,.,No value available
1974-06-07,.,No value available
1974-06-08,.,No value available
1974-06-09,.,No value available
1974-06-10,.,No value available
1974-06-11,.,No value available
1974-06-12,.,No value available
1974-06-13,.,No value available
1974-06-14,.,No value available
1974-06-15,.,No value available
1974-06-16,.,No value available
1974-06-17,.,No value available
1974-06-18,.,No value available
1974-06-19,.,No value available
1974-06-20,.,No value available
1974-06-21,.,No value available
1974-06-22,.,No value available
1974-06-23,.,No value available
1974-06-24,.,No value available
1974-06-25,.,No value available
1974-06-26,.,No value available
1974-06-27,.,No value available
1974-06-28,.,No value available
1974-06-29,.,No value available
1974-06-30,398.00,
1974-07-01,.,No value available
1974-07-02,.,No value available
1974-07-03,.,No value available
1974-07-04,.,No value available
1974-07-05,.,No value available
1974-07-06,.,No value available
1974-07-07,.,No value available
1974-07-08,.,No value available
1974-07-09,.,No value available
1974-07-10,.,No value available
1974-07-11,.,No value available
1974-07-12,.,No value available
1974-07-13,.,No value available
1974-07-14,.,No value available
1974-07-15,.,No value available
1974-07-16,.,No value available
1974-07-17,.,No value available
1974-07-18,.,No value available
1974-07-19,.,No value available
1974-07-20,.,No value available
1974-07-21,.,No value available
1974-07-22,.,No value available
1974-07-23,.,No value available
1974-07-24,.,No value available
1974-07-25,.,No value available
1974-07-26,.,No value available
1974-07-27,.,No value available
1974-07-28,.,No value available
1974-07-29,.,No value available
1974-07-30,.,No value available
1974-07-31,398.00,
1974-08-01,.,No value available
1974-08-02,.,No value available
1974-08-03,.,No value available
1974-08-04,.,No value available
1974-08-05,.,No value available
1974-08-06,.,No value available
1974-08-07,.,No value available
1974-08-08,.,No value available
1974-08-09,.,No value available
1974-08-10,.,No value available
1974-08-11,.,No value available
1974-08-12,.,No value available
1974-08-13,.,No value available
1974-08-14,.,No value available
1974-08-15,.,No value available
1974-08-16,.,No value available
1974-08-17,.,No value available
1974-08-18,.,No value available
1974-08-19,.,No value available
1974-08-20,.,No value available
1974-08-21,.,No value available
1974-08-22,.,No value available
1974-08-23,.,No value available
1974-08-24,.,No value available
1974-08-25,.,No value available
1974-08-26,.,No value available
1974-08-27,.,No value available
1974-08-28,.,No value available
1974-08-29,.,No value available
1974-08-30,.,No value available
1974-08-31,398.00,
1974-09-01,.,No value available
1974-09-02,.,No value available
1974-09-03,.,No value available
1974-09-04,.,No value available
1974-09-05,.,No value available
1974-09-06,.,No value available
1974-09-07,.,No value available
1974-09-08,.,No value available
1974-09-09,.,No value available
1974-09-10,.,No value available
1974-09-11,.,No value available
1974-09-12,.,No value available
1974-09-13,.,No value available
1974-09-14,.,No value available
1974-09-15,.,No value available
1974-09-16,.,No value available
1974-09-17,.,No value available
1974-09-18,.,No value available
1974-09-19,.,No value available
1974-09-20,.,No value available
1974-09-21,.,No value available
1974-09-22,.,No value available
1974-09-23,.,No value available
1974-09-24,.,No value available
1974-09-25,.,No value available
1974-09-26,.,No value available
1974-09-27,.,No value available
1974-09-28,.,No value available
1974-09-29,.,No value available
1974-09-30,398.00,
1974-10-01,.,No value available
1974-10-02,.,No value available
1974-10-03,.,No value available
1974-10-04,.,No value available
1974-10-05,.,No value available
1974-10-06,.,No value available
1974-10-07,.,No value available
1974-10-08,.,No value available
1974-10-09,.,No value available
1974-10-10,.,No value available
1974-10-11,.,No value available
1974-10-12,.,No value available
1974-10-13,.,No value available
1974-10-14,.,No value available
1974-10-15,.,No value available
1974-10-16,.,No value available
1974-10-17,.,No value available
1974-10-18,.,No value available
1974-10-19,.,No value available
1974-10-20,.,No value available
1974-10-21,.,No value available
1974-10-22,.,No value available
1974-10-23,.,No value available
1974-10-24,.,No value available
1974-10-25,.,No value available
1974-10-26,.,No value available
1974-10-27,.,No value available
1974-10-28,.,No value available
1974-10-29,.,No value available
1974-10-30,.,No value available
1974-10-31,398.00,
1974-11-01,.,No value available
1974-11-02,.,No value available
1974-11-03,.,No value available
1974-11-04,.,No value available
1974-11-05,.,No value available
1974-11-06,.,No value available
1974-11-07,.,No value available
1974-11-08,.,No value available
1974-11-09,.,No value available
1974-11-10,.,No value available
1974-11-11,.,No value available
1974-11-12,.,No value available
1974-11-13,.,No value available
1974-11-14,.,No value available
1974-11-15,.,No value available
1974-11-16,.,No value available
1974-11-17,.,No value available
1974-11-18,.,No value available
1974-11-19,.,No value available
1974-11-20,.,No value available
1974-11-21,.,No value available
1974-11-22,.,No value available
1974-11-23,.,No value available
1974-11-24,.,No value available
1974-11-25,.,No value available
1974-11-26,.,No value available
1974-11-27,.,No value available
1974-11-28,.,No value available
1974-11-29,.,No value available
1974-11-30,398.00,
1974-12-01,.,No value available
1974-12-02,.,No value available
1974-12-03,.,No value available
1974-12-04,.,No value available
1974-12-05,.,No value available
1974-12-06,.,No value available
1974-12-07,.,No value available
1974-12-08,.,No value available
1974-12-09,.,No value available
1974-12-10,.,No value available
1974-12-11,.,No value available
1974-12-12,.,No value available
1974-12-13,.,No value available
1974-12-14,.,No value available
1974-12-15,.,No value available
1974-12-16,.,No value available
1974-12-17,.,No value available
1974-12-18,.,No value available
1974-12-19,.,No value available
1974-12-20,.,No value available
1974-12-21,.,No value available
1974-12-22,.,No value available
1974-12-23,.,No value available
1974-12-24,.,No value available
1974-12-25,.,No value available
1974-12-26,.,No value available
1974-12-27,.,No value available
1974-12-28,.,No value available
1974-12-29,.,No value available
1974-12-30,.,No value available
1974-12-31,483.00,comment
1975-01-01,483.00,
1975-01-02,483.00,
1975-01-03,483.00,
1975-01-04,483.00,
1975-01-05,483.00,
1975-01-06,483.00,
1975-01-07,483.00,
1975-01-08,483.00,
1975-01-09,483.00,
1975-01-10,483.00,
1975-01-11,483.00,
1975-01-12,483.00,
1975-01-13,483.00,
1975-01-14,483.00,
1975-01-15,483.00,
1975-01-16,483.00,
1975-01-17,483.00,
1975-01-18,483.00,
1975-01-19,483.00,
1975-01-20,483.00,
1975-01-21,483.00,
1975-01-22,483.00,
1975-01-23,483.00,
1975-01-24,483.00,
1975-01-25,483.00,
1975-01-26,483.00,
1975-01-27,483.00,
1975-01-28,483.00,
1975-01-29,483.00,
1975-01-30,483.00,
1975-01-31,483.00,
1975-02-01,483.00,
1975-02-02,483.00,
1975-02-03,483.00,
1975-02-04,483.00,
1975-02-05,483.00,
1975-02-06,483.00,
1975-02-07,483.00,
1975-02-08,483.00,
1975-02-09,483.00,
1975-02-10,483.00,
1975-02-11,483.00,
1975-02-12,483.00,
1975-02-13,483.00,
1975-02-14,483.00,
1975-02-15,483.00,
1975-02-16,483.00,
1975-02-17,483.00,
1975-02-18,483.00,
1975-02-19,483.00,
1975-02-20,483.00,
1975-02-21,483.00,
1975-02-22,483.00,
1975-02-23,483.00,
1975-02-24,483.00,
1975-02-25,483.00,
1975-02-26,483.00,
1975-02-27,483.00,
1975-02-28,483.00,
1975-03-01,483.00,
1975-03-02,483.00,
1975-03-03,483.00,
1975-03-04,483.00,
1975-03-05,483.00,
1975-03-06,483.00,
1975-03-07,483.00,
1975-03-08,483.00,
1975-03-09,483.00,
1975-03-10,483.00,
1975-03-11,483.00,
1975-03-12,483.00,
1975-03-13,483.00,
1975-03-14,483.00,
1975-03-15,483.00,
1975-03-16,483.00,
1975-03-17,483.00,
1975-03-18,483.00,
1975-03-19,483.00,
1975-03-20,483.00,
1975-03-21,483.00,
1975-03-22,483.00,
1975-03-23,483.00,
1975-03-24,483.00,
1975-03-25,483.00,
1975-03-26,483.00,
1975-03-27,483.00,
1975-03-28,483.00,
1975-03-29,483.00,
1975-03-30,483.00,
1975-03-31,483.00,
1975-04-01,483.00,
1975-04-02,483.00,
1975-04-03,483.00,
1975-04-04,483.00,
1975-04-05,483.00,
1975-04-06,483.00,
1975-04-07,483.00,
1975-04-08,483.00,
1975-04-09,483.00,
1975-04-10,483.00,
1975-04-11,483.00,
1975-04-12,483.00,
1975-04-13,483.00,
1975-04-14,483.00,
1975-04-15,483.00,
1975-04-16,483.00,
1975-04-17,483.00,
1975-04-18,483.00,
1975-04-19,483.00,
1975-04-20,483.00,
1975-04-21,483.00,
1975-04-22,483.00,
1975-04-23,483.00,
1975-04-24,483.00,
1975-04-25,483.00,
1975-04-26,483.00,
1975-04-27,483.00,
1975-04-28,483.00,
1975-04-29,483.00,
1975-04-30,483.00,
1975-05-01,483.00,
1975-05-02,483.00,
1975-05-03,483.00,
1975-05-04,483.00,
1975-05-05,483.00,
1975-05-06,483.00,
1975-05-07,483.00,
1975-05-08,483.00,
1975-05-09,483.00,
1975-05-10,483.00,
1975-05-11,483.00,
1975-05-12,483.00,
1975-05-13,483.00,
1975-05-14,483.00,
1975-05-15,483.00,
1975-05-16,483.00,
1975-05-17,483.00,
1975-05-18,483.00,
1975-05-19,483.00,
1975-05-20,483.00,
1975-05-21,483.00,
1975-05-22,483.00,
1975-05-23,483.00,
1975-05-24,483.00,
1975-05-25,483.00,
1975-05-26,483.00,
1975-05-27,483.00,
1975-05-28,483.00,
1975-05-29,483.00,
1975-05-30,483.00,
1975-05-31,483.00,
1975-06-01,483.00,
1975-06-02,483.00,
1975-06-03,483.00,
1975-06-04,483.00,
1975-06-05,483.00,
1975-06-06,483.00,
1975-06-07,483.00,
1975-06-08,483.00,
1975-06-09,483.00,
1975-06-10,483.00,
1975-06-11,483.00,
1975-06-12,483.00,
1975-06-13,483.00,
1975-06-14,483.00,
1975-06-15,483.00,
1975-06-16,483.00,
1975-06-17,483.00,
1975-06-18,483.00,
1975-06-19,483.00,
1975-06-20,483.00,
1975-06-21,483.00,
1975-06-22,483.00,
1975-06-23,483.00,
1975-06-24,483.00,
1975-06-25,483.00,
1975-06-26,483.00,
1975-06-27,483.00,
1975-06-28,483.00,
1975-06-29,483.00,
1975-06-30,483.00,
1975-07-01,483.00,
1975-07-02,483.00,
1975-07-03,483.00,
1975-07-04,483.00,
1975-07-05,483.00,
1975-07-06,483.00,
1975-07-07,483.00,
1975-07-08,483.00,
1975-07-09,483.00,
1975-07-10,483.00,
1975-07-11,483.00,
1975-07-12,483.00,
1975-07-13,483.00,
1975-07-14,483.00,
1975-07-15,483.00,
1975-07-16,483.00,
1975-07-17,483.00,
1975-07-18,483.00,
1975-07-19,483.00,
1975-07-20,483.00,
1975-07-21,483.00,
1975-07-22,483.00,
1975-07-23,483.00,
1975-07-24,483.00,
1975-07-25,483.00,
1975-07-26,483.00,
1975-07-27,483.00,
1975-07-28,483.00,
1975-07-29,483.00,
1975-07-30,483.00,
1975-07-31,483.00,
1975-08-01,483.00,
1975-08-02,483.00,
1975-08-03,483.00,
1975-08-04,483.00,
1975-08-05,483.00,
1975-08-06,483.00,
1975-08-07,483.00,
1975-08-08,483.00,
1975-08-09,483.00,
1975-08-10,483.00,
1975-08-11,483.00,
1975-08-12,483.00,
1975-08-13,483.00,
1975-08-14,483.00,
1975-08-15,483.00,
1975-08-16,483.00,
1975-08-17,483.00,
1975-08-18,483.00,
1975-08-19,483.00,
1975-08-20,483.00,
1975-08-21,483.00,
1975-08-22,483.00,
1975-08-23,483.00,
1975-08-24,483.00,
1975-08-25,483.00,
1975-08-26,483.00,
1975-08-27,483.00,
1975-08-28,483.00,
1975-08-29,483.00,
1975-08-30,483.00,
1975-08-31,483.00,
1975-09-01,483.00,
1975-09-02,483.00,
1975-09-03,483.00,
1975-09-04,483.00,
1975-09-05,483.00,
1975-09-06,483.00,
1975-09-07,483.00,
1975-09-08,483.00,
1975-09-09,483.00,
1975-09-10,483.00,
1975-09-11,483.00,
1975-09-12,483.00,
1975-09-13,483.00,
1975-09-14,483.00,
1975-09-15,483.00,
1975-09-16,483.00,
1975-09-17,483.00,
1975-09-18,483.00,
1975-09-19,483.00,
1975-09-20,483.00,
1975-09-21,483.00,
1975-09-22,483.00,
1975-09-23,483.00,
1975-09-24,483.00,
1975-09-25,483.00,
1975-09-26,483.00,
1975-09-27,483.00,
1975-09-28,483.00,
1975-09-29,483.00,
1975-09-30,483.00,
1975-10-01,483.00,
1975-10-02,483.00,
1975-10-03,483.00,
1975-10-04,483.00,
1975-10-05,483.00,
1975-10-06,483.00,
1975-10-07,483.00,
1975-10-08,483.00,
1975-10-09,483.00,
1975-10-10,483.00,
1975-10-11,483.00,
1975-10-12,483.00,
1975-10-13,483.00,
1975-10-14,483.00,
1975-10-15,483.00,
1975-10-16,483.00,
1975-10-17,483.00,
1975-10-18,483.00,
1975-10-19,483.00,
1975-10-20,483.00,
1975-10-21,483.00,
1975-10-22,483.00,
1975-10-23,483.00,
1975-10-24,483.00,
1975-10-25,483.00,
1975-10-26,483.00,
1975-10-27,483.00,
1975-10-28,483.00,
1975-10-29,483.00,
1975-10-30,483.00,
1975-10-31,483.00,
1975-11-01,483.00,
1975-11-02,483.00,
1975-11-03,483.00,
1975-11-04,483.00,
1975-11-05,483.00,
1975-11-06,483.00,
1975-11-07,483.00,
1975-11-08,483.00,
1975-11-09,483.00,
1975-11-10,483.00,
1975-11-11,483.00,
1975-11-12,483.00,
1975-11-13,483.00,
1975-11-14,483.00,
1975-11-15,483.00,
1975-11-16,483.00,
1975-11-17,483.00,
1975-11-18,483.00,
1975-11-19,483.00,
1975-11-20,483.00,
1975-11-21,483.00,
1975-11-22,483.00,
1975-11-23,483.00,
1975-11-24,483.00,
1975-11-25,483.00,
1975-11-26,483.00,
1975-11-27,483.00,
1975-11-28,483.00,
1975-11-29,483.00,
1975-11-30,483.00,
1975-12-01,483.00,
1975-12-02,483.00,
1975-12-03,483.00,
1975-12-04,483.00,
1975-12-05,483.00,
1975-12-06,483.00,
1975-12-07,483.00,
1975-12-08,483.00,
1975-12-09,483.00,
1975-12-10,483.00,
1975-12-11,483.00,
1975-12-12,483.00,
1975-12-13,483.00,
1975-12-14,483.00,
1975-12-15,483.00,
1975-12-16,483.00,
1975-12-17,483.00,
1975-12-18,483.00,
1975-12-19,483.00,
1975-12-20,483.00,
1975-12-21,483.00,
1975-12-22,483.00,
1975-12-23,483.00,
1975-12-24,483.00,
1975-12-25,483.00,
1975-12-26,483.00,
1975-12-27,483.00,
1975-12-28,483.00,
1975-12-29,483.00,
1975-12-30,483.00,
1975-12-31,483.00,
1976-01-01,483.00,
1976-01-02,483.00,
1976-01-03,483.00,
1976-01-04,483.00,
1976-01-05,483.00,
1976-01-06,483.00,
1976-01-07,483.00,
1976-01-08,483.00,
1976-01-09,483.00,
1976-01-10,483.00,
1976-01-11,483.00,
1976-01-12,483.00,
1976-01-13,483.00,
1976-01-14,483.00,
1976-01-15,483.00,
1976-01-16,483.00,
1976-01-17,483.00,
1976-01-18,483.00,
1976-01-19,483.00,
1976-01-20,483.00,
1976-01-21,483.00,
1976-01-22,483.00,
1976-01-23,483.00,
1976-01-24,483.00,
1976-01-25,483.00,
1976-01-26,483.00,
1976-01-27,483.00,
1976-01-28,483.00,
1976-01-29,483.00,
1976-01-30,483.00,
1976-01-31,483.00,
1976-02-01,483.00,
1976-02-02,483.00,
1976-02-03,483.00,
1976-02-04,483.00,
1976-02-05,483.00,
1976-02-06,483.00,
1976-02-07,483.00,
1976-02-08,483.00,
1976-02-09,483.00,
1976-02-10,483.00,
1976-02-11,483.00,
1976-02-12,483.00,
1976-02-13,483.00,
1976-02-14,483.00,
1976-02-15,483.00,
1976-02-16,483.00,
1976-02-17,483.00,
1976-02-18,483.00,
1976-02-19,483.00,
1976-02-20,483.00,
1976-02-21,483.00,
1976-02-22,483.00,
1976-02-23,483.00,
1976-02-24,483.00,
1976-02-25,483.00,
1976-02-26,483.00,
1976-02-27,483.00,
1976-02-28,483.00,
1976-02-29,483.00,
1976-03-01,483.00,
1976-03-02,483.00,
1976-03-03,483.00,
1976-03-04,483.00,
1976-03-05,483.00,
1976-03-06,483.00,
1976-03-07,483.00,
1976-03-08,483.00,
1976-03-09,483.00,
1976-03-10,483.00,
1976-03-11,483.00,
1976-03-12,483.00,
1976-03-13,483.00,
1976-03-14,483.00,
1976-03-15,483.00,
1976-03-16,483.00,
1976-03-17,483.00,
1976-03-18,483.00,
1976-03-19,483.00,
1976-03-20,483.00,
1976-03-21,483.00,
1976-03-22,483.00,
1976-03-23,483.00,
1976-03-24,483.00,
1976-03-25,483.00,
1976-03-26,483.00,
1976-03-27,483.00,
1976-03-28,483.00,
1976-03-29,483.00,
1976-03-30,483.00,
1976-03-31,483.00,
1976-04-01,483.00,
1976-04-02,483.00,
1976-04-03,483.00,
1976-04-04,483.00,
1976-04-05,483.00,
1976-04-06,483.00,
1976-04-07,483.00,
1976-04-08,483.00,
1976-04-09,483.00,
1976-04-10,483.00,
1976-04-11,483.00,
1976-04-12,483.00,
1976-04-13,483.00,
1976-04-14,483.00,
1976-04-15,483.00,
1976-04-16,483.00,
1976-04-17,483.00,
1976-04-18,483.00,
1976-04-19,483.00,
1976-04-20,483.00,
1976-04-21,483.00,
1976-04-22,483.00,
1976-04-23,483.00,
1976-04-24,483.00,
1976-04-25,483.00,
1976-04-26,483.00,
1976-04-27,483.00,
1976-04-28,483.00,
1976-04-29,483.00,
1976-04-30,483.00,
1976-05-01,483.00,
1976-05-02,483.00,
1976-05-03,483.00,
1976-05-04,483.00,
1976-05-05,483.00,
1976-05-06,483.00,
1976-05-07,483.00,
1976-05-08,483.00,
1976-05-09,483.00,
1976-05-10,483.00,
1976-05-11,483.00,
1976-05-12,483.00,
1976-05-13,483.00,
1976-05-14,483.00,
1976-05-15,483.00,
1976-05-16,483.00,
1976-05-17,483.00,
1976-05-18,483.00,
1976-05-19,483.00,
1976-05-20,483.00,
1976-05-21,483.00,
1976-05-22,483.00,
1976-05-23,483.00,
1976-05-24,483.00,
1976-05-25,483.00,
1976-05-26,483.00,
1976-05-27,483.00,
1976-05-28,483.00,
1976-05-29,483.00,
1976-05-30,483.00,
1976-05-31,483.00,
1976-06-01,483.00,
1976-06-02,483.00,
1976-06-03,483.00,
1976-06-04,483.00,
1976-06-05,483.00,
1976-06-06,483.00,
1976-06-07,483.00,
1976-06-08,483.00,
1976-06-09,483.00,
1976-06-10,483.00,
1976-06-11,483.00,
1976-06-12,483.00,
1976-06-13,483.00,
1976-06-14,483.00,
1976-06-15,483.00,
1976-06-16,483.00,
1976-06-17,483.00,
1976-06-18,483.00,
1976-06-19,483.00,
1976-06-20,483.00,
1976-06-21,483.00,
1976-06-22,483.00,
1976-06-23,483.00,
1976-06-24,483.00,
1976-06-25,483.00,
1976-06-26,483.00,
1976-06-27,483.00,
1976-06-28,483.00,
1976-06-29,483.00,
1976-06-30,483.00,
1976-07-01,483.00,
1976-07-02,483.00,
1976-07-03,483.00,
1976-07-04,483.00,
1976-07-05,483.00,
1976-07-06,483.00,
1976-07-07,483.00,
1976-07-08,483.00,
1976-07-09,483.00,
1976-07-10,483.00,
1976-07-11,483.00,
1976-07-12,483.00,
1976-07-13,483.00,
1976-07-14,483.00,
1976-07-15,483.00,
1976-07-16,483.00,
1976-07-17,483.00,
1976-07-18,483.00,
1976-07-19,483.00,
1976-07-20,483.00,
1976-07-21,483.00,
1976-07-22,483.00,
1976-07-23,483.00,
1976-07-24,483.00,
1976-07-25,483.00,
1976-07-26,483.00,
1976-07-27,483.00,
1976-07-28,483.00,
1976-07-29,483.00,
1976-07-30,483.00,
1976-07-31,483.00,
1976-08-01,483.00,
1976-08-02,483.00,
1976-08-03,483.00,
1976-08-04,483.00,
1976-08-05,483.00,
1976-08-06,483.00,
1976-08-07,483.00,
1976-08-08,483.00,
1976-08-09,483.00,
1976-08-10,483.00,
1976-08-11,483.00,
1976-08-12,483.00,
1976-08-13,483.00,
1976-08-14,483.00,
1976-08-15,483.00,
1976-08-16,483.00,
1976-08-17,483.00,
1976-08-18,483.00,
1976-08-19,483.00,
1976-08-20,483.00,
1976-08-21,483.00,
1976-08-22,483.00,
1976-08-23,483.00,
1976-08-24,483.00,
1976-08-25,483.00,
1976-08-26,483.00,
1976-08-27,483.00,
1976-08-28,483.00,
1976-08-29,483.00,
1976-08-30,483.00,
1976-08-31,483.00,
1976-09-01,483.00,
1976-09-02,483.00,
1976-09-03,483.00,
1976-09-04,483.00,
1976-09-05,483.00,
1976-09-06,483.00,
1976-09-07,483.00,
1976-09-08,483.00,
1976-09-09,483.00,
1976-09-10,483.00,
1976-09-11,483.00,
1976-09-12,483.00,
1976-09-13,483.00,
1976-09-14,483.00,
1976-09-15,483.00,
1976-09-16,483.00,
1976-09-17,483.00,
1976-09-18,483.00,
1976-09-19,483.00,
1976-09-20,483.00,
1976-09-21,483.00,
1976-09-22,483.00,
1976-09-23,483.00,
1976-09-24,483.00,
1976-09-25,483.00,
1976-09-26,483.00,
1976-09-27,483.00,
1976-09-28,483.00,
1976-09-29,483.00,
1976-09-30,483.00,
1976-10-01,483.00,
1976-10-02,483.00,
1976-10-03,483.00,
1976-10-04,483.00,
1976-10-05,483.00,
1976-10-06,483.00,
1976-10-07,483.00,
1976-10-08,483.00,
1976-10-09,483.00,
1976-10-10,483.00,
1976-10-11,483.00,
1976-10-12,483.00,
1976-10-13,483.00,
1976-10-14,483.00,
1976-10-15,483.00,
1976-10-16,483.00,
1976-10-17,483.00,
1976-10-18,483.00,
1976-10-19,483.00,
1976-10-20,483.00,
1976-10-21,483.00,
1976-10-22,483.00,
1976-10-23,483.00,
1976-10-24,483.00,
1976-10-25,483.00,
1976-10-26,483.00,
1976-10-27,483.00,
1976-10-28,483.00,
1976-10-29,483.00,
1976-10-30,483.00,
1976-10-31,483.00,
1976-11-01,483.00,
1976-11-02,483.00,
1976-11-03,483.00,
1976-11-04,483.00,
1976-11-05,483.00,
1976-11-06,483.00,
1976-11-07,483.00,
1976-11-08,483.00,
1976-11-09,483.00,
1976-11-10,483.00,
1976-11-11,483.00,
1976-11-12,483.00,
1976-11-13,483.00,
1976-11-14,483.00,
1976-11-15,483.00,
1976-11-16,483.00,
1976-11-17,483.00,
1976-11-18,483.00,
1976-11-19,483.00,
1976-11-20,483.00,
1976-11-21,483.00,
1976-11-22,483.00,
1976-11-23,483.00,
1976-11-24,483.00,
1976-11-25,483.00,
1976-11-26,483.00,
1976-11-27,483.00,
1976-11-28,483.00,
1976-11-29,483.00,
1976-11-30,483.00,
1976-12-01,483.00,
1976-12-02,483.00,
1976-12-03,483.00,
1976-12-04,483.00,
1976-12-05,483.00,
1976-12-06,483.00,
1976-12-07,483.00,
1976-12-08,483.00,
1976-12-09,483.00,
1976-12-10,483.00,
1976-12-11,483.00,
1976-12-12,483.00,
1976-12-13,483.00,
1976-12-14,483.00,
1976-12-15,483.00,
1976-12-16,483.00,
1976-12-17,483.00,
1976-12-18,483.00,
1976-12-19,483.00,
1976-12-20,483.00,
1976-12-21,483.00,
1976-12-22,483.00,
1976-12-23,483.00,
1976-12-24,483.00,
1976-12-25,483.00,
1976-12-26,483.00,
1976-12-27,483.00,
1976-12-28,483.00,
1976-12-29,483.00,
1976-12-30,483.00,
1976-12-31,483.00,
1977-01-01,483.00,
1977-01-02,483.00,
1977-01-03,483.00,
1977-01-04,483.00,
1977-01-05,483.00,
1977-01-06,483.00,
1977-01-07,483.00,
1977-01-08,483.00,
1977-01-09,483.00,
1977-01-10,483.00,
1977-01-11,483.00,
1977-01-12,483.00,
1977-01-13,483.00,
1977-01-14,483.00,
1977-01-15,483.00,
1977-01-16,483.00,
1977-01-17,483.00,
1977-01-18,483.00,
1977-01-19,483.00,
1977-01-20,483.00,
1977-01-21,483.00,
1977-01-22,483.00,
1977-01-23,483.00,
1977-01-24,483.00,
1977-01-25,483.00,
1977-01-26,483.00,
1977-01-27,483.00,
1977-01-28,483.00,
1977-01-29,483.00,
1977-01-30,483.00,
1977-01-31,483.00,
1977-02-01,483.00,
1977-02-02,483.00,
1977-02-03,483.00,
1977-02-04,483.00,
1977-02-05,483.00,
1977-02-06,483.00,
1977-02-07,483.00,
1977-02-08,483.00,
1977-02-09,483.00,
1977-02-10,483.00,
1977-02-11,483.00,
1977-02-12,483.00,
1977-02-13,483.00,
1977-02-14,483.00,
1977-02-15,483.00,
1977-02-16,483.00,
1977-02-17,483.00,
1977-02-18,483.00,
1977-02-19,483.00,
1977-02-20,483.00,
1977-02-21,483.00,
1977-02-22,483.00,
1977-02-23,483.00,
1977-02-24,483.00,
1977-02-25,483.00,
1977-02-26,483.00,
1977-02-27,483.00,
1977-02-28,483.00,
1977-03-01,483.00,
1977-03-02,483.00,
1977-03-03,483.00,
1977-03-04,483.00,
1977-03-05,483.00,
1977-03-06,483.00,
1977-03-07,483.00,
1977-03-08,483.00,
1977-03-09,483.00,
1977-03-10,483.00,
1977-03-11,483.00,
1977-03-12,483.00,
1977-03-13,483.00,
1977-03-14,483.00,
1977-03-15,483.00,
1977-03-16,483.00,
1977-03-17,483.00,
1977-03-18,483.00,
1977-03-19,483.00,
1977-03-20,483.00,
1977-03-21,483.00,
1977-03-22,483.00,
1977-03-23,483.00,
1977-03-24,483.00,
1977-03-25,483.00,
1977-03-26,483.00,
1977-03-27,483.00,
1977-03-28,483.00,
1977-03-29,483.00,
1977-03-30,483.00,
1977-03-31,483.00,
1977-04-01,483.00,
1977-04-02,483.00,
1977-04-03,483.00,
