"",BBFB1.M.N.DE.W1.S1W.S1.T.D.D752W._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.D.D752W._Z._Z._Z._T._X.N_FLAGS
2007-06,249.732,
2007-07,249.732,
2007-08,249.732,
2007-09,249.732,
2007-10,249.732,
2007-11,249.732,
2007-12,249.732,
2008-01,256.604,
2008-02,256.604,
2008-03,256.604,
2008-04,256.604,
2008-05,256.604,
2008-06,256.604,
2008-07,256.604,
2008-08,256.604,
2008-09,256.604,
2008-10,256.604,
2008-11,256.604,
2008-12,256.604,
2009-01,249.558,
2009-02,249.558,
2009-03,249.558,
2009-04,249.558,
2009-05,249.558,
2009-06,249.558,
2009-07,249.558,
2009-08,249.558,
2009-09,249.558,
2009-10,249.558,
2009-11,249.558,
2009-12,249.558,
2010-01,252.905,
2010-02,252.905,
2010-03,252.905,
2010-04,252.905,
2010-05,252.905,
2010-06,252.905,
2010-07,252.905,
2010-08,252.905,
2010-09,252.905,
2010-10,252.905,
2010-11,252.905,
2010-12,252.905,
2011-01,248.056,
2011-02,248.056,
2011-03,248.056,
2011-04,248.056,
2011-05,248.056,
2011-06,248.056,
2011-07,248.056,
2011-08,248.056,
2011-09,248.056,
2011-10,248.056,
2011-11,248.056,
2011-12,248.056,
2012-01,256.639,
2012-02,256.639,
2012-03,256.639,
2012-04,256.639,
2012-05,256.639,
2012-06,256.639,
2012-07,256.639,
2012-08,256.639,
2012-09,256.639,
2012-10,256.639,
2012-11,256.639,
2012-12,256.639,
2013-01,269.079,
2013-02,269.079,
2013-03,269.079,
2013-04,269.079,
2013-05,269.079,
2013-06,269.079,
2013-07,269.079,
2013-08,269.079,
2013-09,269.079,
2013-10,269.079,
2013-11,269.079,
2013-12,269.079,
2014-01,287.605,
2014-02,287.605,
2014-03,287.605,
2014-04,287.605,
2014-05,287.605,
2014-06,287.605,
2014-07,287.605,
2014-08,287.605,
2014-09,287.605,
2014-10,287.605,
2014-11,287.605,
2014-12,287.605,Provisional value
