"",BBEX3.D.ISK.EUR.BB.AC.000,BBEX3.D.ISK.EUR.BB.AC.000_FLAGS
2002-01-27,.,No value available
2002-01-28,89.33,
2002-01-29,89.29,
2002-01-30,89.40,
2002-01-31,89.13,
2002-02-01,88.65,
2002-02-02,.,No value available
2002-02-03,.,No value available
2002-02-04,88.31,
2002-02-05,88.51,
2002-02-06,88.50,
2002-02-07,88.63,
2002-02-08,88.95,
2002-02-09,.,No value available
2002-02-10,.,No value available
2002-02-11,88.93,
2002-02-12,88.87,
2002-02-13,88.18,
2002-02-14,87.87,
2002-02-15,87.92,
2002-02-16,.,No value available
2002-02-17,.,No value available
2002-02-18,87.93,
2002-02-19,87.47,
2002-02-20,88.02,
2002-02-21,87.91,
2002-02-22,88.32,
2002-02-23,.,No value available
2002-02-24,.,No value available
2002-02-25,87.82,
2002-02-26,87.54,
2002-02-27,87.31,
2002-02-28,86.97,
2002-03-01,87.01,
2002-03-02,.,No value available
2002-03-03,.,No value available
2002-03-04,86.71,
2002-03-05,87.25,
2002-03-06,88.12,
2002-03-07,88.69,
2002-03-08,88.17,
2002-03-09,.,No value available
2002-03-10,.,No value available
2002-03-11,87.66,
2002-03-12,88.14,
2002-03-13,88.11,
2002-03-14,88.24,
2002-03-15,88.43,
2002-03-16,.,No value available
2002-03-17,.,No value available
2002-03-18,88.21,
2002-03-19,89.03,
2002-03-20,88.62,
2002-03-21,88.83,
2002-03-22,87.93,
2002-03-23,.,No value available
2002-03-24,.,No value available
2002-03-25,87.86,
2002-03-26,87.86,
2002-03-27,87.37,
2002-03-28,87.23,
2002-03-29,.,No value available
2002-03-30,.,No value available
2002-03-31,.,No value available
2002-04-01,.,No value available
2002-04-02,87.46,
2002-04-03,87.42,
2002-04-04,87.53,
2002-04-05,87.36,
2002-04-06,.,No value available
2002-04-07,.,No value available
2002-04-08,87.17,
2002-04-09,86.59,
2002-04-10,86.73,
2002-04-11,86.60,
2002-04-12,86.26,
2002-04-13,.,No value available
2002-04-14,.,No value available
2002-04-15,85.70,
2002-04-16,85.76,
2002-04-17,86.34,
2002-04-18,86.40,
2002-04-19,85.78,
2002-04-20,.,No value available
2002-04-21,.,No value available
2002-04-22,85.64,
2002-04-23,85.43,
2002-04-24,84.05,
2002-04-25,84.45,
2002-04-26,83.83,
2002-04-27,.,No value available
2002-04-28,.,No value available
2002-04-29,84.72,
2002-04-30,84.44,
2002-05-01,.,No value available
2002-05-02,83.91,
2002-05-03,83.85,
2002-05-04,.,No value available
2002-05-05,.,No value available
2002-05-06,83.49,
2002-05-07,82.74,
2002-05-08,83.62,
2002-05-09,83.46,
2002-05-10,83.31,
2002-05-11,.,No value available
2002-05-12,.,No value available
2002-05-13,83.24,
2002-05-14,83.14,
2002-05-15,82.77,
2002-05-16,83.41,
2002-05-17,84.03,
2002-05-18,.,No value available
2002-05-19,.,No value available
2002-05-20,84.27,
2002-05-21,84.53,
2002-05-22,85.71,
2002-05-23,85.46,
2002-05-24,84.90,
2002-05-25,.,No value available
2002-05-26,.,No value available
2002-05-27,84.82,
2002-05-28,85.51,
2002-05-29,85.70,
2002-05-30,86.05,
2002-05-31,85.77,
2002-06-01,.,No value available
2002-06-02,.,No value available
2002-06-03,85.24,
2002-06-04,85.38,
2002-06-05,85.02,
2002-06-06,84.68,
2002-06-07,84.81,
2002-06-08,.,No value available
2002-06-09,.,No value available
2002-06-10,84.92,
2002-06-11,84.70,
2002-06-12,84.93,
2002-06-13,84.64,
2002-06-14,84.85,
2002-06-15,.,No value available
2002-06-16,.,No value available
2002-06-17,84.40,
2002-06-18,84.62,
2002-06-19,85.37,
2002-06-20,85.30,
2002-06-21,85.41,
2002-06-22,.,No value available
2002-06-23,.,No value available
2002-06-24,86.21,
2002-06-25,85.89,
2002-06-26,87.07,
2002-06-27,86.07,
2002-06-28,86.18,
2002-06-29,.,No value available
2002-06-30,.,No value available
2002-07-01,85.89,
2002-07-02,85.43,
2002-07-03,84.66,
2002-07-04,84.76,
2002-07-05,84.57,
2002-07-06,.,No value available
2002-07-07,.,No value available
2002-07-08,84.96,
2002-07-09,85.37,
2002-07-10,85.18,
2002-07-11,85.17,
2002-07-12,85.18,
2002-07-13,.,No value available
2002-07-14,.,No value available
2002-07-15,85.24,
2002-07-16,84.98,
2002-07-17,84.19,
2002-07-18,84.27,
2002-07-19,84.65,
2002-07-20,.,No value available
2002-07-21,.,No value available
2002-07-22,85.40,
2002-07-23,85.39,
2002-07-24,84.72,
2002-07-25,85.39,
2002-07-26,85.33,
2002-07-27,.,No value available
2002-07-28,.,No value available
2002-07-29,83.77,
2002-07-30,84.07,
2002-07-31,83.58,
2002-08-01,82.90,
2002-08-02,84.12,
2002-08-03,.,No value available
2002-08-04,.,No value available
2002-08-05,84.01,
2002-08-06,83.14,
2002-08-07,83.10,
2002-08-08,83.24,
2002-08-09,83.24,
2002-08-10,.,No value available
2002-08-11,.,No value available
2002-08-12,83.77,
2002-08-13,84.38,
2002-08-14,84.81,
2002-08-15,83.94,
2002-08-16,84.09,
2002-08-17,.,No value available
2002-08-18,.,No value available
2002-08-19,83.79,
2002-08-20,83.83,
2002-08-21,83.66,
2002-08-22,83.98,
2002-08-23,83.97,
2002-08-24,.,No value available
2002-08-25,.,No value available
2002-08-26,84.98,
2002-08-27,85.40,
2002-08-28,85.43,
2002-08-29,86.54,
2002-08-30,86.42,
2002-08-31,.,No value available
2002-09-01,.,No value available
2002-09-02,86.81,
2002-09-03,87.36,
2002-09-04,87.77,
2002-09-05,86.85,
2002-09-06,86.31,
2002-09-07,.,No value available
2002-09-08,.,No value available
2002-09-09,85.66,
2002-09-10,84.80,
2002-09-11,84.59,
2002-09-12,84.65,
2002-09-13,84.97,
2002-09-14,.,No value available
2002-09-15,.,No value available
2002-09-16,84.86,
2002-09-17,85.25,
2002-09-18,86.27,
2002-09-19,86.40,
2002-09-20,86.38,
2002-09-21,.,No value available
2002-09-22,.,No value available
2002-09-23,86.08,
2002-09-24,85.17,
2002-09-25,85.37,
2002-09-26,85.82,
2002-09-27,85.27,
2002-09-28,.,No value available
2002-09-29,.,No value available
2002-09-30,85.48,
2002-10-01,85.04,
2002-10-02,84.89,
2002-10-03,85.13,
2002-10-04,85.32,
2002-10-05,.,No value available
2002-10-06,.,No value available
2002-10-07,85.36,
2002-10-08,85.66,
2002-10-09,85.78,
2002-10-10,86.39,
2002-10-11,86.11,
2002-10-12,.,No value available
2002-10-13,.,No value available
2002-10-14,86.16,
2002-10-15,86.14,
2002-10-16,86.53,
2002-10-17,86.46,
2002-10-18,86.59,
2002-10-19,.,No value available
2002-10-20,.,No value available
2002-10-21,85.98,
2002-10-22,86.45,
2002-10-23,86.69,
2002-10-24,86.49,
2002-10-25,86.79,
2002-10-26,.,No value available
2002-10-27,.,No value available
2002-10-28,86.29,
2002-10-29,86.71,
2002-10-30,86.34,
2002-10-31,86.49,
2002-11-01,86.48,
2002-11-02,.,No value available
2002-11-03,.,No value available
2002-11-04,86.54,
2002-11-05,87.14,
2002-11-06,86.77,
2002-11-07,87.17,
2002-11-08,86.93,
2002-11-09,.,No value available
2002-11-10,.,No value available
2002-11-11,86.62,
2002-11-12,86.10,
2002-11-13,85.96,
2002-11-14,86.04,
2002-11-15,85.90,
2002-11-16,.,No value available
2002-11-17,.,No value available
2002-11-18,85.82,
2002-11-19,85.89,
2002-11-20,85.92,
2002-11-21,86.26,
2002-11-22,86.26,
2002-11-23,.,No value available
2002-11-24,.,No value available
2002-11-25,85.71,
2002-11-26,85.65,
2002-11-27,85.68,
2002-11-28,85.44,
2002-11-29,85.43,
2002-11-30,.,No value available
2002-12-01,.,No value available
2002-12-02,84.95,
2002-12-03,85.20,
2002-12-04,85.10,
2002-12-05,85.07,
2002-12-06,85.31,
2002-12-07,.,No value available
2002-12-08,.,No value available
2002-12-09,85.22,
2002-12-10,85.41,
2002-12-11,85.28,
2002-12-12,84.57,
2002-12-13,84.92,
2002-12-14,.,No value available
2002-12-15,.,No value available
2002-12-16,84.86,
2002-12-17,85.02,
2002-12-18,84.57,
2002-12-19,85.18,
2002-12-20,84.76,
2002-12-21,.,No value available
2002-12-22,.,No value available
2002-12-23,84.51,
2002-12-24,84.69,
2002-12-25,.,No value available
2002-12-26,.,No value available
2002-12-27,84.80,
2002-12-28,.,No value available
2002-12-29,.,No value available
2002-12-30,84.24,
2002-12-31,84.74,
2003-01-01,.,No value available
2003-01-02,84.64,
2003-01-03,84.32,
2003-01-04,.,No value available
2003-01-05,.,No value available
2003-01-06,84.78,
2003-01-07,84.09,
2003-01-08,84.44,
2003-01-09,84.92,
2003-01-10,84.62,
2003-01-11,.,No value available
2003-01-12,.,No value available
2003-01-13,84.08,
2003-01-14,84.09,
2003-01-15,84.24,
2003-01-16,84.04,
2003-01-17,84.13,
2003-01-18,.,No value available
2003-01-19,.,No value available
2003-01-20,84.40,
2003-01-21,84.63,
2003-01-22,84.96,
2003-01-23,84.92,
2003-01-24,84.78,
2003-01-25,.,No value available
2003-01-26,.,No value available
2003-01-27,85.08,
2003-01-28,84.82,
2003-01-29,84.86,
2003-01-30,83.58,
2003-01-31,83.54,
2003-02-01,.,No value available
2003-02-02,.,No value available
2003-02-03,82.92,
2003-02-04,83.31,
2003-02-05,82.63,
2003-02-06,82.87,
2003-02-07,82.46,
2003-02-08,.,No value available
2003-02-09,.,No value available
2003-02-10,83.48,
2003-02-11,82.85,
2003-02-12,83.06,
2003-02-13,83.38,
2003-02-14,83.58,
2003-02-15,.,No value available
2003-02-16,.,No value available
2003-02-17,83.94,
2003-02-18,84.93,
2003-02-19,84.86,
2003-02-20,84.37,
2003-02-21,84.56,
2003-02-22,.,No value available
2003-02-23,.,No value available
2003-02-24,84.19,
2003-02-25,84.45,
2003-02-26,84.09,
2003-02-27,84.17,
2003-02-28,83.90,
2003-03-01,.,No value available
2003-03-02,.,No value available
2003-03-03,83.72,
2003-03-04,84.07,
2003-03-05,84.45,
2003-03-06,84.11,
2003-03-07,84.58,
2003-03-08,.,No value available
2003-03-09,.,No value available
2003-03-10,84.79,
2003-03-11,85.11,
2003-03-12,85.30,
2003-03-13,84.14,
2003-03-14,84.14,
2003-03-15,.,No value available
2003-03-16,.,No value available
2003-03-17,84.45,
2003-03-18,84.28,
2003-03-19,84.49,
2003-03-20,84.72,
2003-03-21,85.04,
2003-03-22,.,No value available
2003-03-23,.,No value available
2003-03-24,84.55,
2003-03-25,83.70,
2003-03-26,83.99,
2003-03-27,84.18,
2003-03-28,83.04,
2003-03-29,.,No value available
2003-03-30,.,No value available
2003-03-31,83.58,
2003-04-01,84.07,
2003-04-02,83.73,
2003-04-03,83.28,
2003-04-04,83.82,
2003-04-05,.,No value available
2003-04-06,.,No value available
2003-04-07,83.77,
2003-04-08,83.70,
2003-04-09,83.55,
2003-04-10,83.92,
2003-04-11,83.24,
2003-04-12,.,No value available
2003-04-13,.,No value available
2003-04-14,83.28,
2003-04-15,83.06,
2003-04-16,82.98,
2003-04-17,82.86,
2003-04-18,.,No value available
2003-04-19,.,No value available
2003-04-20,.,No value available
2003-04-21,.,No value available
2003-04-22,83.17,
2003-04-23,83.08,
2003-04-24,83.33,
2003-04-25,83.24,
2003-04-26,.,No value available
2003-04-27,.,No value available
2003-04-28,82.85,
2003-04-29,83.04,
2003-04-30,83.61,
2003-05-01,.,No value available
2003-05-02,83.55,
2003-05-03,.,No value available
2003-05-04,.,No value available
2003-05-05,83.59,
2003-05-06,83.66,
2003-05-07,83.74,
2003-05-08,84.23,
2003-05-09,84.44,
2003-05-10,.,No value available
2003-05-11,.,No value available
2003-05-12,84.20,
2003-05-13,84.02,
2003-05-14,83.89,
2003-05-15,83.78,
2003-05-16,83.83,
2003-05-17,.,No value available
2003-05-18,.,No value available
2003-05-19,85.29,
2003-05-20,85.76,
2003-05-21,85.44,
2003-05-22,84.76,
2003-05-23,84.04,
2003-05-24,.,No value available
2003-05-25,.,No value available
2003-05-26,84.79,
2003-05-27,85.27,
2003-05-28,85.08,
2003-05-29,85.03,
2003-05-30,84.77,
2003-05-31,.,No value available
2003-06-01,.,No value available
2003-06-02,84.45,
2003-06-03,85.13,
2003-06-04,85.51,
2003-06-05,85.50,
2003-06-06,85.77,
2003-06-07,.,No value available
2003-06-08,.,No value available
2003-06-09,85.64,
2003-06-10,85.65,
2003-06-11,86.12,
2003-06-12,86.17,
2003-06-13,86.62,
2003-06-14,.,No value available
2003-06-15,.,No value available
2003-06-16,86.70,
2003-06-17,86.42,
2003-06-18,85.92,
2003-06-19,85.59,
2003-06-20,86.21,
2003-06-21,.,No value available
2003-06-22,.,No value available
2003-06-23,86.65,
2003-06-24,87.33,
2003-06-25,87.92,
2003-06-26,87.27,
2003-06-27,87.02,
2003-06-28,.,No value available
2003-06-29,.,No value available
2003-06-30,87.61,
2003-07-01,88.08,
2003-07-02,88.15,
2003-07-03,87.44,
2003-07-04,87.61,
2003-07-05,.,No value available
2003-07-06,.,No value available
2003-07-07,87.30,
2003-07-08,87.97,
2003-07-09,87.86,
2003-07-10,87.55,
2003-07-11,87.12,
2003-07-12,.,No value available
2003-07-13,.,No value available
2003-07-14,87.27,
2003-07-15,87.43,
2003-07-16,87.02,
2003-07-17,87.24,
2003-07-18,87.35,
2003-07-19,.,No value available
2003-07-20,.,No value available
2003-07-21,87.76,
2003-07-22,88.02,
2003-07-23,87.98,
2003-07-24,88.25,
2003-07-25,88.17,
2003-07-26,.,No value available
2003-07-27,.,No value available
2003-07-28,87.71,
2003-07-29,87.62,
2003-07-30,87.58,
2003-07-31,87.69,
2003-08-01,87.40,
2003-08-02,.,No value available
2003-08-03,.,No value available
2003-08-04,87.90,
2003-08-05,87.95,
2003-08-06,88.21,
2003-08-07,88.21,
2003-08-08,88.63,
2003-08-09,.,No value available
2003-08-10,.,No value available
2003-08-11,88.74,
2003-08-12,90.00,
2003-08-13,90.31,
2003-08-14,89.42,
2003-08-15,89.75,
2003-08-16,.,No value available
2003-08-17,.,No value available
2003-08-18,89.20,
2003-08-19,88.85,
2003-08-20,89.17,
2003-08-21,89.13,
2003-08-22,89.12,
2003-08-23,.,No value available
2003-08-24,.,No value available
2003-08-25,89.45,
2003-08-26,88.89,
2003-08-27,89.16,
2003-08-28,87.00,
2003-08-29,88.01,
2003-08-30,.,No value available
2003-08-31,.,No value available
2003-09-01,88.16,
2003-09-02,88.68,
2003-09-03,88.42,
2003-09-04,87.97,
2003-09-05,88.30,
2003-09-06,.,No value available
2003-09-07,.,No value available
2003-09-08,89.15,
2003-09-09,89.75,
2003-09-10,89.71,
2003-09-11,89.18,
2003-09-12,88.34,
2003-09-13,.,No value available
2003-09-14,.,No value available
2003-09-15,89.03,
2003-09-16,89.02,
2003-09-17,89.17,
2003-09-18,88.88,
2003-09-19,88.54,
2003-09-20,.,No value available
2003-09-21,.,No value available
2003-09-22,88.96,
2003-09-23,88.44,
2003-09-24,88.73,
2003-09-25,89.32,
2003-09-26,88.71,
2003-09-27,.,No value available
2003-09-28,.,No value available
2003-09-29,88.33,
2003-09-30,89.08,
2003-10-01,89.07,
2003-10-02,88.86,
2003-10-03,89.26,
2003-10-04,.,No value available
2003-10-05,.,No value available
2003-10-06,88.84,
2003-10-07,89.60,
2003-10-08,89.73,
2003-10-09,89.79,
2003-10-10,89.17,
2003-10-11,.,No value available
2003-10-12,.,No value available
2003-10-13,88.82,
2003-10-14,88.87,
2003-10-15,88.87,
2003-10-16,89.00,
2003-10-17,89.11,
2003-10-18,.,No value available
2003-10-19,.,No value available
2003-10-20,89.17,
2003-10-21,89.07,
2003-10-22,89.04,
2003-10-23,89.64,
2003-10-24,89.47,
2003-10-25,.,No value available
2003-10-26,.,No value available
2003-10-27,89.60,
2003-10-28,89.19,
2003-10-29,88.99,
2003-10-30,88.97,
2003-10-31,88.79,
2003-11-01,.,No value available
2003-11-02,.,No value available
2003-11-03,88.23,
2003-11-04,87.57,
2003-11-05,87.42,
2003-11-06,87.25,
2003-11-07,87.81,
2003-11-08,.,No value available
2003-11-09,.,No value available
2003-11-10,87.98,
2003-11-11,88.31,
2003-11-12,88.37,
2003-11-13,88.56,
2003-11-14,88.92,
2003-11-15,.,No value available
2003-11-16,.,No value available
2003-11-17,89.09,
2003-11-18,89.16,
2003-11-19,89.74,
2003-11-20,89.05,
2003-11-21,88.92,
2003-11-22,.,No value available
2003-11-23,.,No value available
2003-11-24,88.99,
2003-11-25,88.94,
2003-11-26,89.24,
2003-11-27,89.25,
2003-11-28,89.29,
2003-11-29,.,No value available
2003-11-30,.,No value available
2003-12-01,89.59,
2003-12-02,89.40,
2003-12-03,89.35,
2003-12-04,89.47,
2003-12-05,89.32,
2003-12-06,.,No value available
2003-12-07,.,No value available
2003-12-08,89.90,
2003-12-09,89.82,
2003-12-10,89.85,
2003-12-11,89.74,
2003-12-12,89.73,
2003-12-13,.,No value available
2003-12-14,.,No value available
2003-12-15,89.63,
2003-12-16,90.19,
2003-12-17,89.84,
2003-12-18,90.01,
2003-12-19,90.00,
2003-12-20,.,No value available
2003-12-21,.,No value available
2003-12-22,89.58,
2003-12-23,89.64,
2003-12-24,89.66,
2003-12-25,.,No value available
2003-12-26,.,No value available
2003-12-27,.,No value available
2003-12-28,.,No value available
2003-12-29,89.50,
2003-12-30,89.63,
2003-12-31,89.46,
2004-01-01,.,No value available
2004-01-02,89.36,
2004-01-03,.,No value available
2004-01-04,.,No value available
2004-01-05,89.02,
2004-01-06,88.90,
2004-01-07,88.73,
2004-01-08,88.75,
2004-01-09,88.87,
2004-01-10,.,No value available
2004-01-11,.,No value available
2004-01-12,88.94,
2004-01-13,88.96,
2004-01-14,88.49,
2004-01-15,88.23,
2004-01-16,87.37,
2004-01-17,.,No value available
2004-01-18,.,No value available
2004-01-19,86.19,
2004-01-20,86.58,
2004-01-21,86.95,
2004-01-22,86.84,
2004-01-23,86.38,
2004-01-24,.,No value available
2004-01-25,.,No value available
2004-01-26,86.57,
2004-01-27,86.72,
2004-01-28,86.78,
2004-01-29,86.78,
2004-01-30,86.13,
2004-01-31,.,No value available
2004-02-01,.,No value available
2004-02-02,86.42,
2004-02-03,86.67,
2004-02-04,86.45,
2004-02-05,86.25,
2004-02-06,86.25,
2004-02-07,.,No value available
2004-02-08,.,No value available
2004-02-09,86.75,
2004-02-10,87.05,
2004-02-11,86.87,
2004-02-12,86.89,
2004-02-13,86.84,
2004-02-14,.,No value available
2004-02-15,.,No value available
2004-02-16,86.95,
2004-02-17,86.75,
2004-02-18,86.62,
2004-02-19,86.56,
2004-02-20,86.71,
2004-02-21,.,No value available
2004-02-22,.,No value available
2004-02-23,86.71,
2004-02-24,86.75,
2004-02-25,87.18,
2004-02-26,86.85,
2004-02-27,86.78,
2004-02-28,.,No value available
2004-02-29,.,No value available
2004-03-01,86.80,
2004-03-02,87.24,
2004-03-03,86.89,
2004-03-04,86.88,
2004-03-05,87.21,
2004-03-06,.,No value available
2004-03-07,.,No value available
2004-03-08,87.05,
2004-03-09,86.62,
2004-03-10,86.56,
2004-03-11,86.55,
2004-03-12,86.72,
2004-03-13,.,No value available
2004-03-14,.,No value available
2004-03-15,86.60,
2004-03-16,86.60,
2004-03-17,86.69,
2004-03-18,86.97,
2004-03-19,87.24,
2004-03-20,.,No value available
2004-03-21,.,No value available
2004-03-22,87.60,
2004-03-23,88.46,
2004-03-24,87.99,
2004-03-25,87.52,
2004-03-26,87.51,
2004-03-27,.,No value available
2004-03-28,.,No value available
2004-03-29,87.92,
2004-03-30,88.45,
2004-03-31,88.27,
2004-04-01,88.44,
2004-04-02,88.11,
2004-04-03,.,No value available
2004-04-04,.,No value available
2004-04-05,87.56,
2004-04-06,87.61,
2004-04-07,87.53,
2004-04-08,87.50,
2004-04-09,.,No value available
2004-04-10,.,No value available
2004-04-11,.,No value available
2004-04-12,.,No value available
2004-04-13,87.18,
2004-04-14,87.58,
2004-04-15,87.75,
2004-04-16,87.30,
2004-04-17,.,No value available
2004-04-18,.,No value available
2004-04-19,87.56,
2004-04-20,87.10,
2004-04-21,87.21,
2004-04-22,87.38,
2004-04-23,87.41,
2004-04-24,.,No value available
2004-04-25,.,No value available
2004-04-26,87.30,
2004-04-27,87.32,
2004-04-28,87.71,
2004-04-29,87.99,
2004-04-30,88.16,
2004-05-01,.,No value available
2004-05-02,.,No value available
2004-05-03,88.11,
2004-05-04,88.36,
2004-05-05,89.18,
2004-05-06,88.97,
2004-05-07,88.26,
2004-05-08,.,No value available
2004-05-09,.,No value available
2004-05-10,87.96,
2004-05-11,87.97,
2004-05-12,88.03,
2004-05-13,87.90,
2004-05-14,87.69,
2004-05-15,.,No value available
2004-05-16,.,No value available
2004-05-17,88.12,
2004-05-18,88.05,
2004-05-19,88.04,
2004-05-20,87.87,
2004-05-21,87.97,
2004-05-22,.,No value available
2004-05-23,.,No value available
2004-05-24,87.44,
2004-05-25,87.69,
2004-05-26,87.55,
2004-05-27,87.28,
2004-05-28,87.72,
2004-05-29,.,No value available
2004-05-30,.,No value available
2004-05-31,87.22,
2004-06-01,87.45,
2004-06-02,87.64,
2004-06-03,87.62,
2004-06-04,87.31,
2004-06-05,.,No value available
2004-06-06,.,No value available
2004-06-07,87.33,
2004-06-08,87.36,
2004-06-09,87.12,
2004-06-10,87.12,
2004-06-11,86.96,
2004-06-12,.,No value available
2004-06-13,.,No value available
2004-06-14,87.10,
2004-06-15,87.24,
2004-06-16,87.28,
2004-06-17,87.21,
2004-06-18,87.26,
2004-06-19,.,No value available
2004-06-20,.,No value available
2004-06-21,87.77,
2004-06-22,87.91,
2004-06-23,87.80,
2004-06-24,88.02,
2004-06-25,88.04,
2004-06-26,.,No value available
2004-06-27,.,No value available
2004-06-28,88.10,
2004-06-29,88.07,
2004-06-30,88.33,
2004-07-01,88.43,
2004-07-02,88.30,
2004-07-03,.,No value available
2004-07-04,.,No value available
2004-07-05,88.68,
2004-07-06,88.47,
2004-07-07,88.50,
2004-07-08,88.16,
2004-07-09,87.91,
2004-07-10,.,No value available
2004-07-11,.,No value available
2004-07-12,88.27,
2004-07-13,88.22,
2004-07-14,88.09,
2004-07-15,88.13,
2004-07-16,88.03,
2004-07-17,.,No value available
2004-07-18,.,No value available
2004-07-19,88.13,
2004-07-20,88.02,
2004-07-21,87.45,
2004-07-22,87.14,
2004-07-23,86.83,
2004-07-24,.,No value available
2004-07-25,.,No value available
2004-07-26,86.89,
2004-07-27,86.73,
2004-07-28,86.42,
2004-07-29,86.45,
2004-07-30,86.36,
2004-07-31,.,No value available
2004-08-01,.,No value available
2004-08-02,86.28,
2004-08-03,86.30,
2004-08-04,86.33,
2004-08-05,86.50,
2004-08-06,86.63,
2004-08-07,.,No value available
2004-08-08,.,No value available
2004-08-09,87.04,
2004-08-10,87.38,
2004-08-11,87.30,
2004-08-12,87.20,
2004-08-13,86.62,
2004-08-14,.,No value available
2004-08-15,.,No value available
2004-08-16,86.96,
2004-08-17,87.42,
2004-08-18,87.62,
2004-08-19,87.58,
2004-08-20,87.62,
2004-08-21,.,No value available
2004-08-22,.,No value available
2004-08-23,87.45,
2004-08-24,87.08,
2004-08-25,87.33,
2004-08-26,87.13,
2004-08-27,87.22,
2004-08-28,.,No value available
2004-08-29,.,No value available
2004-08-30,87.24,
2004-08-31,87.60,
2004-09-01,87.85,
2004-09-02,88.06,
2004-09-03,87.66,
2004-09-04,.,No value available
2004-09-05,.,No value available
2004-09-06,87.74,
2004-09-07,87.63,
2004-09-08,87.41,
2004-09-09,87.99,
2004-09-10,88.12,
2004-09-11,.,No value available
2004-09-12,.,No value available
2004-09-13,87.66,
2004-09-14,87.69,
2004-09-15,87.74,
2004-09-16,87.48,
2004-09-17,87.21,
2004-09-18,.,No value available
2004-09-19,.,No value available
2004-09-20,87.23,
2004-09-21,87.59,
2004-09-22,87.52,
2004-09-23,87.73,
2004-09-24,87.62,
2004-09-25,.,No value available
2004-09-26,.,No value available
2004-09-27,87.29,
2004-09-28,87.53,
2004-09-29,87.65,
2004-09-30,87.85,
2004-10-01,87.87,
2004-10-02,.,No value available
2004-10-03,.,No value available
2004-10-04,87.64,
2004-10-05,87.78,
2004-10-06,87.52,
2004-10-07,87.31,
2004-10-08,87.48,
2004-10-09,.,No value available
2004-10-10,.,No value available
2004-10-11,87.46,
2004-10-12,87.25,
2004-10-13,87.39,
2004-10-14,87.25,
2004-10-15,87.42,
2004-10-16,.,No value available
2004-10-17,.,No value available
2004-10-18,87.12,
2004-10-19,87.40,
2004-10-20,87.62,
2004-10-21,87.29,
2004-10-22,87.16,
2004-10-23,.,No value available
2004-10-24,.,No value available
2004-10-25,87.77,
2004-10-26,88.14,
2004-10-27,88.22,
2004-10-28,88.12,
2004-10-29,87.98,
2004-10-30,.,No value available
2004-10-31,.,No value available
2004-11-01,87.87,
2004-11-02,87.72,
2004-11-03,87.79,
2004-11-04,87.58,
2004-11-05,87.13,
2004-11-06,.,No value available
2004-11-07,.,No value available
2004-11-08,87.24,
2004-11-09,87.25,
2004-11-10,87.57,
2004-11-11,87.64,
2004-11-12,87.17,
2004-11-13,.,No value available
2004-11-14,.,No value available
2004-11-15,86.79,
2004-11-16,87.28,
2004-11-17,86.83,
2004-11-18,86.74,
2004-11-19,86.88,
2004-11-20,.,No value available
2004-11-21,.,No value available
2004-11-22,87.04,
2004-11-23,87.06,
2004-11-24,87.06,
2004-11-25,87.04,
2004-11-26,86.69,
2004-11-27,.,No value available
2004-11-28,.,No value available
2004-11-29,86.47,
2004-11-30,86.45,
2004-12-01,86.22,
2004-12-02,85.37,
2004-12-03,83.65,
2004-12-04,.,No value available
2004-12-05,.,No value available
2004-12-06,83.99,
2004-12-07,83.38,
2004-12-08,82.20,
2004-12-09,83.69,
2004-12-10,83.62,
2004-12-11,.,No value available
2004-12-12,.,No value available
2004-12-13,83.80,
2004-12-14,84.11,
2004-12-15,84.74,
2004-12-16,84.92,
2004-12-17,84.09,
2004-12-18,.,No value available
2004-12-19,.,No value available
2004-12-20,83.90,
2004-12-21,83.75,
2004-12-22,83.59,
2004-12-23,83.82,
2004-12-24,83.79,
2004-12-25,.,No value available
2004-12-26,.,No value available
2004-12-27,83.78,
2004-12-28,84.00,
2004-12-29,84.09,
2004-12-30,83.72,
2004-12-31,83.60,
2005-01-01,.,No value available
2005-01-02,.,No value available
2005-01-03,83.39,
2005-01-04,83.39,
2005-01-05,83.24,
2005-01-06,83.15,
2005-01-07,83.36,
2005-01-08,.,No value available
2005-01-09,.,No value available
2005-01-10,82.99,
2005-01-11,82.91,
2005-01-12,82.70,
2005-01-13,82.50,
2005-01-14,82.17,
2005-01-15,.,No value available
2005-01-16,.,No value available
2005-01-17,81.80,
2005-01-18,81.42,
2005-01-19,81.38,
2005-01-20,81.13,
2005-01-21,81.48,
2005-01-22,.,No value available
2005-01-23,.,No value available
2005-01-24,81.63,
2005-01-25,81.35,
2005-01-26,81.30,
2005-01-27,81.32,
2005-01-28,80.77,
2005-01-29,.,No value available
2005-01-30,.,No value available
2005-01-31,81.13,
2005-02-01,80.47,
2005-02-02,80.27,
2005-02-03,80.63,
2005-02-04,81.48,
2005-02-05,.,No value available
2005-02-06,.,No value available
2005-02-07,80.98,
2005-02-08,81.18,
2005-02-09,80.92,
2005-02-10,80.71,
2005-02-11,80.94,
2005-02-12,.,No value available
2005-02-13,.,No value available
2005-02-14,81.13,
2005-02-15,81.08,
2005-02-16,81.08,
2005-02-17,81.12,
2005-02-18,80.68,
2005-02-19,.,No value available
2005-02-20,.,No value available
2005-02-21,79.90,
2005-02-22,80.43,
2005-02-23,80.48,
2005-02-24,80.68,
2005-02-25,80.24,
2005-02-26,.,No value available
2005-02-27,.,No value available
2005-02-28,80.33,
2005-03-01,80.25,
2005-03-02,79.88,
2005-03-03,79.88,
2005-03-04,79.82,
