"",BBEX3.D.BGN.USD.CA.AC.000,BBEX3.D.BGN.USD.CA.AC.000_FLAGS
2002-05-28,2.11327,
2002-05-29,2.09853,
2002-05-30,2.08622,
2002-05-31,2.08355,
2002-06-01,.,No value available
2002-06-02,.,No value available
2002-06-03,2.10011,
2002-06-04,2.07295,
2002-06-05,2.08711,
2002-06-06,2.08377,
2002-06-07,2.06922,
2002-06-08,.,No value available
2002-06-09,.,No value available
2002-06-10,2.06769,
2002-06-11,2.07691,
2002-06-12,2.06922,
2002-06-13,2.07691,
2002-06-14,2.06355,
2002-06-15,.,No value available
2002-06-16,.,No value available
2002-06-17,2.07493,
2002-06-18,2.06224,
2002-06-19,2.04563,
2002-06-20,2.03902,
2002-06-21,2.02971,
2002-06-22,.,No value available
2002-06-23,.,No value available
2002-06-24,1.99962,
2002-06-25,2.01383,
2002-06-26,1.97220,
2002-06-27,1.99087,
2002-06-28,1.96073,
2002-06-29,.,No value available
2002-06-30,.,No value available
2002-07-01,1.97300,
2002-07-02,1.98804,
2002-07-03,1.99983,
2002-07-04,1.99778,
2002-07-05,2.01114,
2002-07-06,.,No value available
2002-07-07,.,No value available
2002-07-08,1.99006,
2002-07-09,1.96962,
2002-07-10,1.97599,
2002-07-11,1.98844,
2002-07-12,1.98099,
2002-07-13,.,No value available
2002-07-14,.,No value available
2002-07-15,1.95115,
2002-07-16,1.93130,
2002-07-17,1.94339,
2002-07-18,1.94455,
2002-07-19,1.92769,
2002-07-20,.,No value available
2002-07-21,.,No value available
2002-07-22,1.93915,
2002-07-23,1.97359,
2002-07-24,1.97260,
2002-07-25,1.95310,
2002-07-26,1.95427,
2002-07-27,.,No value available
2002-07-28,.,No value available
2002-07-29,1.99148,
2002-07-30,1.98864,
2002-07-31,1.99921,
2002-08-01,2.00392,
2002-08-02,1.98099,
2002-08-03,.,No value available
2002-08-04,.,No value available
2002-08-05,1.98844,
2002-08-06,2.01861,
2002-08-07,2.01674,
2002-08-08,2.01903,
2002-08-09,2.01031,
2002-08-10,.,No value available
2002-08-11,.,No value available
2002-08-12,1.99983,
2002-08-13,1.99595,
2002-08-14,1.98420,
2002-08-15,2.00044,
2002-08-16,1.99067,
2002-08-17,.,No value available
2002-08-18,.,No value available
2002-08-19,1.99595,
2002-08-20,1.99738,
2002-08-21,2.00351,
2002-08-22,2.00187,
2002-08-23,2.01694,
2002-08-24,.,No value available
2002-08-25,.,No value available
2002-08-26,2.01611,
2002-08-27,2.00105,
2002-08-28,1.99046,
2002-08-29,1.98703,
2002-08-30,1.98905,
2002-08-31,.,No value available
2002-09-01,.,No value available
2002-09-02,1.99148,
2002-09-03,1.97359,
2002-09-04,1.96625,
2002-09-05,1.96073,
2002-09-06,.,No value available
2002-09-07,.,No value available
2002-09-08,.,No value available
2002-09-09,1.99697,
2002-09-10,2.00392,
2002-09-11,2.00619,
2002-09-12,2.00454,
2002-09-13,1.99371,
2002-09-14,.,No value available
2002-09-15,.,No value available
2002-09-16,2.01986,
2002-09-17,2.02698,
2002-09-18,2.01114,
2002-09-19,1.99290,
2002-09-20,1.99778,
2002-09-21,.,No value available
2002-09-22,.,No value available
2002-09-23,1.98945,
2002-09-24,1.99006,
2002-09-25,2.00167,
2002-09-26,1.99656,
2002-09-27,2.00003,
2002-09-28,.,No value available
2002-09-29,.,No value available
2002-09-30,1.98360,
2002-10-01,1.98340,
2002-10-02,1.98864,
2002-10-03,1.97758,
2002-10-04,1.98260,
2002-10-05,.,No value available
2002-10-06,.,No value available
2002-10-07,1.99412,
2002-10-08,1.99574,
2002-10-09,1.99290,
2002-10-10,1.98059,
2002-10-11,1.98420,
2002-10-12,.,No value available
2002-10-13,.,No value available
2002-10-14,1.98099,
2002-10-15,1.99371,
2002-10-16,1.99107,
2002-10-17,2.00331,
2002-10-18,2.00907,
2002-10-19,.,No value available
2002-10-20,.,No value available
2002-10-21,2.00639,
2002-10-22,2.00228,
2002-10-23,2.00085,
2002-10-24,2.00845,
2002-10-25,2.00331,
2002-10-26,.,No value available
2002-10-27,.,No value available
2002-10-28,2.00701,
2002-10-29,1.99168,
2002-10-30,1.99067,
2002-10-31,1.98280,
2002-11-01,1.96093,
2002-11-02,.,No value available
2002-11-03,.,No value available
2002-11-04,1.96684,
2002-11-05,1.95115,
2002-11-06,1.96467,
2002-11-07,1.95329,
2002-11-08,1.93512,
2002-11-09,.,No value available
2002-11-10,.,No value available
2002-11-11,1.93149,
2002-11-12,1.94012,
2002-11-13,1.94262,
2002-11-14,1.93742,
2002-11-15,1.95017,
2002-11-16,.,No value available
2002-11-17,.,No value available
2002-11-18,1.94320,
2002-11-19,1.93168,
2002-11-20,1.95212,
2002-11-21,1.94920,
2002-11-22,1.95115,
2002-11-23,.,No value available
2002-11-24,.,No value available
2002-11-25,1.97459,
2002-11-26,1.97359,
2002-11-27,1.97021,
2002-11-28,1.96882,
2002-11-29,1.97021,
2002-11-30,.,No value available
2002-12-01,.,No value available
2002-12-02,1.98139,
2002-12-03,1.96231,
2002-12-04,1.95232,
2002-12-05,1.95759,
2002-12-06,1.95466,
2002-12-07,.,No value available
2002-12-08,.,No value available
2002-12-09,1.93781,
2002-12-10,1.93436,
2002-12-11,1.94281,
2002-12-12,1.92579,
2002-12-13,1.91354,
2002-12-14,.,No value available
2002-12-15,.,No value available
2002-12-16,1.91523,
2002-12-17,1.89757,
2002-12-18,1.90999,
2002-12-19,1.90385,
2002-12-20,1.90720,
2002-12-21,.,No value available
2002-12-22,.,No value available
2002-12-23,.,No value available
2002-12-24,.,No value available
2002-12-25,.,No value available
2002-12-26,.,No value available
2002-12-27,1.88496,
2002-12-28,.,No value available
2002-12-29,.,No value available
2002-12-30,.,No value available
2002-12-31,.,No value available
2003-01-01,.,No value available
2003-01-02,1.87232,
2003-01-03,1.88205,
2003-01-04,.,No value available
2003-01-05,.,No value available
2003-01-06,1.86483,
2003-01-07,1.87610,
2003-01-08,1.88477,
2003-01-09,1.86145,
2003-01-10,1.86216,
2003-01-11,.,No value available
2003-01-12,.,No value available
2003-01-13,1.85404,
2003-01-14,1.84913,
2003-01-15,1.85809,
2003-01-16,1.85141,
2003-01-17,1.83612,
2003-01-18,.,No value available
2003-01-19,.,No value available
2003-01-20,1.83594,
2003-01-21,1.83594,
2003-01-22,1.82481,
2003-01-23,1.81819,
2003-01-24,1.81364,
2003-01-25,.,No value available
2003-01-26,.,No value available
2003-01-27,1.79929,
2003-01-28,1.80961,
2003-01-29,1.79962,
2003-01-30,1.81972,
2003-01-31,1.80827,
2003-02-01,.,No value available
2003-02-02,.,No value available
2003-02-03,1.82294,
2003-02-04,1.80727,
2003-02-05,1.79269,
2003-02-06,1.80878,
2003-02-07,1.81280,
2003-02-08,.,No value available
2003-02-09,.,No value available
2003-02-10,1.80961,
2003-02-11,1.82685,
2003-02-12,1.82260,
2003-02-13,1.81802,
2003-02-14,1.81213,
2003-02-15,.,No value available
2003-02-16,.,No value available
2003-02-17,1.82515,
2003-02-18,1.82549,
2003-02-19,1.82498,
2003-02-20,1.81718,
2003-02-21,1.80460,
2003-02-22,.,No value available
2003-02-23,.,No value available
2003-02-24,1.82430,
2003-02-25,1.81532,
2003-02-26,1.81887,
2003-02-27,1.80727,
2003-02-28,1.81398,
2003-03-01,.,No value available
2003-03-02,.,No value available
2003-03-03,.,No value available
2003-03-04,1.79122,
2003-03-05,1.78354,
2003-03-06,1.78403,
2003-03-07,1.77175,
2003-03-08,.,No value available
2003-03-09,.,No value available
2003-03-10,1.77126,
2003-03-11,1.76519,
2003-03-12,1.77351,
2003-03-13,1.80029,
2003-03-14,1.81516,
2003-03-15,.,No value available
2003-03-16,.,No value available
2003-03-17,1.81079,
2003-03-18,1.84756,
2003-03-19,1.85036,
2003-03-20,1.84652,
2003-03-21,1.85001,
2003-03-22,.,No value available
2003-03-23,.,No value available
2003-03-24,1.83922,
2003-03-25,1.82942,
2003-03-26,1.83353,
2003-03-27,1.82396,
2003-03-28,1.82277,
2003-03-29,.,No value available
2003-03-30,.,No value available
2003-03-31,1.79516,
2003-04-01,1.79582,
2003-04-02,1.80594,
2003-04-03,1.82754,
2003-04-04,1.82447,
2003-04-05,.,No value available
2003-04-06,.,No value available
2003-04-07,1.84826,
2003-04-08,1.83474,
2003-04-09,1.82073,
2003-04-10,1.81012,
2003-04-11,1.82192,
2003-04-12,.,No value available
2003-04-13,.,No value available
2003-04-14,1.82158,
2003-04-15,1.81364,
2003-04-16,1.80494,
2003-04-17,1.79105,
2003-04-18,.,No value available
2003-04-19,.,No value available
2003-04-20,.,No value available
2003-04-21,.,No value available
2003-04-22,1.78273,
2003-04-23,1.78713,
2003-04-24,1.77674,
2003-04-25,1.78240,
2003-04-26,.,No value available
2003-04-27,.,No value available
2003-04-28,.,No value available
2003-04-29,1.78517,
2003-04-30,1.75710,
2003-05-01,.,No value available
2003-05-02,.,No value available
2003-05-03,.,No value available
2003-05-04,.,No value available
2003-05-05,.,No value available
2003-05-06,.,No value available
2003-05-07,1.71159,
2003-05-08,1.71039,
2003-05-09,1.70576,
2003-05-10,.,No value available
2003-05-11,.,No value available
2003-05-12,1.68650,
2003-05-13,1.69806,
2003-05-14,1.70087,
2003-05-15,1.70696,
2003-05-16,1.70191,
2003-05-17,.,No value available
2003-05-18,.,No value available
2003-05-19,1.67854,
2003-05-20,1.67969,
2003-05-21,1.67322,
2003-05-22,1.66880,
2003-05-23,1.65889,
2003-05-24,.,No value available
2003-05-25,.,No value available
2003-05-26,1.65566,
2003-05-27,1.64342,
2003-05-28,1.66624,
2003-05-29,1.66369,
2003-05-30,1.65440,
2003-05-31,.,No value available
2003-06-01,.,No value available
2003-06-02,1.67566,
2003-06-03,1.66837,
2003-06-04,1.67294,
2003-06-05,1.66100,
2003-06-06,1.65566,
2003-06-07,.,No value available
2003-06-08,.,No value available
2003-06-09,1.66794,
2003-06-10,1.67179,
2003-06-11,1.66482,
2003-06-12,1.66681,
2003-06-13,1.66439,
2003-06-14,.,No value available
2003-06-15,.,No value available
2003-06-16,1.64993,
2003-06-17,1.65790,
2003-06-18,1.67179,
2003-06-19,1.67810,
2003-06-20,1.67810,
2003-06-21,.,No value available
2003-06-22,.,No value available
2003-06-23,1.69497,
2003-06-24,1.69116,
2003-06-25,1.69321,
2003-06-26,1.71084,
2003-06-27,1.71369,
2003-06-28,.,No value available
2003-06-29,.,No value available
2003-06-30,1.71159,
2003-07-01,1.69439,
2003-07-02,1.69556,
2003-07-03,1.70710,
2003-07-04,1.70576,
2003-07-05,.,No value available
2003-07-06,.,No value available
2003-07-07,1.72168,
2003-07-08,1.72685,
2003-07-09,1.72244,
2003-07-10,1.72441,
2003-07-11,1.72853,
2003-07-12,.,No value available
2003-07-13,.,No value available
2003-07-14,1.73098,
2003-07-15,1.72792,
2003-07-16,1.75600,
2003-07-17,1.74146,
2003-07-18,1.74550,
2003-07-19,.,No value available
2003-07-20,.,No value available
2003-07-21,1.73328,
2003-07-22,1.72426,
2003-07-23,1.71549,
2003-07-24,1.70562,
2003-07-25,1.70413,
2003-07-26,.,No value available
2003-07-27,.,No value available
2003-07-28,1.70235,
2003-07-29,1.70636,
2003-07-30,1.71264,
2003-07-31,1.72807,
2003-08-01,1.75112,
2003-08-02,.,No value available
2003-08-03,.,No value available
2003-08-04,1.72975,
2003-08-05,1.72578,
2003-08-06,1.71685,
2003-08-07,1.72274,
2003-08-08,1.72685,
2003-08-09,.,No value available
2003-08-10,.,No value available
2003-08-11,1.73159,
2003-08-12,1.72899,
2003-08-13,1.73435,
2003-08-14,1.73543,
2003-08-15,1.73898,
2003-08-16,.,No value available
2003-08-17,.,No value available
2003-08-18,1.74815,
2003-08-19,1.76758,
2003-08-20,1.76058,
2003-08-21,1.77657,
2003-08-22,1.79533,
2003-08-23,.,No value available
2003-08-24,.,No value available
2003-08-25,1.79632,
2003-08-26,1.80827,
2003-08-27,1.79319,
2003-08-28,1.80627,
2003-08-29,1.78991,
2003-08-30,.,No value available
2003-08-31,.,No value available
2003-09-01,1.78370,
2003-09-02,1.80277,
2003-09-03,1.81381,
2003-09-04,1.80794,
2003-09-05,1.79056,
2003-09-06,.,No value available
2003-09-07,.,No value available
2003-09-08,1.76662,
2003-09-09,1.75647,
2003-09-10,1.75065,
2003-09-11,1.74363,
2003-09-12,1.75065,
2003-09-13,.,No value available
2003-09-14,.,No value available
2003-09-15,1.73374,
2003-09-16,1.74084,
2003-09-17,1.74441,
2003-09-18,1.73236,
2003-09-19,1.72899,
2003-09-20,.,No value available
2003-09-21,.,No value available
2003-09-22,.,No value available
2003-09-23,1.70606,
2003-09-24,1.70576,
2003-09-25,1.70176,
2003-09-26,1.70265,
2003-09-27,.,No value available
2003-09-28,.,No value available
2003-09-29,1.71369,
2003-09-30,1.67854,
2003-10-01,1.67580,
2003-10-02,1.67279,
2003-10-03,1.67365,
2003-10-04,.,No value available
2003-10-05,.,No value available
2003-10-06,1.68912,
2003-10-07,1.66199,
2003-10-08,1.66016,
2003-10-09,1.65917,
2003-10-10,1.65917,
2003-10-11,.,No value available
2003-10-12,.,No value available
2003-10-13,1.67337,
2003-10-14,1.68113,
2003-10-15,1.67609,
2003-10-16,1.68388,
2003-10-17,1.68912,
2003-10-18,.,No value available
2003-10-19,.,No value available
2003-10-20,1.68186,
2003-10-21,1.68272,
2003-10-22,1.67251,
2003-10-23,1.65945,
2003-10-24,1.66016,
2003-10-25,.,No value available
2003-10-26,.,No value available
2003-10-27,1.66482,
2003-10-28,1.67552,
2003-10-29,1.67394,
2003-10-30,1.66652,
2003-10-31,1.68287,
2003-11-01,.,No value available
2003-11-02,.,No value available
2003-11-03,1.68766,
2003-11-04,1.70547,
2003-11-05,1.70472,
2003-11-06,1.70830,
2003-11-07,1.71204,
2003-11-08,.,No value available
2003-11-09,.,No value available
2003-11-10,1.70324,
2003-11-11,1.70117,
2003-11-12,1.68606,
2003-11-13,1.67451,
2003-11-14,1.66241,
2003-11-15,.,No value available
2003-11-16,.,No value available
2003-11-17,1.65720,
2003-11-18,1.66058,
2003-11-19,1.64217,
2003-11-20,1.64231,
2003-11-21,1.64369,
2003-11-22,.,No value available
2003-11-23,.,No value available
2003-11-24,1.65426,
2003-11-25,1.66227,
2003-11-26,1.65356,
2003-11-27,1.64328,
2003-11-28,1.63067,
2003-11-29,.,No value available
2003-11-30,.,No value available
2003-12-01,1.62728,
2003-12-02,1.63326,
2003-12-03,1.61612,
2003-12-04,1.61987,
2003-12-05,1.61813,
2003-12-06,.,No value available
2003-12-07,.,No value available
2003-12-08,1.60078,
2003-12-09,1.59555,
2003-12-10,1.59803,
2003-12-11,1.60485,
2003-12-12,1.59607,
2003-12-13,.,No value available
2003-12-14,.,No value available
2003-12-15,1.59921,
2003-12-16,1.58508,
2003-12-17,1.58534,
2003-12-18,1.57690,
2003-12-19,1.57500,
2003-12-20,.,No value available
2003-12-21,.,No value available
2003-12-22,1.57297,
2003-12-23,1.57830,
2003-12-24,.,No value available
2003-12-25,.,No value available
2003-12-26,.,No value available
2003-12-27,.,No value available
2003-12-28,.,No value available
2003-12-29,1.56479,
2003-12-30,1.56516,
2003-12-31,1.54856,
2004-01-01,.,No value available
2004-01-02,.,No value available
2004-01-03,.,No value available
2004-01-04,.,No value available
2004-01-05,1.54526,
2004-01-06,1.53326,
2004-01-07,1.54257,
2004-01-08,1.54807,
2004-01-09,1.53555,
2004-01-10,.,No value available
2004-01-11,.,No value available
2004-01-12,1.52466,
2004-01-13,1.53410,
2004-01-14,1.54099,
2004-01-15,1.54795,
2004-01-16,1.56554,
2004-01-17,.,No value available
2004-01-18,.,No value available
2004-01-19,1.58072,
2004-01-20,1.56017,
2004-01-21,1.55138,
2004-01-22,1.53881,
2004-01-23,1.54099,
2004-01-24,.,No value available
2004-01-25,.,No value available
2004-01-26,1.55533,
2004-01-27,1.56254,
2004-01-28,1.55682,
2004-01-29,1.56868,
2004-01-30,1.57932,
2004-01-31,.,No value available
2004-02-01,.,No value available
2004-02-02,1.56956,
2004-02-03,1.55410,
2004-02-04,1.56167,
2004-02-05,1.55434,
2004-02-06,1.56104,
2004-02-07,.,No value available
2004-02-08,.,No value available
2004-02-09,1.53845,
2004-02-10,1.53230,
2004-02-11,1.54245,
2004-02-12,1.52775,
2004-02-13,1.52608,
2004-02-14,.,No value available
2004-02-15,.,No value available
2004-02-16,1.53507,
2004-02-17,1.52110,
2004-02-18,1.52513,
2004-02-19,1.53712,
2004-02-20,1.54452,
2004-02-21,.,No value available
2004-02-22,.,No value available
2004-02-23,1.55521,
2004-02-24,1.55286,
2004-02-25,1.54868,
2004-02-26,1.57171,
2004-02-27,1.57500,
2004-02-28,.,No value available
2004-02-29,.,No value available
2004-03-01,1.56667,
2004-03-02,1.57703,
2004-03-03,.,No value available
2004-03-04,1.61013,
2004-03-05,1.60419,
2004-03-06,.,No value available
2004-03-07,.,No value available
2004-03-08,1.58290,
2004-03-09,1.58226,
2004-03-10,1.59023,
2004-03-11,1.59581,
2004-03-12,1.59855,
2004-03-13,.,No value available
2004-03-14,.,No value available
2004-03-15,1.59295,
2004-03-16,1.58367,
2004-03-17,1.59647,
2004-03-18,1.59516,
2004-03-19,1.58444,
2004-03-20,.,No value available
2004-03-21,.,No value available
2004-03-22,1.58328,
2004-03-23,1.59321,
2004-03-24,1.60367,
2004-03-25,1.61212,
2004-03-26,1.60670,
2004-03-27,.,No value available
2004-03-28,.,No value available
2004-03-29,1.61399,
2004-03-30,1.60485,
2004-03-31,1.59999,
2004-04-01,1.58752,
2004-04-02,.,No value available
2004-04-03,.,No value available
2004-04-04,.,No value available
2004-04-05,1.62202,
2004-04-06,1.61773,
2004-04-07,1.61625,
2004-04-08,1.61692,
2004-04-09,1.61692,
2004-04-10,.,No value available
2004-04-11,.,No value available
2004-04-12,.,No value available
2004-04-13,1.63326,
2004-04-14,1.64025,
2004-04-15,1.64190,
2004-04-16,1.63915,
2004-04-17,.,No value available
2004-04-18,.,No value available
2004-04-19,1.62390,
2004-04-20,1.63997,
2004-04-21,1.65244,
2004-04-22,1.64729,
2004-04-23,1.64563,
2004-04-24,.,No value available
2004-04-25,.,No value available
2004-04-26,1.65035,
2004-04-27,1.64535,
2004-04-28,1.64259,
2004-04-29,1.65384,
2004-04-30,1.63709,
2004-05-01,.,No value available
2004-05-02,.,No value available
2004-05-03,1.63627,
2004-05-04,1.62162,
2004-05-05,1.61292,
2004-05-06,.,No value available
2004-05-07,.,No value available
2004-05-08,.,No value available
2004-05-09,.,No value available
2004-05-10,1.65147,
2004-05-11,1.65692,
2004-05-12,1.64952,
2004-05-13,1.65426,
2004-05-14,1.65720,
2004-05-15,.,No value available
2004-05-16,.,No value available
2004-05-17,1.62674,
2004-05-18,1.63217,
2004-05-19,1.63135,
2004-05-20,1.64052,
2004-05-21,1.62566,
2004-05-22,.,No value available
2004-05-23,.,No value available
2004-05-24,.,No value available
2004-05-25,1.62135,
2004-05-26,1.61559,
2004-05-27,1.60775,
2004-05-28,1.59712,
2004-05-29,.,No value available
2004-05-30,.,No value available
2004-05-31,1.60340,
2004-06-01,1.59908,
2004-06-02,1.59321,
2004-06-03,1.59973,
2004-06-04,1.60275,
2004-06-05,.,No value available
2004-06-06,.,No value available
2004-06-07,1.58765,
2004-06-08,1.59088,
2004-06-09,1.60881,
2004-06-10,1.62283,
2004-06-11,1.62904,
2004-06-12,.,No value available
2004-06-13,.,No value available
2004-06-14,1.62972,
2004-06-15,1.62296,
2004-06-16,1.62202,
2004-06-17,1.62377,
2004-06-18,1.62417,
2004-06-19,.,No value available
2004-06-20,.,No value available
2004-06-21,1.61479,
2004-06-22,1.61759,
2004-06-23,1.61813,
2004-06-24,1.61345,
2004-06-25,1.61133,
2004-06-26,.,No value available
2004-06-27,.,No value available
2004-06-28,1.60209,
2004-06-29,1.60722,
2004-06-30,1.60907,
2004-07-01,1.60736,
2004-07-02,1.61000,
2004-07-03,.,No value available
2004-07-04,.,No value available
2004-07-05,1.59166,
2004-07-06,1.58894,
2004-07-07,1.58277,
2004-07-08,1.58392,
2004-07-09,1.58085,
2004-07-10,.,No value available
2004-07-11,.,No value available
2004-07-12,1.57766,
2004-07-13,1.58085,
2004-07-14,1.57970,
2004-07-15,1.58060,
2004-07-16,1.58328,
2004-07-17,.,No value available
2004-07-18,.,No value available
2004-07-19,1.57576,
2004-07-20,1.57919,
2004-07-21,1.59062,
2004-07-22,1.59425,
2004-07-23,1.60432,
2004-07-24,.,No value available
2004-07-25,.,No value available
2004-07-26,1.60802,
2004-07-27,1.60736,
2004-07-28,1.62525,
2004-07-29,1.62633,
2004-07-30,1.62458,
2004-07-31,.,No value available
2004-08-01,.,No value available
2004-08-02,1.62242,
2004-08-03,1.62688,
2004-08-04,1.63217,
2004-08-05,1.62417,
2004-08-06,1.62121,
2004-08-07,.,No value available
2004-08-08,.,No value available
2004-08-09,1.59699,
2004-08-10,1.59283,
2004-08-11,1.59881,
2004-08-12,1.59581,
2004-08-13,1.60065,
2004-08-14,.,No value available
2004-08-15,.,No value available
2004-08-16,1.58534,
2004-08-17,1.58521,
2004-08-18,1.58611,
2004-08-19,1.58251,
2004-08-20,1.59101,
2004-08-21,.,No value available
2004-08-22,.,No value available
2004-08-23,1.59660,
2004-08-24,1.61120,
2004-08-25,1.61893,
2004-08-26,1.61639,
2004-08-27,1.61839,
2004-08-28,.,No value available
2004-08-29,.,No value available
2004-08-30,1.62350,
2004-08-31,1.61492,
2004-09-01,1.60736,
2004-09-02,1.60683,
2004-09-03,1.60643,
2004-09-04,.,No value available
2004-09-05,.,No value available
2004-09-06,.,No value available
2004-09-07,1.61920,
2004-09-08,1.62458,
2004-09-09,1.60432,
2004-09-10,1.60065,
2004-09-11,.,No value available
2004-09-12,.,No value available
2004-09-13,1.59842,
2004-09-14,1.59829,
2004-09-15,1.59816,
2004-09-16,1.60868,
2004-09-17,1.60170,
2004-09-18,.,No value available
2004-09-19,.,No value available
2004-09-20,1.61212,
2004-09-21,1.59321,
2004-09-22,.,No value available
2004-09-23,1.58817,
2004-09-24,1.58894,
2004-09-25,.,No value available
2004-09-26,.,No value available
2004-09-27,1.59607,
2004-09-28,1.58559,
2004-09-29,1.58714,
2004-09-30,1.57614,
2004-10-01,1.57563,
2004-10-02,.,No value available
2004-10-03,.,No value available
2004-10-04,1.58946,
2004-10-05,1.58959,
2004-10-06,1.59244,
2004-10-07,1.58998,
2004-10-08,1.58817,
2004-10-09,.,No value available
2004-10-10,.,No value available
2004-10-11,1.57830,
2004-10-12,1.58856,
2004-10-13,1.59438,
2004-10-14,1.58021,
2004-10-15,1.57550,
2004-10-16,.,No value available
2004-10-17,.,No value available
2004-10-18,1.56793,
2004-10-19,1.56354,
2004-10-20,1.55348,
2004-10-21,1.55151,
2004-10-22,1.55151,
2004-10-23,.,No value available
2004-10-24,.,No value available
2004-10-25,1.52895,
2004-10-26,1.52990,
2004-10-27,1.52895,
2004-10-28,1.53869,
2004-10-29,1.53555,
2004-10-30,.,No value available
2004-10-31,.,No value available
2004-11-01,1.53422,
2004-11-02,1.53942,
2004-11-03,1.53350,
2004-11-04,1.51921,
2004-11-05,1.52134,
2004-11-06,.,No value available
2004-11-07,.,No value available
2004-11-08,1.51415,
2004-11-09,1.51486,
2004-11-10,1.50715,
2004-11-11,1.51732,
2004-11-12,1.51368,
2004-11-13,.,No value available
2004-11-14,.,No value available
2004-11-15,1.50971,
2004-11-16,1.50785,
2004-11-17,1.50148,
2004-11-18,1.50171,
2004-11-19,1.50217,
2004-11-20,.,No value available
2004-11-21,.,No value available
2004-11-22,1.50068,
2004-11-23,1.49425,
2004-11-24,1.48778,
2004-11-25,1.48023,
2004-11-26,1.47744,
2004-11-27,.,No value available
2004-11-28,.,No value available
2004-11-29,1.47643,
2004-11-30,1.47110,
2004-12-01,1.47121,
2004-12-02,1.46900,
2004-12-03,1.47055,
2004-12-04,.,No value available
2004-12-05,.,No value available
2004-12-06,1.45577,
2004-12-07,1.45350,
2004-12-08,1.47055,
2004-12-09,1.47000,
2004-12-10,1.48270,
2004-12-11,.,No value available
2004-12-12,.,No value available
2004-12-13,1.47410,
2004-12-14,1.46867,
2004-12-15,1.46143,
2004-12-16,1.45947,
2004-12-17,1.47454,
2004-12-18,.,No value available
2004-12-19,.,No value available
2004-12-20,1.46197,
2004-12-21,1.46023,
2004-12-22,1.46132,
2004-12-23,1.45350,
2004-12-24,.,No value available
2004-12-25,.,No value available
2004-12-26,.,No value available
2004-12-27,1.44587,
2004-12-28,1.43463,
2004-12-29,1.43726,
2004-12-30,1.43769,
2004-12-31,1.43589,
2005-01-01,.,No value available
2005-01-02,.,No value available
2005-01-03,1.44801,
2005-01-04,1.46340,
2005-01-05,1.47900,
2005-01-06,1.48360,
2005-01-07,1.48169,
2005-01-08,.,No value available
2005-01-09,.,No value available
2005-01-10,1.49266,
2005-01-11,1.48812,
2005-01-12,1.48857,
2005-01-13,1.47811,
2005-01-14,1.49403,
2005-01-15,.,No value available
2005-01-16,.,No value available
2005-01-17,1.49471,
2005-01-18,1.49757,
2005-01-19,1.49494,
2005-01-20,1.51193,
2005-01-21,1.50878,
2005-01-22,.,No value available
2005-01-23,.,No value available
2005-01-24,1.49700,
2005-01-25,1.50160,
2005-01-26,1.50391,
2005-01-27,1.50148,
2005-01-28,1.50044,
2005-01-29,.,No value available
2005-01-30,.,No value available
2005-01-31,1.50044,
2005-02-01,1.50137,
2005-02-02,1.49746,
2005-02-03,1.50437,
2005-02-04,1.50936,
2005-02-05,.,No value available
2005-02-06,.,No value available
2005-02-07,1.52276,
2005-02-08,1.53230,
2005-02-09,1.53254,
2005-02-10,1.53074,
2005-02-11,1.52145,
2005-02-12,.,No value available
2005-02-13,.,No value available
2005-02-14,1.50831,
2005-02-15,1.50264,
2005-02-16,1.49987,
2005-02-17,1.49975,
2005-02-18,1.49998,
2005-02-19,.,No value available
2005-02-20,.,No value available
2005-02-21,1.49815,
2005-02-22,1.48248,
2005-02-23,1.48135,
2005-02-24,1.47498,
2005-02-25,1.48563,
2005-02-26,.,No value available
2005-02-27,.,No value available
2005-02-28,1.47532,
2005-03-01,1.47990,
2005-03-02,1.49289,
2005-03-03,.,No value available
2005-03-04,.,No value available
2005-03-05,.,No value available
2005-03-06,.,No value available
2005-03-07,1.48203,
2005-03-08,1.47654,
2005-03-09,1.46548,
2005-03-10,1.45859,
2005-03-11,1.45783,
2005-03-12,.,No value available
2005-03-13,.,No value available
2005-03-14,1.46263,
2005-03-15,1.46143,
2005-03-16,1.46252,
2005-03-17,1.46197,
2005-03-18,1.47287,
2005-03-19,.,No value available
2005-03-20,.,No value available
2005-03-21,1.48180,
2005-03-22,1.48450,
2005-03-23,1.49872,
2005-03-24,1.50657,
2005-03-25,1.50657,
2005-03-26,.,No value available
2005-03-27,.,No value available
2005-03-28,1.50657,
2005-03-29,1.51310,
2005-03-30,1.51111,
2005-03-31,1.50866,
2005-04-01,1.50924,
2005-04-02,.,No value available
2005-04-03,.,No value available
2005-04-04,1.51815,
2005-04-05,1.52680,
2005-04-06,1.52086,
2005-04-07,1.51345,
2005-04-08,1.52573,
2005-04-09,.,No value available
2005-04-10,.,No value available
2005-04-11,1.50785,
2005-04-12,1.50622,
2005-04-13,1.51357,
2005-04-14,1.52561,
2005-04-15,1.51992,
2005-04-16,.,No value available
2005-04-17,.,No value available
2005-04-18,1.50831,
2005-04-19,1.50495,
2005-04-20,1.49884,
2005-04-21,1.49780,
2005-04-22,1.49563,
2005-04-23,.,No value available
2005-04-24,.,No value available
2005-04-25,1.50843,
2005-04-26,1.50669,
2005-04-27,1.51380,
2005-04-28,1.51556,
2005-04-29,1.50948,
2005-04-30,.,No value available
2005-05-01,.,No value available
2005-05-02,.,No value available
2005-05-03,1.52134,
