"",BBFN1.M.DE.N.1.A.W1.S1P.F0.S.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.F0.S.N000.Z01.BGA.X001.D_FLAGS
1981-03,5.149,
1981-04,5.097,
1981-05,4.706,
1981-06,4.583,
1981-07,4.752,
1981-08,4.940,
1981-09,4.929,
1981-10,4.813,
1981-11,4.917,
1981-12,4.631,
1982-01,5.040,
1982-02,5.888,
1982-03,5.141,
1982-04,5.147,
1982-05,6.102,
1982-06,6.175,
1982-07,6.414,
1982-08,6.545,
1982-09,6.911,
1982-10,6.891,
1982-11,6.797,
1982-12,6.182,
1983-01,6.144,
1983-02,5.726,
1983-03,5.914,
1983-04,6.188,
1983-05,6.485,
1983-06,6.504,
1983-07,7.071,
1983-08,7.060,
1983-09,7.404,
1983-10,6.915,
1983-11,7.072,
1983-12,6.616,
1984-01,6.849,
1984-02,6.883,
1984-03,7.268,
1984-04,7.557,
1984-05,7.308,
1984-06,7.378,
1984-07,7.263,
1984-08,7.758,
1984-09,9.222,
1984-10,8.201,
1984-11,8.284,
1984-12,9.408,
1985-01,8.983,
1985-02,9.235,
1985-03,9.825,
1985-04,9.985,
1985-05,10.311,
1985-06,10.382,
1985-07,10.141,
1985-08,11.037,
1985-09,11.764,
1985-10,10.081,
1985-11,10.192,
1985-12,10.769,
1986-01,10.591,
1986-02,10.947,
1986-03,11.777,
1986-04,11.680,
1986-05,12.616,
1986-06,12.797,
1986-07,12.400,
1986-08,12.634,
1986-09,12.874,
1986-10,12.141,
1986-11,12.122,
1986-12,11.167,
1987-01,11.543,
1987-02,12.520,
1987-03,12.416,
1987-04,12.561,
1987-05,12.581,
1987-06,12.068,
1987-07,11.691,
1987-08,11.737,
1987-09,12.194,
1987-10,11.825,
1987-11,11.839,
1987-12,11.435,
1988-01,11.631,
1988-02,11.708,
1988-03,11.829,
1988-04,11.637,
1988-05,11.815,
1988-06,11.692,
1988-07,11.985,
1988-08,11.932,
1988-09,12.492,
1988-10,12.150,
1988-11,12.122,
1988-12,12.640,
1989-01,12.622,
1989-02,12.660,
1989-03,11.927,
1989-04,12.673,
1989-05,13.181,
1989-06,13.832,
1989-07,13.550,
1989-08,13.774,
1989-09,15.074,
1989-10,17.869,
1989-11,18.563,
1989-12,19.619,
1990-01,20.131,
1990-02,18.385,
1990-03,18.489,
1990-04,18.084,
1990-05,18.292,
1990-06,17.707,
1990-07,17.402,
1990-08,18.216,
1990-09,18.834,
1990-10,19.151,
1990-11,20.493,
1990-12,21.392,
1991-01,21.722,
1991-02,22.385,
1991-03,24.060,
1991-04,24.578,
1991-05,23.792,
1991-06,24.530,
1991-07,23.303,
1991-08,22.510,
1991-09,23.275,
1991-10,23.055,
1991-11,23.209,
1991-12,21.991,
1992-01,21.854,
1992-02,21.321,
1992-03,22.096,
1992-04,22.150,
1992-05,22.150,
1992-06,21.570,
1992-07,21.121,
1992-08,21.707,
1992-09,21.119,
1992-10,21.133,
1992-11,21.044,
1992-12,19.710,
1993-01,19.814,
1993-02,20.336,
1993-03,20.813,
1993-04,21.378,
1993-05,21.681,
1993-06,21.472,
1993-07,21.192,
1993-08,21.303,
1993-09,21.483,
1993-10,21.822,
1993-11,22.087,
1993-12,23.628,
1994-01,23.789,
1994-02,23.874,
1994-03,25.335,
1994-04,26.265,
1994-05,26.205,
1994-06,26.349,
1994-07,26.766,
1994-08,27.662,
1994-09,28.459,
1994-10,28.909,
1994-11,28.296,
1994-12,28.109,
1995-01,29.274,
1995-02,29.553,
1995-03,29.769,
1995-04,30.628,
1995-05,31.748,
1995-06,30.979,
1995-07,31.325,
1995-08,31.252,
1995-09,32.396,
1995-10,32.982,
1995-11,33.340,
1995-12,32.059,
1996-01,33.078,
1996-02,35.306,
1996-03,36.914,
1996-04,38.713,
1996-05,41.252,
1996-06,40.270,
1996-07,36.840,
1996-08,36.272,
1996-09,40.096,
1996-10,40.148,
1996-11,40.911,
1996-12,46.886,
1997-01,53.695,
1997-02,55.863,
1997-03,57.206,
1997-04,60.029,
1997-05,60.336,
1997-06,58.843,
1997-07,57.902,
1997-08,54.373,
1997-09,56.642,
1997-10,53.899,
1997-11,52.301,
1997-12,53.496,
1998-01,53.062,
1998-02,59.161,
1998-03,68.612,
1998-04,70.744,
1998-05,76.955,
1998-06,69.662,
1998-07,64.504,
1998-08,60.916,
1998-09,68.024,
1998-10,63.051,
1998-11,67.751,
1998-12,67.246,
1999-01,68.231,
1999-02,75.083,
1999-03,85.682,
1999-04,94.974,
1999-05,103.809,
1999-06,104.109,
1999-07,92.417,
1999-08,92.500,
1999-09,91.460,
1999-10,89.045,
1999-11,94.044,
1999-12,91.945,
2000-01,95.151,
2000-02,99.265,
2000-03,112.994,
2000-04,117.474,
2000-05,131.891,
2000-06,131.034,
2000-07,114.878,
2000-08,120.110,
2000-09,124.958,
2000-10,125.953,
2000-11,123.459,
2000-12,122.136,
2001-01,131.146,
2001-02,141.347,
2001-03,164.304,
2001-04,165.676,
2001-05,166.899,
2001-06,163.790,
2001-07,144.957,
2001-08,142.249,
2001-09,139.811,
2001-10,139.327,
2001-11,125.317,
2001-12,135.021,
2002-01,126.804,
2002-02,125.497,
2002-03,123.974,
2002-04,120.564,
2002-05,109.774,
2002-06,110.013,
2002-07,105.471,
2002-08,103.571,
2002-09,109.509,
2002-10,110.267,
2002-11,103.608,
2002-12,105.685,
2003-01,107.650,
2003-02,111.275,
2003-03,118.163,
2003-04,118.330,
2003-05,118.477,
2003-06,115.649,
2003-07,114.861,
2003-08,112.280,
2003-09,117.316,
2003-10,114.552,
2003-11,117.791,
2003-12,115.101,
2004-01,125.217,
2004-02,119.487,
2004-03,122.673,
2004-04,120.946,
2004-05,120.975,
2004-06,121.895,
2004-07,122.048,
2004-08,124.986,
2004-09,126.507,
2004-10,124.562,
2004-11,118.506,
2004-12,113.796,
2005-01,111.711,
2005-02,117.436,
2005-03,118.968,
2005-04,121.523,
2005-05,122.792,
2005-06,126.105,
2005-07,125.357,
2005-08,125.465,
2005-09,129.912,
2005-10,131.413,
2005-11,131.199,
2005-12,131.240,
2006-01,128.888,
2006-02,138.813,
2006-03,139.082,
2006-04,147.546,
2006-05,142.991,
2006-06,141.157,
2006-07,143.298,
2006-08,142.612,
2006-09,142.157,
2006-10,144.370,
2006-11,138.149,
2006-12,138.133,
2007-01,134.865,
2007-02,132.690,
2007-03,136.298,
2007-04,139.986,
2007-05,141.130,
2007-06,138.508,
2007-07,143.045,
2007-08,138.333,
2007-09,140.992,
2007-10,139.871,
2007-11,134.057,
2007-12,138.820,
2008-01,131.943,
2008-02,136.600,
2008-03,138.478,
2008-04,147.065,
2008-05,146.054,
2008-06,151.020,
2008-07,154.787,
2008-08,151.905,
2008-09,153.454,
2008-10,157.236,
2008-11,160.811,
2008-12,160.328,
2009-01,156.355,
2009-02,153.298,
2009-03,159.263,
2009-04,157.708,
2009-05,159.320,
2009-06,158.891,
2009-07,156.484,
2009-08,154.821,
2009-09,151.756,
2009-10,153.653,
2009-11,152.234,
2009-12,153.087,
2010-01,154.714,
2010-02,153.744,
2010-03,161.784,
2010-04,159.188,
2010-05,166.206,
2010-06,174.632,
2010-07,177.666,
2010-08,178.992,
2010-09,176.383,
2010-10,176.855,
2010-11,179.087,
2010-12,175.279,
2011-01,176.477,
2011-02,177.576,
2011-03,187.411,
2011-04,185.885,
2011-05,191.944,
2011-06,183.325,
2011-07,187.272,
2011-08,189.021,
2011-09,195.390,
2011-10,186.821,
2011-11,180.839,
2011-12,183.531,
2012-01,188.597,
2012-02,180.214,
2012-03,188.590,
2012-04,175.832,
2012-05,176.699,
2012-06,182.989,
2012-07,179.074,
2012-08,177.201,
2012-09,176.589,
2012-10,174.832,
2012-11,175.118,
2012-12,175.436,
2013-01,171.802,
2013-02,169.994,
2013-03,180.340,
2013-04,183.662,
2013-05,184.460,
2013-06,189.068,
2013-07,180.384,
2013-08,185.416,
2013-09,186.964,
2013-10,176.287,
2013-11,175.694,
2013-12,179.451,
2014-01,177.945,
2014-02,180.450,
2014-03,184.203,
2014-04,192.266,
2014-05,189.570,
2014-06,189.505,
2014-07,191.512,
2014-08,197.674,
2014-09,199.334,
2014-10,195.175,
2014-11,190.139,
2014-12,198.843,
