"",BBEX3.M.MAD.USD.CA.AA.A01,BBEX3.M.MAD.USD.CA.AA.A01_FLAGS
1982-06,6.1622,
1982-07,6.1611,
1982-08,6.1799,
1982-09,6.2338,
1982-10,6.3243,
1982-11,6.3494,
1982-12,6.2530,
1983-01,6.3771,
1983-02,6.3652,
1983-03,6.5689,
1983-04,6.6193,
1983-05,6.7489,
1983-06,6.8440,
1983-07,7.0415,
1983-08,7.9210,
1983-09,7.8442,
1983-10,7.8392,
1983-11,7.9644,
1983-12,8.0436,
1984-01,8.1992,
1984-02,8.0061,
1984-03,8.2426,
1984-04,8.5966,
1984-05,8.6815,
1984-06,8.8020,
1984-07,9.0375,
1984-08,9.0316,
1984-09,9.3097,
1984-10,9.3313,
1984-11,9.4589,
1984-12,9.5314,
1985-01,9.6303,
1985-02,9.9738,
1985-03,9.6821,
1985-04,10.1540,
1985-05,10.4870,
1985-06,10.4170,
1985-07,10.1900,
1985-08,10.2100,
1985-09,10.0280,
1985-10,9.8948,
1985-11,9.6625,
1985-12,9.5966,
1986-01,9.4680,
1986-02,9.0482,
1986-03,9.3284,
1986-04,9.0565,
1986-05,9.3668,
1986-06,9.0904,
1986-07,8.9292,
1986-08,8.8794,
1986-09,8.8275,
1986-10,8.9732,
1986-11,8.7728,
1986-12,8.6877,
1987-01,8.4394,
1987-02,8.4666,
1987-03,8.3835,
1987-04,8.3188,
1987-05,8.4099,
1987-06,8.4316,
1987-07,8.4705,
1987-08,8.3531,
1987-09,8.3863,
1987-10,8.1654,
1987-11,7.9061,
1987-12,7.7784,
1988-01,8.0144,
1988-02,8.0418,
1988-03,7.9327,
1988-04,7.9517,
1988-05,8.0751,
1988-06,8.3574,
1988-07,8.4754,
1988-08,8.5006,
1988-09,8.5124,
1988-10,8.2307,
1988-11,8.1175,
1988-12,8.1901,
1989-01,8.3680,
1989-02,8.3114,
1989-03,8.4580,
1989-04,8.4211,
1989-05,8.7534,
1989-06,8.6809,
1989-07,8.4066,
1989-08,8.6502,
1989-09,8.4540,
1989-10,8.4038,
1989-11,8.3252,
1989-12,8.1012,
1990-01,8.0295,
1990-02,8.0327,
1990-03,8.0375,
1990-04,8.0201,
1990-05,8.8078,comment
1990-06,8.6793,
1990-07,8.3358,
1990-08,8.2180,
1990-09,8.2400,
1990-10,8.0409,
1990-11,8.0195,
1990-12,8.0213,
1991-01,7.9273,
1991-02,8.0830,
1991-03,8.8739,
1991-04,8.9305,
1991-05,8.9157,
1991-06,9.2896,
1991-07,9.0293,
1991-08,9.0027,
1991-09,8.7046,
1991-10,8.7555,
1991-11,8.6023,
1991-12,8.1159,
1992-01,8.5946,
1992-02,8.7359,
1992-03,8.8002,
1992-04,8.8267,
1992-05,8.6087,
1992-06,8.2630,
1992-07,8.0868,
1992-08,7.8234,
1992-09,8.0189,
1992-10,8.5182,
1992-11,8.8233,
1992-12,9.0125,
1993-01,8.9403,
1993-02,9.2051,
1993-03,9.0590,
1993-04,8.8436,
1993-05,8.9398,
1993-06,9.3055,
1993-07,9.6434,
1993-08,9.4279,
1993-09,9.2405,
1993-10,9.4847,
1993-11,9.5864,
1993-12,9.6126,
1994-01,9.6058,
1994-02,9.5202,
1994-03,9.3584,
1994-04,9.3206,
1994-05,9.2347,
1994-06,9.0594,
1994-07,9.0613,
1994-08,9.0229,
1994-09,8.8383,
1994-10,8.6902,
1994-11,8.9711,
1994-12,8.9238,
1995-01,8.7650,
1995-02,8.6724,
1995-03,8.3528,
1995-04,8.3653,
1995-05,8.3562,
1995-06,8.3272,
1995-07,8.2506,
1995-08,8.5997,
1995-09,8.4190,
1995-10,8.4077,
1995-11,8.5111,
1995-12,8.4350,
1996-01,8.7050,
1996-02,8.5799,
1996-03,8.6034,
1996-04,8.7920,
1996-05,8.7921,
1996-06,8.7490,
1996-07,8.5518,
1996-08,8.6235,
1996-09,8.7498,
1996-10,8.6581,
1996-11,8.7336,
1996-12,8.7731,
1997-01,9.1528,
1997-02,9.3623,
1997-03,9.2918,
1997-04,9.5095,
1997-05,9.4002,
1997-06,9.5257,
1997-07,9.8721,
1997-08,9.7572,
1997-09,9.6318,
1997-10,9.4308,
1997-11,9.5632,
1997-12,9.6850,
1998-01,9.7697,
1998-02,9.7695,
1998-03,9.8851,
1998-04,9.6946,
1998-05,9.6881,
1998-06,9.7509,
1998-07,9.6662,
1998-08,9.5946,
1998-09,9.2198,
1998-10,9.1743,
1998-11,9.3443,
1998-12,9.2419,
1999-01,9.4292,
1999-02,9.6445,
1999-03,9.7205,
1999-04,9.8622,
1999-05,9.9399,
1999-06,10.0047,
1999-07,9.7622,
1999-08,9.7989,
1999-09,9.7410,
1999-10,9.7976,
1999-11,10.0460,
1999-12,10.0570,
2000-01,10.2410,
2000-02,10.3220,
2000-03,10.3230,
2000-04,10.6460,
2000-05,10.5390,
2000-06,10.3630,
2000-07,10.5790,
2000-08,10.8010,
2000-09,10.8480,
2000-10,11.0910,
2000-11,10.9790,
2000-12,10.5770,
2001-01,10.5990,
2001-02,10.6850,
2001-03,10.9520,
2001-04,11.4910,
2001-05,11.9170,
2001-06,11.9020,
2001-07,11.6200,
2001-08,11.2370,
2001-09,11.2750,
2001-10,11.3790,
2001-11,11.4840,
2001-12,11.4670,
2002-01,11.7580,
2002-02,11.7350,
2002-03,11.6560,
2002-04,11.3630,
2002-05,11.0620,
2002-06,10.5470,
2002-07,10.6730,
2002-08,10.6330,
2002-09,10.6040,
2002-10,10.6070,
2002-11,10.5550,
2002-12,10.1360,
2003-01,9.9092,
2003-02,9.8994,
2003-03,9.8143,
2003-04,9.6302,
2003-05,9.2321,
2003-06,9.4518,
2003-07,9.5509,
2003-08,9.7701,
2003-09,9.2876,
2003-10,9.3217,
2003-11,9.0920,
2003-12,8.7237,
2004-01,8.8407,
2004-02,8.8413,
2004-03,8.9063,
2004-04,9.1045,
2004-05,8.9621,
2004-06,9.0001,
2004-07,9.0790,
2004-08,9.0262,
2004-09,8.8410,
2004-10,8.6653,
2004-11,8.3712,
2004-12,8.2048,
2005-01,8.5057,
2005-02,8.3906,
2005-03,8.5329,
2005-04,8.5642,
2005-05,8.8894,
2005-06,9.0472,
2005-07,9.0223,
2005-08,8.9165,
2005-09,9.0671,
2005-10,9.0708,
2005-11,9.2409,
2005-12,9.2217,
2006-01,9.0454,
2006-02,9.1688,
2006-03,9.0289,
2006-04,8.7490,
2006-05,8.6011,
2006-06,8.6534,
2006-07,8.6482,
2006-08,8.6355,
2006-09,8.7176,
2006-10,8.6827,
2006-11,8.4168,
2006-12,8.4312,
2007-01,8.5488,
2007-02,8.4062,
2007-03,8.3624,
2007-04,8.1899,
2007-05,8.2907,
2007-06,8.2579,
2007-07,8.1680,
2007-08,8.1973,
2007-09,7.9269,
2007-10,7.8129,
2007-11,7.6747,
2007-12,7.7122,
2008-01,7.6384,
2008-02,7.4938,
2008-03,7.2308,
2008-04,7.3405,
2008-05,7.3484,
2008-06,7.2585,
2008-07,7.2985,
2008-08,7.6912,
2008-09,7.8727,
2008-10,8.6813,
2008-11,8.6589,
2008-12,8.0740,
2009-01,8.6054,
2009-02,8.7375,
2009-03,8.3660,
2009-04,8.3999,
2009-05,7.9756,
2009-06,7.9737,
2009-07,7.9653,
2009-08,7.8919,
2009-09,7.7485,
2009-10,7.6595,
2009-11,7.5652,
2009-12,7.8366,
2010-01,8.0460,
2010-02,8.2264,
2010-03,8.2574,
2010-04,8.3614,
2010-05,8.9054,
2010-06,8.9471,
2010-07,8.4791,
2010-08,8.6952,
2010-09,8.1963,
2010-10,8.0618,
2010-11,8.5260,
2010-12,8.3319,
2011-01,8.1616,
2011-02,8.1012,
2011-03,7.9343,
2011-04,7.6350,
2011-05,7.8425,
2011-06,7.8003,
2011-07,7.8615,
2011-08,7.8273,
2011-09,8.3003,
2011-10,8.0251,
2011-11,8.2589,
2011-12,8.5515,
2012-01,8.4325,
2012-02,8.2935,
2012-03,8.3429,
2012-04,8.4038,
2012-05,8.8560,
2012-06,8.6991,
2012-07,8.9271,
2012-08,8.7366,
2012-09,8.5571,
2012-10,8.5292,
2012-11,8.5337,
2012-12,8.4082,
2013-01,8.2319,
2013-02,8.4606,
2013-03,8.6240,
2013-04,8.4828,
2013-05,8.5273,
2013-06,8.4773,
2013-07,8.3797,
2013-08,8.4077,
2013-09,8.2426,
2013-10,8.2000,
2013-11,8.2127,
2013-12,8.1262,
2014-01,8.2569,
2014-02,8.1114,
2014-03,8.1252,
2014-04,8.0846,
2014-05,8.2057,
2014-06,8.1879,
2014-07,8.3224,
2014-08,8.4273,
2014-09,8.7459,
2014-10,8.7946,
2014-11,8.8101,
2014-12,9.0154,
2015-01,9.5300,
"",General: We do not have any data on exchange rates of May 1969.,
"","Source: Since 1987: Bank Al-Maghrib, Rabat January 1967 - December 1986: Banque du Maroc",
"","Comment on 1990-05: On 2 May 1990, the dirham was devalued. We recorded the following exchange rates (buying/selling rate): 2 May 1990: USD 1 = MAD 8.8016 / 8.8468 Calculated devaluation of 25 April 1990: 8.9%.",
