"",BBEX3.M.IDR.USD.CA.AA.A01,BBEX3.M.IDR.USD.CA.AA.A01_FLAGS
1998-04,7930.00,
1998-05,10472.00,
1998-06,14825.00,
1998-07,12935.00,
1998-08,11020.00,
1998-09,10646.00,
1998-10,7512.00,
1998-11,7263.00,
1998-12,7985.00,
1999-01,8905.00,
1999-02,8686.00,
1999-03,8642.00,
1999-04,8219.00,
1999-05,8064.00,
1999-06,6692.00,
1999-07,6841.00,
1999-08,7527.00,
1999-09,8344.00,
1999-10,6865.00,
1999-11,7388.00,
1999-12,7064.00,
2000-01,7388.00,
2000-02,7467.00,
2000-03,7552.00,
2000-04,7905.00,
2000-05,8577.00,
2000-06,8691.00,
2000-07,8958.00,
2000-08,8249.00,
2000-09,8736.00,
2000-10,9348.00,
2000-11,9482.00,
2000-12,9547.00,
2001-01,9403.00,
2001-02,9786.00,
2001-03,10348.00,
2001-04,11617.00,
2001-05,11003.00,
2001-06,11383.00,
2001-07,9477.00,
2001-08,8821.00,
2001-09,9627.00,
2001-10,10383.00,
2001-11,10378.00,
2001-12,10348.00,
2002-01,10268.00,
2002-02,10138.00,
2002-03,9607.00,
2002-04,9269.00,
2002-05,8741.00,
2002-06,8686.00,
2002-07,9062.00,
2002-08,8823.00,
2002-09,8970.00,
2002-10,9187.00,
2002-11,8931.00,
2002-12,8895.00,
2003-01,8832.00,
2003-02,8860.00,
2003-03,8863.00,
2003-04,8632.00,
2003-05,8238.00,
2003-06,8244.00,
2003-07,8462.00,
2003-08,8492.00,
2003-09,8347.00,
2003-10,8453.00,
2003-11,8494.00,
2003-12,8423.00,
2004-01,8399.00,
2004-02,8405.00,
2004-03,8544.00,
2004-04,8618.00,
2004-05,9169.00,
2004-06,9368.00,
2004-07,9122.00,
2004-08,9281.00,
2004-09,9124.00,
2004-10,9045.00,
2004-11,8973.00,
2004-12,9244.00,
2005-01,9119.00,
2005-02,9214.00,
2005-03,9433.00,
2005-04,9522.00,
2005-05,9448.00,
2005-06,9664.00,
2005-07,9770.00,
2005-08,10189.00,
2005-09,10258.00,
2005-10,10040.00,
2005-11,9985.00,
2005-12,9781.00,
2006-01,9348.00,
2006-02,9184.00,
2006-03,9030.00,
2006-04,8731.00,
2006-05,9174.00,
2006-06,9253.00,
2006-07,9025.00,
2006-08,9054.00,
2006-09,9189.00,
2006-10,9064.00,
2006-11,9119.00,
2006-12,8975.00,
2007-01,9045.00,
2007-02,9114.00,
2007-03,9072.00,
2007-04,9038.00,
2007-05,8784.00,
2007-06,9009.00,
2007-07,9140.00,
2007-08,9363.00,
2007-09,9091.00,
2007-10,9057.00,
2007-11,9329.00,
2007-12,9372.00,
2008-01,9245.00,
2008-02,9006.00,
2008-03,9171.00,
2008-04,9188.00,
2008-05,9271.00,
2008-06,9179.00,
2008-07,9072.00,
2008-08,9107.00,
2008-09,9331.00,
2008-10,10940.00,
2008-11,12090.00,
2008-12,10895.00,
2009-01,11298.00,
2009-02,11920.00,
2009-03,11517.00,
2009-04,10659.00,
2009-05,10288.00,
2009-06,10174.00,
2009-07,9870.00,
2009-08,10010.00,
2009-09,9633.00,
2009-10,9497.00,
2009-11,9433.00,
2009-12,9353.00,
2010-01,9318.00,
2010-02,9288.00,
2010-03,9069.00,
2010-04,8967.00,
2010-05,9134.00,
2010-06,9038.00,
2010-07,8907.00,
2010-08,8996.00,
2010-09,8879.00,
2010-10,8883.00,
2010-11,8968.00,
2010-12,8946.00,
2011-01,9012.00,
2011-02,8779.00,
2011-03,8665.00,
2011-04,8531.00,
2011-05,8494.00,
2011-06,8554.00,
2011-07,8465.00,
2011-08,8535.00,
2011-09,8779.00,
2011-10,8791.00,
2011-11,9124.00,
2011-12,9023.00,
2012-01,8955.00,
2012-02,9040.00,
2012-03,9134.00,
2012-04,9144.00,
2012-05,9517.00,
2012-06,9433.00,
2012-07,9438.00,
2012-08,9512.00,
2012-09,9540.00,
2012-10,9567.00,
2012-11,9557.00,
2012-12,9622.00,
2013-01,9650.00,
2013-02,9619.00,
2013-03,9670.00,
2013-04,9673.00,
2013-05,9753.00,
2013-06,9879.00,
2013-07,10227.00,
2013-08,10869.00,
2013-09,11555.00,
2013-10,11178.00,
2013-11,11917.00,
2013-12,12128.00,
2014-01,12165.00,
2014-02,11576.00,
2014-03,11347.00,
2014-04,11474.00,
2014-05,11553.00,
2014-06,11909.00,
2014-07,11533.00,
2014-08,11658.00,
2014-09,12151.00,
2014-10,12022.00,
2014-11,12135.00,
2014-12,12378.00,
2015-01,12562.00,
"","Source: Bank Indonesia, Jakarta.",
