"",BBDE1.M.DE.Y.BAA1.A2P300000.G.C.I10.A,BBDE1.M.DE.Y.BAA1.A2P300000.G.C.I10.A_FLAGS
2004-01,89.9,
2004-02,90.4,
2004-03,89.8,
2004-04,91.1,
2004-05,92.1,
2004-06,91.5,
2004-07,92.6,
2004-08,91.7,
2004-09,91.4,
2004-10,92.5,
2004-11,91.0,
2004-12,90.6,
2005-01,93.4,
2005-02,91.9,
2005-03,93.0,
2005-04,93.8,
2005-05,92.6,
2005-06,94.6,
2005-07,96.0,
2005-08,93.3,
2005-09,95.9,
2005-10,97.8,
2005-11,96.6,
2005-12,96.5,
2006-01,97.0,
2006-02,97.5,
2006-03,96.6,
2006-04,98.9,
2006-05,100.3,
2006-06,99.7,
2006-07,101.5,
2006-08,102.2,
2006-09,102.1,
2006-10,101.8,
2006-11,103.6,
2006-12,104.7,
2007-01,105.1,
2007-02,105.6,
2007-03,106.1,
2007-04,105.2,
2007-05,107.1,
2007-06,107.0,
2007-07,107.8,
2007-08,108.0,
2007-09,109.1,
2007-10,109.2,
2007-11,109.0,
2007-12,110.2,
2008-01,111.7,
2008-02,111.4,
2008-03,110.7,
2008-04,111.0,
2008-05,108.7,
2008-06,109.9,
2008-07,108.1,
2008-08,110.3,
2008-09,107.7,
2008-10,105.3,
2008-11,100.8,
2008-12,96.9,
2009-01,89.2,
2009-02,86.4,
2009-03,86.8,
2009-04,84.2,
2009-05,88.1,
2009-06,88.8,
2009-07,87.9,
2009-08,89.1,
2009-09,93.0,
2009-10,91.0,
2009-11,92.1,
2009-12,92.1,
2010-01,92.9,
2010-02,92.3,
2010-03,95.4,
2010-04,96.9,
2010-05,99.8,
2010-06,99.6,
2010-07,99.0,
2010-08,100.8,
2010-09,102.1,
2010-10,104.2,
2010-11,103.8,
2010-12,105.1,
2011-01,105.2,
2011-02,106.7,
2011-03,107.3,
2011-04,107.9,
2011-05,109.1,
2011-06,107.3,
2011-07,110.7,
2011-08,110.2,
2011-09,108.1,
2011-10,109.2,
2011-11,108.5,
2011-12,106.8,
2012-01,107.6,
2012-02,107.7,
2012-03,108.9,
2012-04,106.8,
2012-05,108.9,
2012-06,107.6,
2012-07,108.8,
2012-08,108.9,
2012-09,107.2,
2012-10,105.7,
2012-11,105.1,
2012-12,106.1,
2013-01,104.9,
2013-02,106.0,
2013-03,107.0,
2013-04,107.6,
2013-05,106.6,
2013-06,108.6,
2013-07,106.6,
2013-08,109.5,
2013-09,108.3,
2013-10,107.6,
2013-11,110.1,
2013-12,110.2,
2014-01,110.2,
2014-02,110.7,
2014-03,110.3,
2014-04,110.4,
2014-05,109.0,
2014-06,109.5,
2014-07,111.3,
2014-08,107.7,
2014-09,109.0,
2014-10,109.5,Provisional value
2014-11,109.9,Provisional value
2014-12,110.4,Provisional value
