"",BBSF2.M.1.T.00000.TOT01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
1973-12,36,
1974-01,28,
1974-02,19,
1974-03,-38,
1974-04,-15,
1974-05,23,
1974-06,12,
1974-07,-5,
1974-08,50,
1974-09,-8,
1974-10,7,
1974-11,94,
1974-12,175,
1975-01,199,
1975-02,162,
1975-03,50,
1975-04,85,
1975-05,92,
1975-06,131,
1975-07,30,
1975-08,128,
1975-09,56,
1975-10,120,
1975-11,253,
1975-12,256,
1976-01,235,
1976-02,206,
1976-03,255,
1976-04,164,
1976-05,165,
1976-06,157,
1976-07,104,
1976-08,253,
1976-09,165,
1976-10,237,
1976-11,601,
1976-12,448,
1977-01,461,
1977-02,332,
1977-03,423,
1977-04,370,
1977-05,303,
1977-06,250,
1977-07,307,
1977-08,542,
1977-09,285,
1977-10,355,
1977-11,731,
1977-12,621,
1978-01,795,
1978-02,693,
1978-03,523,
1978-04,351,
1978-05,191,
1978-06,222,
1978-07,47,
1978-08,381,
1978-09,239,
1978-10,222,
1978-11,424,
1978-12,299,
1979-01,431,
1979-02,336,
1979-03,179,
1979-04,128,
1979-05,49,
1979-06,111,
1979-07,143,
1979-08,295,
1979-09,71,
1979-10,89,
1979-11,243,
1979-12,201,
1980-01,119,
1980-02,80,
1980-03,-142,
1980-04,6,
1980-05,-1,
1980-06,16,
1980-07,87,
1980-08,174,
1980-09,-33,
1980-10,15,
1980-11,121,
1980-12,84,
1981-01,66,
1981-02,-4,
1981-03,-123,
1981-04,-82,
1981-05,-115,
1981-06,-101,
1981-07,-93,
1981-08,-16,
1981-09,-19,
1981-10,39,
1981-11,308,
1981-12,150,
1982-01,180,
1982-02,218,
1982-03,187,
1982-04,150,
1982-05,62,
1982-06,34,
1982-07,52,
1982-08,268,
1982-09,122,
1982-10,389,
1982-11,401,
1982-12,395,
1983-01,380,
1983-02,532,
1983-03,568,
1983-04,304,
1983-05,121,
1983-06,169,
1983-07,224,
1983-08,186,
1983-09,84,
1983-10,341,
1983-11,492,
1983-12,444,
1984-01,482,
1984-02,581,
1984-03,246,
1984-04,194,
1984-05,102,
1984-06,244,
1984-07,233,
1984-08,303,
1984-09,152,
1984-10,363,
1984-11,820,
1984-12,757,
1985-01,885,
1985-02,879,
1985-03,213,
1985-04,479,
1985-05,521,
1985-06,353,
1985-07,562,
1985-08,709,
1985-09,461,
1985-10,790,
1985-11,1054,
1985-12,1091,
1986-01,1328,
1986-02,1203,
1986-03,1139,
1986-04,1305,
1986-05,715,
1986-06,777,
1986-07,797,
1986-08,1173,
1986-09,515,
1986-10,823,
1986-11,1158,
1986-12,1965,
1987-01,1689,
1987-02,1487,
1987-03,1543,
1987-04,1282,
1987-05,1480,
1987-06,955,
1987-07,1312,
1987-08,1259,
1987-09,849,
1987-10,1213,
1987-11,1477,
1987-12,1725,
1988-01,1603,
1988-02,1811,
1988-03,1330,
1988-04,1248,
1988-05,849,
1988-06,1242,
1988-07,1556,
1988-08,1690,
1988-09,1369,
1988-10,1002,
1988-11,1989,
1988-12,2901,
1989-01,2601,
1989-02,2105,
1989-03,1045,
1989-04,1553,
1989-05,569,
1989-06,932,
1989-07,1271,
1989-08,1337,
1989-09,697,
1989-10,1149,
1989-11,1782,
1989-12,1972,
1990-01,2030,
1990-02,1910,
1990-03,971,
1990-04,878,
1990-05,426,
1990-06,333,
1990-07,475,
1990-08,1385,
1990-09,775,
1990-10,.,No value available
1990-11,.,No value available
1990-12,1985,
1991-01,1463,
1991-02,1809,
1991-03,2099,
1991-04,1355,
1991-05,1801,
1991-06,1344,
1991-07,1605,
1991-08,902,
1991-09,922,
1991-10,1258,
1991-11,1925,
1991-12,2688,
1992-01,4068,
1992-02,2797,
1992-03,1641,
1992-04,1368,
1992-05,1209,
1992-06,516,
1992-07,677,
1992-08,-690,
1992-09,-818,
1992-10,-522,
1992-11,-869,
1992-12,1091,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,549,
1993-05,1598,
1993-06,1238,
1993-07,1358,
1993-08,3221,
1993-09,1464,
1993-10,3241,
1993-11,3571,
1993-12,6371,
1994-01,7320,
1994-02,5940,
1994-03,3676,
1994-04,4500,
1994-05,2141,
1994-06,3499,
1994-07,2658,
1994-08,2061,
1994-09,1044,
1994-10,3232,
1994-11,3596,
1994-12,16021,
1995-01,1866,
1995-02,1214,
1995-03,1124,
1995-04,929,
1995-05,848,
1995-06,1232,
1995-07,2026,
1995-08,822,
1995-09,2162,
1995-10,1405,
1995-11,3565,
1995-12,10453,
1996-01,7121,
1996-02,5486,
1996-03,3084,
1996-04,3328,
1996-05,1752,
1996-06,2301,
1996-07,1878,
1996-08,1821,
1996-09,640,
1996-10,3793,
1996-11,2570,
1996-12,6675,
1997-01,8309,
1997-02,8007,
1997-03,5234,
1997-04,4973,
1997-05,2714,
1997-06,7593,
1997-07,6145,
1997-08,5130,
1997-09,4292,
1997-10,3746,
1997-11,2025,
1997-12,12874,
1998-01,9668,
1998-02,7702,
1998-03,7792,
1998-04,5999,
1998-05,6244,
1998-06,4709,
1998-07,7663,
1998-08,8176,
1998-09,4604,
1998-10,4339,
1998-11,5568,
1998-12,14326,
1999-01,14020,
1999-02,8782,
1999-03,5829,
1999-04,8937,
1999-05,9264,
1999-06,5714,
1999-07,7425,
1999-08,6371,
1999-09,3398,
1999-10,5592,
1999-11,4802,
1999-12,17062,
2000-01,14258,
2000-02,3724,
2000-03,7886,
2000-04,7088,
2000-05,6770,
2000-06,2707,
2000-07,6586,
2000-08,5913,
2000-09,4662,
2000-10,5855,
2000-11,4114,
2000-12,15597,
2001-01,14283,
2001-02,8537,
2001-03,1467,
2001-04,4300,
2001-05,902,
2001-06,3292,
2001-07,5977,
2001-08,3935,
2001-09,412,
2001-10,7388,
2001-11,6353,
2001-12,19965,
2002-01,11453,
2002-02,6411,
2002-03,797,
2002-04,7418,
2002-05,5326,
2002-06,2958,
2002-07,3593,
2002-08,5804,
2002-09,2690,
2002-10,6140,
2002-11,4786,
2002-12,2106,
2003-01,9357,
2003-02,4709,
2003-03,4795,
2003-04,4575,
2003-05,4881,
2003-06,4294,
2003-07,1278,
2003-08,2484,
2003-09,2837,
2003-10,292,
2003-11,470,
2003-12,3971,
2004-01,1870,
2004-02,-81,
2004-03,3895,
2004-04,1489,
2004-05,-2218,
2004-06,-432,
2004-07,1493,
2004-08,-311,
2004-09,-5087,
2004-10,-1471,
2004-11,-307,
2004-12,2613,
2005-01,4717,
2005-02,-98,
2005-03,4679,
2005-04,2377,
2005-05,1298,
2005-06,5714,
2005-07,7235,
2005-08,3962,
2005-09,1264,
2005-10,1155,
2005-11,2387,
2005-12,7028,
2006-01,-408,
2006-02,3930,
2006-03,1669,
2006-04,1742,
2006-05,4539,
2006-06,1250,
2006-07,-126,
2006-08,-1716,
2006-09,3615,
2006-10,-1320,
2006-11,-130,
2006-12,6490,
2007-01,5905,
2007-02,4657,
2007-03,1809,
2007-04,4145,
2007-05,-3117,
2007-06,-678,
2007-07,711,
2007-08,-5106,
2007-09,-3775,
2007-10,1633,
2007-11,-404,
2007-12,7656,
2008-01,-7704,
2008-02,1441,
2008-03,910,
2008-04,6087,
2008-05,4829,
2008-06,-6928,
2008-07,1029,
2008-08,1906,
2008-09,1471,
2008-10,-19842,
2008-11,6096,
2008-12,2794,
2009-01,11215,
2009-02,-3426,
2009-03,-117,
2009-04,2035,
2009-05,977,
2009-06,-2689,
2009-07,4175,
2009-08,570,
2009-09,8458,
2009-10,6581,
2009-11,4585,
2009-12,11384,
2010-01,10008,
2010-02,5671,
2010-03,5280,
2010-04,8350,
2010-05,8464,
2010-06,-2154,
2010-07,6789,
2010-08,9511,
2010-09,6908,
2010-10,7437,
2010-11,8319,
2010-12,10324,
2011-01,7045,
2011-02,6917,
2011-03,805,
2011-04,2450,
2011-05,23,
2011-06,2249,
2011-07,6417,
2011-08,-1284,
2011-09,691,
2011-10,5165,
2011-11,5742,
2011-12,9000,
2012-01,4068,
2012-02,13402,
2012-03,3595,
2012-04,283,
2012-05,4946,
2012-06,10145,
2012-07,15025,
2012-08,3054,
2012-09,3023,
2012-10,6508,
2012-11,6833,
2012-12,19061,
2013-01,11875,
2013-02,8539,
2013-03,9075,
2013-04,7517,
2013-05,2175,
2013-06,4779,
2013-07,12845,
2013-08,1764,
2013-09,4206,
2013-10,5849,
2013-11,8784,
2013-12,13930,
2014-01,4613,
2014-02,8445,
2014-03,10588,
2014-04,2764,
2014-05,6762,
2014-06,4615,
2014-07,8609,
2014-08,9452,
2014-09,3068,
2014-10,7187,
2014-11,12854,
2014-12,9846,Provisional value
