"",BBFN1.M.DE.N.1.L.R12.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.R12.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1998-02,4.226,
1998-03,4.241,
1998-04,4.225,
1998-05,4.012,
1998-06,4.335,
1998-07,4.330,
1998-08,4.478,
1998-09,4.461,
1998-10,4.479,
1998-11,4.434,
1998-12,4.013,
1999-01,4.150,
1999-02,4.339,
1999-03,4.564,
1999-04,4.672,
1999-05,4.627,
1999-06,4.683,
1999-07,4.545,
1999-08,4.563,
1999-09,4.688,
1999-10,4.607,
1999-11,4.733,
1999-12,4.764,
2000-01,4.797,
2000-02,4.802,
2000-03,4.787,
2000-04,4.777,
2000-05,5.372,
2000-06,5.763,
2000-07,5.822,
2000-08,5.801,
2000-09,5.796,
2000-10,5.853,
2000-11,6.154,
2000-12,6.023,
2001-01,5.743,
2001-02,6.048,
2001-03,6.063,
2001-04,6.077,
2001-05,6.023,
2001-06,5.986,
2001-07,5.908,
2001-08,5.912,
2001-09,5.842,
2001-10,5.859,
2001-11,5.630,
2001-12,5.753,
2002-01,5.698,
2002-02,5.737,
2002-03,5.776,
2002-04,5.813,
2002-05,5.873,
2002-06,6.598,
2002-07,6.560,
2002-08,6.552,
2002-09,6.545,
2002-10,6.697,
2002-11,6.390,
2002-12,6.361,
2003-01,9.761,
2003-02,10.355,
2003-03,11.313,
2003-04,11.419,
2003-05,12.104,
2003-06,12.129,
2003-07,12.568,
2003-08,12.661,
2003-09,12.490,
2003-10,12.323,
2003-11,12.382,
2003-12,11.565,
2004-01,11.127,
2004-02,13.758,
2004-03,13.711,
2004-04,15.517,
2004-05,13.354,
2004-06,12.816,
2004-07,12.807,
2004-08,12.916,
2004-09,12.899,
2004-10,12.325,
2004-11,10.570,
2004-12,9.665,
2005-01,8.856,
2005-02,8.986,
2005-03,8.938,
2005-04,8.815,
2005-05,9.259,
2005-06,8.903,
2005-07,8.816,
2005-08,8.923,
2005-09,8.511,
2005-10,8.928,
2005-11,7.251,
2005-12,7.849,
2006-01,8.085,
2006-02,8.169,
2006-03,8.160,
2006-04,8.175,
2006-05,8.507,
2006-06,10.379,
2006-07,10.365,
2006-08,10.408,
2006-09,10.931,
2006-10,11.003,
2006-11,10.507,
2006-12,13.156,
2007-01,13.145,
2007-02,13.549,
2007-03,14.147,
2007-04,14.157,
2007-05,13.713,
2007-06,13.810,
2007-07,14.005,
2007-08,14.182,
2007-09,14.032,
2007-10,13.999,
2007-11,14.033,
2007-12,14.398,
2008-01,16.332,
2008-02,17.365,
2008-03,17.190,
2008-04,16.872,
2008-05,16.921,
2008-06,17.281,
2008-07,17.371,
2008-08,17.450,
2008-09,17.514,
2008-10,17.673,
2008-11,17.937,
2008-12,16.093,
2009-01,16.007,
2009-02,16.220,
2009-03,15.925,
2009-04,15.744,
2009-05,15.598,
2009-06,15.590,
2009-07,15.688,
2009-08,15.860,
2009-09,15.751,
2009-10,15.733,
2009-11,15.674,
2009-12,15.106,
2010-01,15.933,
2010-02,15.754,
2010-03,15.881,
2010-04,15.921,
2010-05,19.753,
2010-06,20.703,
2010-07,20.730,
2010-08,21.236,
2010-09,21.248,
2010-10,21.416,
2010-11,21.742,
2010-12,21.865,
2011-01,21.549,
2011-02,20.930,
2011-03,20.897,
2011-04,20.977,
2011-05,21.162,
2011-06,21.285,
2011-07,21.420,
2011-08,21.563,
2011-09,21.739,
2011-10,20.777,
2011-11,21.770,
2011-12,21.859,
2012-01,20.208,
2012-02,20.990,
2012-03,21.497,
2012-04,21.894,
2012-05,21.736,
2012-06,21.142,
2012-07,21.346,
2012-08,21.282,
2012-09,21.145,
2012-10,21.045,
2012-11,20.990,
2012-12,22.291,
2013-01,22.922,
2013-02,22.330,
2013-03,22.373,
2013-04,22.405,
2013-05,23.022,
2013-06,22.604,
2013-07,24.415,
2013-08,24.237,
2013-09,24.867,
2013-10,24.622,
2013-11,24.656,
2013-12,24.441,
2014-01,24.350,
2014-02,24.523,
2014-03,24.777,
2014-04,26.347,
2014-05,26.129,
2014-06,26.071,
2014-07,25.680,
2014-08,25.799,
2014-09,25.978,
2014-10,25.718,
2014-11,25.746,
2014-12,24.576,
"","General: From January 2003, including Guernsey, Jersey and the Isle of Man. Up to December 2010 including Niederl. Antillen; from January 2011 including Bonaire,St.Eustatius, Saba; Curacao; St.Martin (Dutch part)",
