"",BBFB1.M.N.DE.W1.S1.S1.T.A.FA.O.F89.T._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.O.F89.T._T._X.N_FLAGS
1998-10,335.799,
1998-11,-263.329,
1998-12,251.447,
1999-01,-189.858,
1999-02,41.137,
1999-03,-52.280,
1999-04,132.580,
1999-05,41.378,
1999-06,119.052,
1999-07,170.380,
1999-08,116.758,
1999-09,107.767,
1999-10,134.279,
1999-11,145.327,
1999-12,-232.219,
2000-01,-27.073,
2000-02,68.518,
2000-03,401.779,
2000-04,283.654,
2000-05,46.025,
2000-06,7.894,
2000-07,171.881,
2000-08,243.392,
2000-09,248.162,
2000-10,-225.139,
2000-11,-341.067,
2000-12,-563.037,
2001-01,69.963,
2001-02,-12.179,
2001-03,-12.655,
2001-04,4.792,
2001-05,-131.417,
2001-06,91.825,
2001-07,82.421,
2001-08,123.975,
2001-09,29.763,
2001-10,131.932,
2001-11,16.967,
2001-12,-301.057,
2002-01,-241.998,
2002-02,10.894,
2002-03,7.900,
2002-04,238.245,
2002-05,86.092,
2002-06,96.472,
2002-07,55.052,
2002-08,23.087,
2002-09,4.682,
2002-10,34.766,
2002-11,31.468,
2002-12,-57.060,
2003-01,-335.630,
2003-02,175.817,
2003-03,111.906,
2003-04,292.519,
2003-05,144.194,
2003-06,162.735,
2003-07,206.945,
2003-08,6.672,
2003-09,482.111,
2003-10,95.419,
2003-11,104.126,
2003-12,138.915,
2004-01,-84.312,
2004-02,165.772,
2004-03,262.668,
2004-04,248.199,
2004-05,117.355,
2004-06,372.995,
2004-07,106.495,
2004-08,-30.885,
2004-09,73.068,
2004-10,237.842,
2004-11,182.283,
2004-12,-478.890,
2005-01,188.632,
2005-02,206.671,
2005-03,83.737,
2005-04,400.227,
2005-05,79.225,
2005-06,200.765,
2005-07,332.999,
2005-08,167.550,
2005-09,79.187,
2005-10,77.496,
2005-11,86.619,
2005-12,12.837,
2006-01,187.790,
2006-02,94.974,
2006-03,321.611,
2006-04,184.999,
2006-05,41.171,
2006-06,35.784,
2006-07,85.626,
2006-08,190.791,
2006-09,428.082,
2006-10,210.826,
2006-11,117.629,
2006-12,199.809,
2007-01,-426.794,
2007-02,134.772,
2007-03,179.314,
2007-04,300.165,
2007-05,-46.590,
2007-06,55.997,
2007-07,24.863,
2007-08,114.423,
2007-09,90.222,
2007-10,94.647,
2007-11,-15.011,
2007-12,-97.807,
2008-01,-110.280,
2008-02,61.892,
2008-03,-60.306,
2008-04,352.071,
2008-05,46.098,
2008-06,-164.018,
2008-07,-24.704,
2008-08,30.615,
2008-09,50.323,
2008-10,43.406,
2008-11,53.339,
2008-12,-594.341,
2009-01,343.269,
2009-02,42.219,
2009-03,33.507,
2009-04,305.551,
2009-05,72.191,
2009-06,64.418,
2009-07,52.491,
2009-08,85.288,
2009-09,73.493,
2009-10,60.479,
2009-11,45.803,
2009-12,110.728,
2010-01,-607.101,
2010-02,-889.457,
2010-03,53.692,
2010-04,73.549,
2010-05,46.497,
2010-06,15.557,
2010-07,-1.411,
2010-08,33.454,
2010-09,35.842,
2010-10,20.544,
2010-11,37.965,
2010-12,-33.996,
2011-01,-463.865,
2011-02,184.631,
2011-03,11.766,
2011-04,18.081,
2011-05,113.080,
2011-06,228.220,
2011-07,89.226,
2011-08,19.142,
2011-09,21.705,
2011-10,27.615,
2011-11,-56.964,
2011-12,-438.659,
2012-01,-138.391,
2012-02,35.020,
2012-03,46.530,
2012-04,-348.957,
2012-05,-933.660,
2012-06,128.823,
2012-07,16.642,
2012-08,33.902,
2012-09,38.670,
2012-10,-403.666,
2012-11,-79.776,
2012-12,-411.422,
2013-01,-162.738,
2013-02,1.394,
2013-03,-6.823,
2013-04,-62.636,
2013-05,48.646,
2013-06,43.662,
2013-07,19.652,
2013-08,47.152,
2013-09,-190.297,
2013-10,10.280,
2013-11,-221.840,
2013-12,-407.459,
2014-01,79.548,
2014-02,28.193,Provisional value
2014-03,89.344,Provisional value
2014-04,-121.778,Provisional value
2014-05,42.513,Provisional value
2014-06,57.605,Provisional value
2014-07,18.797,Provisional value
2014-08,112.581,Provisional value
2014-09,21.996,
2014-10,-248.141,
2014-11,86.709,
2014-12,-500.168,Provisional value
