"",BBFN1.M.DE.N.1.A.AU.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.AU.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
2008-04,0.308,
2008-05,0.426,
2008-06,0.427,
2008-07,0.421,
2008-08,0.420,
2008-09,0.424,
2008-10,0.539,
2008-11,0.798,
2008-12,0.822,
2009-01,0.893,
2009-02,.,No value available
2009-03,.,No value available
2009-04,0.883,
2009-05,0.935,
2009-06,0.992,
2009-07,1.041,
2009-08,1.034,
2009-09,1.101,
2009-10,1.153,
2009-11,1.180,
2009-12,1.221,
2010-01,1.232,
2010-02,1.301,
2010-03,1.350,
2010-04,1.398,
2010-05,1.318,
2010-06,1.340,
2010-07,1.321,
2010-08,1.310,
2010-09,1.254,
2010-10,1.283,
2010-11,1.176,
2010-12,1.305,
2011-01,1.519,
2011-02,1.984,
2011-03,2.008,
2011-04,1.973,
2011-05,1.996,
2011-06,1.994,
2011-07,1.995,
2011-08,1.981,
2011-09,1.986,
2011-10,1.992,
2011-11,1.915,
2011-12,1.913,
2012-01,1.672,
2012-02,1.650,
2012-03,1.673,
2012-04,1.617,
2012-05,1.624,
2012-06,1.558,
2012-07,1.510,
2012-08,1.433,
2012-09,1.739,
2012-10,1.673,
2012-11,1.810,
2012-12,1.749,
2013-01,1.745,
2013-02,1.381,
2013-03,1.393,
2013-04,1.418,
2013-05,1.438,
2013-06,1.415,
2013-07,1.413,
2013-08,1.430,
2013-09,1.497,
2013-10,1.443,
2013-11,1.380,
2013-12,1.298,
2014-01,1.188,
2014-02,1.163,
2014-03,1.070,
2014-04,1.143,
2014-05,1.286,
2014-06,1.375,
2014-07,1.444,
2014-08,1.511,
2014-09,1.594,
2014-10,1.608,
2014-11,1.624,
2014-12,1.620,
