"",BBDA1.M.DE.Y.EX.S.A.US.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.A.US.A.V.ABA.A_FLAGS
2004-03,5.09,
2004-04,5.76,
2004-05,5.71,
2004-06,5.37,
2004-07,5.50,
2004-08,5.18,
2004-09,5.20,
2004-10,5.32,
2004-11,5.21,
2004-12,5.33,
2005-01,5.47,
2005-02,5.29,
2005-03,5.45,
2005-04,5.43,
2005-05,5.78,
2005-06,5.86,
2005-07,5.59,
2005-08,6.00,
2005-09,5.86,
2005-10,6.22,
2005-11,5.88,
2005-12,6.06,
2006-01,5.99,
2006-02,6.54,
2006-03,6.44,
2006-04,6.34,
2006-05,6.11,
2006-06,6.20,
2006-07,6.33,
2006-08,6.04,
2006-09,6.93,
2006-10,6.92,
2006-11,7.23,
2006-12,6.92,
2007-01,6.08,
2007-02,6.31,
2007-03,5.86,
2007-04,6.11,
2007-05,6.03,
2007-06,6.08,
2007-07,6.12,
2007-08,6.21,
2007-09,6.45,
2007-10,6.13,
2007-11,6.18,
2007-12,6.24,
2008-01,6.45,
2008-02,6.30,
2008-03,6.36,
2008-04,5.88,
2008-05,5.58,
2008-06,6.51,
2008-07,5.29,
2008-08,6.07,
2008-09,5.95,
2008-10,5.79,
2008-11,5.79,
2008-12,5.24,
2009-01,4.72,
2009-02,4.73,
2009-03,4.54,
2009-04,4.80,
2009-05,4.25,
2009-06,4.97,
2009-07,4.46,
2009-08,3.95,
2009-09,4.07,
2009-10,4.23,
2009-11,4.97,
2009-12,4.48,
2010-01,4.29,
2010-02,4.56,
2010-03,5.73,
2010-04,5.28,
2010-05,5.69,
2010-06,5.67,
2010-07,5.59,
2010-08,5.34,
2010-09,5.62,
2010-10,5.57,
2010-11,6.10,
2010-12,5.37,
2011-01,5.73,
2011-02,5.88,
2011-03,5.93,
2011-04,5.88,
2011-05,6.01,
2011-06,6.25,
2011-07,6.02,
2011-08,6.16,
2011-09,6.06,
2011-10,6.49,
2011-11,6.38,
2011-12,6.56,
2012-01,7.45,
2012-02,6.76,
2012-03,6.88,
2012-04,6.95,
2012-05,7.15,
2012-06,7.09,
2012-07,7.49,
2012-08,7.76,
2012-09,8.10,
2012-10,7.37,
2012-11,7.13,
2012-12,7.16,
2013-01,7.17,
2013-02,7.05,
2013-03,8.02,
2013-04,7.55,
2013-05,7.38,
2013-06,7.13,
2013-07,6.78,
2013-08,7.65,
2013-09,7.69,
2013-10,7.68,
2013-11,8.39,
2013-12,7.44,
2014-01,7.63,
2014-02,7.64,
2014-03,7.71,
2014-04,7.84,
2014-05,7.86,
2014-06,7.60,
2014-07,7.90,
2014-08,7.86,
2014-09,8.97,
2014-10,8.28,
2014-11,8.29,
2014-12,8.96,
