"",BBDE1.M.DE.Y.GUA1.P2XF22020.BA.V.ABA.A,BBDE1.M.DE.Y.GUA1.P2XF22020.BA.V.ABA.A_FLAGS
2009-08,2.07,
2009-09,1.97,
2009-10,2.05,
2009-11,2.06,
2009-12,2.09,
2010-01,1.60,
2010-02,1.52,
2010-03,2.08,
2010-04,2.26,
2010-05,2.24,
2010-06,2.29,
2010-07,2.26,
2010-08,2.21,
2010-09,2.31,
2010-10,2.41,
2010-11,2.25,
2010-12,2.18,
2011-01,2.23,
2011-02,2.61,
2011-03,2.64,
2011-04,2.49,
2011-05,2.59,
2011-06,2.51,
2011-07,2.52,
2011-08,2.55,
2011-09,2.55,
2011-10,2.59,
2011-11,2.66,
2011-12,2.84,
2012-01,2.80,
2012-02,2.51,
2012-03,2.67,
2012-04,2.67,
2012-05,2.75,
2012-06,2.74,
2012-07,2.73,
2012-08,2.75,
2012-09,2.73,
2012-10,2.72,
2012-11,2.71,
2012-12,2.56,
2013-01,2.52,
2013-02,2.53,
2013-03,2.61,
2013-04,2.73,
2013-05,2.70,
2013-06,2.84,
2013-07,2.91,
2013-08,2.87,
2013-09,2.90,
2013-10,2.88,
2013-11,2.93,
2013-12,2.98,
2014-01,3.12,
2014-02,3.39,
2014-03,3.22,
2014-04,3.04,
2014-05,2.93,
2014-06,2.89,
2014-07,2.92,
2014-08,2.90,
2014-09,2.93,
2014-10,2.98,
2014-11,2.92,
2014-12,2.98,
