"",BBFN1.M.DE.N.1.A.ES.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.ES.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1986-10,0.098,
1986-11,0.092,
1986-12,0.089,
1987-01,0.099,
1987-02,0.099,
1987-03,0.115,
1987-04,0.110,
1987-05,0.121,
1987-06,0.130,
1987-07,0.130,
1987-08,0.127,
1987-09,0.141,
1987-10,0.161,
1987-11,0.184,
1987-12,0.200,
1988-01,0.212,
1988-02,0.223,
1988-03,0.227,
1988-04,0.267,
1988-05,0.225,
1988-06,0.269,
1988-07,0.237,
1988-08,0.277,
1988-09,0.266,
1988-10,0.247,
1988-11,0.223,
1988-12,0.224,
1989-01,0.231,
1989-02,0.276,
1989-03,0.275,
1989-04,0.434,
1989-05,0.462,
1989-06,0.416,
1989-07,0.480,
1989-08,0.483,
1989-09,0.359,
1989-10,0.317,
1989-11,0.239,
1989-12,0.232,
1990-01,0.263,comment
1990-02,0.261,
1990-03,0.223,
1990-04,0.210,
1990-05,0.245,
1990-06,0.225,
1990-07,0.197,
1990-08,0.249,
1990-09,0.237,
1990-10,0.235,
1990-11,0.283,
1990-12,0.298,
1991-01,0.314,
1991-02,0.310,
1991-03,0.303,
1991-04,0.302,
1991-05,0.342,
1991-06,0.324,
1991-07,0.378,
1991-08,0.371,
1991-09,0.356,
1991-10,0.343,
1991-11,0.345,
1991-12,0.299,
1992-01,0.372,
1992-02,0.368,
1992-03,0.412,
1992-04,0.460,
1992-05,0.483,
1992-06,0.501,
1992-07,0.473,
1992-08,0.507,
1992-09,0.466,
1992-10,0.543,
1992-11,0.515,
1992-12,0.537,
1993-01,0.540,
1993-02,0.673,
1993-03,0.641,
1993-04,0.843,
1993-05,0.821,
1993-06,0.816,
1993-07,0.602,
1993-08,0.606,
1993-09,0.482,
1993-10,0.509,
1993-11,0.532,
1993-12,0.557,
1994-01,0.587,
1994-02,0.561,
1994-03,0.504,
1994-04,0.493,
1994-05,0.496,
1994-06,0.529,
1994-07,0.500,
1994-08,0.476,
1994-09,0.478,
1994-10,0.426,
1994-11,0.415,
1994-12,0.420,
1995-01,0.376,
1995-02,0.360,
1995-03,0.369,
1995-04,0.354,
1995-05,0.383,
1995-06,0.421,
1995-07,0.387,
1995-08,0.394,
1995-09,0.422,
1995-10,0.397,
1995-11,0.435,
1995-12,0.451,
1996-01,0.418,
1996-02,0.432,
1996-03,0.457,
1996-04,0.471,
1996-05,0.480,
1996-06,0.627,
1996-07,0.491,
1996-08,0.524,
1996-09,0.505,
1996-10,0.531,
1996-11,0.415,
1996-12,0.460,
1997-01,0.480,
1997-02,0.605,
1997-03,0.709,
1997-04,0.553,
1997-05,0.631,
1997-06,0.652,
1997-07,0.823,
1997-08,0.751,
1997-09,0.675,
1997-10,0.607,
1997-11,0.587,
1997-12,0.640,
1998-01,0.721,
1998-02,0.668,
1998-03,0.778,
1998-04,0.837,
1998-05,0.878,
1998-06,0.889,
1998-07,0.826,
1998-08,0.963,
1998-09,0.997,
1998-10,0.943,
1998-11,1.156,
1998-12,1.202,
1999-01,1.200,
1999-02,1.187,
1999-03,1.356,
1999-04,1.197,
1999-05,1.232,
1999-06,1.135,
1999-07,1.002,
1999-08,0.962,
1999-09,1.072,
1999-10,1.126,
1999-11,1.217,
1999-12,1.263,
2000-01,1.181,
2000-02,1.336,
2000-03,1.263,
2000-04,1.556,
2000-05,1.597,
2000-06,1.563,
2000-07,1.678,
2000-08,1.664,
2000-09,1.635,
2000-10,1.879,
2000-11,1.915,
2000-12,2.048,
2001-01,2.708,
2001-02,2.860,
2001-03,2.791,
2001-04,4.880,
2001-05,4.914,
2001-06,5.038,
2001-07,5.265,
2001-08,5.329,
2001-09,5.144,
2001-10,4.208,
2001-11,4.205,
2001-12,4.437,
2002-01,4.128,
2002-02,4.200,
2002-03,4.478,
2002-04,4.555,
2002-05,4.711,
2002-06,4.535,
2002-07,2.757,
2002-08,2.801,
2002-09,2.629,
2002-10,2.766,
2002-11,2.683,
2002-12,2.955,
2003-01,3.129,
2003-02,3.221,
2003-03,3.349,
2003-04,3.413,
2003-05,3.865,
2003-06,4.144,
2003-07,3.771,
2003-08,4.107,
2003-09,3.984,
2003-10,3.970,
2003-11,3.378,
2003-12,3.611,
2004-01,4.016,
2004-02,4.171,
2004-03,4.430,
2004-04,4.281,
2004-05,4.663,
2004-06,4.281,
2004-07,4.278,
2004-08,3.799,
2004-09,3.827,
2004-10,3.835,
2004-11,4.171,
2004-12,2.926,
2005-01,2.550,
2005-02,3.311,
2005-03,2.654,
2005-04,3.182,
2005-05,2.792,
2005-06,3.073,
2005-07,3.188,
2005-08,2.999,
2005-09,2.465,
2005-10,2.678,
2005-11,2.817,
2005-12,2.889,
2006-01,2.921,
2006-02,2.842,
2006-03,3.000,
2006-04,3.645,
2006-05,3.155,
2006-06,3.663,
2006-07,3.673,
2006-08,3.443,
2006-09,3.885,
2006-10,3.715,
2006-11,3.383,
2006-12,3.453,
2007-01,3.152,
2007-02,2.935,
2007-03,3.664,
2007-04,4.036,
2007-05,3.545,
2007-06,3.736,
2007-07,3.892,
2007-08,3.852,
2007-09,3.997,
2007-10,4.553,
2007-11,4.443,
2007-12,4.891,
2008-01,4.718,
2008-02,4.933,
2008-03,5.388,
2008-04,5.381,
2008-05,5.485,
2008-06,7.543,
2008-07,8.031,
2008-08,7.888,
2008-09,9.401,
2008-10,9.224,
2008-11,9.494,
2008-12,9.278,
2009-01,8.834,
2009-02,8.533,
2009-03,9.507,
2009-04,9.213,
2009-05,10.823,
2009-06,10.135,
2009-07,9.851,
2009-08,9.909,
2009-09,10.094,
2009-10,9.858,
2009-11,9.477,
2009-12,12.982,
2010-01,8.973,
2010-02,9.435,
2010-03,9.884,
2010-04,9.466,
2010-05,9.462,
2010-06,10.168,
2010-07,15.303,
2010-08,19.653,
2010-09,17.425,
2010-10,17.972,
2010-11,17.488,
2010-12,17.681,
2011-01,21.662,
2011-02,21.451,
2011-03,24.228,
2011-04,18.521,
2011-05,19.717,
2011-06,20.695,
2011-07,23.537,
2011-08,24.855,
2011-09,24.107,
2011-10,26.807,
2011-11,30.834,
2011-12,23.728,
2012-01,29.107,
2012-02,26.025,
2012-03,18.917,
2012-04,19.794,
2012-05,21.263,
2012-06,16.159,
2012-07,10.397,
2012-08,9.984,
2012-09,10.145,
2012-10,9.575,
2012-11,10.671,
2012-12,9.284,
2013-01,15.502,
2013-02,17.729,
2013-03,16.998,
2013-04,16.739,
2013-05,16.133,
2013-06,21.940,
2013-07,16.389,
2013-08,15.868,
2013-09,17.121,
2013-10,16.473,
2013-11,13.013,
2013-12,14.456,
2014-01,14.575,
2014-02,14.548,
2014-03,13.183,
2014-04,16.040,
2014-05,14.541,
2014-06,17.986,
2014-07,15.131,
2014-08,12.417,
2014-09,17.471,
2014-10,17.791,
2014-11,18.694,
2014-12,15.758,
