"",BBFN1.M.DE.N.1.A.NO.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.NO.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1984-12,0.085,
1985-01,0.077,
1985-02,0.073,
1985-03,0.072,
1985-04,0.073,
1985-05,0.072,
1985-06,0.073,
1985-07,0.084,
1985-08,0.101,
1985-09,0.110,
1985-10,0.110,
1985-11,0.093,
1985-12,0.067,
1986-01,0.081,
1986-02,0.075,
1986-03,0.078,
1986-04,0.074,
1986-05,0.074,
1986-06,0.082,
1986-07,0.094,
1986-08,0.090,
1986-09,0.054,
1986-10,0.052,
1986-11,0.065,
1986-12,0.039,
1987-01,0.028,
1987-02,0.021,
1987-03,0.027,
1987-04,0.026,
1987-05,0.033,
1987-06,0.046,
1987-07,0.058,
1987-08,0.074,
1987-09,0.081,
1987-10,0.081,
1987-11,0.042,
1987-12,0.031,
1988-01,0.031,
1988-02,0.030,
1988-03,0.040,
1988-04,0.041,
1988-05,0.057,
1988-06,0.080,
1988-07,0.081,
1988-08,0.076,
1988-09,0.137,
1988-10,0.159,
1988-11,0.135,
1988-12,0.055,
1989-01,0.057,
1989-02,0.062,
1989-03,0.061,
1989-04,0.060,
1989-05,0.065,
1989-06,0.083,
1989-07,0.093,
1989-08,0.108,
1989-09,0.091,
1989-10,0.047,
1989-11,0.041,
1989-12,0.040,
1990-01,0.042,
1990-02,0.050,
1990-03,0.053,
1990-04,0.050,
1990-05,0.042,
1990-06,0.047,
1990-07,0.053,
1990-08,0.058,
1990-09,0.051,
1990-10,0.078,
1990-11,0.112,
1990-12,0.118,
1991-01,0.078,
1991-02,0.076,
1991-03,0.078,
1991-04,0.075,
1991-05,0.077,
1991-06,0.075,
1991-07,0.082,
1991-08,0.088,
1991-09,0.064,
1991-10,0.087,
1991-11,0.092,
1991-12,0.105,
1992-01,0.089,
1992-02,0.090,
1992-03,0.092,
1992-04,0.074,
1992-05,0.075,
1992-06,0.080,
1992-07,0.084,
1992-08,0.081,
1992-09,0.090,
1992-10,0.092,
1992-11,0.090,
1992-12,0.063,
1993-01,0.065,
1993-02,0.177,
1993-03,0.182,
1993-04,0.220,
1993-05,0.234,
1993-06,0.297,
1993-07,0.350,
1993-08,0.366,
1993-09,0.294,
1993-10,0.303,
1993-11,0.303,
1993-12,0.290,
1994-01,0.309,
1994-02,0.320,
1994-03,0.332,
1994-04,0.307,
1994-05,0.339,
1994-06,0.339,
1994-07,0.388,
1994-08,0.378,
1994-09,0.332,
1994-10,0.313,
1994-11,0.308,
1994-12,0.272,
1995-01,0.248,
1995-02,0.365,
1995-03,0.378,
1995-04,0.384,
1995-05,0.358,
1995-06,0.331,
1995-07,0.374,
1995-08,0.364,
1995-09,0.362,
1995-10,0.414,
1995-11,0.414,
1995-12,0.445,
1996-01,0.383,
1996-02,0.375,
1996-03,0.366,
1996-04,0.380,
1996-05,0.372,
1996-06,0.402,
1996-07,0.395,
1996-08,0.385,
1996-09,0.398,
1996-10,0.351,
1996-11,0.393,
1996-12,0.506,
1997-01,0.505,
1997-02,0.461,
1997-03,0.469,
1997-04,0.412,
1997-05,0.426,
1997-06,0.461,
1997-07,0.468,
1997-08,0.473,
1997-09,0.474,
1997-10,0.475,
1997-11,0.478,
1997-12,0.536,
1998-01,0.557,
1998-02,0.541,
1998-03,0.551,
1998-04,0.564,
1998-05,0.507,
1998-06,0.493,
1998-07,0.522,
1998-08,0.501,
1998-09,0.502,
1998-10,0.504,
1998-11,0.516,
1998-12,0.788,
1999-01,0.563,
1999-02,0.562,
1999-03,0.584,
1999-04,0.635,
1999-05,0.678,
1999-06,0.685,
1999-07,1.106,
1999-08,1.136,
1999-09,1.136,
1999-10,1.101,
1999-11,1.100,
1999-12,1.100,
2000-01,1.128,
2000-02,1.105,
2000-03,1.042,
2000-04,0.996,
2000-05,1.045,
2000-06,1.103,
2000-07,1.085,
2000-08,1.051,
2000-09,1.142,
2000-10,1.107,
2000-11,1.140,
2000-12,1.098,
2001-01,1.104,
2001-02,1.178,
2001-03,1.185,
2001-04,1.198,
2001-05,1.306,
2001-06,1.311,
2001-07,1.279,
2001-08,0.744,
2001-09,0.837,
2001-10,0.772,
2001-11,0.861,
2001-12,0.862,
2002-01,0.804,
2002-02,0.800,
2002-03,0.693,
2002-04,0.677,
2002-05,0.709,
2002-06,0.643,
2002-07,0.702,
2002-08,0.702,
2002-09,0.717,
2002-10,0.599,
2002-11,0.583,
2002-12,0.578,
2003-01,0.642,
2003-02,0.726,
2003-03,0.832,
2003-04,0.745,
2003-05,1.104,
2003-06,1.066,
2003-07,0.964,
2003-08,1.010,
2003-09,0.624,
2003-10,0.457,
2003-11,0.468,
2003-12,0.508,
2004-01,0.431,
2004-02,0.519,
2004-03,0.441,
2004-04,0.475,
2004-05,0.558,
2004-06,0.930,
2004-07,0.932,
2004-08,0.964,
2004-09,1.017,
2004-10,1.087,
2004-11,1.131,
2004-12,0.750,
2005-01,0.711,
2005-02,0.693,
2005-03,0.734,
2005-04,0.834,
2005-05,0.585,
2005-06,0.565,
2005-07,0.540,
2005-08,0.527,
2005-09,0.821,
2005-10,0.834,
2005-11,0.619,
2005-12,0.517,
2006-01,0.561,
2006-02,1.294,
2006-03,1.239,
2006-04,1.271,
2006-05,1.169,
2006-06,1.164,
2006-07,1.315,
2006-08,0.968,
2006-09,1.024,
2006-10,1.112,
2006-11,1.243,
2006-12,1.158,
2007-01,1.158,
2007-02,1.365,
2007-03,1.856,
2007-04,1.886,
2007-05,2.466,
2007-06,2.503,
2007-07,2.517,
2007-08,2.461,
2007-09,2.658,
2007-10,2.473,
2007-11,2.399,
2007-12,2.374,
2008-01,2.407,
2008-02,2.549,
2008-03,2.579,
2008-04,2.630,
2008-05,2.753,
2008-06,2.466,
2008-07,2.525,
2008-08,2.594,
2008-09,2.594,
2008-10,2.271,
2008-11,2.445,
2008-12,2.443,
2009-01,2.645,
2009-02,2.623,
2009-03,2.583,
2009-04,2.004,
2009-05,2.032,
2009-06,2.083,
2009-07,2.142,
2009-08,2.087,
2009-09,1.823,
2009-10,1.962,
2009-11,1.661,
2009-12,1.381,
2010-01,1.502,
2010-02,1.638,
2010-03,1.693,
2010-04,1.770,
2010-05,1.580,
2010-06,1.415,
2010-07,1.434,
2010-08,1.561,
2010-09,1.591,
2010-10,1.732,
2010-11,1.561,
2010-12,1.521,
2011-01,1.879,
2011-02,1.838,
2011-03,1.774,
2011-04,1.771,
2011-05,2.053,
2011-06,1.735,
2011-07,1.866,
2011-08,1.836,
2011-09,1.851,
2011-10,2.260,
2011-11,2.298,
2011-12,1.972,
2012-01,2.148,
2012-02,2.251,
2012-03,2.302,
2012-04,2.092,
2012-05,2.541,
2012-06,2.227,
2012-07,2.466,
2012-08,2.537,
2012-09,2.438,
2012-10,2.507,
2012-11,2.424,
2012-12,2.174,
2013-01,2.253,
2013-02,2.290,
2013-03,2.370,
2013-04,2.534,
2013-05,2.464,
2013-06,2.195,
2013-07,2.282,
2013-08,2.192,
2013-09,1.884,
2013-10,2.355,
2013-11,2.403,
2013-12,2.079,
2014-01,2.201,
2014-02,2.258,
2014-03,2.371,
2014-04,2.725,
2014-05,2.421,
2014-06,2.252,
2014-07,2.056,
2014-08,1.890,
2014-09,1.817,
2014-10,1.903,
2014-11,1.953,
2014-12,2.092,
