"",BBEX3.M.SLL.USD.CA.AC.A01,BBEX3.M.SLL.USD.CA.AC.A01_FLAGS
2012-10,4340.07000,
2012-11,4336.73500,
2012-12,4334.11000,
2013-01,4318.36500,
2013-02,4321.38500,
2013-03,4325.60500,
2013-04,4321.18000,
2013-05,4326.75000,
2013-06,4328.60500,
2013-07,4327.74000,comment
2013-08,4329.76500,
2013-09,4336.10000,
2013-10,4341.76500,
2013-11,4361.94000,
2013-12,4342.29500,comment
2014-01,4342.17000,
2014-02,4358.51500,
2014-03,4353.98000,
2014-04,4362.43500,
2014-05,4366.86500,
2014-06,4406.53500,
2014-07,4498.30500,
2014-08,4561.29500,
2014-09,4703.35500,
2014-10,4771.47500,
2014-11,4884.69000,
2014-12,4953.34000,
2015-01,4924.47500,
2015-02,4891.81000,
"","Source: Calculated on the basis of the buying and selling rates of the Bank of Sierra Leone, Freetown.",
"",Comment on 2007-01: Exchange rate as of 1 February 2007.,
"",Comment on 2013-07: Exchange rate as of 1 August 2013.,
"",Comment on 2013-12: Exchange rate as of 2 January 2014.,
