"",BBDE1.M.DE.Y.AEA1.A2R260050.F.C.I10.A,BBDE1.M.DE.Y.AEA1.A2R260050.F.C.I10.A_FLAGS
2010-03,94.4,
2010-04,95.5,
2010-05,99.7,
2010-06,101.1,
2010-07,102.8,
2010-08,99.9,
2010-09,98.8,
2010-10,103.4,
2010-11,112.3,
2010-12,104.1,
2011-01,108.3,
2011-02,106.6,
2011-03,105.6,
2011-04,106.9,
2011-05,114.9,
2011-06,105.3,
2011-07,114.7,
2011-08,107.8,
2011-09,107.3,
2011-10,104.1,
2011-11,102.9,
2011-12,104.9,
2012-01,103.1,
2012-02,104.9,
2012-03,101.4,
2012-04,101.1,
2012-05,104.5,
2012-06,100.7,
2012-07,102.1,
2012-08,102.5,
2012-09,99.1,
2012-10,99.5,
2012-11,100.1,
2012-12,98.1,
2013-01,102.0,
2013-02,100.2,
2013-03,110.8,
2013-04,102.4,
2013-05,99.9,
2013-06,102.6,
2013-07,100.7,
2013-08,100.5,
2013-09,101.2,
2013-10,107.9,
2013-11,106.5,
2013-12,103.2,
2014-01,105.8,
2014-02,106.0,
2014-03,104.7,
2014-04,107.8,
2014-05,108.6,
2014-06,105.1,
2014-07,106.4,
2014-08,104.6,
2014-09,103.2,
2014-10,109.3,
2014-11,107.1,
2014-12,106.8,Provisional value
