"",BBDA1.M.DE.N.EX.S.A.CN.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.CN.A.V.ABA.A_FLAGS
2005-05,1623983,
2005-06,1682818,
2005-07,1937565,
2005-08,2077710,
2005-09,2153201,
2005-10,1782629,
2005-11,1849862,
2005-12,1948197,
2006-01,1881417,
2006-02,2022931,
2006-03,2009558,
2006-04,2059441,
2006-05,1991254,
2006-06,2107389,
2006-07,2349483,
2006-08,2444097,
2006-09,2485800,
2006-10,2680365,
2006-11,2971833,
2006-12,2474898,
2007-01,2143593,
2007-02,2144782,
2007-03,2316371,
2007-04,2346190,
2007-05,2481950,
2007-06,2516736,
2007-07,2570846,
2007-08,2702120,
2007-09,2710422,
2007-10,2709696,
2007-11,2752609,
2007-12,2506681,
2008-01,2725804,
2008-02,2571970,
2008-03,2564860,
2008-04,2998451,
2008-05,2833606,
2008-06,3128441,
2008-07,3211311,
2008-08,2557858,
2008-09,2815551,
2008-10,3095802,
2008-11,2781952,
2008-12,2779658,
2009-01,2273110,
2009-02,2405163,
2009-03,2947539,
2009-04,2861398,
2009-05,2790113,
2009-06,3259348,
2009-07,3648079,
2009-08,3189787,
2009-09,3357523,
2009-10,3356592,
2009-11,3614214,
2009-12,3569652,
2010-01,3146158,
2010-02,3853405,
2010-03,4775996,
2010-04,4125888,
2010-05,4393298,
2010-06,4707410,
2010-07,4767006,
2010-08,4229527,
2010-09,4814796,
2010-10,4736916,
2010-11,5179839,
2010-12,5060640,
2011-01,4625790,
2011-02,5066959,
2011-03,6102523,
2011-04,4893825,
2011-05,5844663,
2011-06,5153919,
2011-07,5410030,
2011-08,5466626,
2011-09,5590248,
2011-10,5413191,
2011-11,5859479,
2011-12,5435889,
2012-01,5036145,
2012-02,5546349,
2012-03,6149916,
2012-04,5320253,
2012-05,5969180,
2012-06,6335531,
2012-07,5967858,
2012-08,5514023,
2012-09,5177997,
2012-10,5619442,
2012-11,5467543,
2012-12,4641899,
2013-01,5073520,
2013-02,4959346,
2013-03,5504486,
2013-04,5997443,
2013-05,5252691,
2013-06,5474922,
2013-07,6101095,
2013-08,5662664,
2013-09,5697569,
2013-10,5975445,
2013-11,5864850,
2013-12,5347565,
2014-01,5601704,
2014-02,5367404,
2014-03,6027062,
2014-04,6255453,
2014-05,6184093,
2014-06,6269161,
2014-07,7106836,
2014-08,5727764,
2014-09,6682297,
2014-10,6873032,
2014-11,6134938,
2014-12,6274016,
