"",BBFN1.M.DE.N.1.L.W1.S1P.F0.L.NV00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.F0.L.NV00.Z01.BGA.X001.D_FLAGS
1996-07,32.678,
1996-08,32.627,
1996-09,33.414,
1996-10,33.453,
1996-11,33.599,
1996-12,33.096,
1997-01,33.513,
1997-02,34.113,
1997-03,34.392,
1997-04,34.056,
1997-05,34.205,
1997-06,34.221,
1997-07,35.411,
1997-08,35.758,
1997-09,36.981,
1997-10,36.878,
1997-11,36.921,
1997-12,37.794,
1998-01,38.926,
1998-02,41.237,
1998-03,41.723,
1998-04,42.628,
1998-05,43.241,
1998-06,44.565,
1998-07,46.305,
1998-08,46.763,
1998-09,46.796,
1998-10,48.725,
1998-11,47.562,
1998-12,52.014,
1999-01,52.521,
1999-02,52.904,
1999-03,53.248,
1999-04,53.554,
1999-05,58.030,
1999-06,59.760,
1999-07,62.618,
1999-08,64.232,
1999-09,66.496,
1999-10,71.125,
1999-11,72.529,
1999-12,74.779,
2000-01,81.274,
2000-02,82.805,
2000-03,83.290,
2000-04,84.085,
2000-05,85.749,
2000-06,87.900,
2000-07,103.632,
2000-08,103.579,
2000-09,104.946,
2000-10,104.887,
2000-11,106.925,
2000-12,147.664,
2001-01,151.902,
2001-02,152.601,
2001-03,153.950,
2001-04,155.108,
2001-05,157.164,
2001-06,159.090,
2001-07,167.600,
2001-08,174.361,
2001-09,178.915,
2001-10,180.485,
2001-11,183.463,
2001-12,185.156,
2002-01,197.153,
2002-02,200.157,
2002-03,191.059,
2002-04,203.094,
2002-05,224.126,
2002-06,220.100,
2002-07,221.926,
2002-08,223.824,
2002-09,226.472,
2002-10,228.783,
2002-11,233.249,
2002-12,235.109,
2003-01,234.657,
2003-02,236.795,
2003-03,238.985,
2003-04,242.687,
2003-05,243.250,
2003-06,245.762,
2003-07,247.196,
2003-08,249.393,
2003-09,250.256,
2003-10,249.172,
2003-11,249.839,
2003-12,232.759,
2004-01,231.041,
2004-02,206.699,
2004-03,205.638,
2004-04,208.892,
2004-05,211.767,
2004-06,214.941,
2004-07,213.856,
2004-08,213.228,
2004-09,210.765,
2004-10,206.820,
2004-11,201.518,
2004-12,198.755,
2005-01,202.339,
2005-02,203.948,
2005-03,203.517,
2005-04,203.598,
2005-05,205.308,
2005-06,202.653,
2005-07,197.320,
2005-08,196.765,
2005-09,196.510,
2005-10,198.919,
2005-11,201.501,
2005-12,200.245,
2006-01,203.746,
2006-02,206.059,
2006-03,210.514,
2006-04,210.115,
2006-05,209.695,
2006-06,211.840,
2006-07,212.760,
2006-08,211.823,
2006-09,210.036,
2006-10,209.800,
2006-11,211.041,
2006-12,208.589,
2007-01,209.334,
2007-02,206.663,
2007-03,205.318,
2007-04,205.919,
2007-05,202.931,
2007-06,202.330,
2007-07,201.638,
2007-08,202.362,
2007-09,200.413,
2007-10,202.018,
2007-11,199.579,
2007-12,192.225,
2008-01,196.076,
2008-02,195.980,
2008-03,195.789,
2008-04,200.478,
2008-05,204.841,
2008-06,201.664,
2008-07,202.753,
2008-08,204.526,
2008-09,210.938,
2008-10,215.236,
2008-11,218.492,
2008-12,216.158,
2009-01,224.584,
2009-02,234.902,
2009-03,235.313,
2009-04,237.979,
2009-05,242.107,
2009-06,242.485,
2009-07,247.550,
2009-08,248.354,
2009-09,245.820,
2009-10,247.369,
2009-11,247.552,
2009-12,249.513,
2010-01,252.348,
2010-02,253.449,
2010-03,257.267,
2010-04,259.410,
2010-05,262.760,
2010-06,264.428,
2010-07,266.738,
2010-08,268.398,
2010-09,268.366,
2010-10,268.158,
2010-11,271.012,
2010-12,279.395,
2011-01,281.207,
2011-02,281.163,
2011-03,286.036,
2011-04,288.971,
2011-05,292.391,
2011-06,292.018,
2011-07,294.289,
2011-08,294.364,
2011-09,294.430,
2011-10,294.638,
2011-11,289.810,
2011-12,289.979,
2012-01,291.970,
2012-02,293.151,
2012-03,297.416,
2012-04,301.706,
2012-05,304.117,
2012-06,308.362,
2012-07,308.273,
2012-08,312.158,
2012-09,313.161,
2012-10,309.335,
2012-11,313.097,
2012-12,312.780,
2013-01,316.997,
2013-02,316.140,
2013-03,321.418,
2013-04,337.261,
2013-05,336.899,
2013-06,336.665,
2013-07,332.459,
2013-08,334.700,
2013-09,337.784,
2013-10,346.288,
2013-11,343.262,
2013-12,344.820,
2014-01,343.976,
2014-02,347.339,
2014-03,349.548,
2014-04,351.312,
2014-05,354.823,
2014-06,358.622,
2014-07,358.791,
2014-08,358.561,
2014-09,358.109,
2014-10,358.930,
2014-11,360.498,
2014-12,354.734,
