"",BBFN1.M.DE.N.1.A.B0.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.B0.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
2005-05,274.017,
2005-06,272.034,
2005-07,275.711,
2005-08,274.080,
2005-09,284.774,
2005-10,287.390,
2005-11,284.062,
2005-12,270.808,
2006-01,279.086,
2006-02,292.176,
2006-03,299.650,
2006-04,304.259,
2006-05,301.292,
2006-06,301.853,
2006-07,294.964,
2006-08,301.409,
2006-09,312.419,
2006-10,315.899,
2006-11,320.109,
2006-12,308.720,
2007-01,326.281,
2007-02,336.275,
2007-03,347.204,
2007-04,348.064,
2007-05,349.358,
2007-06,356.295,
2007-07,357.250,
2007-08,358.946,
2007-09,364.110,
2007-10,383.899,
2007-11,386.626,
2007-12,364.105,
2008-01,388.200,
2008-02,393.116,
2008-03,404.371,
2008-04,407.896,
2008-05,405.890,
2008-06,402.541,
2008-07,407.329,
2008-08,402.080,
2008-09,413.064,
2008-10,411.967,
2008-11,410.084,
2008-12,398.833,
2009-01,399.651,
2009-02,399.675,
2009-03,423.138,
2009-04,419.958,
2009-05,418.898,
2009-06,421.945,
2009-07,419.114,
2009-08,419.337,
2009-09,425.145,
2009-10,438.523,
2009-11,442.355,
2009-12,443.431,
2010-01,433.828,
2010-02,444.457,
2010-03,455.654,
2010-04,466.591,
2010-05,470.610,
2010-06,473.435,
2010-07,483.132,
2010-08,490.857,
2010-09,497.799,
2010-10,507.565,
2010-11,512.954,
2010-12,494.360,
2011-01,518.311,
2011-02,517.641,
2011-03,518.940,
2011-04,517.889,
2011-05,538.085,
2011-06,529.328,
2011-07,540.928,
2011-08,551.180,
2011-09,557.630,
2011-10,550.469,
2011-11,543.743,
2011-12,508.071,
2012-01,536.237,
2012-02,537.065,
2012-03,545.075,
2012-04,534.545,
2012-05,544.438,
2012-06,556.095,
2012-07,553.477,
2012-08,539.764,
2012-09,556.602,
2012-10,546.842,
2012-11,557.997,
2012-12,541.602,
2013-01,563.015,
2013-02,568.613,
2013-03,581.667,
2013-04,579.198,
2013-05,577.590,
2013-06,595.707,
2013-07,573.171,
2013-08,569.394,
2013-09,583.374,
2013-10,586.943,
2013-11,593.363,
2013-12,582.038,
2014-01,586.617,
2014-02,591.900,
2014-03,618.458,
2014-04,610.952,
2014-05,629.383,
2014-06,622.480,
2014-07,613.721,
2014-08,623.784,
2014-09,630.811,
2014-10,621.010,
2014-11,622.332,
2014-12,599.426,
"","General: From 1973, including Denmark, Ireland and the United Kingdom; from 1981, including Greece; from 1986, including Portugal and Spain; from 1995, including Austria, Finland and Sweden; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
