"",BBFB1.M.N.DE.W1.S1.S1.T.B.SD._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.SD._Z._Z._Z._T._X.N_FLAGS
1998-09,-3975.875,
1998-10,-3511.753,
1998-11,-1801.709,
1998-12,-1099.303,
1999-01,-2439.745,
1999-02,-2052.827,
1999-03,-2270.871,
1999-04,-2692.482,
1999-05,-2713.786,
1999-06,-3318.445,
1999-07,-3723.590,
1999-08,-4915.770,
1999-09,-4186.847,
1999-10,-3757.656,
1999-11,-2055.342,
1999-12,-1308.247,
2000-01,-2538.417,
2000-02,-2065.464,
2000-03,-2413.804,
2000-04,-2844.461,
2000-05,-2840.207,
2000-06,-3518.293,
2000-07,-3892.533,
2000-08,-5256.196,
2000-09,-4444.515,
2000-10,-3887.072,
2000-11,-2052.232,
2000-12,-1434.688,
2001-01,-2660.886,
2001-02,-2127.877,
2001-03,-2497.914,
2001-04,-2915.006,
2001-05,-2767.793,
2001-06,-3411.863,
2001-07,-4133.177,
2001-08,-5680.532,
2001-09,-4651.070,
2001-10,-3886.457,
2001-11,-1912.576,
2001-12,-1175.713,
2002-01,-2070.151,
2002-02,-1949.812,
2002-03,-3177.781,
2002-04,-2336.228,
2002-05,-3334.458,
2002-06,-2850.062,
2002-07,-3772.605,
2002-08,-5342.462,
2002-09,-4116.090,
2002-10,-3154.149,
2002-11,-1634.480,
2002-12,-1815.383,
2003-01,-2284.629,
2003-02,-2197.655,
2003-03,-2593.563,
2003-04,-2878.958,
2003-05,-2860.792,
2003-06,-3359.589,
2003-07,-3984.684,
2003-08,-6122.591,
2003-09,-4674.710,
2003-10,-3367.724,
2003-11,-1487.041,
2003-12,-1519.722,
2004-01,-1888.359,
2004-02,-2401.569,
2004-03,-2268.580,
2004-04,-2402.311,
2004-05,-3052.777,
2004-06,-3731.253,
2004-07,-3507.136,
2004-08,-6051.350,
2004-09,-4214.725,
2004-10,-3021.613,
2004-11,-1748.454,
2004-12,-1013.757,
2005-01,-1923.009,
2005-02,-1789.824,
2005-03,-3067.780,
2005-04,-2067.516,
2005-05,-3141.233,
2005-06,-3226.704,
2005-07,-4192.065,
2005-08,-5847.867,
2005-09,-4695.676,
2005-10,-3597.091,
2005-11,-1499.670,
2005-12,-1268.839,
2006-01,-1984.019,
2006-02,-1714.662,
2006-03,-2662.219,
2006-04,-2374.871,
2006-05,-2751.195,
2006-06,-2622.874,
2006-07,-4107.767,
2006-08,-4504.734,
2006-09,-4932.752,
2006-10,-3000.638,
2006-11,-1265.865,
2006-12,-849.303,
2007-01,-1388.962,
2007-02,-1511.592,
2007-03,-2587.328,
2007-04,-1939.979,
2007-05,-2826.659,
2007-06,-3446.175,
2007-07,-4507.476,
2007-08,-5882.710,
2007-09,-4242.920,
2007-10,-3246.780,
2007-11,-1582.416,
2007-12,-1160.737,
2008-01,-1579.970,
2008-02,-1689.737,
2008-03,-2742.376,
2008-04,-1979.194,
2008-05,-3419.897,
2008-06,-3282.029,
2008-07,-4763.472,
2008-08,-5329.225,
2008-09,-4682.367,
2008-10,-3635.762,
2008-11,-1155.819,
2008-12,-457.698,
2009-01,-1936.567,
2009-02,-1699.332,
2009-03,-1806.028,
2009-04,-1814.137,
2009-05,-2666.645,
2009-06,-3823.737,
2009-07,-5022.754,
2009-08,-4890.271,
2009-09,-3931.686,
2009-10,-3874.038,
2009-11,-1432.803,
2009-12,-443.380,
2010-01,-1546.781,
2010-02,-1464.378,
2010-03,-2159.554,
2010-04,-1989.041,
2010-05,-2717.209,
2010-06,-3807.815,
2010-07,-4004.521,
2010-08,-5280.416,
2010-09,-3967.439,
2010-10,-3176.377,
2010-11,-1641.527,
2010-12,-1019.921,
2011-01,-1710.155,
2011-02,-1544.562,
2011-03,-1724.110,
2011-04,-1361.412,
2011-05,-2137.808,
2011-06,-4734.468,
2011-07,-4638.154,
2011-08,-5424.748,
2011-09,-4548.565,
2011-10,-3884.066,
2011-11,-1392.817,
2011-12,-654.594,
2012-01,-1507.452,
2012-02,-1307.690,
2012-03,-2200.547,
2012-04,-1473.134,
2012-05,-2417.291,
2012-06,-4019.528,
2012-07,-3684.986,
2012-08,-6278.850,
2012-09,-4999.170,
2012-10,-4024.893,
2012-11,-1365.620,
2012-12,-287.241,
2013-01,-1573.925,
2013-02,-1749.933,
2013-03,-2363.464,
2013-04,-1091.853,
2013-05,-3030.538,
2013-06,-4064.902,
2013-07,-5172.192,
2013-08,-6713.092,
2013-09,-4982.223,
2013-10,-4505.957,
2013-11,-1778.446,
2013-12,-737.746,
2014-01,-1483.180,
2014-02,-1180.583,Provisional value
2014-03,-2229.221,Provisional value
2014-04,-1760.052,Provisional value
2014-05,-2407.456,Provisional value
2014-06,-4351.800,Provisional value
2014-07,-4894.620,Provisional value
2014-08,-7207.338,Provisional value
2014-09,-5306.436,
2014-10,-4614.153,
2014-11,-1917.778,
2014-12,-758.659,Provisional value
