"",BBDE1.M.DE.W.BAA1.A2P000000.G.C.I10.A,BBDE1.M.DE.W.BAA1.A2P000000.G.C.I10.A_FLAGS
2005-02,87.7,
2005-03,98.7,
2005-04,94.3,
2005-05,92.4,
2005-06,97.9,
2005-07,97.9,
2005-08,87.7,
2005-09,101.7,
2005-10,104.0,
2005-11,104.0,
2005-12,92.2,
2006-01,90.3,
2006-02,92.6,
2006-03,102.4,
2006-04,99.0,
2006-05,99.3,
2006-06,102.9,
2006-07,103.2,
2006-08,95.3,
2006-09,107.8,
2006-10,108.0,
2006-11,110.9,
2006-12,98.6,
2007-01,96.3,
2007-02,99.5,
2007-03,111.5,
2007-04,103.9,
2007-05,104.9,
2007-06,108.9,
2007-07,108.5,
2007-08,100.0,
2007-09,114.3,
2007-10,115.1,
2007-11,115.6,
2007-12,102.8,
2008-01,101.9,
2008-02,104.5,
2008-03,115.8,
2008-04,109.2,
2008-05,106.3,
2008-06,111.3,
2008-07,108.3,
2008-08,101.5,
2008-09,112.6,
2008-10,110.8,
2008-11,107.4,
2008-12,91.4,
2009-01,83.1,
2009-02,82.7,
2009-03,93.0,
2009-04,85.2,
2009-05,87.9,
2009-06,92.3,
2009-07,90.6,
2009-08,85.1,
2009-09,98.9,
2009-10,97.6,
2009-11,99.3,
2009-12,87.2,
2010-01,84.8,
2010-02,87.0,
2010-03,101.2,
2010-04,96.6,
2010-05,98.7,
2010-06,101.7,
2010-07,100.9,
2010-08,94.8,
2010-09,107.1,
2010-10,109.7,
2010-11,110.8,
2010-12,100.1,
2011-01,94.6,
2011-02,99.4,
2011-03,112.5,
2011-04,105.1,
2011-05,105.6,
2011-06,108.0,
2011-07,110.4,
2011-08,101.7,
2011-09,111.8,
2011-10,113.8,
2011-11,115.2,
2011-12,102.1,
2012-01,96.1,
2012-02,99.5,
2012-03,114.6,
2012-04,104.5,
2012-05,105.7,
2012-06,108.8,
2012-07,109.2,
2012-08,101.2,
2012-09,111.7,
2012-10,110.9,
2012-11,111.8,
2012-12,100.7,
2013-01,93.5,
2013-02,98.1,
2013-03,111.9,
2013-04,105.0,
2013-05,103.5,
2013-06,109.5,
2013-07,107.7,
2013-08,101.7,
2013-09,112.6,
2013-10,112.3,
2013-11,116.1,
2013-12,104.5,
2014-01,98.0,
2014-02,102.4,
2014-03,115.1,
2014-04,106.9,
2014-05,105.2,
2014-06,109.7,
2014-07,111.0,
2014-08,100.0,
2014-09,112.9,
2014-10,113.6,Provisional value
2014-11,115.7,Provisional value
2014-12,103.8,Provisional value
