"",BBFB1.M.N.DE.W1.S1.S1.T.D.SG._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.SG._Z._Z._Z._T._X.N_FLAGS
2002-12,452.008,
2003-01,341.511,
2003-02,308.784,
2003-03,295.326,
2003-04,394.261,
2003-05,301.737,
2003-06,352.513,
2003-07,387.794,
2003-08,294.146,
2003-09,378.682,
2003-10,351.577,
2003-11,299.578,
2003-12,449.687,
2004-01,365.085,
2004-02,332.569,
2004-03,386.619,
2004-04,431.066,
2004-05,479.186,
2004-06,415.939,
2004-07,384.059,
2004-08,360.537,
2004-09,368.447,
2004-10,432.501,
2004-11,425.621,
2004-12,641.189,
2005-01,413.110,
2005-02,433.261,
2005-03,380.119,
2005-04,417.286,
2005-05,473.140,
2005-06,494.513,
2005-07,682.942,
2005-08,463.631,
2005-09,427.349,
2005-10,480.087,
2005-11,459.038,
2005-12,865.085,
2006-01,552.599,
2006-02,447.549,
2006-03,529.957,
2006-04,606.312,
2006-05,521.803,
2006-06,641.063,
2006-07,681.179,
2006-08,545.549,
2006-09,695.778,
2006-10,657.599,
2006-11,581.705,
2006-12,862.816,
2007-01,705.521,
2007-02,599.671,
2007-03,617.861,
2007-04,715.204,
2007-05,775.520,
2007-06,600.001,
2007-07,833.705,
2007-08,780.818,
2007-09,598.913,
2007-10,790.341,
2007-11,855.671,
2007-12,1121.490,
2008-01,678.448,
2008-02,714.475,
2008-03,738.537,
2008-04,685.761,
2008-05,781.138,
2008-06,749.504,
2008-07,768.426,
2008-08,690.548,
2008-09,661.326,
2008-10,812.839,
2008-11,669.978,
2008-12,799.277,
2009-01,669.138,
2009-02,535.073,
2009-03,555.392,
2009-04,614.086,
2009-05,611.203,
2009-06,745.149,
2009-07,702.352,
2009-08,558.803,
2009-09,547.103,
2009-10,620.956,
2009-11,552.860,
2009-12,1062.879,
2010-01,608.021,
2010-02,554.525,
2010-03,553.923,
2010-04,595.594,
2010-05,851.178,
2010-06,833.948,
2010-07,693.090,
2010-08,887.756,
2010-09,654.804,
2010-10,775.810,
2010-11,758.560,
2010-12,1059.737,
2011-01,730.209,
2011-02,885.973,
2011-03,773.538,
2011-04,1135.808,
2011-05,967.772,
2011-06,946.316,
2011-07,704.237,
2011-08,826.389,
2011-09,890.905,
2011-10,1104.329,
2011-11,785.421,
2011-12,1211.951,
2012-01,720.759,
2012-02,934.784,
2012-03,901.659,
2012-04,776.017,
2012-05,806.150,
2012-06,1117.055,
2012-07,867.172,
2012-08,728.467,
2012-09,836.358,
2012-10,808.629,
2012-11,848.818,
2012-12,1050.426,
2013-01,775.852,
2013-02,799.812,
2013-03,1166.035,
2013-04,892.448,
2013-05,1001.019,
2013-06,947.720,
2013-07,1067.891,
2013-08,684.005,
2013-09,1147.710,
2013-10,929.465,
2013-11,810.931,
2013-12,851.808,
2014-01,1092.950,
2014-02,993.221,Provisional value
2014-03,859.802,Provisional value
2014-04,786.753,Provisional value
2014-05,781.218,Provisional value
2014-06,958.705,Provisional value
2014-07,756.083,Provisional value
2014-08,696.490,Provisional value
2014-09,856.467,
2014-10,918.075,
2014-11,888.290,
2014-12,893.070,Provisional value
