"",BBFB1.M.N.DE.W1.S1.S1.T.AD.FA.P.F3.L.Z06._X.N,BBFB1.M.N.DE.W1.S1.S1.T.AD.FA.P.F3.L.Z06._X.N_FLAGS
2008-05,17311.060,
2008-06,19249.309,
2008-07,18019.776,
2008-08,17073.088,
2008-09,23487.006,
2008-10,24543.333,
2008-11,17960.790,
2008-12,16899.486,
2009-01,14504.651,
2009-02,17112.587,
2009-03,19654.909,
2009-04,15176.523,
2009-05,16629.597,
2009-06,17202.852,
2009-07,14688.842,
2009-08,18842.132,
2009-09,23615.586,
2009-10,18996.260,
2009-11,15214.094,
2009-12,16530.609,
2010-01,20001.898,
2010-02,24703.222,
2010-03,27267.184,
2010-04,23675.882,
2010-05,32187.057,
2010-06,28172.507,
2010-07,20499.398,
2010-08,25935.699,
2010-09,24532.440,
2010-10,21632.952,
2010-11,21214.513,
2010-12,19070.440,
2011-01,20950.999,
2011-02,25050.772,
2011-03,28497.201,
2011-04,22405.527,
2011-05,19669.368,
2011-06,21733.033,
2011-07,20130.406,
2011-08,21624.740,
2011-09,25061.736,
2011-10,21631.625,
2011-11,18817.720,
2011-12,17115.686,
2012-01,23517.228,
2012-02,29656.170,
2012-03,30477.971,
2012-04,22106.731,
2012-05,37594.121,
2012-06,24865.111,
2012-07,26707.235,
2012-08,27268.928,
2012-09,21999.324,
2012-10,28966.160,
2012-11,22319.944,
2012-12,18769.655,
2013-01,32700.785,
2013-02,23394.254,
2013-03,32057.432,
2013-04,33639.276,
2013-05,30744.682,
2013-06,27969.012,
2013-07,30406.968,
2013-08,23056.024,
2013-09,29502.835,
2013-10,31400.081,
2013-11,28625.922,
2013-12,19311.308,
2014-01,31381.789,
2014-02,29035.637,Provisional value
2014-03,34763.421,Provisional value
2014-04,29655.789,Provisional value
2014-05,32738.193,Provisional value
2014-06,27463.250,Provisional value
2014-07,26691.100,Provisional value
2014-08,25521.927,Provisional value
2014-09,31021.210,
2014-10,31989.646,
2014-11,25825.166,
2014-12,22624.955,Provisional value
