"",BBEX3.M.SLL.USD.CA.AA.A01,BBEX3.M.SLL.USD.CA.AA.A01_FLAGS
1997-11,1246.3600,
1997-12,1298.6500,
1998-01,1475.4400,
1998-02,1593.0800,
1998-03,1533.9900,
1998-04,1490.1600,
1998-05,1518.6800,
1998-06,1501.0700,
1998-07,1556.6200,
1998-08,1566.3200,
1998-09,1594.3300,
1998-10,1574.9300,
1998-11,1596.4600,
1998-12,1575.0100,
1999-01,1533.7700,
1999-02,1551.5500,
1999-03,1623.9400,
1999-04,1577.4700,
1999-05,1662.3100,
1999-06,1785.2500,
1999-07,1779.0900,
1999-08,1913.0000,
1999-09,2034.4600,
1999-10,2061.2300,
1999-11,2217.8200,
1999-12,2253.5200,
2000-01,2344.6900,
2000-02,2344.8700,
2000-03,2237.9500,
2000-04,1907.3800,
2000-05,1908.7900,
2000-06,1985.8100,
2000-07,2107.4200,
2000-08,2109.4700,
2000-09,2077.6700,
2000-10,2015.9000,
2000-11,1825.8200,
2000-12,1643.3400,
2001-01,1686.5300,
2001-02,1800.8800,
2001-03,1883.9800,
2001-04,1890.5800,
2001-05,1887.8700,
2001-06,1947.3600,
2001-07,2044.0300,
2001-08,2025.7000,
2001-09,2070.1000,
2001-10,2112.9100,
2001-11,2248.5800,
2001-12,2139.6600,
2002-01,2044.0600,
2002-02,2114.9100,
2002-03,2143.6700,
2002-04,2121.0700,
2002-05,1988.8500,
2002-06,2014.6400,
2002-07,2047.9500,
2002-08,2052.0500,
2002-09,2072.7300,
2002-10,2101.8600,
2002-11,2137.0600,
2002-12,2169.8100,
2003-01,2197.0500,
2003-02,2182.8400,
2003-03,2234.4100,
2003-04,2193.0000,
2003-05,2296.8700,
2003-06,2296.5600,
2003-07,2320.9300,
2003-08,2362.5800,
2003-09,2431.8700,
2003-10,2479.7800,
2003-11,2483.2800,
2003-12,2536.5500,
2004-01,2576.6900,
2004-02,2603.2500,
2004-03,2644.0300,
2004-04,2642.4200,
2004-05,2694.6000,
2004-06,2658.2800,
2004-07,2670.3100,
2004-08,2714.3500,
2004-09,2724.8500,
2004-10,2750.0900,
2004-11,2802.4300,
2004-12,2831.8800,
2005-01,2836.8700,
2005-02,2860.2000,
2005-03,2836.0100,
2005-04,2845.9600,
2005-05,2813.7500,
2005-06,2854.7800,
2005-07,2860.9100,
2005-08,2875.0600,
2005-09,2881.6300,
2005-10,2904.7400,
2005-11,2888.4500,
2005-12,2903.1900,
2006-01,2898.3500,
2006-02,2916.0800,
2006-03,2919.1600,
2006-04,2908.7800,
2006-05,2925.7700,
2006-06,2946.5500,
2006-07,2939.5300,
2006-08,2937.9000,
2006-09,2955.6600,
2006-10,2957.0400,
2006-11,2955.4200,
2006-12,2944.2000,
2007-01,2954.5700,comment
2007-02,2955.6700,
2007-03,2954.9200,
2007-04,2959.3900,
2007-05,2954.3700,
2007-06,2957.4000,
2007-07,2954.8100,
2007-08,2952.9000,
2007-09,2953.7900,
2007-10,2956.8900,
2007-11,2953.0100,
2007-12,2947.8200,
2008-01,2947.3400,
2008-02,2943.4100,
2008-03,2941.2500,
2008-04,2940.1200,
2008-05,2941.0000,
2008-06,2940.1000,
2008-07,2940.2700,
2008-08,2937.8800,
2008-09,2951.3900,
2008-10,2970.7300,
2008-11,2993.9500,
2008-12,3011.8100,
2009-01,3027.6700,
2009-02,3049.5600,
2009-03,3103.6400,
2009-04,3134.4800,
2009-05,3179.0700,
2009-06,3255.1300,
2009-07,3311.6100,
2009-08,3517.3500,
2009-09,3573.3600,
2009-10,3733.5900,
2009-11,3869.1900,
2009-12,3817.1200,
2010-01,3867.9200,
2010-02,3814.2000,
2010-03,3836.3700,
2010-04,3869.6200,
2010-05,3892.3100,
2010-06,3866.7100,
2010-07,3877.1800,
2010-08,3931.5000,
2010-09,4040.2900,
2010-10,4073.3300,
2010-11,4149.6000,
2010-12,4156.0300,
2011-01,4218.9400,
2011-02,4228.2500,
2011-03,4283.7600,
2011-04,4310.9300,
2011-05,4296.7700,
2011-06,4310.9500,
2011-07,4333.0300,
2011-08,4360.7400,
2011-09,4357.0100,
2011-10,4374.2500,
2011-11,4364.9900,
2011-12,4333.9300,
2012-01,4321.4300,
2012-02,4317.8000,
2012-03,4306.4500,
2012-04,4302.7800,
2012-05,4297.4300,
2012-06,4284.9500,
2012-07,4288.8300,
2012-08,4291.3700,
2012-09,4291.8200,
2012-10,4296.6700,
2012-11,4293.3700,
2012-12,4290.7700,
2013-01,4275.1800,
2013-02,4278.1700,
2013-03,4282.3500,
2013-04,4277.9700,
2013-05,4283.4800,
2013-06,4285.3200,
2013-07,4284.4600,comment
2013-08,4286.4700,
2013-09,4292.7400,
2013-10,4298.3500,
2013-11,4318.3200,
2013-12,4298.8700,comment
2014-01,4298.7500,
2014-02,4314.9300,
2014-03,4310.4400,
2014-04,4318.8100,
2014-05,4323.2000,
2014-06,4362.4700,
2014-07,4453.3200,
2014-08,4515.6800,
2014-09,4656.3200,
2014-10,4723.7600,
2014-11,4835.8400,
2014-12,4903.8100,
2015-01,4875.2300,
2015-02,4842.8900,
"","Source: Bank of Sierra Leone, Freetown",
"",Comment on 2007-01: Exchange rate as of 1 February 2007.,
"",Comment on 2013-07: Exchange rate as of 1 August 2013.,
"",Comment on 2013-12: Exchange rate as of 2 January 2014.,
