"",BBFN1.M.DE.N.1.A.PT.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.PT.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1993-12,0.148,
1994-01,0.151,
1994-02,0.133,
1994-03,0.140,
1994-04,0.139,
1994-05,0.146,
1994-06,0.142,
1994-07,0.139,
1994-08,0.141,
1994-09,0.141,
1994-10,0.142,
1994-11,0.142,
1994-12,0.089,
1995-01,0.086,
1995-02,0.084,
1995-03,0.083,
1995-04,0.081,
1995-05,0.081,
1995-06,0.081,
1995-07,0.073,
1995-08,0.073,
1995-09,0.080,
1995-10,0.072,
1995-11,0.072,
1995-12,0.060,
1996-01,0.059,
1996-02,0.051,
1996-03,0.058,
1996-04,0.058,
1996-05,0.055,
1996-06,0.055,
1996-07,0.054,
1996-08,0.054,
1996-09,0.065,
1996-10,0.063,
1996-11,0.063,
1996-12,0.053,
1997-01,0.052,
1997-02,0.061,
1997-03,0.062,
1997-04,0.062,
1997-05,0.062,
1997-06,0.097,
1997-07,0.099,
1997-08,0.100,
1997-09,0.105,
1997-10,0.108,
1997-11,0.113,
1997-12,0.115,
1998-01,0.125,
1998-02,0.120,
1998-03,0.121,
1998-04,0.121,
1998-05,0.125,
1998-06,0.139,
1998-07,0.140,
1998-08,0.140,
1998-09,0.195,
1998-10,0.199,
1998-11,0.198,
1998-12,0.195,
1999-01,0.235,
1999-02,0.234,
1999-03,0.260,
1999-04,0.258,
1999-05,0.262,
1999-06,0.271,
1999-07,0.282,
1999-08,0.282,
1999-09,0.284,
1999-10,0.270,
1999-11,0.269,
1999-12,0.225,
2000-01,0.265,
2000-02,0.248,
2000-03,0.264,
2000-04,0.204,
2000-05,0.214,
2000-06,0.218,
2000-07,0.386,
2000-08,0.381,
2000-09,0.381,
2000-10,0.380,
2000-11,0.385,
2000-12,0.388,
2001-01,0.388,
2001-02,0.387,
2001-03,0.385,
2001-04,0.390,
2001-05,0.407,
2001-06,0.271,
2001-07,0.272,
2001-08,0.272,
2001-09,0.272,
2001-10,0.272,
2001-11,0.271,
2001-12,0.267,
2002-01,0.272,
2002-02,0.287,
2002-03,0.282,
2002-04,0.282,
2002-05,0.282,
2002-06,0.293,
2002-07,0.272,
2002-08,0.263,
2002-09,0.251,
2002-10,0.259,
2002-11,0.259,
2002-12,0.232,
2003-01,0.223,
2003-02,0.211,
2003-03,0.215,
2003-04,0.212,
2003-05,0.192,
2003-06,0.164,
2003-07,0.150,
2003-08,0.130,
2003-09,0.119,
2003-10,0.118,
2003-11,0.104,
2003-12,0.103,
2004-01,0.098,
2004-02,0.097,
2004-03,0.095,
2004-04,0.097,
2004-05,0.095,
2004-06,0.096,
2004-07,0.096,
2004-08,0.096,
2004-09,0.096,
2004-10,0.095,
2004-11,0.094,
2004-12,0.094,
2005-01,0.096,
2005-02,0.096,
2005-03,0.157,
2005-04,0.158,
2005-05,0.219,
2005-06,0.249,
2005-07,0.251,
2005-08,0.252,
2005-09,0.492,
2005-10,0.495,
2005-11,0.492,
2005-12,0.482,
2006-01,0.524,
2006-02,0.559,
2006-03,0.697,
2006-04,0.718,
2006-05,0.736,
2006-06,0.821,
2006-07,0.849,
2006-08,0.878,
2006-09,0.876,
2006-10,0.895,
2006-11,0.893,
2006-12,0.921,
2007-01,0.991,
2007-02,1.059,
2007-03,1.082,
2007-04,1.097,
2007-05,1.072,
2007-06,1.012,
2007-07,1.016,
2007-08,1.014,
2007-09,0.985,
2007-10,1.001,
2007-11,1.000,
2007-12,0.993,
2008-01,1.013,
2008-02,0.856,
2008-03,0.871,
2008-04,0.942,
2008-05,0.937,
2008-06,0.933,
2008-07,0.937,
2008-08,0.938,
2008-09,0.840,
2008-10,0.850,
2008-11,0.833,
2008-12,0.830,
2009-01,1.147,
2009-02,1.148,
2009-03,1.143,
2009-04,1.185,
2009-05,1.224,
2009-06,0.988,
2009-07,1.056,
2009-08,1.098,
2009-09,1.112,
2009-10,1.144,
2009-11,1.127,
2009-12,1.136,
2010-01,1.134,
2010-02,1.099,
2010-03,1.090,
2010-04,1.142,
2010-05,1.156,
2010-06,2.272,
2010-07,2.061,
2010-08,2.217,
2010-09,2.198,
2010-10,2.211,
2010-11,2.283,
2010-12,2.269,
2011-01,2.223,
2011-02,2.239,
2011-03,2.005,
2011-04,1.989,
2011-05,1.970,
2011-06,1.881,
2011-07,1.874,
2011-08,1.833,
2011-09,1.480,
2011-10,1.468,
2011-11,1.153,
2011-12,0.901,
2012-01,0.883,
2012-02,0.842,
2012-03,0.835,
2012-04,0.776,
2012-05,0.776,
2012-06,0.747,
2012-07,0.748,
2012-08,0.773,
2012-09,0.782,
2012-10,0.783,
2012-11,0.799,
2012-12,0.785,
2013-01,0.774,
2013-02,0.801,
2013-03,0.797,
2013-04,0.788,
2013-05,0.786,
2013-06,0.784,
2013-07,0.779,
2013-08,0.783,
2013-09,0.797,
2013-10,0.821,
2013-11,0.821,
2013-12,0.760,
2014-01,0.763,
2014-02,0.780,
2014-03,0.777,
2014-04,0.783,
2014-05,0.773,
2014-06,0.775,
2014-07,0.774,
2014-08,0.779,
2014-09,0.732,
2014-10,0.731,
2014-11,0.728,
2014-12,0.713,
