"",BBDE1.M.DE.Y.BAA1.N2B090000.G.C.I10.A,BBDE1.M.DE.Y.BAA1.N2B090000.G.C.I10.A_FLAGS
2006-06,100.1,
2006-07,104.5,
2006-08,97.1,
2006-09,97.9,
2006-10,83.2,
2006-11,86.7,
2006-12,87.4,
2007-01,148.3,
2007-02,180.9,
2007-03,220.1,
2007-04,204.0,
2007-05,208.5,
2007-06,212.6,
2007-07,184.0,
2007-08,183.3,
2007-09,222.4,
2007-10,184.8,
2007-11,196.7,
2007-12,211.8,
2008-01,192.9,
2008-02,194.2,
2008-03,208.4,
2008-04,191.4,
2008-05,192.3,
2008-06,181.7,
2008-07,169.8,
2008-08,170.9,
2008-09,159.8,
2008-10,143.6,
2008-11,146.6,
2008-12,148.3,
2009-01,198.4,
2009-02,210.3,
2009-03,204.3,
2009-04,119.2,
2009-05,134.3,
2009-06,120.1,
2009-07,82.1,
2009-08,82.3,
2009-09,75.8,
2009-10,107.0,
2009-11,107.0,
2009-12,107.5,
2010-01,125.9,
2010-02,102.8,
2010-03,103.7,
2010-04,100.2,
2010-05,94.3,
2010-06,97.5,
2010-07,95.4,
2010-08,83.2,
2010-09,116.3,
2010-10,96.0,
2010-11,93.7,
2010-12,86.0,
2011-01,83.3,
2011-02,86.0,
2011-03,72.7,
2011-04,82.0,
2011-05,77.3,
2011-06,97.1,
2011-07,92.6,
2011-08,106.4,
2011-09,88.2,
2011-10,63.0,
2011-11,79.9,
2011-12,90.1,
2012-01,71.7,
2012-02,75.9,
2012-03,88.5,
2012-04,91.3,
2012-05,65.3,
2012-06,79.9,
2012-07,72.3,
2012-08,85.9,
2012-09,80.6,
2012-10,76.0,
2012-11,75.1,
2012-12,85.3,
2013-01,67.9,
2013-02,69.8,
2013-03,65.6,
2013-04,65.7,
2013-05,77.2,
2013-06,64.8,
2013-07,75.2,
2013-08,70.8,
2013-09,65.3,
2013-10,61.8,
2013-11,83.7,
2013-12,67.6,
2014-01,71.0,
2014-02,65.3,
2014-03,86.6,
2014-04,64.5,
2014-05,66.0,
2014-06,87.9,
2014-07,72.7,
2014-08,82.2,
2014-09,75.7,
2014-10,75.1,Provisional value
2014-11,64.8,Provisional value
2014-12,62.8,Provisional value
