"",BBDE1.M.DE.W.BAA1.A2P300000.G.C.I10.A,BBDE1.M.DE.W.BAA1.A2P300000.G.C.I10.A_FLAGS
2001-05,88.3,
2001-06,93.5,
2001-07,88.6,
2001-08,82.8,
2001-09,94.3,
2001-10,92.4,
2001-11,92.2,
2001-12,82.6,
2002-01,80.1,
2002-02,83.2,
2002-03,93.4,
2002-04,87.3,
2002-05,85.3,
2002-06,92.3,
2002-07,88.7,
2002-08,82.6,
2002-09,94.0,
2002-10,92.8,
2002-11,95.6,
2002-12,83.4,
2003-01,81.5,
2003-02,84.5,
2003-03,94.1,
2003-04,87.6,
2003-05,85.9,
2003-06,89.9,
2003-07,90.2,
2003-08,80.1,
2003-09,92.0,
2003-10,94.2,
2003-11,96.1,
2003-12,85.8,
2004-01,82.8,
2004-02,86.2,
2004-03,95.5,
2004-04,90.5,
2004-05,90.2,
2004-06,94.2,
2004-07,93.5,
2004-08,84.5,
2004-09,96.9,
2004-10,97.5,
2004-11,96.9,
2004-12,85.6,
2005-01,86.1,
2005-02,87.7,
2005-03,98.8,
2005-04,93.1,
2005-05,91.1,
2005-06,97.6,
2005-07,97.0,
2005-08,86.1,
2005-09,101.6,
2005-10,103.2,
2005-11,103.2,
2005-12,90.8,
2006-01,89.5,
2006-02,93.0,
2006-03,102.7,
2006-04,98.0,
2006-05,98.7,
2006-06,102.7,
2006-07,102.4,
2006-08,94.3,
2006-09,108.1,
2006-10,107.6,
2006-11,110.8,
2006-12,98.1,
2007-01,97.0,
2007-02,100.9,
2007-03,112.8,
2007-04,104.3,
2007-05,105.4,
2007-06,109.9,
2007-07,108.9,
2007-08,99.8,
2007-09,115.5,
2007-10,115.4,
2007-11,116.3,
2007-12,103.2,
2008-01,103.0,
2008-02,106.4,
2008-03,117.7,
2008-04,110.0,
2008-05,107.1,
2008-06,113.0,
2008-07,109.2,
2008-08,101.9,
2008-09,114.0,
2008-10,111.2,
2008-11,107.7,
2008-12,90.9,
2009-01,82.4,
2009-02,82.6,
2009-03,92.3,
2009-04,83.4,
2009-05,86.7,
2009-06,91.1,
2009-07,88.7,
2009-08,82.8,
2009-09,98.2,
2009-10,96.2,
2009-11,98.2,
2009-12,85.8,
2010-01,85.5,
2010-02,88.3,
2010-03,102.0,
2010-04,95.9,
2010-05,98.2,
2010-06,102.3,
2010-07,100.1,
2010-08,93.6,
2010-09,107.8,
2010-10,109.6,
2010-11,110.8,
2010-12,98.6,
2011-01,96.7,
2011-02,102.1,
2011-03,115.0,
2011-04,106.7,
2011-05,107.4,
2011-06,110.3,
2011-07,111.9,
2011-08,102.2,
2011-09,114.0,
2011-10,114.7,
2011-11,115.8,
2011-12,100.0,
2012-01,98.7,
2012-02,103.1,
2012-03,116.9,
2012-04,105.7,
2012-05,107.2,
2012-06,110.6,
2012-07,110.2,
2012-08,101.1,
2012-09,113.1,
2012-10,111.1,
2012-11,112.3,
2012-12,99.4,
2013-01,96.1,
2013-02,101.4,
2013-03,115.0,
2013-04,106.4,
2013-05,105.0,
2013-06,111.6,
2013-07,108.1,
2013-08,101.7,
2013-09,114.2,
2013-10,112.9,
2013-11,117.6,
2013-12,103.2,
2014-01,100.8,
2014-02,105.9,
2014-03,118.6,
2014-04,109.1,
2014-05,107.4,
2014-06,112.4,
2014-07,113.1,
2014-08,100.3,
2014-09,115.1,
2014-10,114.6,Provisional value
2014-11,117.3,Provisional value
2014-12,103.2,Provisional value
