"",BBFN1.M.DE.N.1.A.CA.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.CA.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1997-03,0.146,
1997-04,0.147,
1997-05,0.144,
1997-06,0.145,
1997-07,0.147,
1997-08,0.145,
1997-09,0.138,
1997-10,0.130,
1997-11,0.130,
1997-12,0.176,
1998-01,0.173,
1998-02,0.187,
1998-03,0.243,
1998-04,0.243,
1998-05,0.243,
1998-06,0.244,
1998-07,0.244,
1998-08,0.212,
1998-09,0.215,
1998-10,0.267,
1998-11,0.268,
1998-12,0.264,
1999-01,0.265,
1999-02,0.268,
1999-03,0.278,
1999-04,0.203,
1999-05,0.199,
1999-06,0.192,
1999-07,0.186,
1999-08,0.193,
1999-09,0.178,
1999-10,0.191,
1999-11,0.186,
1999-12,0.205,
2000-01,0.203,
2000-02,0.177,
2000-03,0.176,
2000-04,0.179,
2000-05,0.177,
2000-06,0.170,
2000-07,0.171,
2000-08,0.176,
2000-09,0.183,
2000-10,0.181,
2000-11,0.184,
2000-12,0.216,
2001-01,0.215,
2001-02,0.210,
2001-03,0.212,
2001-04,0.206,
2001-05,0.182,
2001-06,0.164,
2001-07,0.194,
2001-08,0.190,
2001-09,0.194,
2001-10,0.196,
2001-11,0.200,
2001-12,0.251,
2002-01,0.209,
2002-02,0.252,
2002-03,0.273,
2002-04,0.267,
2002-05,0.258,
2002-06,0.235,
2002-07,0.230,
2002-08,0.230,
2002-09,0.230,
2002-10,0.221,
2002-11,0.214,
2002-12,0.192,
2003-01,0.140,
2003-02,0.140,
2003-03,0.139,
2003-04,0.140,
2003-05,0.151,
2003-06,0.153,
2003-07,0.153,
2003-08,0.281,
2003-09,0.356,
2003-10,0.280,
2003-11,0.290,
2003-12,0.277,
2004-01,0.277,
2004-02,0.293,
2004-03,0.345,
2004-04,0.340,
2004-05,0.347,
2004-06,0.483,
2004-07,0.480,
2004-08,0.491,
2004-09,0.491,
2004-10,0.496,
2004-11,0.438,
2004-12,0.643,
2005-01,0.643,
2005-02,0.636,
2005-03,0.638,
2005-04,0.636,
2005-05,0.662,
2005-06,0.661,
2005-07,0.684,
2005-08,0.690,
2005-09,0.697,
2005-10,0.697,
2005-11,0.666,
2005-12,0.665,
2006-01,0.659,
2006-02,0.671,
2006-03,0.634,
2006-04,0.632,
2006-05,0.643,
2006-06,0.632,
2006-07,0.656,
2006-08,0.712,
2006-09,0.691,
2006-10,0.658,
2006-11,0.651,
2006-12,0.631,
2007-01,0.598,
2007-02,0.574,
2007-03,0.575,
2007-04,0.593,
2007-05,0.581,
2007-06,0.578,
2007-07,0.572,
2007-08,0.573,
2007-09,0.575,
2007-10,0.622,
2007-11,0.635,
2007-12,0.682,
2008-01,0.712,
2008-02,0.705,
2008-03,0.680,
2008-04,0.678,
2008-05,0.698,
2008-06,0.656,
2008-07,0.669,
2008-08,0.655,
2008-09,0.680,
2008-10,0.681,
2008-11,0.690,
2008-12,0.565,
2009-01,0.649,
2009-02,0.650,
2009-03,0.598,
2009-04,0.587,
2009-05,0.598,
2009-06,0.609,
2009-07,0.613,
2009-08,0.708,
2009-09,0.700,
2009-10,0.708,
2009-11,0.706,
2009-12,0.713,
2010-01,0.724,
2010-02,0.736,
2010-03,0.896,
2010-04,0.937,
2010-05,0.943,
2010-06,1.020,
2010-07,1.016,
2010-08,1.029,
2010-09,1.018,
2010-10,1.025,
2010-11,1.042,
2010-12,1.062,
2011-01,1.044,
2011-02,1.050,
2011-03,1.480,
2011-04,1.117,
2011-05,1.132,
2011-06,1.163,
2011-07,1.281,
2011-08,1.276,
2011-09,1.280,
2011-10,1.284,
2011-11,1.323,
2011-12,1.261,
2012-01,1.270,
2012-02,1.201,
2012-03,1.178,
2012-04,1.205,
2012-05,1.088,
2012-06,1.088,
2012-07,1.229,
2012-08,1.181,
2012-09,1.176,
2012-10,1.172,
2012-11,1.219,
2012-12,1.197,
2013-01,1.171,
2013-02,1.192,
2013-03,1.197,
2013-04,1.194,
2013-05,1.212,
2013-06,1.268,
2013-07,1.265,
2013-08,1.219,
2013-09,1.219,
2013-10,1.193,
2013-11,1.198,
2013-12,1.163,
2014-01,1.111,
2014-02,1.152,
2014-03,1.181,
2014-04,1.185,
2014-05,1.182,
2014-06,1.194,
2014-07,1.193,
2014-08,1.212,
2014-09,1.215,
2014-10,1.216,
2014-11,1.217,
2014-12,1.276,
