"",BBFB1.M.N.DE.W1.S12T.S1.T.L.FA.O.F2.T._T.N.N,BBFB1.M.N.DE.W1.S12T.S1.T.L.FA.O.F2.T._T.N.N_FLAGS
2006-10,-3817.850,
2006-11,17427.908,
2006-12,-28032.346,
2007-01,17708.558,
2007-02,17665.343,
2007-03,3134.797,
2007-04,44689.339,
2007-05,20284.738,
2007-06,-38926.564,
2007-07,-9992.162,
2007-08,23010.542,
2007-09,40641.986,
2007-10,6895.272,
2007-11,-728.754,
2007-12,-51286.064,
2008-01,63066.453,
2008-02,21255.305,
2008-03,13440.101,
2008-04,43534.321,
2008-05,-14352.146,
2008-06,-59499.901,
2008-07,-9618.288,
2008-08,-4626.564,
2008-09,42194.059,
2008-10,-72065.083,
2008-11,-36608.425,
2008-12,-46203.797,
2009-01,32163.475,
2009-02,-32763.133,
2009-03,-20531.674,
2009-04,35939.076,
2009-05,-46778.004,
2009-06,-833.914,
2009-07,-7324.284,
2009-08,-20662.993,
2009-09,-17888.309,
2009-10,1479.352,
2009-11,-6673.724,
2009-12,-32032.388,
2010-01,44716.925,
2010-02,-6806.870,
2010-03,13808.144,
2010-04,75901.880,
2010-05,52678.477,
2010-06,-55668.334,
2010-07,19267.259,
2010-08,24265.615,
2010-09,-42738.186,
2010-10,6411.372,
2010-11,1732.199,
2010-12,-57250.337,
2011-01,20907.064,
2011-02,-1534.894,
2011-03,-58667.624,
2011-04,51067.438,
2011-05,-22127.316,
2011-06,-59382.491,
2011-07,-1066.678,
2011-08,47410.313,
2011-09,37531.732,
2011-10,13425.857,
2011-11,1781.977,
2011-12,-126220.563,
2012-01,168493.940,
2012-02,17982.512,
2012-03,63433.870,
2012-04,24279.652,
2012-05,-28732.476,
2012-06,-48187.685,
2012-07,8361.269,
2012-08,21771.468,
2012-09,-45255.640,
2012-10,-7129.243,
2012-11,-31496.256,
2012-12,-92282.815,
2013-01,22214.234,
2013-02,-8498.233,
2013-03,-22566.303,
2013-04,24557.179,
2013-05,-26753.997,
2013-06,-11924.519,
2013-07,-9341.760,
2013-08,-24746.700,
2013-09,-30904.265,
2013-10,-4385.931,
2013-11,6833.953,
2013-12,-72671.856,
2014-01,54661.471,
2014-02,-18013.462,Provisional value
2014-03,-4290.115,Provisional value
2014-04,17554.999,Provisional value
2014-05,-1457.096,Provisional value
2014-06,-12370.673,Provisional value
2014-07,39739.777,Provisional value
2014-08,-8933.601,Provisional value
2014-09,-1109.273,
2014-10,-1481.120,
2014-11,29131.568,
2014-12,-61059.062,Provisional value
