"",BBFB1.M.N.DE.W1.S13.S1.T.LD.FA.P.F3.L._T.M.N,BBFB1.M.N.DE.W1.S13.S1.T.LD.FA.P.F3.L._T.M.N_FLAGS
2006-12,74173.914,
2007-01,73645.563,
2007-02,70475.014,
2007-03,93638.754,
2007-04,44838.807,
2007-05,51092.327,
2007-06,87751.745,
2007-07,75722.651,
2007-08,83341.022,
2007-09,92561.875,
2007-10,64991.535,
2007-11,62573.452,
2007-12,78543.970,
2008-01,72091.660,
2008-02,88776.663,
2008-03,96061.102,
2008-04,70125.266,
2008-05,47789.757,
2008-06,82546.700,
2008-07,67147.920,
2008-08,45378.151,
2008-09,79801.680,
2008-10,102686.487,
2008-11,49847.041,
2008-12,54822.395,
2009-01,50012.452,
2009-02,39740.757,
2009-03,64887.006,
2009-04,50415.349,
2009-05,38052.065,
2009-06,70773.921,
2009-07,65362.655,
2009-08,30174.061,
2009-09,59974.632,
2009-10,57470.859,
2009-11,42704.796,
2009-12,67787.563,
2010-01,54678.433,
2010-02,45753.584,
2010-03,90426.860,
2010-04,78918.517,
2010-05,79449.219,
2010-06,76316.506,
2010-07,58394.105,
2010-08,45160.055,
2010-09,72152.454,
2010-10,59477.086,
2010-11,59137.432,
2010-12,65449.839,
2011-01,62779.504,
2011-02,51035.545,
2011-03,75369.210,
2011-04,69254.489,
2011-05,57348.240,
2011-06,71882.820,
2011-07,79951.348,
2011-08,52265.950,
2011-09,71761.941,
2011-10,68073.704,
2011-11,49143.184,
2011-12,59621.613,
2012-01,60998.537,
2012-02,46899.528,
2012-03,79096.568,
2012-04,58133.565,
2012-05,47001.464,
2012-06,78861.760,
2012-07,72013.788,
2012-08,43731.348,
2012-09,73190.097,
2012-10,68196.227,
2012-11,48996.685,
2012-12,62002.572,
2013-01,73988.154,
2013-02,53003.505,
2013-03,79988.615,
2013-04,71663.291,
2013-05,42758.147,
2013-06,79623.942,
2013-07,66027.661,
2013-08,34228.775,
2013-09,63125.530,
2013-10,62459.743,
2013-11,42382.391,
2013-12,59185.096,
2014-01,56622.832,
2014-02,45473.980,Provisional value
2014-03,59527.154,Provisional value
2014-04,58678.486,Provisional value
2014-05,48585.075,Provisional value
2014-06,61948.949,Provisional value
2014-07,68553.312,Provisional value
2014-08,33527.165,Provisional value
2014-09,69319.284,
2014-10,55583.651,
2014-11,30795.957,
2014-12,59338.440,Provisional value
