"",BBDA1.M.DE.N.IM.S.A.U2.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.U2.A.V.ABA.A_FLAGS
2013-02,27139146,
2013-03,29902758,
2013-04,29051153,
2013-05,29342216,
2013-06,29485708,
2013-07,29551516,
2013-08,25686277,
2013-09,27687732,
2013-10,31491976,
2013-11,29059662,
2013-12,26703446,
2014-01,28382710,
2014-02,29651767,
2014-03,30840060,
2014-04,29632259,
2014-05,28513820,
2014-06,30451248,
2014-07,29813658,
2014-08,25219347,
2014-09,30624005,
2014-10,31162853,
2014-11,30151411,
2014-12,26950021,
