"",BBDE1.M.DE.Y.BAA1.N2D350000.G.C.I10.A,BBDE1.M.DE.Y.BAA1.N2D350000.G.C.I10.A_FLAGS
2010-07,100.5,
2010-08,97.8,
2010-09,98.8,
2010-10,100.5,
2010-11,100.2,
2010-12,105.3,
2011-01,99.2,
2011-02,99.0,
2011-03,98.5,
2011-04,94.3,
2011-05,91.3,
2011-06,91.5,
2011-07,94.8,
2011-08,94.1,
2011-09,91.9,
2011-10,93.6,
2011-11,94.1,
2011-12,94.1,
2012-01,94.2,
2012-02,100.2,
2012-03,96.8,
2012-04,98.7,
2012-05,98.0,
2012-06,99.7,
2012-07,97.7,
2012-08,100.1,
2012-09,98.7,
2012-10,96.7,
2012-11,96.2,
2012-12,93.2,
2013-01,96.2,
2013-02,97.5,
2013-03,103.8,
2013-04,99.4,
2013-05,95.8,
2013-06,98.8,
2013-07,98.6,
2013-08,98.3,
2013-09,101.1,
2013-10,97.6,
2013-11,96.7,
2013-12,94.6,
2014-01,93.3,
2014-02,90.9,
2014-03,93.2,
2014-04,91.5,
2014-05,93.0,
2014-06,94.2,
2014-07,92.3,
2014-08,92.2,
2014-09,95.6,
2014-10,96.1,Provisional value
2014-11,93.6,Provisional value
2014-12,94.4,Provisional value
