"",BBFN1.M.DE.N.1.A.TR.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.TR.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1996-06,0.069,
1996-07,0.069,
1996-08,0.074,
1996-09,0.077,
1996-10,0.074,
1996-11,0.071,
1996-12,0.075,
1997-01,0.075,
1997-02,0.081,
1997-03,0.082,
1997-04,0.087,
1997-05,0.080,
1997-06,0.083,
1997-07,0.086,
1997-08,0.085,
1997-09,0.089,
1997-10,0.097,
1997-11,0.098,
1997-12,0.103,
1998-01,0.110,
1998-02,0.105,
1998-03,0.118,
1998-04,0.111,
1998-05,0.111,
1998-06,0.121,
1998-07,0.136,
1998-08,0.170,
1998-09,0.172,
1998-10,0.183,
1998-11,0.169,
1998-12,0.172,
1999-01,0.169,
1999-02,0.180,
1999-03,0.184,
1999-04,0.291,
1999-05,0.302,
1999-06,0.290,
1999-07,0.316,
1999-08,0.327,
1999-09,0.362,
1999-10,0.338,
1999-11,0.348,
1999-12,0.338,
2000-01,0.345,
2000-02,0.363,
2000-03,0.369,
2000-04,0.370,
2000-05,0.367,
2000-06,0.362,
2000-07,0.360,
2000-08,0.355,
2000-09,0.337,
2000-10,0.341,
2000-11,0.387,
2000-12,0.395,
2001-01,0.401,
2001-02,0.402,
2001-03,0.411,
2001-04,0.411,
2001-05,0.413,
2001-06,0.412,
2001-07,0.404,
2001-08,0.401,
2001-09,0.392,
2001-10,0.355,
2001-11,0.365,
2001-12,0.328,
2002-01,0.315,
2002-02,0.313,
2002-03,0.312,
2002-04,0.316,
2002-05,0.311,
2002-06,0.319,
2002-07,0.325,
2002-08,0.328,
2002-09,0.328,
2002-10,0.323,
2002-11,0.289,
2002-12,0.280,
2003-01,0.277,
2003-02,0.279,
2003-03,0.283,
2003-04,0.275,
2003-05,0.274,
2003-06,0.265,
2003-07,0.261,
2003-08,0.253,
2003-09,0.242,
2003-10,0.248,
2003-11,0.247,
2003-12,0.221,
2004-01,0.218,
2004-02,0.226,
2004-03,0.228,
2004-04,0.222,
2004-05,0.218,
2004-06,0.202,
2004-07,0.216,
2004-08,0.209,
2004-09,0.206,
2004-10,0.260,
2004-11,0.270,
2004-12,0.267,
2005-01,0.260,
2005-02,0.258,
2005-03,0.262,
2005-04,0.250,
2005-05,0.238,
2005-06,0.237,
2005-07,0.243,
2005-08,0.230,
2005-09,0.253,
2005-10,0.249,
2005-11,0.248,
2005-12,0.208,
2006-01,0.207,
2006-02,0.202,
2006-03,0.199,
2006-04,0.199,
2006-05,0.206,
2006-06,0.201,
2006-07,0.200,
2006-08,0.194,
2006-09,0.193,
2006-10,0.194,
2006-11,0.219,
2006-12,0.210,
2007-01,0.212,
2007-02,0.210,
2007-03,0.208,
2007-04,0.208,
2007-05,0.284,
2007-06,0.296,
2007-07,0.296,
2007-08,0.302,
2007-09,0.299,
2007-10,0.299,
2007-11,0.300,
2007-12,0.367,
2008-01,0.378,
2008-02,0.381,
2008-03,0.393,
2008-04,0.389,
2008-05,0.386,
2008-06,0.435,
2008-07,0.432,
2008-08,0.437,
2008-09,0.437,
2008-10,0.436,
2008-11,0.433,
2008-12,0.420,
2009-01,0.425,
2009-02,0.422,
2009-03,0.423,
2009-04,0.428,
2009-05,0.418,
2009-06,0.412,
2009-07,0.408,
2009-08,0.410,
2009-09,0.369,
2009-10,0.364,
2009-11,0.356,
2009-12,0.349,
2010-01,0.350,
2010-02,0.353,
2010-03,0.351,
2010-04,0.351,
2010-05,0.351,
2010-06,0.372,
2010-07,0.380,
2010-08,0.388,
2010-09,0.369,
2010-10,0.385,
2010-11,0.391,
2010-12,0.404,
2011-01,0.406,
2011-02,0.402,
2011-03,0.378,
2011-04,0.406,
2011-05,0.402,
2011-06,0.391,
2011-07,0.434,
2011-08,0.474,
2011-09,0.468,
2011-10,0.464,
2011-11,0.486,
2011-12,0.557,
2012-01,0.558,
2012-02,0.610,
2012-03,0.628,
2012-04,0.650,
2012-05,0.686,
2012-06,0.710,
2012-07,0.715,
2012-08,0.733,
2012-09,0.751,
2012-10,0.748,
2012-11,0.768,
2012-12,0.801,
2013-01,0.789,
2013-02,0.762,
2013-03,0.764,
2013-04,0.763,
2013-05,0.750,
2013-06,0.762,
2013-07,0.729,
2013-08,0.509,
2013-09,0.486,
2013-10,0.795,
2013-11,0.803,
2013-12,0.814,
2014-01,0.798,
2014-02,0.816,
2014-03,0.825,
2014-04,0.819,
2014-05,0.854,
2014-06,0.843,
2014-07,0.853,
2014-08,0.875,
2014-09,0.855,
2014-10,0.867,
2014-11,0.878,
2014-12,0.871,
