"",BBDA1.M.DE.N.IM.S.A.FI.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.FI.A.V.ABA.A_FLAGS
2000-01,491338,
2000-02,455812,
2000-03,444891,
2000-04,390394,
2000-05,460651,
2000-06,471603,
2000-07,431179,
2000-08,451842,
2000-09,444728,
2000-10,557257,
2000-11,771624,
2000-12,510057,
2001-01,485878,
2001-02,504184,
2001-03,495482,
2001-04,764972,
2001-05,1080222,
2001-06,498010,
2001-07,458705,
2001-08,377615,
2001-09,394077,
2001-10,459576,
2001-11,499909,
2001-12,446491,
2002-01,433587,
2002-02,422048,
2002-03,399248,
2002-04,532119,
2002-05,461186,
2002-06,651608,
2002-07,512279,
2002-08,463241,
2002-09,457291,
2002-10,639545,
2002-11,657886,
2002-12,506876,
2003-01,572795,
2003-02,486446,
2003-03,584175,
2003-04,530847,
2003-05,509873,
2003-06,544686,
2003-07,444602,
2003-08,558787,
2003-09,486705,
2003-10,553480,
2003-11,570966,
2003-12,523107,
2004-01,476343,
2004-02,477484,
2004-03,437628,
2004-04,474859,
2004-05,513235,
2004-06,473139,
2004-07,602255,
2004-08,490693,
2004-09,510979,
2004-10,528106,
2004-11,591973,
2004-12,547323,
2005-01,443899,
2005-02,472373,
2005-03,517477,
2005-04,662887,
2005-05,591374,
2005-06,527011,
2005-07,693894,
2005-08,694135,
2005-09,785783,
2005-10,819908,
2005-11,865551,
2005-12,772101,
2006-01,743178,
2006-02,793246,
2006-03,658546,
2006-04,621499,
2006-05,680740,
2006-06,738422,
2006-07,601197,
2006-08,669491,
2006-09,635992,
2006-10,736586,
2006-11,714053,
2006-12,800505,
2007-01,657139,
2007-02,690732,
2007-03,748964,
2007-04,637639,
2007-05,686227,
2007-06,747238,
2007-07,608796,
2007-08,731512,
2007-09,741640,
2007-10,725777,
2007-11,752198,
2007-12,561745,
2008-01,677647,
2008-02,652476,
2008-03,697330,
2008-04,722796,
2008-05,698686,
2008-06,644186,
2008-07,626449,
2008-08,721862,
2008-09,603850,
2008-10,586411,
2008-11,616670,
2008-12,508470,
2009-01,443203,
2009-02,449195,
2009-03,442881,
2009-04,414629,
2009-05,405190,
2009-06,423723,
2009-07,400074,
2009-08,420669,
2009-09,468379,
2009-10,486160,
2009-11,511785,
2009-12,436818,
2010-01,389717,
2010-02,411605,
2010-03,418191,
2010-04,442651,
2010-05,511954,
2010-06,688906,
2010-07,498747,
2010-08,508395,
2010-09,533794,
2010-10,526413,
2010-11,587434,
2010-12,513083,
2011-01,549531,
2011-02,573805,
2011-03,593550,
2011-04,601166,
2011-05,512297,
2011-06,536867,
2011-07,539855,
2011-08,572357,
2011-09,537116,
2011-10,509326,
2011-11,530094,
2011-12,522254,
2012-01,491853,
2012-02,511270,
2012-03,562374,
2012-04,491972,
2012-05,544892,
2012-06,540690,
2012-07,490725,
2012-08,599519,
2012-09,504013,
2012-10,528872,
2012-11,501466,
2012-12,407079,
2013-01,493322,
2013-02,432253,
2013-03,487738,
2013-04,511737,
2013-05,503247,
2013-06,539099,
2013-07,452555,
2013-08,582183,
2013-09,516272,
2013-10,520821,
2013-11,505388,
2013-12,512587,
2014-01,574085,
2014-02,540371,
2014-03,579692,
2014-04,538041,
2014-05,623307,
2014-06,567000,
2014-07,654687,
2014-08,557781,
2014-09,665068,
2014-10,702695,
2014-11,711491,
2014-12,619409,
