"",BBEX3.M.BRL.USD.CA.AC.A01,BBEX3.M.BRL.USD.CA.AC.A01_FLAGS
2009-08,1.88600,
2009-09,1.77770,
2009-10,1.74360,
2009-11,1.75010,
2009-12,1.74080,
2010-01,1.87440,
2010-02,1.81060,
2010-03,1.78060,
2010-04,1.73020,
2010-05,1.81630,
2010-06,1.80110,
2010-07,1.75680,
2010-08,1.75560,
2010-09,1.69380,
2010-10,1.70100,
2010-11,1.71570,
2010-12,1.66580,
2011-01,1.67300,
2011-02,1.66080,
2011-03,1.62830,
2011-04,1.57290,
2011-05,1.57950,
2011-06,1.56070,
2011-07,1.55590,
2011-08,1.58680,
2011-09,1.85400,
2011-10,1.68815,
2011-11,1.81055,
2011-12,1.87545,
2012-01,1.73880,
2012-02,1.70890,
2012-03,1.82180,
2012-04,1.89150,
2012-05,2.02200,
2012-06,2.02100,
2012-07,2.04965,
2012-08,2.03690,
2012-09,2.03030,
2012-10,2.03105,
2012-11,2.10710,
2012-12,2.04320,
2013-01,1.98800,
2013-02,1.97515,
2013-03,2.01350,
2013-04,2.00140,
2013-05,2.13165,
2013-06,2.21530,
2013-07,2.29000,
2013-08,2.37220,
2013-09,2.22970,
2013-10,2.20230,
2013-11,2.32460,
2013-12,2.34230,
2014-01,2.42600,
2014-02,2.33305,
2014-03,2.26270,
2014-04,2.23570,
2014-05,2.23870,
2014-06,2.20220,
2014-07,2.26710,
2014-08,2.23930,
2014-09,2.45070,
2014-10,2.44390,
2014-11,2.55980,
2014-12,2.65590,
2015-01,2.66200,
"","General: Currency conversion on 1 July 1994 at the rate of 2,750 cruzeiro real (BRR) = 1 real (BRL).  * Commercial banks' rate until the end of January 1999; for free market rates, see BBEX2:M:BRL:USD:CA:AC:B01.  Exchange rate used until 31 January 1999:  Commercial banks' rate (taxa comercial): for all foreign exchange transactions not settled at the freemarket rate.  Free market rate (taxa flutuante): for all unrequited transfers (including pension and remittance payments), for certain services (including the provision of foreign exchange for travel purposes and currency exchange for foreign tourists, also via international credit cards), as well as for certain overdue loan redemptions; also for certain capital transfers by Brazilians based abroad.  The multiple exchange rate system was standardised on 1 February 1999.",
"","Source: Calculated on the basis of the buying and selling rates of the following banks: Since April 2000: Banco Central do Brasil, Brasilia. July 1994 - March 2000: Dresdner Bank Lateinamerika AG, Hamburg (formerly: Deutsch-Südamerikanische Bank AG).",
"","Comment on 1999-01: Owing to increasing exchange rate pressures, the central bank expanded the range against the US dollar on 13 January 1999 and switched to an independent floating rate two days later.",
